date,cases,deaths,country,population,cum_cases,cum_cases_per100000,cases_per100000,cases_7day_rollmean,cases_7day_rollsum,cases_14day_rollmean,cases_14day_rollsum,cases_14day_rollmean_per100000,cases_14day_rollsum_per100000,cumulative_deaths,deaths_per100000,deaths_7day_rollmean,deaths_7day_rollsum,deaths_14day_rollmean,deaths_14day_rollsum,deaths_14day_rollmean_per100000,deaths_14day_rollsum_per100000
2020-04-29,570,115,Belgium,11455519,49268,430.0809068537183,4.975767575436783,638.1428571428571,4467,917.7857142857143,12849,8.01173403217885,112.1642764505039,7816,68.229121701077,155.57142857142858,1089,188.5,2639,1.6454950666137431,23.036930932592405
2020-04-30,517,98,Belgium,11455519,49785,434.5940153388074,4.513108485089153,601,4207,838.4285714285714,11738,7.31899245620012,102.46589438680168,7914,69.08460454738018,142.14285714285714,995,175.85714285714286,2462,1.5351302970833784,21.491824159167297
2020-05-01,588,84,Belgium,11455519,50373,439.7269124166264,5.132897077818997,546.4285714285714,3825,761.2857142857143,10658,6.645580303133489,93.03812424386884,7998,69.81787555849718,129,903,163.92857142857142,2295,1.4310008252665936,20.03401155373231
2020-05-02,237,98,Belgium,11455519,50610,441.79578419799225,2.06887178136582,464.85714285714283,3254,679.1428571428571,9508,5.928521066071796,82.99929492500515,8096,70.67335840480034,121.85714285714286,853,156.28571428571428,2188,1.3642831397312882,19.09996395623804
2020-05-03,284,73,Belgium,11455519,50894,444.27493856891164,2.4791543709193795,450,3150,648.0714285714286,9073,5.65728561553107,79.20199861743497,8169,71.31060583112821,110.14285714285714,771,146.64285714285714,2053,1.2801066205979594,17.92149268837143
2020-05-04,141,96,Belgium,11455519,51035,445.5057863375723,1.230847768660678,440.85714285714283,3086,626.5,8771,5.468979624580956,76.56571474413337,8265,72.14862984383335,98.71428571428571,691,138.42857142857142,1938,1.20840069689179,16.917609756485064
2020-05-05,669,98,Belgium,11455519,51704,451.3457661761113,5.839979838538961,429.42857142857144,3006,583.4285714285714,8168,5.092991172452086,71.3018764143292,8363,73.00411269013652,94.57142857142857,662,131.28571428571428,1838,1.1460477197559908,16.04466807658387
2020-05-06,542,81,Belgium,11455519,52246,456.07711008117576,4.73134390506445,425.42857142857144,2978,531.7857142857143,7445,4.642179147760257,64.99050806864359,8444,73.71119545085648,89.71428571428571,628,122.64285714285714,1717,1.0706006174216738,14.988408643903433
2020-05-07,554,75,Belgium,11455519,52800,460.91320698782835,4.8360969066525925,430.7142857142857,3015,515.8571428571429,7222,4.503132008747425,63.04384812246394,8519,74.36590171078238,86.42857142857143,605,114.28571428571429,1600,0.9976476341727887,13.96706687841904
2020-05-08,443,78,Belgium,11455519,53243,464.7803386297906,3.867131641962272,410,2870,478.2142857142857,6695,4.174531819241762,58.44344546938467,8597,75.04679622110531,85.57142857142857,599,107.28571428571429,1502,0.9365417165797053,13.111584032115873
2020-05-09,483,70,Belgium,11455519,53726,468.99664694371336,4.216308313922748,445.14285714285717,3116,455,6370,3.9718846435504145,55.606385009705804,8667,75.65785539703614,81.57142857142857,571,101.71428571428571,1424,0.8879063944137818,12.430689521792946
2020-05-10,240,68,Belgium,11455519,53966,471.0917069754762,2.095060031762856,438.85714285714283,3072,444.42857142857144,6222,3.879602237389432,54.31443132345204,8735,76.25145573936895,80.85714285714286,566,95.5,1337,0.8336593043056365,11.67123026027891
2020-05-11,118,73,Belgium,11455519,54084,472.1217781577596,1.030071182283404,435.57142857142856,3049,438.2142857142857,6135,3.8253551472812863,53.55497206193801,8808,76.88870316569681,77.57142857142857,543,88.14285714285714,1234,0.7694357378557631,10.772100329980685
2020-05-12,474,62,Belgium,11455519,54558,476.25952172049125,4.13774356273164,407.7142857142857,2854,418.57142857142856,5860,3.653884460157838,51.15438244220974,8870,77.42992700723555,72.42857142857143,507,83.5,1169,0.7289063027174937,10.20468823804491
2020-05-13,395,48,Belgium,11455519,54953,479.70764135610096,3.4481196356097006,386.7142857142857,2707,406.07142857142856,5685,3.544766750170189,49.626734502382654,8918,77.84893901358812,67.71428571428571,474,78.71428571428571,1102,0.6871298080365081,9.619817312511113
2020-05-14,318,54,Belgium,11455519,55271,482.4835958981867,2.7759545420857843,353,2471,391.85714285714283,5486,3.420684325669949,47.88958055937928,8972,78.32032752073476,64.71428571428571,453,75.57142857142857,1058,0.6596944980967564,9.23572297335459
2020-05-15,304,46,Belgium,11455519,55575,485.13733860508637,2.6537427068996178,333.14285714285717,2332,371.57142857142856,5202,3.243601870604279,45.4104261884599,9018,78.72188069348931,60.142857142857146,421,72.85714285714286,1020,0.6360003667851528,8.904005134992138
2020-05-16,344,38,Belgium,11455519,55919,488.14025798394647,3.002919378860094,313.2857142857143,2193,379.2142857142857,5309,3.3103195561395844,46.34447378595418,9056,79.05359853185176,55.57142857142857,389,68.57142857142857,960,0.5985885805036731,8.380240127051424
2020-05-17,147,28,Belgium,11455519,56066,489.4234822534012,1.2832242694547493,300,2100,369.42857142857144,5172,3.224895977463539,45.148543684489546,9084,79.2980222022241,49.857142857142854,349,65.35714285714286,915,0.5705297407925635,7.987416371095889
2020-05-18,81,35,Belgium,11455519,56147,490.13056501412115,0.7070827607199639,294.7142857142857,2063,365.14285714285717,5112,3.18748419118206,44.624778676548836,9119,79.60355179018951,44.42857142857143,311,61,854,0.5324944247397259,7.454921946356163
2020-05-19,315,35,Belgium,11455519,56462,492.88033130580993,2.7497662916887484,272,1904,339.85714285714283,4758,2.9667546521213297,41.53456512969862,9154,79.90908137815494,40.57142857142857,284,56.5,791,0.4932120491441724,6.904968688018413
2020-05-20,293,30,Belgium,11455519,56755,495.4380504279204,2.5577191221104867,257.42857142857144,1802,322.07142857142856,4509,2.8114957390531896,39.360940346744655,9184,80.17096388212529,38,266,52.857142857142854,740,0.4614120308049147,6.459768431268806
2020-05-21,385,32,Belgium,11455519,57140,498.79887589554,3.3608254676195815,267,1869,310,4340,2.706119207693689,37.88566890771165,9216,80.45030521969367,34.857142857142854,244,49.785714285714285,697,0.434600250636521,6.0844035089112944
2020-05-22,71,29,Belgium,11455519,57211,499.4186644882698,0.6197885927298449,233.71428571428572,1636,283.42857142857144,3968,2.474166132748516,34.63832585847922,9245,80.70345830686502,32.42857142857143,227,46.285714285714285,648,0.4040472918399794,5.656662085759711
2020-05-23,248,38,Belgium,11455519,57459,501.5835598544248,2.1648953661549513,220,1540,266.64285714285717,3733,2.3276366364793875,32.586912910711426,9283,81.03517614522747,32.42857142857143,227,44,616,0.38409433915652363,5.37732074819133
2020-05-24,122,24,Belgium,11455519,57581,502.6485487039042,1.0649888494794517,216.42857142857142,1515,258.2142857142857,3615,2.254060123459144,31.55684172842802,9307,81.24468214840375,31.857142857142858,223,40.857142857142854,572,0.3566590292167719,4.993226409034807
2020-05-25,75,34,Belgium,11455519,57656,503.3032549638301,0.6547062599258925,215.57142857142858,1509,255.14285714285714,3572,2.2272483432907504,31.181476806070506,9341,81.54148231957016,31.714285714285715,222,38.07142857142857,533,0.33234136813381016,4.652779153873343
2020-05-26,312,24,Belgium,11455519,57968,506.02683300512183,2.723578041291713,215.14285714285714,1506,243.57142857142858,3410,2.126236520330756,29.76731128463058,9365,81.75098832274645,30.142857142857142,211,35.357142857142854,495,0.30864723682220646,4.321061315510891
2020-05-27,202,40,Belgium,11455519,58170,507.7901751985222,1.7633421934004039,202.14285714285714,1415,229.78571428571428,3217,2.005895274458663,28.082533842421284,9405,82.10016499470692,31.571428571428573,221,34.785714285714285,487,0.3036589986513425,4.251225981118796
2020-05-28,181,24,Belgium,11455519,58351,509.3701996391434,1.5800244406211539,173,1211,220,3080,1.920471695782618,26.88660374095665,9429,82.3096709978832,30.428571428571427,213,32.642857142857146,457,0.28495310551060277,3.9893434771484384
2020-05-29,172,22,Belgium,11455519,58523,510.87165932857346,1.501459689430047,187.42857142857142,1312,210.57142857142858,2948,1.838165765963363,25.73432072348708,9451,82.50171816746146,29.428571428571427,206,30.928571428571427,433,0.2699883909980109,3.7798374739721528
2020-05-30,165,13,Belgium,11455519,58688,512.3120131004104,1.4403537718369634,175.57142857142858,1229,197.78571428571428,2769,1.7265539368902822,24.171755116463952,9464,82.61520058584863,25.857142857142858,181,29.142857142857142,408,0.2544001467140611,3.561602053996855
