date,cases,deaths,country,population,cumulative_cases,cases_per100000,cases_7day_rollmean,cases_14day_rollmean,cases_14day_rollmean_per100000,cumulative_deaths,deaths_per100000,deaths_7day_rollmean,deaths_14day_rollmean,deaths_14day_rollmean_per100000
2020-07-09,442,12,Germany,83019213,197783,238.23762338002408,365,407.42857142857144,0.49076419386024706,9048,10.89868197136487,7.714285714285714,8.642857142857142,0.010410671012813795
2020-07-10,395,6,Germany,83019213,198178,238.7134168568907,357.7142857142857,401.57142857142856,0.4837090283804889,9054,10.905909214051452,7.285714285714286,7.571428571428571,0.009120091961638531
2020-07-11,378,6,Germany,83019213,198556,239.16873314614534,351.42857142857144,379.5,0.4571230999262785,9060,10.913136456738032,7.142857142857143,7.571428571428571,0.009120091961638531
2020-07-12,248,3,Germany,83019213,198804,239.4674591771907,352.7142857142857,378.92857142857144,0.45643479109898505,9063,10.916750078081323,7.285714285714286,7.571428571428571,0.009120091961638531
2020-07-13,159,1,Germany,83019213,198963,239.65898110838512,344.14285714285717,371.57142857142856,0.44757281494758155,9064,10.917954618529086,6.857142857142857,7.357142857142857,0.008861976151403479
2020-07-14,0,0,Germany,83019213,198963,239.65898110838512,288.42857142857144,336,0.40472559044856277,9064,10.917954618529086,5.714285714285714,6.5,0.007829512910463268
2020-07-15,763,7,Germany,83019213,199726,240.5780454700287,340.7142857142857,357.2142857142857,0.430279055661833,9071,10.926386401663432,5,6.142857142857143,0.007399319893404847
2020-07-16,534,7,Germany,83019213,200260,241.22127006913448,353.85714285714283,359.42857142857144,0.43294625236759526,9078,10.934818184797777,4.285714285714286,6,0.007227242686581478
2020-07-17,583,4,Germany,83019213,200843,241.92351715018063,380.7142857142857,369.2142857142857,0.44473354103499596,9082,10.93963634658883,4,5.642857142857143,0.006797049669523057
2020-07-18,529,1,Germany,83019213,201372,242.56071904704757,402.2857142857143,376.85714285714283,0.45393967160004617,9083,10.940840887036595,3.2857142857142856,5.214285714285714,0.0062808180490529514
2020-07-19,202,1,Germany,83019213,201574,242.80403621749582,395.7142857142857,374.2142857142857,0.45075624327381386,9084,10.942045427484357,3,5.142857142857143,0.006194779445641268
2020-07-20,249,2,Germany,83019213,201823,243.10396678898894,408.57142857142856,376.35714285714283,0.45333740137616435,9086,10.944454508379886,3.142857142857143,5,0.006022702238817898
2020-07-21,522,4,Germany,83019213,202345,243.73273690272154,483.14285714285717,385.7857142857143,0.4646944970265067,9090,10.94927267017094,3.7142857142857144,4.714285714285714,0.005678547825171161
2020-07-22,454,5,Germany,83019213,202799,244.2795982660062,439,389.85714285714283,0.4695986974209727,9095,10.955295372409758,3.4285714285714284,4.214285714285714,0.005076277601289372
2020-07-23,569,6,Germany,83019213,203368,244.9649817807837,444,398.92857142857144,0.48052560005425665,9101,10.962522615096338,3.2857142857142856,3.7857142857142856,0.004560045980819266
2020-07-24,815,10,Germany,83019213,204183,245.946682245711,477.14285714285717,428.92857142857144,0.516661813487164,9111,10.974568019573974,4.142857142857143,4.071428571428571,0.0049042003944660024
2020-07-25,781,7,Germany,83019213,204964,246.88742833541434,513.1428571428571,457.7142857142857,0.5513353706620728,9118,10.98299980270832,5,4.142857142857143,0.004990238997877688
2020-07-26,305,0,Germany,83019213,205269,247.25481317198225,527.8571428571429,461.7857142857143,0.5562395710565388,9118,10.98299980270832,4.857142857142857,3.9285714285714284,0.0047321231876426345
2019-12-31,0,0,Ireland,4904240,0,0,NA,NA,NA,0,0,NA,NA,NA
2020-01-01,0,0,Ireland,4904240,0,0,NA,NA,NA,0,0,NA,NA,NA
2020-01-02,0,0,Ireland,4904240,0,0,NA,NA,NA,0,0,NA,NA,NA
2020-01-03,0,0,Ireland,4904240,0,0,NA,NA,NA,0,0,NA,NA,NA
2020-01-04,0,0,Ireland,4904240,0,0,NA,NA,NA,0,0,NA,NA,NA
2020-01-05,0,0,Ireland,4904240,0,0,NA,NA,NA,0,0,NA,NA,NA
2020-01-06,0,0,Ireland,4904240,0,0,0,NA,NA,0,0,0,NA,NA
2020-01-07,0,0,Ireland,4904240,0,0,0,NA,NA,0,0,0,NA,NA
2020-01-08,0,0,Ireland,4904240,0,0,0,NA,NA,0,0,0,NA,NA
2020-01-09,0,0,Ireland,4904240,0,0,0,NA,NA,0,0,0,NA,NA
2020-01-10,0,0,Ireland,4904240,0,0,0,NA,NA,0,0,0,NA,NA
2020-01-11,0,0,Ireland,4904240,0,0,0,NA,NA,0,0,0,NA,NA
2020-01-12,0,0,Ireland,4904240,0,0,0,NA,NA,0,0,0,NA,NA
2020-01-13,0,0,Ireland,4904240,0,0,0,0,0,0,0,0,0,0
2020-01-14,0,0,Ireland,4904240,0,0,0,0,0,0,0,0,0,0
2020-01-15,0,0,Ireland,4904240,0,0,0,0,0,0,0,0,0,0
2020-01-16,0,0,Ireland,4904240,0,0,0,0,0,0,0,0,0,0
2020-01-17,0,0,Ireland,4904240,0,0,0,0,0,0,0,0,0,0
2020-01-18,0,0,Ireland,4904240,0,0,0,0,0,0,0,0,0,0
2020-01-19,0,0,Ireland,4904240,0,0,0,0,0,0,0,0,0,0
2020-01-20,0,0,Ireland,4904240,0,0,0,0,0,0,0,0,0,0
