date,cases,deaths,country,population,continent,cum_cases,cum_cases_per100000,cases_per100000,cases_7day_rollmean,cases_7day_rollsum,cases_7day_rollsum_per100000,cases_14day_rollmean,cases_14day_rollsum,cases_14day_rollmean_per100000,cases_14day_rollsum_per100000,cum_deaths,deaths_per100000,deaths_7day_rollmean,deaths_7day_rollsum,deaths_7day_rollsum_per100000,deaths_14day_rollmean,deaths_14day_rollsum,deaths_14day_rollmean_per100000,deaths_14day_rollsum_per100000
2020-08-24,456,0,Netherlands,17282163,Western Europe,66490,384.7319343070656,2.638558610979424,506.7142857142857,3547,20.524051300754426,566.1428571428571,7926,3.275879628856973,45.86231480399763,6191,35.823062194240386,4,28,0.16201675681452604,3.0714285714285716,43,0.017772246283226073,0.24881144796516502
2020-08-25,572,2,Netherlands,17282163,Western Europe,67062,388.04170519627667,3.3097708892110322,519.7142857142857,3638,21.050605760401634,565.9285714285714,7923,3.2746397046976785,45.844955865767496,6193,35.834634819727135,4.285714285714286,30,0.1735893823012779,3.2142857142857144,45,0.018598862389422634,0.2603840734519169
2020-08-26,414,5,Netherlands,17282163,Western Europe,67476,390.4372386720343,2.3955334757576354,509.2857142857143,3565,20.62820493013519,539.8571428571429,7558,3.123782265316806,43.73295171443528,6198,35.86356638344402,4.571428571428571,32,0.18516200778802977,3.4285714285714284,48,0.019838786548717475,0.2777430116820447
2020-08-27,570,8,Netherlands,17282163,Western Europe,68046,393.73543693575857,3.2981982637242804,511.85714285714283,3583,20.73235855951596,533.8571428571429,7474,3.0890643888565505,43.2469014439917,6206,35.90985688539102,4.857142857142857,34,0.19673463327478163,3.857142857142857,54,0.02231863486730716,0.3124608881423002
2020-08-28,510,3,Netherlands,17282163,Western Europe,68556,396.6864564348803,2.9510194991217245,509.14285714285717,3564,20.622418617391816,529.0714285714286,7407,3.0613727492989655,42.85921849018552,6209,35.927215823621154,3.857142857142857,27,0.1562304440711501,3.7857142857142856,53,0.02190532681420888,0.3066745753989243
2020-08-29,507,2,Netherlands,17282163,Western Europe,69063,399.62011699577187,2.933660560891597,505.2857142857143,3537,20.466188173320667,519.8571428571429,7278,3.0080560104492875,42.112784146290025,6211,35.9387884491079,3.5714285714285716,25,0.14465781858439827,3.7857142857142856,53,0.02190532681420888,0.3066745753989243
2020-08-30,500,4,Netherlands,17282163,Western Europe,69563,402.5132733674599,2.893156371687965,504.14285714285717,3529,20.419897671373658,509,7126,2.9452331863783487,41.23326460929688,6215,35.96193370008141,3.4285714285714284,24,0.13887150584102234,3.9285714285714284,55,0.02273194292040544,0.31824720088567615
2020-08-31,508,0,Netherlands,17282163,Western Europe,70071,405.4527202410948,2.9394468736349726,511.57142857142856,3581,20.720785934029205,509.14285714285717,7128,2.9460598024845455,41.24483723478363,6215,35.96193370008141,3.4285714285714284,24,0.13887150584102234,3.7142857142857144,52,0.0214920187611106,0.3008882626555484
2020-09-01,525,0,Netherlands,17282163,Western Europe,70596,408.49053443136717,3.0378141902723637,504.85714285714283,3534,20.44882923509054,512.2857142857143,7172,2.9642453568208698,41.49943499549217,6215,35.96193370008141,3.142857142857143,22,0.12729888035427048,3.7142857142857144,52,0.0214920187611106,0.3008882626555484
2020-09-02,461,6,Netherlands,17282163,Western Europe,71057,411.15802460606346,2.667490174696304,511.57142857142856,3581,20.720785934029205,510.42857142857144,7146,2.953499347440314,41.3489908641644,6221,35.996651576541666,3.2857142857142856,23,0.1330851930976464,3.9285714285714284,55,0.02273194292040544,0.31824720088567615
2020-09-03,914,5,Netherlands,17282163,Western Europe,71971,416.4467144535091,5.2886898474456006,560.7142857142857,3925,22.711277517750528,536.2857142857143,7508,3.103116862661892,43.44363607726648,6226,36.02558314025854,2.857142857142857,20,0.11572625486751861,3.857142857142857,54,0.02231863486730716,0.3124608881423002
2020-09-04,421,0,Netherlands,17282163,Western Europe,72392,418.88275211847036,2.4360376649612667,548,3836,22.19629568359007,528.5714285714286,7400,3.0584795929272772,42.81871430098189,6226,36.02558314025854,2.4285714285714284,17,0.09836731663739082,3.142857142857143,44,0.018185554336324353,0.25459776070854095
2020-09-05,744,2,Netherlands,17282163,Western Europe,73136,423.187768799542,4.3050166810716926,581.8571428571429,4073,23.567651803770165,543.5714285714286,7610,3.1452742840779164,44.03383997709083,6228,36.0371557657453,2.4285714285714284,17,0.09836731663739082,3,42,0.017358938230127793,0.2430251352217891
2020-09-06,654,4,Netherlands,17282163,Western Europe,73790,426.9720173337099,3.7842485341678587,603.8571428571429,4227,24.458743966250058,554,7756,3.2056172598302655,44.878641637623716,6232,36.060301016718796,2.4285714285714284,17,0.09836731663739082,2.9285714285714284,41,0.01694563017702951,0.23723882247841316
2020-09-07,925,2,Netherlands,17282163,Western Europe,74715,432.32435662133264,5.352339287622736,663.4285714285714,4644,26.87163638023782,587.5,8225,3.3994587367333593,47.592422314267026,6234,36.07187364220555,2.7142857142857144,19,0.10993994212414268,3.0714285714285716,43,0.017772246283226073,0.24881144796516502
2020-09-08,797,0,Netherlands,17282163,Western Europe,75512,436.9360478778033,4.611691256470617,702.2857142857143,4916,28.445513446436074,603.5714285714286,8450,3.4924530486804723,48.89434268152661,6234,36.07187364220555,2.7142857142857144,19,0.10993994212414268,2.9285714285714284,41,0.01694563017702951,0.23723882247841316
2020-09-09,963,1,Netherlands,17282163,Western Europe,76475,442.50826704967426,5.572219171871021,774,5418,31.350242443610792,642.7857142857143,8999,3.719359169831429,52.07102837764,6235,36.07765995494893,2,14,0.08100837840726302,2.642857142857143,37,0.015292397964636387,0.21409357150490943
2020-09-10,1140,2,Netherlands,17282163,Western Europe,77615,449.10466357712284,6.596396527448561,806.2857142857143,5644,32.657949123613754,683.5,9569,3.9549447600974483,55.36922664136428,6237,36.08923258043568,1.5714285714285714,11,0.06364944017713524,2.2142857142857144,31,0.012812549646046703,0.17937569504465384
2020-09-11,823,3,Netherlands,17282163,Western Europe,78438,453.86679896492126,4.7621353877983905,863.7142857142857,6046,34.98404684645087,705.8571428571429,9882,4.08431018071721,57.180342530040946,6240,36.10659151866581,2,14,0.08100837840726302,2.2142857142857144,31,0.012812549646046703,0.17937569504465384
2020-09-12,1268,3,Netherlands,17282163,Western Europe,79706,461.2038435235219,7.33704455860068,938.5714285714286,6570,38.01607472397986,760.2142857142857,10643,4.398837609125001,61.58372652775003,6243,36.12395045689593,2.142857142857143,15,0.08679469115063895,2.2857142857142856,32,0.013225857699144984,0.18516200778802977
2020-09-13,1231,1,Netherlands,17282163,Western Europe,80937,468.3267945106177,7.122950987095771,1021,7147,41.354777176907774,812.4285714285714,11374,4.700965795939846,65.81352114315783,6244,36.12973676963931,1.7142857142857142,12,0.06943575292051117,2.0714285714285716,29,0.011985933539850143,0.16780306955790197
2020-09-14,1086,1,Netherlands,17282163,Western Europe,82023,474.61073014992394,6.283935639306261,1044,7308,42.2863735285913,853.7142857142857,11952,4.939857850630651,69.15800990882911,6245,36.13552308238268,1.5714285714285714,11,0.06364944017713524,2.142857142857143,30,0.012399241592948421,0.1735893823012779
2020-09-15,1298,2,Netherlands,17282163,Western Europe,83321,482.1213640908259,7.510633940901958,1115.5714285714287,7809,45.18531621302264,908.9285714285714,12725,5.2593449756756225,73.63082965945871,6247,36.14709570786944,1.8571428571428572,13,0.0752220656638871,2.2857142857142856,32,0.013225857699144984,0.18516200778802977
2020-09-16,1376,2,Netherlands,17282163,Western Europe,84697,490.0833304257112,7.961966334885281,1174.5714285714287,8222,47.5750633760369,974.2857142857143,13640,5.63752184426055,78.92530581964769,6249,36.15866833335619,2,14,0.08100837840726302,2,28,0.01157262548675186,0.16201675681452604
2020-09-17,1540,2,Netherlands,17282163,Western Europe,86237,498.9942520505101,8.910921624798933,1231.7142857142858,8622,49.88958847338727,1019,14266,5.896252685500073,82.54753759700102,6251,36.17024095884294,2,14,0.08100837840726302,1.7857142857142858,25,0.01033270132745702,0.14465781858439827
2020-09-18,1750,6,Netherlands,17282163,Western Europe,87987,509.120299351418,10.126047300907878,1364.142857142857,9549,55.25350038649676,1113.9285714285713,15595,6.4455390880676875,90.23754723294763,6257,36.204958835303195,2.4285714285714284,17,0.09836731663739082,2.2142857142857144,31,0.012812549646046703,0.17937569504465384
2020-09-19,1972,7,Netherlands,17282163,Western Europe,89959,520.5309080813553,11.410608729937335,1464.7142857142858,10253,59.32706455783342,1201.642857142857,16823,6.953081377272377,97.34313928181328,6264,36.245463024506826,3,21,0.12151256761089455,2.5714285714285716,36,0.014879089911538109,0.2083072587615335
2020-09-20,1882,2,Netherlands,17282163,Western Europe,91841,531.4207486643888,10.889840583033502,1557.7142857142858,10904,63.09395415377114,1289.357142857143,18051,7.4606236664770655,104.44873133067892,6266,36.25703564999358,3.142857142857143,22,0.12729888035427048,2.4285714285714284,34,0.014052473805341545,0.19673463327478163
2020-09-21,1843,4,Netherlands,17282163,Western Europe,93684,542.0849230504307,10.66417438604184,1665.857142857143,11661,67.47419290050672,1354.9285714285713,18969,7.840040459221287,109.76056642909802,6270,36.28018090096708,3.5714285714285716,25,0.14465781858439827,2.5714285714285716,36,0.014879089911538109,0.2083072587615335
2020-09-22,2215,2,Netherlands,17282163,Western Europe,95899,554.9016057770084,12.816682726577685,1796.857142857143,12578,72.78024168618245,1456.2142857142858,20387,8.42611127851465,117.9655578992051,6272,36.29175352645384,3.5714285714285716,25,0.14465781858439827,2.7142857142857144,38,0.015705706017734668,0.21987988424828536
2020-09-23,2243,10,Netherlands,17282163,Western Europe,98142,567.8803052604005,12.978699483392212,1920.7142857142858,13445,77.79697483468938,1547.642857142857,21667,8.955145586480448,125.37203821072629,6282,36.349616653887594,4.714285714285714,33,0.1909483205314057,3.357142857142857,47,0.019425478495619194,0.27195669893866875
2020-09-24,2351,5,Netherlands,17282163,Western Europe,100493,581.4839265200774,13.603621259676812,2036.5714285714287,14256,82.48967446956726,1634.142857142857,22878,9.455661638782466,132.37926294295454,6287,36.378548217604475,5.142857142857143,36,0.2083072587615335,3.5714285714285716,50,0.02066540265491404,0.28931563716879655
2020-09-25,2541,16,Netherlands,17282163,Western Europe,103034,596.1869472009956,14.70302068091824,2149.5714285714284,15047,87.06664784957762,1756.857142857143,24596,10.165724874005313,142.32014823607437,6303,36.47112922149849,6.571428571428571,46,0.2661703861952928,4.5,63,0.026038407345191687,0.3645377028326836
2020-09-26,2776,16,Netherlands,17282163,Western Europe,105810,612.2497513766072,16.062804175611582,2264.4285714285716,15851,91.71884329525187,1864.5714285714287,26104,10.78899341807752,151.04590785308528,6319,36.563710225392505,7.857142857142857,55,0.31824720088567615,5.428571428571429,76,0.031411412035469335,0.4397597684965707
2020-09-27,2711,38,Netherlands,17282163,Western Europe,108521,627.9364452238993,15.686693847292148,2382.8571428571427,16680,96.51569655951052,1970.2857142857142,27584,11.400689336662976,159.60965071328167,6357,36.78359010964079,13,91,0.5265544596472097,8.071428571428571,113,0.046703810000105726,0.6538533400014801
2020-09-28,2989,8,Netherlands,17282163,Western Europe,111510,645.23173401385,17.295288789950657,2546.5714285714284,17826,103.14681096341934,2106.214285714286,29487,12.187214561709006,170.62100386392606,6365,36.8298806115878,13.571428571428571,95,0.5496997106207134,8.571428571428571,120,0.049596966371793685,0.6943575292051116
2020-09-29,2909,6,Netherlands,17282163,Western Europe,114419,662.0641177843306,16.832383770480583,2645.714285714286,18520,107.16251200732223,2221.285714285714,31098,12.853053835250334,179.9427536935047,6371,36.86459848804805,14.142857142857142,99,0.5728449615942172,8.857142857142858,124,0.051250198584186814,0.7175027801786154
2020-09-30,3001,13,Netherlands,17282163,Western Europe,117420,679.4288423272018,17.364724542871166,2754,19278,111.54853706680119,2337.3571428571427,32723,13.52467942153504,189.34551190149057,6384,36.93982055371194,14.571428571428571,102,0.590203899824345,9.642857142857142,135,0.0557965871682679,0.7811522203557506
2020-10-01,3293,13,Netherlands,17282163,Western Europe,120713,698.4831701911387,19.05432786393694,2888.5714285714284,20220,116.99924367106131,2462.5714285714284,34476,14.249208438616327,199.48891814062858,6397,37.015042619375826,15.714285714285714,110,0.6364944017713523,10.428571428571429,146,0.06034297575234899,0.8448016605328859
2020-10-02,3253,13,Netherlands,17282163,Western Europe,123966,717.3060455453406,18.8228753542019,2990.285714285714,20932,121.11909834434498,2569.9285714285716,35979,14.870410442423044,208.1857461939226,6410,37.09026468503971,15.285714285714286,107,0.6191354635412245,10.928571428571429,153,0.06323613212403696,0.8853058497365174
2020-10-03,3820,9,Netherlands,17282163,Western Europe,127786,739.4097602250366,22.103714679696054,3139.4285714285716,21976,127.16000884842944,2701.9285714285716,37827,15.634203724548666,218.87885214368131,6419,37.1423414997301,14.285714285714286,100,0.5786312743375931,11.071428571428571,155,0.06406274823023352,0.8968784752232692
2020-10-04,3963,21,Netherlands,17282163,Western Europe,131749,762.3409176270354,22.931157401998814,3318.285714285714,23228,134.4044724031361,2850.5714285714284,39908,16.494297783046186,230.92016896264664,6440,37.26385406734099,11.857142857142858,83,0.48026395770020225,12.428571428571429,174,0.07191560123910085,1.006818417347412
2020-10-05,4000,5,Netherlands,17282163,Western Europe,135749,785.4861686005391,23.14525097350372,3462.714285714286,24239,140.25443458668917,3004.6428571428573,42065,17.38580325357918,243.4012455501085,6445,37.292785631057875,11.428571428571429,80,0.46290501947007445,12.5,175,0.07232890929219914,1.0126047300907879
2020-10-06,4572,7,Netherlands,17282163,Western Europe,140321,811.941190463254,26.455021862714755,3700.285714285714,25902,149.87707267892335,3173,44422,18.359970334731827,257.0395846862456,6452,37.333289820261506,11.571428571428571,81,0.4686913322134504,12.857142857142858,180,0.07439544955769054,1.0415362938076675
2020-10-07,4517,21,Netherlands,17282163,Western Europe,144838,838.077965125083,26.13677466182908,3916.8571428571427,27418,158.64912279788126,3335.4285714285716,46696,19.29983284747732,270.19765986468246,6473,37.4548023878724,12.714285714285714,89,0.5149818341604578,13.642857142857142,191,0.07894183814177162,1.1051857339848028
2020-10-08,4979,36,Netherlands,17282163,Western Europe,149817,866.8880162743518,28.81005114926876,4157.714285714285,29104,168.40484608321307,3523.1428571428573,49324,20.3860064110196,285.40408975427437,6509,37.663109646633934,16,112,0.6480670272581042,15.857142857142858,222,0.09175438778781833,1.2845614290294565
2020-10-09,5813,13,Netherlands,17282163,Western Europe,155630,900.523852251596,33.635835977244284,4523.428571428572,31664,183.21780670625546,3756.8571428571427,52596,21.738350360757174,304.3369050506004,6522,37.73833171229782,16,112,0.6480670272581042,15.642857142857142,219,0.09051446362852349,1.2672024907993287
2020-10-10,5959,13,Netherlands,17282163,Western Europe,161589,935.0044898893732,34.48063763777717,4829,33803,195.59472966433657,3984.214285714286,55779,23.053909893769003,322.75473851276604,6535,37.81355377796171,16.571428571428573,116,0.6712122782316079,15.428571428571429,216,0.08927453946922864,1.2498435525692009
2020-10-11,6493,23,Netherlands,17282163,Western Europe,168082,972.5750185321132,37.570528642739916,5190.428571428572,36333,210.23410090507767,4254.357142857143,59561,24.617040950586702,344.6385733082138,6558,37.94663897105935,16.857142857142858,118,0.6827849037183598,14.357142857142858,201,0.08307491867275443,1.1630488614185621
2020-10-12,6368,17,Netherlands,17282163,Western Europe,174450,1009.4222580819311,36.84723954981793,5528.714285714285,38701,223.9360894813919,4495.714285714285,62940,26.01360886200579,364.19052406808106,6575,38.045006287696744,18.571428571428573,130,0.7522206566388709,15,210,0.08679469115063895,1.2151256761089455
2020-10-13,6844,12,Netherlands,17282163,Western Europe,181294,1049.023782497596,39.60152441566487,5853.285714285715,40973,237.08259203434199,4776.785714285715,66875,27.639976050947528,386.95966471326534,6587,38.114442040617256,19.285714285714285,135,0.7811522203557506,15.428571428571429,216,0.08927453946922864,1.2498435525692009
2020-10-14,7368,35,Netherlands,17282163,Western Europe,188662,1091.6573347907897,42.63355229319386,6260.571428571428,43824,253.57936966570676,5088.714285714285,71242,29.444892318827716,412.22849246358805,6622,38.31696298663541,21.285714285714285,149,0.8621605987630137,17,238,0.09836731663739082,1.3771424329234714
2020-10-15,7271,32,Netherlands,17282163,Western Europe,195933,1133.7296147478762,42.07227995708639,6588,46116,266.8415984735244,5372.857142857143,75220,31.08903175405268,435.2464445567375,6654,38.50212499442344,20.714285714285715,145,0.8390153477895099,18.357142857142858,257,0.10622016964625816,1.487082375047614
2020-10-16,7779,29,Netherlands,17282163,Western Europe,203712,1178.7413415785975,45.011726830721365,6868.857142857143,48082,278.2174893270015,5696.142857142857,79746,32.9596640023755,461.435296033257,6683,38.669928063981345,23,161,0.9315963516835248,19.5,273,0.11283309849583065,1.579663378941629
2020-10-17,7978,16,Netherlands,17282163,Western Europe,211690,1224.9045446452508,46.163203066653175,7157.285714285715,50101,289.9000547558775,5993.142857142857,83904,34.678198887158146,485.49478442021405,6699,38.76250906787536,23.428571428571427,164,0.9489552899136526,20,280,0.11572625486751861,1.6201675681452605
2020-10-18,8105,29,Netherlands,17282163,Western Europe,219795,1271.8026094303127,46.89806478506192,7387.571428571428,51713,299.2275908981995,6289,88046,36.390120843091225,509.4616918032772,6728,38.93031213743326,24.285714285714285,170,0.9836731663739082,20.571428571428573,288,0.11903271929230487,1.666458070092268
2020-10-19,8439,23,Netherlands,17282163,Western Europe,228234,1320.633302671662,48.83069324134948,7683.428571428572,53784,311.21104458973105,6606.071428571428,92485,38.224795290794496,535.1471340711229,6751,39.063397330530904,25.142857142857142,176,1.0183910428341638,21.857142857142858,306,0.12647226424807392,1.7706116994730348
2020-10-20,7720,8,Netherlands,17282163,Western Europe,235954,1365.3036370505242,44.67033437886219,7808.571428571428,54660,316.2798545529284,6830.928571428572,95633,39.525889041947885,553.3624465872704,6759,39.10968783247792,24.571428571428573,172,0.9952457918606601,21.928571428571427,307,0.12688557230117217,1.7763980122164107
2020-10-21,8149,45,Netherlands,17282163,Western Europe,244103,1412.4562995962947,47.152662545770454,7920.142857142857,55441,320.79896480550497,7090.357142857143,99265,41.02702389080084,574.3783344712117,6804,39.370071905929834,26,182,1.0531089192944194,23.642857142857142,331,0.13680496557553093,1.915269518057433
2020-10-22,8738,59,Netherlands,17282163,Western Europe,252841,1463.0171003479136,50.56080075161888,8129.714285714285,56908,329.2874856000374,7358.857142857143,103024,42.580648862397275,596.1290840735619,6863,39.71146435778901,29.857142857142858,209,1.2093393633655696,25.285714285714285,354,0.14631105079679138,2.0483547111550795
2020-10-23,9268,46,Netherlands,17282163,Western Europe,262109,1516.6446468535219,53.62754650560812,8342.42857142857,58397,337.9033052749242,7605.642857142857,106479,44.00862818585183,616.1207946019257,6909,39.977634743984304,32.285714285714285,226,1.3077066800029602,27.642857142857142,387,0.15995021654903466,2.239303031686485
2020-10-24,9983,45,Netherlands,17282163,Western Europe,272092,1574.4094069706437,57.76476011712192,8628.857142857143,60402,349.50486232539293,7893.071428571428,110503,45.67177979151932,639.4049170812705,6954,40.23801881743622,36.42857142857143,255,1.4755097495608622,29.928571428571427,419,0.17317607424817963,2.424465039474515
