date,country,continent,population,weekly_cases,cases_14day_rollsum_per100000,cumulative_cases,weekly_deaths,deaths_14day_rollsum_per100000,cumulative_deaths,weekly_cases_per100000,cum_cases_per100000,weekly_deaths_per100000,cum_deaths_per100000
2020-09-14,Netherlands,Europe,17407585,11661,108.969739340638,93684,25,2.06806400772996,6270,66.98803998371974,538.1791902782609,0.1436155560923586,36.018781467963535
2020-09-21,Netherlands,Europe,17407585,17826,169.391676099815,111510,95,6.89354669243321,6365,102.40363611609537,640.5828263943563,0.5457391131509627,36.56452058111449
2020-09-28,Netherlands,Europe,17407585,24239,241.647534681003,135749,80,10.0530889264651,6445,139.2438985649072,779.8267249592634,0.4595697794955475,37.024090360610046
2020-10-05,Netherlands,Europe,17407585,38701,361.566524018122,174450,130,12.0637067117581,6575,222.32262545321478,1002.1493504124783,0.7468008916802646,37.77089125229031
2020-10-12,Netherlands,Europe,17407585,53784,531.291388208071,228234,176,17.5785440657047,6751,308.9687627548566,1311.1181131673347,1.0110535148902045,38.78194476718051
2020-10-19,Netherlands,Europe,17407585,62691,669.104875834299,290925,285,26.4827085434309,7036,360.1361130794421,1671.2542262467769,1.637217339452888,40.4191621066334
2020-10-26,Netherlands,Europe,17407585,68512,753.711672239429,359437,388,38.6613077000629,7424,393.5755591599869,2064.8297854067637,2.2289134305534053,42.648075537186806
2020-11-02,Netherlands,Europe,17407585,50136,681.587939969847,409573,570,55.0334810945918,7994,288.0123808098596,2352.8421662166234,3.274434678905776,45.92251021609258
2020-11-09,Netherlands,Europe,17407585,37762,504.940805976245,447335,481,60.3759797812276,8475,216.9284251663858,2569.770591383009,2.7631632992169792,48.68567351530956
2020-11-16,Netherlands,Europe,17407585,36725,427.899677066061,484060,404,50.8399068566949,8879,210.97125189967477,2780.741843282684,2.320827386452515,51.006500901762074
2020-11-23,Netherlands,Europe,17407585,34213,407.512012723189,518273,457,49.4611975182083,9336,196.54076082351457,2977.2826041061985,2.625292365368315,53.63179326713039
2020-11-30,Netherlands,Europe,17407585,38280,416.444900312134,556553,338,45.66974683737,9674,219.90413948861948,3197.186743594818,1.9416823183686882,55.57347558549908
