date,cases,deaths,country,population,continent,cum_cases,cum_cases_per100000,cases_per100000,cases_7day_rollmean,cases_7day_rollsum,cases_7day_rollsum_per100000,cases_14day_rollmean,cases_14day_rollsum,cases_14day_rollmean_per100000,cases_14day_rollsum_per100000,cumulative_deaths,deaths_per100000,deaths_7day_rollmean,deaths_7day_rollsum,deaths_7day_rollsum_per100000,deaths_14day_rollmean,deaths_14day_rollsum,deaths_14day_rollmean_per100000,deaths_14day_rollsum_per100000
2020-04-10,4204,612,Italy,60359546,Europe,143626,237.95076258525867,6.964929789233339,4054.8571428571427,28384,47.02487324871529,4506.214285714285,63087,7.465619913235075,104.51867878529106,18281,30.28684145503679,623.4285714285714,4364,7.230007992439174,722.5714285714286,10116,1.1971120998349267,16.759569397688974
2020-04-11,3951,570,Italy,60359546,Europe,147577,244.4965374656728,6.54577488041411,3964.285714285714,27750,45.974500868512166,4362.785714285715,61079,7.227996238218417,101.19194733505782,18851,31.23118255395758,595.7142857142857,4170,6.908600671052098,693.9285714285714,9715,1.1496583679217391,16.09521715090435
2020-04-12,4694,619,Italy,60359546,Europe,152271,252.273269252224,7.776731786551211,3948.4285714285716,27639,45.79060286503812,4271.357142857143,59799,7.076522979243653,99.07132170941114,19470,32.25670385261016,586.8571428571429,4108,6.805882867309837,674.7857142857143,9447,1.1179436543238983,15.651211160534574
2020-04-13,4092,431,Italy,60359546,Europe,156363,259.0526442992132,6.779375046989253,3916.4285714285716,27415,45.419493380549945,4191,58674,6.943392185222864,97.2074905931201,19901,32.97075826249588,573.1428571428571,4012,6.646835945386336,651.4285714285714,9120,1.079246970195189,15.109457582732647
2020-04-14,3153,564,Italy,60359546,Europe,159516,264.27634164113823,5.2236973419250035,3852.714285714286,26969,44.68058788911368,4126.928571428572,57777,6.837242565456956,95.72139591639738,20465,33.905158928796446,562.8571428571429,3940,6.527550753943709,633.8571428571429,8874,1.0501357032359768,14.701899845303673
2020-04-15,2972,604,Italy,60359546,Europe,162488,269.20016926568667,4.923827624548402,3843.1428571428573,26902,44.569586391521234,4049.714285714286,56696,6.709318664713425,93.93046130598795,21069,34.90582914589848,562.8571428571429,3940,6.527550753943709,617.0714285714286,8639,1.0223261595960786,14.312566234345102
2020-04-16,2667,578,Italy,60359546,Europe,165155,273.6186915653739,4.418522299687277,3676.1428571428573,25733,42.632858769348594,3898.6428571428573,54581,6.459032771954344,90.42645880736082,21647,35.86342415497956,568.2857142857143,3978,6.590506827205095,606.4285714285714,8490,1.0046937255435477,14.065712157609667
2020-04-17,3786,525,Italy,60359546,Europe,168941,279.891104548732,6.272412983358092,3616.4285714285716,25315,41.94034196347335,3835.6428571428573,53699,6.354658229442046,88.96521521218864,22172,36.73321200924871,555.8571428571429,3891,6.446370554211922,589.6428571428571,8255,0.9768841819036497,13.676378546651096
2020-04-18,3493,575,Italy,60359546,Europe,172434,285.67809307246944,5.7869885237374055,3551,24857,41.18155560679664,3757.6428571428573,52607,6.225432605379201,87.15605647530882,22747,37.685836802019686,556.5714285714286,3896,6.454654248062105,576.1428571428571,8066,0.9545182085081573,13.363254919114203
2020-04-19,3491,480,Italy,60359546,Europe,175925,291.4617681186668,5.783675046197332,3379.1428571428573,23654,39.188498866442764,3663.785714285714,51293,6.0699358379629205,84.97910173148088,23227,38.48107141163719,536.7142857142857,3757,6.224367559027034,561.7857142857143,7865,0.9307321733097766,13.030250426336872
2020-04-20,3047,433,Italy,60359546,Europe,178972,296.5098511509679,5.048083032301138,3229.8571428571427,22609,37.45720685175465,3573.1428571428573,50024,5.919764302307471,82.8767002323046,23660,39.19843929906298,537,3759,6.227681036567107,555.0714285714286,7771,0.9196083558538173,12.874516981953443
2020-04-21,2256,454,Italy,60359546,Europe,181228,300.2474538161702,3.7376026652022865,3101.714285714286,21712,35.971112175031934,3477.214285714286,48681,5.760835718867543,80.65170006414561,24114,39.95059870065955,521.2857142857143,3649,6.045439771863095,542.0714285714286,7589,0.8980707518433432,12.572990525806805
2020-04-22,2729,534,Italy,60359546,Europe,183957,304.76869391959974,4.521240103429538,3067,21469,35.568524653913066,3455.0714285714284,48371,5.724150788959593,80.1381110454343,24648,40.83529720385902,511.2857142857143,3579,5.929468057960542,537.0714285714286,7519,0.8897870579931608,12.457018811904252
2020-04-23,3370,437,Italy,60359546,Europe,187327,310.35190357462267,5.583209655022919,3167.4285714285716,22172,36.73321200924871,3421.785714285714,47905,5.669005055614093,79.3660707785973,25085,41.55929204636496,491.14285714285717,3438,5.695867891385399,529.7142857142857,7416,0.8775981941850353,12.286374718590494
2020-04-24,2646,464,Italy,60359546,Europe,189973,314.73563436013916,4.383730785516511,3004.5714285714284,21032,34.84452981140713,3310.5,46347,5.484633698205749,76.78487177488049,25549,42.32801883566189,482.42857142857144,3377,5.5948068264131745,519.1428571428571,7268,0.8600840986160783,12.041177380625095
2020-04-25,3021,420,Italy,60359546,Europe,192994,319.74064218441936,5.005007824280189,2937.1428571428573,20560,34.06254911194991,3244.0714285714284,45417,5.3745789084818965,75.24410471874656,25969,43.023849119077205,460.2857142857143,3222,5.338012317057521,508.42857142857144,7118,0.8423333260799732,11.792666565119625
2020-04-26,2357,415,Italy,60359546,Europe,195351,323.6455754653953,3.9049332809759703,2775.1428571428573,19426,32.18380734672855,3077.1428571428573,43080,5.09802187236938,71.37230621317131,26384,43.71139570864234,451,3157,5.23032429700515,493.85714285714283,6914,0.8181922754308703,11.454691856032184
2020-04-27,2324,260,Italy,60359546,Europe,197675,327.4958363669601,3.8502609015647664,2671.8571428571427,18703,30.98598521599218,2950.8571428571427,41312,4.888799433410488,68.44319206774684,26644,44.14214778885182,426.2857142857143,2984,4.94370848978884,481.64285714285717,6743,0.7979563947397106,11.171389526355947
2020-04-28,1739,333,Italy,60359546,Europe,199414,330.3769050880535,2.881068721093429,2598,18186,30.129451271883323,2849.8571428571427,39898,4.721468817636803,66.10056344691526,26977,44.69384179927397,409,2863,4.7432430986144265,465.14285714285717,6512,0.7706202050341087,10.78868287047752
2020-04-29,2091,382,Italy,60359546,Europe,201505,333.8411458561998,3.464240768146268,2506.8571428571427,17548,29.072451936600054,2786.9285714285716,39017,4.61721261360808,64.64097659051312,27359,45.326716009427905,387.2857142857143,2711,4.491418805568882,449.2857142857143,6290,0.7443490616806732,10.420886863529423
2020-04-30,2086,323,Italy,60359546,Europe,203591,337.29710293049584,3.4559570742960855,2323.4285714285716,16264,26.94519935587322,2745.4285714285716,38436,4.548457954651567,63.67841136512193,27682,45.86184263214969,371,2597,4.302550585784724,431.07142857142856,6035,0.7141727483692945,9.998418477170123
2020-05-01,1872,285,Italy,60359546,Europe,205463,340.3985179080041,3.10141497750828,2212.8571428571427,15490,25.66288354786499,2608.714285714286,36522,4.3219580970908655,60.50741335927212,27967,46.33401318161008,345.42857142857144,2418,4.005994345948195,413.92857142857144,5795,0.6857715123115264,9.600801172361368
2020-05-02,1965,269,Italy,60359546,Europe,207428,343.6540095911258,3.2554916831216723,2062,14434,23.91336740670647,2499.5714285714284,34994,4.141136894189741,57.97591651865638,28236,46.779675910749894,323.85714285714283,2267,3.7558267916726873,392.07142857142856,5489,0.649559936337872,9.093839108730208
2020-05-03,1900,474,Italy,60359546,Europe,209328,346.8018132541951,3.1478036630693014,1996.7142857142858,13977,23.156237788799803,2385.9285714285716,33403,3.952860366823454,55.34004513552836,28710,47.56497008774718,332.2857142857143,2326,3.8535743791048396,391.64285714285717,5483,0.6488499054364278,9.083898676109989
2020-05-04,1389,174,Italy,60359546,Europe,210717,349.1030234057758,2.301210151580663,1863.142857142857,13042,21.6071870388157,2267.5,31745,3.7566551610577057,52.59317225480788,28884,47.85324263373353,320,2240,3.7110948448817025,373.14285714285717,5224,0.6182002381907531,8.654803334670543
2020-05-05,1221,195,Italy,60359546,Europe,211938,351.1259014439903,2.0228780382145355,1789.142857142857,12524,20.748996355936807,2193.5714285714284,30710,3.6341748305585804,50.87844762782013,29079,48.17630669389064,300.2857142857143,2102,3.4824648946166694,354.64285714285717,4965,0.5875505709450783,8.225707993231095
