date,country,continent,population,weekly_cases,cases_14day_rollsum_per100000,cumulative_cases,weekly_deaths,deaths_14day_rollsum_per1000000,cumulative_deaths,weekly_cases_per100000,cum_cases_per100000,weekly_deaths_per100000,cum_deaths_per100000
2020-06-08,Greece,Europe,10718565,124,1.90323984600551,3121,3,0.746368567060983,183,1.156871278944523,29.117703722466583,0.027988821264786846,1.7073180971519977
2020-06-15,Greece,Europe,10718565,145,2.50966430674255,3266,7,0.932960708826228,190,1.352793027798031,30.470496750264612,0.06530724961783597,1.7726253467698336
2020-06-22,Greece,Europe,10718565,110,2.37904980750688,3376,1,0.746368567060983,191,1.026256779708851,31.496753529973464,0.009329607088262281,1.7819549538580959
2020-06-29,Greece,Europe,10718565,143,2.36039059333036,3519,1,0.186592141765246,192,1.3341338136215064,32.830887343594966,0.009329607088262281,1.7912845609463581
2020-07-06,Greece,Europe,10718565,284,3.98374222668799,3803,1,0.186592141765246,193,2.649608413066488,35.480495756661455,0.009329607088262281,1.8006141680346204
2020-07-13,Greece,Europe,10718565,204,4.55284825907199,4007,1,0.186592141765246,194,1.9032398460055056,37.38373560266696,0.009329607088262281,1.8099437751228826
2020-07-20,Greece,Europe,10718565,186,3.63854676442229,4193,8,0.839664637943605,202,1.7353069184167844,39.11904252108375,0.07463685670609825,1.8845806318289808
2020-07-27,Greece,Europe,10718565,469,6.1108926428118,4662,6,1.30614499235672,208,4.37558572439501,43.49462824547876,0.05597764252957369,1.9405582743585545
2020-08-03,Greece,Europe,10718565,961,13.3413381362151,5623,4,0.932960708826228,212,8.965752411820052,52.46038065729881,0.037318428353049125,1.9778767027116038
2020-08-10,Greece,Europe,10718565,1452,22.5123419039769,7075,16,1.86592141765246,228,13.546589492156834,66.00697014945564,0.1492737134121965,2.1271504161238
2020-08-17,Greece,Europe,10718565,1589,28.3713351554056,8664,14,2.79888212647868,242,14.824745663248766,80.8317158127044,0.13061449923567195,2.257764915359472
2020-08-24,Greece,Europe,10718565,1470,28.5392680829943,10134,20,3.17206641000918,262,13.714522419745554,94.54623823244997,0.18659214176524563,2.444357057124718
2020-08-31,Greece,Europe,10718565,1390,26.6826762724301,11524,22,3.91843497707016,284,12.968153852684571,107.51439208513453,0.20525135594177019,2.649608413066488
2020-09-07,Greece,Europe,10718565,1716,28.9777596161427,13240,21,4.01173104795278,305,16.009605763458076,123.52399784859261,0.1959217488535079,2.8455301619199957
2020-09-14,Greece,Europe,10718565,1902,33.7545184453329,15142,33,5.03798782766163,338,17.74491268187486,141.26891053046748,0.3078770339126553,3.153407195832651
2020-09-21,Greece,Europe,10718565,2302,39.2216681990546,17444,41,6.90390924531409,379,21.47675551717977,162.74566604764723,0.38251389061875357,3.535921086451405
2020-09-28,Greece,Europe,10718565,2398,43.8491533148327,19842,30,6.62402103266622,409,22.37239779765295,185.11806384530018,0.27988821264786845,3.815809299099273
2020-10-05,Greece,Europe,10718565,2516,45.8456892317209,22358,40,6.5307249617836,449,23.4732914340679,208.5913552793681,0.37318428353049127,4.188993582629765
2020-10-12,Greece,Europe,10718565,3012,51.5740679839139,25370,60,9.32960708826228,509,28.100776549845992,236.69213182921408,0.5597764252957369,4.7487700079255015
2020-10-19,Greece,Europe,10718565,5412,78.5926101115215,30782,65,11.6620088603279,574,50.49183356167547,287.18396539088957,0.6064244607370484,5.35519446866255
2020-10-26,Greece,Europe,10718565,10147,145.159356686273,40929,61,11.7553049312105,635,94.66752312459737,381.85148851548695,0.5691060323839991,5.924300501046549
2020-11-02,Greece,Europe,10718565,15769,241.786097299405,56698,149,19.5921748853508,784,147.11857417480792,528.9700626902949,1.39011145615108,7.3144119571976285
2020-11-09,Greece,Europe,10718565,17507,310.452005469016,74205,322,43.9424493857153,1106,163.33343129420777,692.3034939845027,3.0041334824204546,10.318545439618084
2020-11-16,Greece,Europe,10718565,17414,325.799209129207,91619,524,78.9284759666989,1630,162.4657778349994,854.769271819502,4.888714114249436,15.20725955386752
2020-11-23,Greece,Europe,10718565,12608,280.09346400381,104227,691,113.354726122387,2321,117.62768616881085,972.3969579883128,6.4467584979892365,21.654018051856756
2020-11-30,Greece,Europe,10718565,11244,222.529788269232,115471,682,128.095505321841,3003,104.90210210042109,1077.299060088734,6.362792034194876,28.01681008605163
2020-12-07,Greece,Europe,10718565,9063,189.456331141342,124534,622,121.65807643094,3625,84.55422904092106,1161.853289129655,5.803015608899139,33.81982569495077
2020-12-14,Greece,Europe,10718565,6538,145.55120018398,131072,547,109.063106861786,4172,60.9969711430588,1222.8502602727137,5.103295077279468,38.92312077223024
2020-12-21,Greece,Europe,10718565,4859,106.329531984925,135931,500,97.6809862141061,4672,45.332560841866425,1268.1828211145803,4.664803544131141,43.58792431636138
2020-12-28,Greece,Europe,10718565,4168,84.2183631857436,140099,285,73.2374156428589,4957,38.88580234387719,1307.0686234584575,2.6589380201547503,46.24686233651613
2021-01-04,Greece,Europe,10718565,4639,82.1658496263259,144738,306,55.1379778916301,5263,43.28004728244873,1350.348670740906,2.854859769008258,49.10172210552439
2021-01-11,Greece,Europe,10718565,3869,79.3762971069355,148607,206,47.7675882919029,5469,36.09624982448677,1386.444920565393,1.92189906018203,51.023621165706416
2021-01-18,Greece,Europe,10718565,3373,67.5650145331954,151980,177,35.7323951480445,5646,31.468764708708676,1417.9136852741017,1.651340454622424,52.674961620328844
2021-01-25,Greece,Europe,10718565,4977,77.9022191869901,156957,150,30.5078151786177,5796,46.43345447828138,1464.3471397523829,1.3994410632393424,54.07440268356819
