location,date,population,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,new_vacs_7day_rollsum,new_vacs_7day_rollsum_per_100k,new_vacs_14day_rollsum,new_vacs_14ay_rollsum_per_100k
Belgium,2020-12-21,11632334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-22,11632334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-23,11632334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-24,11632334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-25,11632334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-26,11632334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-27,11632334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-28,11632334,338,338,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
Belgium,2020-12-29,11632334,375,374,11,37,37,0,0,0,3,NA,NA,NA,NA
Belgium,2020-12-30,11632334,893,891,21,518,278,0.01,0.01,0,24,NA,NA,NA,NA
Belgium,2020-12-31,11632334,933,931,21,40,198,0.01,0.01,0,17,NA,NA,NA,NA
Belgium,2021-01-01,11632334,947,945,21,14,152,0.01,0.01,0,13,NA,NA,NA,NA
Belgium,2021-01-02,11632334,967,965,34,20,126,0.01,0.01,0,11,NA,NA,NA,NA
Belgium,2021-01-03,11632334,992,990,34,25,109,0.01,0.01,0,9,NA,NA,NA,NA
Belgium,2021-01-04,11632334,1048,1045,46,56,101,0.01,0.01,0,9,710,6.103676183988527,NA,NA
Belgium,2021-01-05,11632334,2826,2821,71,1778,350,0.02,0.02,0,30,2451,21.07057792528997,NA,NA
Belgium,2021-01-06,11632334,6835,6829,98,4009,849,0.06,0.06,0,73,5942,51.08175195107018,NA,NA
Belgium,2021-01-07,11632334,15333,15321,117,8498,2057,0.13,0.13,0,177,14400,123.79286908371097,NA,NA
Belgium,2021-01-08,11632334,24760,24742,163,9427,3402,0.21,0.21,0,292,23813,204.71386052016732,NA,NA
Belgium,2021-01-09,11632334,28044,28023,178,3284,3868,0.24,0.24,0,333,27077,232.77357751247513,NA,NA
Belgium,2021-01-10,11632334,28478,28455,180,434,3927,0.24,0.24,0,338,27486,236.28963886353333,NA,NA
Belgium,2021-01-11,11632334,34209,34176,199,5731,4737,0.29,0.29,0,407,33161,285.076064700343,33871,291.1797408843315
Belgium,2021-01-12,11632334,50286,50245,228,16077,6780,0.43,0.43,0,583,47460,408.0006643550641,49911,429.07124228035406
Belgium,2021-01-13,11632334,72209,72047,366,21923,9339,0.62,0.62,0,803,65374,562.0024321860084,71316,613.0841841370786
Belgium,2021-01-14,11632334,95755,95579,391,23546,11489,0.82,0.82,0,988,80422,691.3659803784864,94822,815.1588494621974
Belgium,2021-01-15,11632334,119448,119264,419,23693,13527,1.03,1.03,0,1163,94688,814.0068880415572,118501,1018.7207485617246
Belgium,2021-01-16,11632334,124692,124504,433,5244,13807,1.07,1.07,0,1187,96648,830.8564730001734,123725,1063.6300505126485
Belgium,2021-01-17,11632334,127979,127769,455,3287,14214,1.1,1.1,0,1222,99501,855.3829351873837,126987,1091.672574050917
Belgium,2021-01-18,11632334,139260,138903,615,11281,15007,1.2,1.19,0.01,1290,105051,903.0947701467306,138212,1188.1708348470736
Belgium,2021-01-19,11632334,158732,158166,857,19472,15492,1.36,1.36,0.01,1332,108446,932.2806583786195,155906,1340.2813227336835
Belgium,2021-01-20,11632334,180457,179428,1347,21725,15464,1.55,1.54,0.01,1329,108248,930.5785064287185,173622,1492.5809386147268
Belgium,2021-01-21,11632334,210855,209792,1405,30398,16443,1.81,1.8,0.01,1414,115100,989.4832799677175,195522,1680.849260346204
Belgium,2021-01-22,11632334,241081,239970,1489,30226,17376,2.07,2.06,0.01,1494,121633,1045.6456975874316,216321,1859.652585628989
Belgium,2021-01-23,11632334,249601,248481,1510,8520,17844,2.15,2.14,0.01,1534,124909,1073.8085753039759,221557,1904.6650483041494
Belgium,2021-01-24,11632334,251543,250396,1537,1942,17652,2.16,2.15,0.01,1517,123564,1062.2459774624765,223065,1917.6289126498602
Belgium,2021-01-25,11632334,263011,261839,1585,11468,17679,2.26,2.25,0.01,1520,123751,1063.8535654151608,228802,1966.9483355618916
Belgium,2021-01-26,11632334,275987,273034,3387,12976,16751,2.37,2.35,0.03,1440,117255,1008.0092266951757,225701,1940.2898850737952
Belgium,2021-01-27,11632334,292836,286424,6885,16849,16054,2.52,2.46,0.06,1380,112379,966.091585747108,220627,1896.6700921758263
Belgium,2021-01-28,11632334,316870,302517,14857,24034,15145,2.72,2.6,0.13,1302,106015,911.3820149937235,221115,1900.8652949614411
