date,cum_vacs,new_vacs_all,new_vacs_first_dose_all,new_vacs_second_dose_all,cum_vacs_pfizer,cum_vacs_moderna,cum_vacs_astrazeneca,cum_persons_vaccinated_first_dose,cum_persons_vaccinated_second_dose,pct_pop_vaccinated_first_dose,pct_pop_vaccinated_second_dose,cum_vacs_age_indication,cum_vacs_profession_indication,cum_vacs_medical_indication,cum_vacs_care_homes,cum_vacs_age_indication_first_dose,cum_vacs_profession_indication_first_dose,cum_vacs_medical_indication_first_dose,cum_vacs_care_homes_first_dose,cum_vacs_age_indication_second_dose,cum_vacs_profession_indication_second_dose,cum_vacs_medical_indication_second_dose,cum_vacs_care_homes_second_dose,cum_vacs_vaccination_centres,cum_vacs_doctors_offices,cum_vacs_jj,cum_vacs_pfizer_first_dose,cum_vacs_pfizer_second_dose,cum_vacs_moderna_first_dose,cum_vacs_moderna_second_dose,cum_vacs_astrazeneca_first_dose,cum_vacs_astrazeneca_second_dose,cum_vacs_first_dose_all,cum_vacs_second_dose_all,new_vacs_pfizer,new_vacs_pfizer_first_dose,new_vacs_pfizer_second_dose,new_vacs_moderna,new_vacs_moderna_first_dose,new_vacs_moderna_second_dose,new_vacs_astrazeneca,new_vacs_astrazeneca_first_dose,new_vacs_astrazeneca_second_dose,new_vacs_jj,new_vacs_age_indication,new_vacs_profession_indication,new_vacs_medical_indication,new_vacs_care_homes,new_vacs_vaccination_centres,new_vacs_doctors_offices,new_vacs_all_7day_rollsum,new_vacs_pfizer_7day_rollsum,new_vacs_moderna_7day_rollsum,new_vacs_astrazeneca_7day_rollsum,new_vacs_jj_7day_rollsum
2020-12-27,24097,24097,24084,13,24095,2,0,24084,13,0,0,10705,8657,1305,12604,10664,8590,1305,12536,41,67,0,68,24097,0,0,24082,13,2,0,0,0,24084,13,24095,24082,13,2,2,0,0,0,0,0,10705,8657,1305,12604,24097,0,NA,NA,NA,NA,NA
2020-12-28,42065,17968,17806,162,42063,2,0,41890,175,0.001,0,18621,15788,1991,21344,18580,15721,1991,21276,41,67,0,68,42065,0,0,41888,175,2,0,0,0,41890,175,17968,17806,162,0,0,0,0,0,0,0,7916,7131,686,8740,17968,0,NA,NA,NA,NA,NA
2020-12-29,92091,50026,49292,734,92088,2,1,91182,909,0.001,0,34989,40734,3107,40508,34724,40420,3107,40099,265,314,0,409,92091,0,0,91179,909,2,0,1,0,91182,909,50025,49291,734,0,0,0,1,1,0,0,16368,24946,1116,19164,50026,0,NA,NA,NA,NA,NA
2020-12-30,155582,63491,63353,138,155579,2,1,154535,1047,0.002,0,55510,73365,4901,63206,55243,73050,4901,62794,267,315,0,412,155582,0,0,154532,1047,2,0,1,0,154535,1047,63491,63353,138,0,0,0,0,0,0,0,20521,32631,1794,22698,63491,0,NA,NA,NA,NA,NA
2020-12-31,205275,49693,49604,89,205272,2,1,204139,1136,0.002,0,72831,96719,6752,83965,72517,96367,6752,83476,314,352,0,489,205275,0,0,204136,1136,2,0,1,0,204139,1136,49693,49604,89,0,0,0,0,0,0,0,17321,23354,1851,20759,49693,0,NA,NA,NA,NA,NA
2021-01-01,230620,25345,25336,9,230609,7,4,229475,1145,0.003,0,81208,105449,7830,92301,80894,105097,7830,91812,314,352,0,489,230620,0,0,229465,1144,7,0,3,1,229475,1145,25337,25329,8,5,5,0,3,2,1,0,8377,8730,1078,8336,25345,0,NA,NA,NA,NA,NA
2021-01-02,278571,47951,47665,286,278560,7,4,277140,1431,0.003,0,102774,129731,10350,113258,102365,129304,10350,112629,409,427,0,629,278571,0,0,277130,1430,7,0,3,1,277140,1431,47951,47665,286,0,0,0,0,0,0,0,21566,24282,2520,20957,47951,0,278571,278560,7,4,0
2021-01-03,300981,22410,22405,5,300969,8,4,299545,1436,0.004,0,113044,140227,11284,123279,112635,139800,11284,122650,409,427,0,629,300981,0,0,299534,1435,8,0,3,1,299545,1436,22409,22404,5,1,1,0,0,0,0,0,10270,10496,934,10021,22410,0,276884,276874,6,4,0
2021-01-04,346804,45823,45727,96,346791,9,4,345272,1532,0.004,0,129646,164913,13951,139091,129237,164486,13951,138462,409,427,0,629,346804,0,0,345260,1531,9,0,3,1,345272,1532,45822,45726,96,1,1,0,0,0,0,0,16602,24686,2667,15812,45823,0,304739,304728,7,4,0
2021-01-05,398774,51970,51633,337,398760,10,4,396905,1869,0.005,0,147987,192565,16489,157656,147576,192117,16489,157025,411,448,0,631,398774,0,0,396892,1868,10,0,3,1,396905,1869,51969,51632,337,1,1,0,0,0,0,0,18341,27652,2538,18565,51970,0,306683,306672,8,3,0
2021-01-06,461231,62457,62365,92,461208,16,7,459270,1961,0.006,0,169498,225530,19910,180812,169086,225082,19910,180181,412,448,0,631,461231,0,0,459249,1959,16,0,5,2,459270,1961,62448,62357,91,6,6,0,3,2,1,0,21511,32965,3421,23156,62457,0,305649,305629,14,6,0
2021-01-07,515197,53966,53945,21,515169,19,9,513215,1982,0.006,0,189172,254868,22957,197233,188758,254418,22957,196600,414,450,0,633,515197,0,0,513189,1980,19,0,7,2,513215,1982,53961,53940,21,3,3,0,2,2,0,0,19674,29338,3047,16421,53966,0,309922,309897,17,8,0
2021-01-08,576852,61655,61547,108,576772,70,10,574762,2090,0.007,0,211521,287315,26324,218219,211009,286711,26320,217449,512,604,4,770,576852,0,0,574684,2088,70,0,8,2,574762,2090,61603,61495,108,51,51,0,1,1,0,0,22349,32447,3367,20986,61655,0,346232,346163,63,6,0
2021-01-09,636824,59972,59824,148,636740,73,11,634586,2238,0.008,0,237322,313238,29007,243325,236798,312599,29003,242545,524,639,4,780,636824,0,0,634505,2235,73,0,8,3,634586,2238,59968,59821,147,3,3,0,1,0,1,0,25801,25923,2683,25106,59972,0,358253,358180,66,7,0
2021-01-10,672076,35252,35103,149,671984,81,11,669689,2387,0.008,0,252455,327794,30379,256315,251929,327151,30375,255535,526,643,4,780,672076,0,0,669601,2383,80,1,8,3,669689,2387,35244,35096,148,8,7,1,0,0,0,0,15133,14556,1372,12990,35252,0,371095,371015,73,7,0
