date,cum_vacs,new_vacs_all,new_vacs_first_dose_all,new_vacs_second_dose_all,cum_vacs_pfizer,cum_vacs_moderna,cum_vacs_astrazeneca,cum_persons_vaccinated_first_dose,cum_persons_vaccinated_second_dose,pct_pop_vaccinated_first_dose,pct_pop_vaccinated_second_dose,cum_vacs_age_indication,cum_vacs_profession_indication,cum_vacs_medical_indication,cum_vacs_care_homes,cum_vacs_age_indication_first_dose,cum_vacs_profession_indication_first_dose,cum_vacs_medical_indication_first_dose,cum_vacs_care_homes_first_dose,cum_vacs_age_indication_second_dose,cum_vacs_profession_indication_second_dose,cum_vacs_medical_indication_second_dose,cum_vacs_care_homes_second_dose,cum_vacs_vaccination_centres,cum_vacs_doctors_offices,cum_vacs_jj,cum_vacs_pfizer_first_dose,cum_vacs_pfizer_second_dose,cum_vacs_moderna_first_dose,cum_vacs_moderna_second_dose,cum_vacs_astrazeneca_first_dose,cum_vacs_astrazeneca_second_dose,new_vacs_pfizer,new_vacs_pfizer_first_dose,new_vacs_pfizer_second_dose,new_vacs_moderna,new_vacs_moderna_first_dose,new_vacs_moderna_second_dose,new_vacs_astrazeneca,new_vacs_astrazeneca_first_dose,new_vacs_astrazeneca_second_dose,new_vacs_jj,new_vacs_age_indication,new_vacs_profession_indication,new_vacs_medical_indication,new_vacs_care_homes,new_vacs_vaccination_centres,new_vacs_doctors_offices,new_vacs_all_7day_rollsum,new_vacs_pfizer_7day_rollsum,new_vacs_moderna_7day_rollsum,new_vacs_astrazeneca_7day_rollsum,new_vacs_jj_7day_rollsum
2020-12-27,24000,24000,23987,13,23999,1,0,23987,13,0,0,10705,8657,1305,12604,10664,8590,1305,12536,41,67,0,68,24000,0,0,23986,13,1,0,0,0,23999,23986,13,1,1,0,0,0,0,0,10705,8657,1305,12604,24000,0,NA,NA,NA,NA,NA
2020-12-28,42485,18485,18448,37,42484,1,0,42435,50,0.001,0,18621,15788,1991,21344,18580,15721,1991,21276,41,67,0,68,42485,0,0,42434,50,1,0,0,0,18485,18448,37,0,0,0,0,0,0,0,7916,7131,686,8740,18485,0,NA,NA,NA,NA,NA
2020-12-29,93219,50734,50009,725,93218,1,0,92444,775,0.001,0,34989,40734,3107,40508,34724,40420,3107,40099,265,314,0,409,93219,0,0,92443,775,1,0,0,0,50734,50009,725,0,0,0,0,0,0,0,16368,24946,1116,19164,50734,0,NA,NA,NA,NA,NA
2020-12-30,155890,62671,62551,120,155889,1,0,154995,895,0.002,0,55510,73365,4901,63206,55243,73050,4901,62794,267,315,0,412,155890,0,0,154994,895,1,0,0,0,62671,62551,120,0,0,0,0,0,0,0,20521,32631,1794,22698,62671,0,NA,NA,NA,NA,NA
2020-12-31,205909,50019,49870,149,205908,1,0,204865,1044,0.002,0,72831,96719,6752,83965,72517,96367,6752,83476,314,352,0,489,205909,0,0,204864,1044,1,0,0,0,50019,49870,149,0,0,0,0,0,0,0,17321,23354,1851,20759,50019,0,NA,NA,NA,NA,NA
2021-01-01,224687,18778,18771,7,224685,1,1,223636,1051,0.003,0,81208,105449,7830,92301,80894,105097,7830,91812,314,352,0,489,224687,0,0,223634,1051,1,0,1,0,18777,18770,7,0,0,0,1,1,0,0,8377,8730,1078,8336,18778,0,NA,NA,NA,NA,NA
2021-01-02,277104,52417,52134,283,277102,1,1,275770,1334,0.003,0,102774,129731,10350,113258,102365,129304,10350,112629,409,427,0,629,277104,0,0,275768,1334,1,0,1,0,52417,52134,283,0,0,0,0,0,0,0,21566,24282,2520,20957,52417,0,277104,277102,1,1,0
2021-01-03,300881,23777,23772,5,300879,1,1,299542,1339,0.004,0,113044,140227,11284,123279,112635,139800,11284,122650,409,427,0,629,300881,0,0,299540,1339,1,0,1,0,23777,23772,5,0,0,0,0,0,0,0,10270,10496,934,10021,23777,0,276881,276880,0,1,0
2021-01-04,348958,48077,48026,51,348956,1,1,347568,1390,0.004,0,129646,164913,13951,139091,129237,164486,13951,138462,409,427,0,629,348958,0,0,347566,1390,1,0,1,0,48077,48026,51,0,0,0,0,0,0,0,16602,24686,2667,15812,48077,0,306473,306472,0,1,0
2021-01-05,402673,53715,53686,29,402670,2,1,401254,1419,0.005,0,147987,192565,16489,157656,147576,192117,16489,157025,411,448,0,631,402673,0,0,401251,1419,2,0,1,0,53714,53685,29,1,1,0,0,0,0,0,18341,27652,2538,18565,53715,0,309454,309452,1,1,0
2021-01-06,465344,62671,62666,5,465333,8,3,463920,1424,0.006,0,169498,225530,19910,180812,169086,225082,19910,180181,412,448,0,631,465344,0,0,463909,1424,8,0,3,0,62663,62658,5,6,6,0,2,2,0,0,21511,32965,3421,23156,62671,0,309454,309444,7,3,0
2021-01-07,521291,55947,55938,9,521277,11,3,519858,1433,0.006,0,189172,254868,22957,197233,188758,254418,22957,196600,414,450,0,633,521291,0,0,519844,1433,11,0,3,0,55944,55935,9,3,3,0,0,0,0,0,19674,29338,3047,16421,55947,0,315382,315369,10,3,0
