location,date,population,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,new_vacs_7day_rollsum,new_vacs_7day_rollsum_per_100k,new_vacs_14day_rollsum,new_vacs_14ay_rollsum_per_100k
Belgium,2020-12-21,11589616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-22,11589616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-23,11589616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-24,11589616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-25,11589616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-26,11589616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-27,11589616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-28,11589616,316,316,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
Belgium,2020-12-29,11589616,342,342,10,26,26,0,0,0,2,NA,NA,NA,NA
Belgium,2020-12-30,11589616,840,840,19,498,262,0.01,0.01,0,23,NA,NA,NA,NA
Belgium,2020-12-31,11589616,862,862,19,22,182,0.01,0.01,0,16,NA,NA,NA,NA
Belgium,2021-01-01,11589616,870,870,19,8,138,0.01,0.01,0,12,NA,NA,NA,NA
Belgium,2021-01-02,11589616,886,886,32,16,114,0.01,0.01,0,10,NA,NA,NA,NA
Belgium,2021-01-03,11589616,898,898,32,12,97,0.01,0.01,0,8,NA,NA,NA,NA
Belgium,2021-01-04,11589616,926,926,35,28,87,0.01,0.01,0,8,610,5.263332279516423,NA,NA
Belgium,2021-01-05,11589616,2668,2668,52,1742,332,0.02,0.02,0,29,2326,20.06968997074623,NA,NA
Belgium,2021-01-06,11589616,6646,6646,75,3978,829,0.06,0.06,0,72,5806,50.09656920470877,NA,NA
Belgium,2021-01-07,11589616,15088,15086,90,8442,2032,0.13,0.13,0,175,14226,122.74781148918136,NA,NA
Belgium,2021-01-08,11589616,24450,24448,124,9362,3369,0.21,0.21,0,291,23580,203.45799205081516,NA,NA
Belgium,2021-01-09,11589616,27704,27700,136,3254,3831,0.24,0.24,0,331,26818,231.39679520011708,NA,NA
Belgium,2021-01-10,11589616,28124,28118,138,420,3889,0.24,0.24,0,336,27226,234.917187937892,NA,NA
Belgium,2021-01-11,11589616,33771,33762,150,5647,4692,0.29,0.29,0,405,32845,283.4002438044539,33455,288.6635760839703
Belgium,2021-01-12,11589616,49761,49748,175,15990,6728,0.43,0.43,0,581,47093,406.3378803922408,49419,426.40757036298703
Belgium,2021-01-13,11589616,71609,71478,310,21848,9280,0.62,0.62,0,801,64963,560.5276309413531,70769,610.6242001460619
Belgium,2021-01-14,11589616,95024,94882,332,23415,11419,0.82,0.82,0,985,79936,689.7208673695487,94162,812.4686788587301
Belgium,2021-01-15,11589616,118650,118499,362,23626,13457,1.02,1.02,0,1161,94200,812.7965585745033,117780,1016.2545506253184
Belgium,2021-01-16,11589616,123877,123722,376,5227,13739,1.07,1.07,0,1185,96173,829.8204185539884,122991,1061.2172137541054
Belgium,2021-01-17,11589616,127131,126965,387,3254,14144,1.1,1.1,0,1220,99007,854.2733426198073,126233,1089.1905305576993
Belgium,2021-01-18,11589616,138304,138004,534,11173,14933,1.19,1.19,0,1288,104533,901.9539560240823,137378,1185.3541998285361
