date,administered_doses_pfizer,administered_doses_moderna,administered_doses_astrazeneca,administered_doses_jj,delivered_doses_pfizer,delivered_doses_moderna,delivered_doses_astrazeneca,delivered_doses_jj,cum_administered_doses_pfizer,cum_administered_doses_moderna,cum_administered_doses_astrazeneca,cum_administered_doses_jj,cum_delivered_doses_pfizer,cum_delivered_doses_moderna,cum_delivered_doses_astrazeneca,cum_delivered_doses_jj
2020-12-26,0,0,0,0,151125,0,0,0,0,0,0,0,151125,0,0,0
2020-12-27,23244,1,0,0,0,0,0,0,23244,1,0,0,151125,0,0,0
2020-12-28,17638,0,0,0,521625,0,0,0,40882,1,0,0,672750,0,0,0
2020-12-29,49442,0,0,0,0,0,0,0,90324,1,0,0,672750,0,0,0
2020-12-30,61663,0,0,0,653250,0,0,0,151987,1,0,0,1326000,0,0,0
2020-12-31,50019,0,0,0,0,0,0,0,202006,1,0,0,1326000,0,0,0
2021-01-01,18779,2,2,0,0,0,0,0,220785,3,2,0,1326000,0,0,0
2021-01-02,52295,0,0,0,0,0,0,0,273080,3,2,0,1326000,0,0,0
2021-01-03,23630,0,0,0,0,0,0,0,296710,3,2,0,1326000,0,0,0
2021-01-04,47218,1,0,0,0,0,0,0,343928,4,2,0,1326000,0,0,0
2021-01-05,53088,1,0,0,0,0,0,0,397016,5,2,0,1326000,0,0,0
2021-01-06,62364,6,2,0,0,0,0,0,459380,11,4,0,1326000,0,0,0
2021-01-07,55232,3,0,0,0,0,0,0,514612,14,4,0,1326000,0,0,0
2021-01-08,62639,49,1,0,687375,0,0,0,577251,63,5,0,2013375,0,0,0
2021-01-09,60674,0,0,0,0,0,0,0,637925,63,5,0,2013375,0,0,0
2021-01-10,35511,0,0,0,0,0,0,0,673436,63,5,0,2013375,0,0,0
2021-01-11,66744,3,0,0,0,0,0,0,740180,66,5,0,2013375,0,0,0
2021-01-12,82311,17,1,0,0,63600,0,0,822491,83,6,0,2013375,63600,0,0
2021-01-13,110790,888,0,0,0,0,0,0,933281,971,6,0,2013375,63600,0,0
2021-01-14,78162,4548,0,0,0,0,0,0,1011443,5519,6,0,2013375,63600,0,0
2021-01-15,86522,5506,5,0,0,0,0,0,1097965,11025,11,0,2013375,63600,0,0
2021-01-16,56082,1781,1,0,0,0,0,0,1154047,12806,12,0,2013375,63600,0,0
2021-01-17,47674,1305,1,0,0,0,0,0,1201721,14111,13,0,2013375,63600,0,0
2021-01-18,77848,4110,1,0,0,0,0,0,1279569,18221,14,0,2013375,63600,0,0
2021-01-19,113928,3537,14,0,842400,0,0,0,1393497,21758,28,0,2855775,63600,0,0
2021-01-20,128755,2797,3,0,0,0,0,0,1522252,24555,31,0,2855775,63600,0,0
2021-01-21,104964,2810,0,0,0,0,0,0,1627216,27365,31,0,2855775,63600,0,0
2021-01-22,101548,2148,7,0,0,0,0,0,1728764,29513,38,0,2855775,63600,0,0
2021-01-23,84671,384,3,0,0,0,0,0,1813435,29897,41,0,2855775,63600,0,0
2021-01-24,48859,244,4,0,0,0,0,0,1862294,30141,45,0,2855775,63600,0,0
2021-01-25,90063,1457,3,0,0,0,0,0,1952357,31598,48,0,2855775,63600,0,0
2021-01-26,96793,1653,7,0,489060,0,0,0,2049150,33251,55,0,3344835,63600,0,0
2021-01-27,108928,2023,8,0,0,0,0,0,2158078,35274,63,0,3344835,63600,0,0
2021-01-28,89535,1669,3,0,0,0,0,0,2247613,36943,66,0,3344835,63600,0,0
2021-01-29,107139,1438,5,0,0,0,0,0,2354752,38381,71,0,3344835,63600,0,0
2021-01-30,87687,874,2,0,0,0,0,0,2442439,39255,73,0,3344835,63600,0,0
2021-01-31,56208,377,4,0,0,90000,0,0,2498647,39632,77,0,3344835,153600,0,0
2021-02-01,117763,2209,51,0,0,0,0,0,2616410,41841,128,0,3344835,153600,0,0
2021-02-02,128888,2900,13,0,747630,0,0,0,2745298,44741,141,0,4092465,153600,0,0
2021-02-03,153150,6358,24,1,0,0,0,0,2898448,51099,165,1,4092465,153600,0,0
2021-02-04,125920,5692,5,0,0,0,0,0,3024368,56791,170,1,4092465,153600,0,0
2021-02-05,138182,6347,8,0,0,0,0,0,3162550,63138,178,1,4092465,153600,0,0
2021-02-06,98004,2525,1,0,0,0,345600,0,3260554,65663,179,1,4092465,153600,345600,0
2021-02-07,51858,2398,2,0,0,0,0,0,3312412,68061,181,1,4092465,153600,345600,0
2021-02-08,105770,3970,24,0,0,0,0,0,3418182,72031,205,1,4092465,153600,345600,0
2021-02-09,130516,3634,115,0,747630,0,0,0,3548698,75665,320,1,4840095,153600,345600,0
2021-02-10,141246,3948,7297,0,0,0,0,0,3689944,79613,7617,1,4840095,153600,345600,0
2021-02-11,118612,7176,15318,2,0,0,0,0,3808556,86789,22935,3,4840095,153600,345600,0
2021-02-12,133332,9757,13523,3,0,0,391200,0,3941888,96546,36458,6,4840095,153600,736800,0
2021-02-13,91754,3186,12793,1,0,0,0,0,4033642,99732,49251,7,4840095,153600,736800,0
2021-02-14,55574,2445,7250,1,0,0,0,0,4089216,102177,56501,8,4840095,153600,736800,0
2021-02-15,106266,5112,14821,1,0,182400,0,0,4195482,107289,71322,9,4840095,336000,736800,0
2021-02-16,107405,5937,23888,1,904410,0,0,0,4302887,113226,95210,10,5744505,336000,736800,0
2021-02-17,121913,7878,19773,1,0,0,0,0,4424800,121104,114983,11,5744505,336000,736800,0
2021-02-18,111006,8006,23206,1,0,0,0,0,4535806,129110,138189,12,5744505,336000,736800,0
2021-02-19,119412,9920,25507,1,0,0,715200,0,4655218,139030,163696,13,5744505,336000,1452000,0
2021-02-20,87508,4528,21124,1,0,0,0,0,4742726,143558,184820,14,5744505,336000,1452000,0
2021-02-21,67844,3228,15296,1,0,0,0,0,4810570,146786,200116,15,5744505,336000,1452000,0
2021-02-22,125183,9080,24936,1,0,0,0,0,4935753,155866,225052,16,5744505,336000,1452000,0
2021-02-23,132359,7158,27730,1,926640,0,0,0,5068112,163024,252782,17,6671145,336000,1452000,0
2021-02-24,132818,7753,35823,1,0,0,0,0,5200930,170777,288605,18,6671145,336000,1452000,0
2021-02-25,131478,6742,51299,0,0,0,0,0,5332408,177519,339904,18,6671145,336000,1452000,0
2021-02-26,140299,8832,60772,0,0,0,0,0,5472707,186351,400676,18,6671145,336000,1452000,0
2021-02-27,92884,4169,51251,0,0,343200,0,0,5565591,190520,451927,18,6671145,679200,1452000,0
2021-02-28,62415,3951,41970,0,0,0,0,0,5628006,194471,493897,18,6671145,679200,1452000,0
2021-03-01,129972,9410,57943,0,0,0,0,0,5757978,203881,551840,18,6671145,679200,1452000,0
2021-03-02,139979,10200,69127,0,1014390,0,650400,0,5897957,214081,620967,18,7685535,679200,2102400,0
2021-03-03,156643,14108,73154,0,0,0,0,0,6054600,228189,694121,18,7685535,679200,2102400,0
2021-03-04,142424,14358,87140,0,0,0,0,0,6197024,242547,781261,18,7685535,679200,2102400,0
2021-03-05,147455,13386,109091,0,0,0,0,0,6344479,255933,890352,18,7685535,679200,2102400,0
2021-03-06,111060,8594,83064,0,0,0,0,0,6455539,264527,973416,18,7685535,679200,2102400,0
2021-03-07,82522,6731,61283,0,0,0,0,0,6538061,271258,1034699,18,7685535,679200,2102400,0
2021-03-08,135332,10939,91601,0,0,0,0,0,6673393,282197,1126300,18,7685535,679200,2102400,0
2021-03-09,140091,12857,97508,0,1083420,0,960000,0,6813484,295054,1223808,18,8768955,679200,3062400,0
2021-03-10,157629,11451,115008,0,0,0,0,0,6971113,306505,1338816,18,8768955,679200,3062400,0
2021-03-11,148853,13392,120086,0,0,0,0,0,7119966,319897,1458902,18,8768955,679200,3062400,0
2021-03-12,152273,17405,154704,0,0,0,0,0,7272239,337302,1613606,18,8768955,679200,3062400,0
2021-03-13,115407,9750,122821,0,0,0,0,0,7387646,347052,1736427,18,8768955,679200,3062400,0
2021-03-14,89331,5262,76159,0,0,0,0,0,7476977,352314,1812586,18,8768955,679200,3062400,0
2021-03-15,152569,12309,83437,0,0,0,364800,0,7629546,364623,1896023,18,8768955,679200,3427200,0
2021-03-16,165385,11135,1873,0,1083420,0,0,0,7794931,375758,1897896,18,9852375,679200,3427200,0
2021-03-17,185614,18036,1428,0,0,0,0,0,7980545,393794,1899324,18,9852375,679200,3427200,0
2021-03-18,174635,18216,1587,0,0,0,0,0,8155180,412010,1900911,18,9852375,679200,3427200,0
2021-03-19,184108,20573,38781,0,0,0,0,0,8339288,432583,1939692,18,9852375,679200,3427200,0
2021-03-20,136932,15231,68529,0,0,0,0,0,8476220,447814,2008221,18,9852375,679200,3427200,0
2021-03-21,103693,9219,52261,0,0,432000,0,0,8579913,457033,2060482,18,9852375,1111200,3427200,0
2021-03-22,166832,23669,76603,0,0,0,0,0,8746745,480702,2137085,18,9852375,1111200,3427200,0
2021-03-23,180293,20253,96977,0,1076400,0,204000,0,8927038,500955,2234062,18,10928775,1111200,3631200,0
2021-03-24,196714,33320,104487,0,0,0,0,0,9123752,534275,2338549,18,10928775,1111200,3631200,0
2021-03-25,187761,27296,122046,0,0,0,0,0,9311513,561571,2460595,18,10928775,1111200,3631200,0
2021-03-26,203110,36714,136996,0,0,0,201600,0,9514623,598285,2597591,18,10928775,1111200,3832800,0
2021-03-27,151680,27782,107106,0,0,0,0,0,9666303,626067,2704697,18,10928775,1111200,3832800,0
2021-03-28,117657,18528,60549,2,0,0,0,0,9783960,644595,2765246,20,10928775,1111200,3832800,0
2021-03-29,188579,25692,94536,0,0,0,0,0,9972539,670287,2859782,20,10928775,1111200,3832800,0
2021-03-30,217004,26387,86713,0,1427400,0,0,0,10189543,696674,2946495,20,12356175,1111200,3832800,0
2021-03-31,247158,38059,53629,0,0,0,0,0,10436701,734733,3000124,20,12356175,1111200,3832800,0
2021-04-01,236469,33825,56061,0,0,0,0,0,10673170,768558,3056185,20,12356175,1111200,3832800,0
2021-04-02,181202,16712,31530,0,0,650400,0,0,10854372,785270,3087715,20,12356175,1761600,3832800,0
2021-04-03,175185,16705,40745,0,0,0,1744800,0,11029557,801975,3128460,20,12356175,1761600,5577600,0
2021-04-04,135554,11072,49244,0,0,0,0,0,11165111,813047,3177704,20,12356175,1761600,5577600,0
2021-04-05,166899,18600,63782,0,0,0,0,0,11332010,831647,3241486,20,12356175,1761600,5577600,0
2021-04-06,258833,33026,87253,0,0,0,0,0,11590843,864673,3328739,20,12356175,1761600,5577600,0
2021-04-07,542232,36676,99933,0,2737734,0,0,0,12133075,901349,3428672,20,15093909,1761600,5577600,0
