date,administered_doses_pfizer,administered_doses_moderna,administered_doses_astrazeneca,administered_doses_jj,einrichtung,delivered_doses_pfizer,delivered_doses_moderna,delivered_doses_astrazeneca,delivered_doses_jj,cum_administered_doses_pfizer,cum_administered_doses_moderna,cum_administered_doses_astrazeneca,cum_administered_doses_jj,cum_delivered_doses_pfizer,cum_delivered_doses_moderna,cum_delivered_doses_astrazeneca,cum_delivered_doses_jj
2020-12-26,0,0,0,0,impfzentren,151125,0,0,0,0,0,0,0,151125,0,0,0
2020-12-27,24360,7,1,0,NA,0,0,0,0,24360,7,1,0,151125,0,0,0
2020-12-28,18111,1,0,0,impfzentren,521625,0,0,0,42471,8,1,0,672750,0,0,0
2020-12-29,50735,0,1,0,NA,0,0,0,0,93206,8,2,0,672750,0,0,0
2020-12-30,64138,0,0,0,impfzentren,653250,0,0,0,157344,8,2,0,1326000,0,0,0
2020-12-31,50017,0,1,0,NA,0,0,0,0,207361,8,3,0,1326000,0,0,0
2021-01-01,25573,16,5,0,NA,0,0,0,0,232934,24,8,0,1326000,0,0,0
2021-01-02,48092,1,0,0,NA,0,0,0,0,281026,25,8,0,1326000,0,0,0
2021-01-03,22563,3,0,0,NA,0,0,0,0,303589,28,8,0,1326000,0,0,0
2021-01-04,46166,11,0,0,NA,0,0,0,0,349755,39,8,0,1326000,0,0,0
2021-01-05,52707,1,0,0,NA,0,0,0,0,402462,40,8,0,1326000,0,0,0
2021-01-06,63162,7,3,0,NA,0,0,0,0,465624,47,11,0,1326000,0,0,0
2021-01-07,54804,7,2,0,NA,0,0,0,0,520428,54,13,0,1326000,0,0,0
2021-01-08,62789,51,3,0,impfzentren,687375,0,0,0,583217,105,16,0,2013375,0,0,0
2021-01-09,60741,4,1,0,NA,0,0,0,0,643958,109,17,0,2013375,0,0,0
2021-01-10,35987,11,1,0,NA,0,0,0,0,679945,120,18,0,2013375,0,0,0
2021-01-11,68280,16,2,0,NA,0,0,0,0,748225,136,20,0,2013375,0,0,0
2021-01-12,79134,18,4,0,impfzentren,0,63600,0,0,827359,154,24,0,2013375,63600,0,0
2021-01-13,111029,1180,0,0,NA,0,0,0,0,938388,1334,24,0,2013375,63600,0,0
2021-01-14,78971,5164,1,0,NA,0,0,0,0,1017359,6498,25,0,2013375,63600,0,0
2021-01-15,86513,5285,19,0,NA,0,0,0,0,1103872,11783,44,0,2013375,63600,0,0
2021-01-16,56397,1694,1,0,NA,0,0,0,0,1160269,13477,45,0,2013375,63600,0,0
2021-01-17,46555,1262,1,0,NA,0,0,0,0,1206824,14739,46,0,2013375,63600,0,0
2021-01-18,78751,4264,2,0,NA,0,0,0,0,1285575,19003,48,0,2013375,63600,0,0
2021-01-19,115892,3767,51,0,impfzentren,842400,0,0,0,1401467,22770,99,0,2855775,63600,0,0
2021-01-20,129944,2841,4,0,NA,0,0,0,0,1531411,25611,103,0,2855775,63600,0,0
2021-01-21,102734,2820,2,0,NA,0,0,0,0,1634145,28431,105,0,2855775,63600,0,0
2021-01-22,100142,2196,14,0,NA,0,0,0,0,1734287,30627,119,0,2855775,63600,0,0
2021-01-23,86705,359,5,0,NA,0,0,0,0,1820992,30986,124,0,2855775,63600,0,0
2021-01-24,47620,201,4,0,NA,0,0,0,0,1868612,31187,128,0,2855775,63600,0,0
2021-01-25,89578,1456,3,0,NA,0,0,0,0,1958190,32643,131,0,2855775,63600,0,0
2021-01-26,96973,1442,7,0,impfzentren,489060,0,0,0,2055163,34085,138,0,3344835,63600,0,0
2021-01-27,107637,1793,8,0,NA,0,0,0,0,2162800,35878,146,0,3344835,63600,0,0
2021-01-28,90924,1632,3,0,NA,0,0,0,0,2253724,37510,149,0,3344835,63600,0,0
2021-01-29,106202,1485,71,0,NA,0,0,0,0,2359926,38995,220,0,3344835,63600,0,0
2021-01-30,87242,884,3,0,NA,0,0,0,0,2447168,39879,223,0,3344835,63600,0,0
2021-01-31,56849,381,5,0,impfzentren,0,90000,0,0,2504017,40260,228,0,3344835,153600,0,0
2021-02-01,117946,2224,55,0,NA,0,0,0,0,2621963,42484,283,0,3344835,153600,0,0
2021-02-02,129695,3141,23,0,impfzentren,747630,0,0,0,2751658,45625,306,0,4092465,153600,0,0
2021-02-03,156591,6401,27,0,NA,0,0,0,0,2908249,52026,333,0,4092465,153600,0,0
2021-02-04,128687,5901,8,0,NA,0,0,0,0,3036936,57927,341,0,4092465,153600,0,0
2021-02-05,141112,6475,9,0,NA,0,0,0,0,3178048,64402,350,0,4092465,153600,0,0
2021-02-06,91581,2637,1,0,impfzentren,0,0,345600,0,3269629,67039,351,0,4092465,153600,345600,0
