location,date,population,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,new_vacs_7day_rollsum,new_vacs_7day_rollsum_per_100k,new_vacs_14day_rollsum,new_vacs_14ay_rollsum_per_100k
Belgium,2020-12-21,11589616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-22,11589616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-23,11589616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-24,11589616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-25,11589616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-26,11589616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-27,11589616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-28,11589616,300,300,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
Belgium,2020-12-29,11589616,311,311,10,11,11,0,0,0,1,NA,NA,NA,NA
Belgium,2020-12-30,11589616,796,796,18,485,248,0.01,0.01,0,21,NA,NA,NA,NA
Belgium,2020-12-31,11589616,806,806,18,10,169,0.01,0.01,0,15,NA,NA,NA,NA
Belgium,2021-01-01,11589616,814,814,18,8,128,0.01,0.01,0,11,NA,NA,NA,NA
Belgium,2021-01-02,11589616,827,827,31,13,105,0.01,0.01,0,9,NA,NA,NA,NA
Belgium,2021-01-03,11589616,NA,NA,NA,NA,88,NA,NA,NA,8,NA,NA,NA,NA
Belgium,2021-01-04,11589616,833,833,34,NA,76,0.01,0.01,0,7,NA,NA,NA,NA
Belgium,2021-01-05,11589616,2554,2554,51,1721,320,0.02,0.02,0,28,NA,NA,NA,NA
Belgium,2021-01-06,11589616,6460,6460,72,3906,809,0.06,0.06,0,70,NA,NA,NA,NA
Belgium,2021-01-07,11589616,14662,14662,80,8202,1979,0.13,0.13,0,171,NA,NA,NA,NA
Belgium,2021-01-08,11589616,23935,23935,105,9273,3303,0.21,0.21,0,285,NA,NA,NA,NA
Belgium,2021-01-09,11589616,27153,27153,115,3218,3761,0.23,0.23,0,325,NA,NA,NA,NA
Belgium,2021-01-10,11589616,27555,27554,116,402,3818,0.24,0.24,0,329,NA,NA,NA,NA
Belgium,2021-01-11,11589616,33144,33143,125,5589,4616,0.29,0.29,0,398,32311,278.7926709564838,NA,NA
Belgium,2021-01-12,11589616,49060,49059,145,15916,6644,0.42,0.42,0,573,46506,401.27300162490286,NA,NA
Belgium,2021-01-13,11589616,70709,70708,159,21649,9178,0.61,0.61,0,792,64249,554.366943650247,NA,NA
Belgium,2021-01-14,11589616,94020,94019,170,23311,11337,0.81,0.81,0,978,79358,684.7336443243677,NA,NA
Belgium,2021-01-15,11589616,117524,117523,187,23504,13370,1.01,1.01,0,1154,93589,807.5245978814139,NA,NA
Belgium,2021-01-16,11589616,122717,122716,197,5193,13652,1.06,1.06,0,1178,95564,824.565714688045,NA,NA
Belgium,2021-01-17,11589616,126023,126022,197,3306,14067,1.09,1.09,0,1214,98468,849.6226277039723,NA,NA
Belgium,2021-01-18,11589616,137075,136962,320,11052,14847,1.18,1.18,0,1281,103931,896.7596510531497,136242,1175.5523220096336
Belgium,2021-01-19,11589616,156370,156073,527,19295,15330,1.35,1.35,0,1323,107310,925.9150605162415,153816,1327.1880621411444
