date,cum_vacs,new_vacs_all,new_vacs_first_dose_all,new_vacs_second_dose_all,cum_vacs_pfizer,cum_vacs_moderna,cum_vacs_astrazeneca,cum_persons_vaccinated_first_dose,cum_persons_vaccinated_second_dose,pct_pop_vaccinated_first_dose,pct_pop_vaccinated_second_dose,cum_vacs_age_indication,cum_vacs_profession_indication,cum_vacs_medical_indication,cum_vacs_care_homes,cum_vacs_age_indication_first_dose,cum_vacs_profession_indication_first_dose,cum_vacs_medical_indication_first_dose,cum_vacs_care_homes_first_dose,cum_vacs_age_indication_second_dose,cum_vacs_profession_indication_second_dose,cum_vacs_medical_indication_second_dose,cum_vacs_care_homes_second_dose,cum_vacs_vaccination_centres,cum_vacs_doctors_offices,cum_vacs_jj,cum_vacs_pfizer_first_dose,cum_vacs_pfizer_second_dose,cum_vacs_moderna_first_dose,cum_vacs_moderna_second_dose,cum_vacs_astrazeneca_first_dose,cum_vacs_astrazeneca_second_dose,cum_vacs_first_dose_all,cum_vacs_second_dose_all,new_vacs_pfizer,new_vacs_pfizer_first_dose,new_vacs_pfizer_second_dose,new_vacs_moderna,new_vacs_moderna_first_dose,new_vacs_moderna_second_dose,new_vacs_astrazeneca,new_vacs_astrazeneca_first_dose,new_vacs_astrazeneca_second_dose,new_vacs_jj,new_vacs_age_indication,new_vacs_profession_indication,new_vacs_medical_indication,new_vacs_care_homes,new_vacs_vaccination_centres,new_vacs_doctors_offices,new_vacs_all_7day_rollsum,new_vacs_pfizer_7day_rollsum,new_vacs_moderna_7day_rollsum,new_vacs_astrazeneca_7day_rollsum,new_vacs_jj_7day_rollsum
2020-12-27,24088,24088,24075,13,24086,2,0,24075,13,0,0,10705,8657,1305,12604,10664,8590,1305,12536,41,67,0,68,24088,0,0,24073,13,2,0,0,0,24075,13,24086,24073,13,2,2,0,0,0,0,0,10705,8657,1305,12604,24088,0,NA,NA,NA,NA,NA
2020-12-28,42079,17991,17830,161,42077,2,0,41905,174,0.001,0,18621,15788,1991,21344,18580,15721,1991,21276,41,67,0,68,42079,0,0,41903,174,2,0,0,0,41905,174,17991,17830,161,0,0,0,0,0,0,0,7916,7131,686,8740,17991,0,NA,NA,NA,NA,NA
2020-12-29,92087,50008,49274,734,92084,2,1,91179,908,0.001,0,34989,40734,3107,40508,34724,40420,3107,40099,265,314,0,409,92087,0,0,91176,908,2,0,1,0,91179,908,50007,49273,734,0,0,0,1,1,0,0,16368,24946,1116,19164,50008,0,NA,NA,NA,NA,NA
2020-12-30,155583,63496,63358,138,155580,2,1,154537,1046,0.002,0,55510,73365,4901,63206,55243,73050,4901,62794,267,315,0,412,155583,0,0,154534,1046,2,0,1,0,154537,1046,63496,63358,138,0,0,0,0,0,0,0,20521,32631,1794,22698,63496,0,NA,NA,NA,NA,NA
2020-12-31,205274,49691,49602,89,205271,2,1,204139,1135,0.002,0,72831,96719,6752,83965,72517,96367,6752,83476,314,352,0,489,205274,0,0,204136,1135,2,0,1,0,204139,1135,49691,49602,89,0,0,0,0,0,0,0,17321,23354,1851,20759,49691,0,NA,NA,NA,NA,NA
2021-01-01,230624,25350,25341,9,230613,7,4,229480,1144,0.003,0,81208,105449,7830,92301,80894,105097,7830,91812,314,352,0,489,230624,0,0,229470,1143,7,0,3,1,229480,1144,25342,25334,8,5,5,0,3,2,1,0,8377,8730,1078,8336,25350,0,NA,NA,NA,NA,NA
2021-01-02,278569,47945,47659,286,278558,7,4,277139,1430,0.003,0,102774,129731,10350,113258,102365,129304,10350,112629,409,427,0,629,278569,0,0,277129,1429,7,0,3,1,277139,1430,47945,47659,286,0,0,0,0,0,0,0,21566,24282,2520,20957,47945,0,278569,278558,7,4,0
2021-01-03,300982,22413,22408,5,300969,9,4,299547,1435,0.004,0,113044,140227,11284,123279,112635,139800,11284,122650,409,427,0,629,300982,0,0,299535,1434,9,0,3,1,299547,1435,22411,22406,5,2,2,0,0,0,0,0,10270,10496,934,10021,22413,0,276894,276883,7,4,0
2021-01-04,346825,45843,45747,96,346811,10,4,345294,1531,0.004,0,129646,164913,13951,139091,129237,164486,13951,138462,409,427,0,629,346825,0,0,345281,1530,10,0,3,1,345294,1531,45842,45746,96,1,1,0,0,0,0,0,16602,24686,2667,15812,45843,0,304746,304734,8,4,0
2021-01-05,399055,52230,51892,338,399040,11,4,397186,1869,0.005,0,147987,192565,16489,157656,147576,192117,16489,157025,411,448,0,631,399055,0,0,397172,1868,11,0,3,1,397186,1869,52229,51891,338,1,1,0,0,0,0,0,18341,27652,2538,18565,52230,0,306968,306956,9,3,0
2021-01-06,461563,62508,62415,93,461539,17,7,459601,1962,0.006,0,169498,225530,19910,180812,169086,225082,19910,180181,412,448,0,631,461563,0,0,459579,1960,17,0,5,2,459601,1962,62499,62407,92,6,6,0,3,2,1,0,21511,32965,3421,23156,62508,0,305980,305959,15,6,0
2021-01-07,516146,54583,54561,22,516115,21,9,514163,1984,0.006,0,189172,254868,22957,197233,188758,254418,22957,196600,414,450,0,633,516146,0,1,514134,1981,21,0,7,2,514162,1984,54576,54555,21,4,4,0,2,2,0,1,19674,29338,3047,16421,54583,0,310872,310844,19,8,1
