date,cum_vacs,new_vacs_all,new_vacs_first_dose_all,new_vacs_second_dose_all,cum_vacs_pfizer,cum_vacs_moderna,cum_vacs_astrazeneca,cum_persons_vaccinated_first_dose,cum_persons_vaccinated_second_dose,pct_pop_vaccinated_first_dose,pct_pop_vaccinated_second_dose,cum_vacs_age_indication,cum_vacs_profession_indication,cum_vacs_medical_indication,cum_vacs_care_homes,cum_vacs_age_indication_first_dose,cum_vacs_profession_indication_first_dose,cum_vacs_medical_indication_first_dose,cum_vacs_care_homes_first_dose,cum_vacs_age_indication_second_dose,cum_vacs_profession_indication_second_dose,cum_vacs_medical_indication_second_dose,cum_vacs_care_homes_second_dose,cum_vacs_vaccination_centres,cum_vacs_doctors_offices,cum_vacs_jj,cum_vacs_pfizer_first_dose,cum_vacs_pfizer_second_dose,cum_vacs_moderna_first_dose,cum_vacs_moderna_second_dose,cum_vacs_astrazeneca_first_dose,cum_vacs_astrazeneca_second_dose,new_vacs_pfizer,new_vacs_pfizer_first_dose,new_vacs_pfizer_second_dose,new_vacs_moderna,new_vacs_moderna_first_dose,new_vacs_moderna_second_dose,new_vacs_astrazeneca,new_vacs_astrazeneca_first_dose,new_vacs_astrazeneca_second_dose,new_vacs_jj,new_vacs_age_indication,new_vacs_profession_indication,new_vacs_medical_indication,new_vacs_care_homes,new_vacs_vaccination_centres,new_vacs_doctors_offices,new_vacs_all_7day_rollsum,new_vacs_pfizer_7day_rollsum,new_vacs_moderna_7day_rollsum,new_vacs_astrazeneca_7day_rollsum,new_vacs_jj_7day_rollsum
2020-12-27,24474,24474,24463,11,24473,1,0,24463,11,0,0,10705,8657,1305,12604,10664,8590,1305,12536,41,67,0,68,24474,0,0,24462,11,1,0,0,0,24473,24462,11,1,1,0,0,0,0,0,10705,8657,1305,12604,24474,0,NA,NA,NA,NA,NA
2020-12-28,42815,18341,18341,0,42814,1,0,42804,11,0.001,0,18621,15788,1991,21344,18580,15721,1991,21276,41,67,0,68,42815,0,0,42803,11,1,0,0,0,18341,18341,0,0,0,0,0,0,0,0,7916,7131,686,8740,18341,0,NA,NA,NA,NA,NA
2020-12-29,92364,49549,48960,589,92363,1,0,91764,600,0.001,0,34989,40734,3107,40508,34724,40420,3107,40099,265,314,0,409,92364,0,0,91763,600,1,0,0,0,49549,48960,589,0,0,0,0,0,0,0,16368,24946,1116,19164,49549,0,NA,NA,NA,NA,NA
2020-12-30,154904,62540,62536,4,154903,1,0,154300,604,0.002,0,55510,73365,4901,63206,55243,73050,4901,62794,267,315,0,412,154904,0,0,154299,604,1,0,0,0,62540,62536,4,0,0,0,0,0,0,0,20521,32631,1794,22698,62540,0,NA,NA,NA,NA,NA
2020-12-31,204999,50095,49955,140,204998,1,0,204255,744,0.002,0,72831,96719,6752,83965,72517,96367,6752,83476,314,352,0,489,204999,0,0,204254,744,1,0,0,0,50095,49955,140,0,0,0,0,0,0,0,17321,23354,1851,20759,50095,0,NA,NA,NA,NA,NA
2021-01-01,224271,19272,19272,0,224269,1,1,223527,744,0.003,0,81208,105449,7830,92301,80894,105097,7830,91812,314,352,0,489,224271,0,0,223525,744,1,0,1,0,19271,19271,0,0,0,0,1,1,0,0,8377,8730,1078,8336,19272,0,NA,NA,NA,NA,NA
2021-01-02,277366,53095,52819,276,277364,1,1,276346,1020,0.003,0,102774,129731,10350,113258,102365,129304,10350,112629,409,427,0,629,277366,0,0,276344,1020,1,0,1,0,53095,52819,276,0,0,0,0,0,0,0,21566,24282,2520,20957,53095,0,277366,277364,1,1,0
2021-01-03,301572,24206,24205,1,301570,1,1,300551,1021,0.004,0,113044,140227,11284,123279,112635,139800,11284,122650,409,427,0,629,301572,0,0,300549,1021,1,0,1,0,24206,24205,1,0,0,0,0,0,0,0,10270,10496,934,10021,24206,0,277098,277097,0,1,0
2021-01-04,349956,48384,48384,0,349954,1,1,348935,1021,0.004,0,129646,164913,13951,139091,129237,164486,13951,138462,409,427,0,629,349956,0,0,348933,1021,1,0,1,0,48384,48384,0,0,0,0,0,0,0,0,16602,24686,2667,15812,48384,0,307141,307140,0,1,0
2021-01-05,404013,54057,54032,25,404010,2,1,402967,1046,0.005,0,147987,192565,16489,157656,147576,192117,16489,157025,411,448,0,631,404013,0,0,402964,1046,2,0,1,0,54056,54031,25,1,1,0,0,0,0,0,18341,27652,2538,18565,54057,0,311649,311647,1,1,0
