date,cum_vacs,new_vacs_all,new_vacs_first_dose_all,new_vacs_second_dose_all,cum_vacs_pfizer,cum_vacs_moderna,cum_vacs_astrazeneca,cum_persons_vaccinated_first_dose,cum_persons_vaccinated_second_dose,pct_pop_vaccinated_first_dose,pct_pop_vaccinated_second_dose,cum_vacs_age_indication,cum_vacs_profession_indication,cum_vacs_medical_indication,cum_vacs_care_homes,cum_vacs_age_indication_first_dose,cum_vacs_profession_indication_first_dose,cum_vacs_medical_indication_first_dose,cum_vacs_care_homes_first_dose,cum_vacs_age_indication_second_dose,cum_vacs_profession_indication_second_dose,cum_vacs_medical_indication_second_dose,cum_vacs_care_homes_second_dose,cum_vacs_vaccination_centres,cum_vacs_doctors_offices,cum_vacs_jj,cum_vacs_pfizer_first_dose,cum_vacs_pfizer_second_dose,cum_vacs_moderna_first_dose,cum_vacs_moderna_second_dose,cum_vacs_astrazeneca_first_dose,cum_vacs_astrazeneca_second_dose,dosen_erst_kumulativ,dosen_zweit_kumulativ,new_vacs_pfizer,new_vacs_pfizer_first_dose,new_vacs_pfizer_second_dose,new_vacs_moderna,new_vacs_moderna_first_dose,new_vacs_moderna_second_dose,new_vacs_astrazeneca,new_vacs_astrazeneca_first_dose,new_vacs_astrazeneca_second_dose,new_vacs_jj,new_vacs_age_indication,new_vacs_profession_indication,new_vacs_medical_indication,new_vacs_care_homes,new_vacs_vaccination_centres,new_vacs_doctors_offices,new_vacs_all_7day_rollsum,new_vacs_pfizer_7day_rollsum,new_vacs_moderna_7day_rollsum,new_vacs_astrazeneca_7day_rollsum,new_vacs_jj_7day_rollsum
2020-12-27,24101,24101,24085,16,24100,1,0,24085,16,0,0,10705,8657,1305,12604,10664,8590,1305,12536,41,67,0,68,24101,0,0,24084,16,1,0,0,0,24085,16,24100,24084,16,1,1,0,0,0,0,0,10705,8657,1305,12604,24101,0,NA,NA,NA,NA,NA
2020-12-28,42657,18556,18518,38,42656,1,0,42603,54,0.001,0,18621,15788,1991,21344,18580,15721,1991,21276,41,67,0,68,42657,0,0,42602,54,1,0,0,0,42603,54,18556,18518,38,0,0,0,0,0,0,0,7916,7131,686,8740,18556,0,NA,NA,NA,NA,NA
2020-12-29,93509,50852,50129,723,93508,1,0,92732,777,0.001,0,34989,40734,3107,40508,34724,40420,3107,40099,265,314,0,409,93509,0,0,92731,777,1,0,0,0,92732,777,50852,50129,723,0,0,0,0,0,0,0,16368,24946,1116,19164,50852,0,NA,NA,NA,NA,NA
2020-12-30,156539,63030,62906,124,156538,1,0,155638,901,0.002,0,55510,73365,4901,63206,55243,73050,4901,62794,267,315,0,412,156539,0,0,155637,901,1,0,0,0,155638,901,63030,62906,124,0,0,0,0,0,0,0,20521,32631,1794,22698,63030,0,NA,NA,NA,NA,NA
2020-12-31,206739,50200,50051,149,206738,1,0,205689,1050,0.002,0,72831,96719,6752,83965,72517,96367,6752,83476,314,352,0,489,206739,0,0,205688,1050,1,0,0,0,205689,1050,50200,50051,149,0,0,0,0,0,0,0,17321,23354,1851,20759,50200,0,NA,NA,NA,NA,NA
2021-01-01,225670,18931,18924,7,225668,1,1,224613,1057,0.003,0,81208,105449,7830,92301,80894,105097,7830,91812,314,352,0,489,225670,0,0,224611,1057,1,0,1,0,224613,1057,18930,18923,7,0,0,0,1,1,0,0,8377,8730,1078,8336,18931,0,NA,NA,NA,NA,NA
2021-01-02,278214,52544,52261,283,278212,1,1,276874,1340,0.003,0,102774,129731,10350,113258,102365,129304,10350,112629,409,427,0,629,278214,0,0,276872,1340,1,0,1,0,276874,1340,52544,52261,283,0,0,0,0,0,0,0,21566,24282,2520,20957,52544,0,278214,278212,1,1,0
2021-01-03,302110,23896,23891,5,302108,1,1,300765,1345,0.004,0,113044,140227,11284,123279,112635,139800,11284,122650,409,427,0,629,302110,0,0,300763,1345,1,0,1,0,300765,1345,23896,23891,5,0,0,0,0,0,0,0,10270,10496,934,10021,23896,0,278009,278008,0,1,0
2021-01-04,350282,48172,48121,51,350280,1,1,348886,1396,0.004,0,129646,164913,13951,139091,129237,164486,13951,138462,409,427,0,629,350282,0,0,348884,1396,1,0,1,0,348886,1396,48172,48121,51,0,0,0,0,0,0,0,16602,24686,2667,15812,48172,0,307625,307624,0,1,0
2021-01-05,404049,53767,53739,28,404046,2,1,402625,1424,0.005,0,147987,192565,16489,157656,147576,192117,16489,157025,411,448,0,631,404049,0,0,402622,1424,2,0,1,0,402625,1424,53766,53738,28,1,1,0,0,0,0,0,18341,27652,2538,18565,53767,0,310540,310538,1,1,0
