date,administered_doses_pfizer,administered_doses_moderna,administered_doses_astrazeneca,administered_doses_jj,einrichtung,delivered_doses_pfizer,delivered_doses_moderna,delivered_doses_astrazeneca,delivered_doses_jj,cum_administered_doses_pfizer,cum_administered_doses_moderna,cum_administered_doses_astrazeneca,cum_administered_doses_jj,cum_delivered_doses_pfizer,cum_delivered_doses_moderna,cum_delivered_doses_astrazeneca,cum_delivered_doses_jj
2020-12-26,0,0,0,0,impfzentren,151125,0,0,0,0,0,0,0,151125,0,0,0
2020-12-27,24092,2,0,0,NA,0,0,0,0,24092,2,0,0,151125,0,0,0
2020-12-28,17998,0,0,0,impfzentren,521625,0,0,0,42090,2,0,0,672750,0,0,0
2020-12-29,50018,0,1,0,NA,0,0,0,0,92108,2,1,0,672750,0,0,0
2020-12-30,63495,0,0,0,impfzentren,653250,0,0,0,155603,2,1,0,1326000,0,0,0
2020-12-31,49691,0,0,0,NA,0,0,0,0,205294,2,1,0,1326000,0,0,0
2021-01-01,25346,5,3,0,NA,0,0,0,0,230640,7,4,0,1326000,0,0,0
2021-01-02,47950,0,0,0,NA,0,0,0,0,278590,7,4,0,1326000,0,0,0
2021-01-03,22411,1,0,0,NA,0,0,0,0,301001,8,4,0,1326000,0,0,0
2021-01-04,45825,1,0,0,NA,0,0,0,0,346826,9,4,0,1326000,0,0,0
2021-01-05,51969,1,0,0,NA,0,0,0,0,398795,10,4,0,1326000,0,0,0
2021-01-06,62447,6,3,0,NA,0,0,0,0,461242,16,7,0,1326000,0,0,0
2021-01-07,53957,3,2,0,NA,0,0,0,0,515199,19,9,0,1326000,0,0,0
2021-01-08,61604,51,1,0,impfzentren,687375,0,0,0,576803,70,10,0,2013375,0,0,0
2021-01-09,59966,3,1,0,NA,0,0,0,0,636769,73,11,0,2013375,0,0,0
2021-01-10,35244,8,0,0,NA,0,0,0,0,672013,81,11,0,2013375,0,0,0
2021-01-11,67483,13,2,0,NA,0,0,0,0,739496,94,13,0,2013375,0,0,0
2021-01-12,78429,15,1,0,impfzentren,0,63600,0,0,817925,109,14,0,2013375,63600,0,0
2021-01-13,109891,1169,0,0,NA,0,0,0,0,927816,1278,14,0,2013375,63600,0,0
2021-01-14,78280,5149,0,0,NA,0,0,0,0,1006096,6427,14,0,2013375,63600,0,0
2021-01-15,85476,5266,5,0,NA,0,0,0,0,1091572,11693,19,0,2013375,63600,0,0
2021-01-16,55677,1679,1,0,NA,0,0,0,0,1147249,13372,20,0,2013375,63600,0,0
2021-01-17,46360,1261,1,1,NA,0,0,0,0,1193609,14633,21,1,2013375,63600,0,0
2021-01-18,77764,4143,1,0,NA,0,0,0,0,1271373,18776,22,1,2013375,63600,0,0
2021-01-19,115129,3667,8,0,impfzentren,842400,0,0,0,1386502,22443,30,1,2855775,63600,0,0
2021-01-20,129657,2742,3,0,NA,0,0,0,0,1516159,25185,33,1,2855775,63600,0,0
2021-01-21,102243,2740,1,0,NA,0,0,0,0,1618402,27925,34,1,2855775,63600,0,0
2021-01-22,99432,2186,8,0,NA,0,0,0,0,1717834,30111,42,1,2855775,63600,0,0
2021-01-23,86224,354,3,0,NA,0,0,0,0,1804058,30465,45,1,2855775,63600,0,0
2021-01-24,47096,198,4,0,NA,0,0,0,0,1851154,30663,49,1,2855775,63600,0,0
2021-01-25,89622,1416,3,0,NA,0,0,0,0,1940776,32079,52,1,2855775,63600,0,0
2021-01-26,96095,1434,7,0,impfzentren,489060,0,0,0,2036871,33513,59,1,3344835,63600,0,0
2021-01-27,107563,1786,8,1,NA,0,0,0,0,2144434,35299,67,2,3344835,63600,0,0
2021-01-28,90820,1628,3,0,NA,0,0,0,0,2235254,36927,70,2,3344835,63600,0,0
2021-01-29,106278,1480,7,0,NA,0,0,0,0,2341532,38407,77,2,3344835,63600,0,0
2021-01-30,87121,880,2,0,NA,0,0,0,0,2428653,39287,79,2,3344835,63600,0,0
2021-01-31,56485,376,5,0,impfzentren,0,90000,0,0,2485138,39663,84,2,3344835,153600,0,0
2021-02-01,117266,2208,51,0,NA,0,0,0,0,2602404,41871,135,2,3344835,153600,0,0
2021-02-02,129100,3062,13,0,impfzentren,747630,0,0,0,2731504,44933,148,2,4092465,153600,0,0
2021-02-03,155577,6328,26,1,NA,0,0,0,0,2887081,51261,174,3,4092465,153600,0,0
2021-02-04,128045,5832,5,0,NA,0,0,0,0,3015126,57093,179,3,4092465,153600,0,0
2021-02-05,140362,6448,8,0,NA,0,0,0,0,3155488,63541,187,3,4092465,153600,0,0
