date,cum_vacs,new_vacs_all,new_vacs_first_dose_all,new_vacs_second_dose_all,cum_vacs_pfizer,cum_vacs_moderna,cum_vacs_astrazeneca,cum_persons_vaccinated_first_dose,cum_persons_vaccinated_second_dose,pct_pop_vaccinated_first_dose,pct_pop_vaccinated_second_dose,cum_vacs_age_indication,cum_vacs_profession_indication,cum_vacs_medical_indication,cum_vacs_care_homes,cum_vacs_age_indication_first_dose,cum_vacs_profession_indication_first_dose,cum_vacs_medical_indication_first_dose,cum_vacs_care_homes_first_dose,cum_vacs_age_indication_second_dose,cum_vacs_profession_indication_second_dose,cum_vacs_medical_indication_second_dose,cum_vacs_care_homes_second_dose,cum_vacs_vaccination_centres,cum_vacs_doctors_offices,cum_vacs_jj,cum_vacs_pfizer_first_dose,cum_vacs_pfizer_second_dose,cum_vacs_moderna_first_dose,cum_vacs_moderna_second_dose,cum_vacs_astrazeneca_first_dose,cum_vacs_astrazeneca_second_dose,new_vacs_pfizer,new_vacs_pfizer_first_dose,new_vacs_pfizer_second_dose,new_vacs_moderna,new_vacs_moderna_first_dose,new_vacs_moderna_second_dose,new_vacs_astrazeneca,new_vacs_astrazeneca_first_dose,new_vacs_astrazeneca_second_dose,new_vacs_jj,new_vacs_age_indication,new_vacs_profession_indication,new_vacs_medical_indication,new_vacs_care_homes,new_vacs_vaccination_centres,new_vacs_doctors_offices,new_vacs_all_7day_rollsum,new_vacs_pfizer_7day_rollsum,new_vacs_moderna_7day_rollsum,new_vacs_astrazeneca_7day_rollsum,new_vacs_jj_7day_rollsum
2020-12-27,24000,24000,23987,13,23999,1,0,23987,13,0,0,10705,8657,1305,12604,10664,8590,1305,12536,41,67,0,68,24000,0,0,23986,13,1,0,0,0,23999,23986,13,1,1,0,0,0,0,0,10705,8657,1305,12604,24000,0,NA,NA,NA,NA,NA
2020-12-28,42559,18559,18522,37,42558,1,0,42509,50,0.001,0,18621,15788,1991,21344,18580,15721,1991,21276,41,67,0,68,42559,0,0,42508,50,1,0,0,0,18559,18522,37,0,0,0,0,0,0,0,7916,7131,686,8740,18559,0,NA,NA,NA,NA,NA
2020-12-29,93288,50729,50004,725,93287,1,0,92513,775,0.001,0,34989,40734,3107,40508,34724,40420,3107,40099,265,314,0,409,93288,0,0,92512,775,1,0,0,0,50729,50004,725,0,0,0,0,0,0,0,16368,24946,1116,19164,50729,0,NA,NA,NA,NA,NA
2020-12-30,155955,62667,62547,120,155954,1,0,155060,895,0.002,0,55510,73365,4901,63206,55243,73050,4901,62794,267,315,0,412,155955,0,0,155059,895,1,0,0,0,62667,62547,120,0,0,0,0,0,0,0,20521,32631,1794,22698,62667,0,NA,NA,NA,NA,NA
2020-12-31,205974,50019,49870,149,205973,1,0,204930,1044,0.002,0,72831,96719,6752,83965,72517,96367,6752,83476,314,352,0,489,205974,0,0,204929,1044,1,0,0,0,50019,49870,149,0,0,0,0,0,0,0,17321,23354,1851,20759,50019,0,NA,NA,NA,NA,NA
2021-01-01,224752,18778,18771,7,224750,1,1,223701,1051,0.003,0,81208,105449,7830,92301,80894,105097,7830,91812,314,352,0,489,224752,0,0,223699,1051,1,0,1,0,18777,18770,7,0,0,0,1,1,0,0,8377,8730,1078,8336,18778,0,NA,NA,NA,NA,NA
2021-01-02,277168,52416,52133,283,277166,1,1,275834,1334,0.003,0,102774,129731,10350,113258,102365,129304,10350,112629,409,427,0,629,277168,0,0,275832,1334,1,0,1,0,52416,52133,283,0,0,0,0,0,0,0,21566,24282,2520,20957,52416,0,277168,277166,1,1,0
2021-01-03,300944,23776,23771,5,300942,1,1,299605,1339,0.004,0,113044,140227,11284,123279,112635,139800,11284,122650,409,427,0,629,300944,0,0,299603,1339,1,0,1,0,23776,23771,5,0,0,0,0,0,0,0,10270,10496,934,10021,23776,0,276944,276943,0,1,0
2021-01-04,349020,48076,48025,51,349018,1,1,347630,1390,0.004,0,129646,164913,13951,139091,129237,164486,13951,138462,409,427,0,629,349020,0,0,347628,1390,1,0,1,0,48076,48025,51,0,0,0,0,0,0,0,16602,24686,2667,15812,48076,0,306461,306460,0,1,0
2021-01-05,402735,53715,53686,29,402732,2,1,401316,1419,0.005,0,147987,192565,16489,157656,147576,192117,16489,157025,411,448,0,631,402735,0,0,401313,1419,2,0,1,0,53714,53685,29,1,1,0,0,0,0,0,18341,27652,2538,18565,53715,0,309447,309445,1,1,0
2021-01-06,465405,62670,62664,6,465394,8,3,463980,1425,0.006,0,169498,225530,19910,180812,169086,225082,19910,180181,412,448,0,631,465405,0,0,463969,1425,8,0,3,0,62662,62656,6,6,6,0,2,2,0,0,21511,32965,3421,23156,62670,0,309450,309440,7,3,0
2021-01-07,521351,55946,55937,9,521337,11,3,519917,1434,0.006,0,189172,254868,22957,197233,188758,254418,22957,196600,414,450,0,633,521351,0,0,519903,1434,11,0,3,0,55943,55934,9,3,3,0,0,0,0,0,19674,29338,3047,16421,55946,0,315377,315364,10,3,0
2021-01-08,584408,63057,62734,323,584346,59,3,582651,1757,0.007,0,211521,287315,26324,218219,211009,286711,26320,217449,512,604,4,770,584408,0,0,582589,1757,59,0,3,0,63009,62686,323,48,48,0,0,0,0,0,22349,32447,3367,20986,63057,0,359656,359596,58,2,0
2021-01-09,645495,61087,61040,47,645433,59,3,643691,1804,0.008,0,237322,313238,29007,243325,236798,312599,29003,242545,524,639,4,780,645495,0,0,643629,1804,59,0,3,0,61087,61040,47,0,0,0,0,0,0,0,25801,25923,2683,25106,61087,0,368327,368267,58,2,0
2021-01-10,681008,35513,35504,9,680946,59,3,679195,1813,0.008,0,252455,327794,30379,256315,251929,327151,30375,255535,526,643,4,780,681008,0,0,679133,1813,59,0,3,0,35513,35504,9,0,0,0,0,0,0,0,15133,14556,1372,12990,35513,0,380064,380004,58,2,0
2021-01-11,748586,67578,67526,52,748523,60,3,746721,1865,0.009,0,277513,359176,33587,276774,276967,358513,33583,275968,546,663,4,806,748586,0,0,746658,1865,60,0,3,0,67577,67525,52,1,1,0,0,0,0,0,25058,31382,3208,20459,67578,0,399566,399505,59,2,0
2021-01-12,831246,82660,82600,60,831177,65,4,829321,1925,0.01,0,305695,401338,36582,301731,305147,400670,36578,300888,548,668,4,843,831246,0,0,829252,1925,65,0,4,0,82654,82594,60,5,5,0,1,1,0,0,28182,42162,2995,24957,82660,0,428511,428445,63,3,0
2021-01-13,942959,111713,111515,198,942093,862,4,940836,2123,0.011,0,345167,458844,40485,337339,344574,458093,40466,336399,593,751,19,940,942959,0,0,939970,2123,862,0,4,0,110916,110718,198,797,797,0,0,0,0,0,39472,57506,3903,35608,111713,0,477554,476699,854,1,0
2021-01-14,1026109,83150,82965,185,1020616,5489,4,1023801,2308,0.012,0,374803,501101,42769,361463,374094,500254,42750,360452,709,847,19,1011,1026109,0,0,1018352,2264,5445,44,4,0,78523,78382,141,4627,4583,44,0,0,0,0,29636,42257,2284,24124,83150,0,504758,499279,5478,1,0
2021-01-15,1117626,91517,90908,609,1106691,10926,9,1114709,2917,0.013,0,408725,545673,46728,389202,407810,544625,46700,387982,915,1048,28,1220,1117626,0,0,1103818,2873,10882,44,9,0,86075,85466,609,5437,5437,0,5,5,0,0,33922,44572,3959,27739,91517,0,533218,522345,10867,6,0
2021-01-16,1175194,57568,56662,906,1162487,12698,9,1171371,3823,0.014,0,432983,570627,48859,408798,431664,569232,48767,407047,1319,1395,92,1751,1175194,0,0,1158708,3779,12654,44,9,0,55796,54890,906,1772,1772,0,0,0,0,0,24258,24954,2131,19596,57568,0,529699,517054,12639,6,0
2021-01-17,1224195,49001,31659,17342,1210182,14003,10,1203030,21165,0.014,0,453449,591002,50884,428544,444215,583354,50014,417145,9234,7648,870,11399,1224195,0,0,1189061,21121,13959,44,10,0,47695,30353,17342,1305,1305,0,1,1,0,0,20466,20375,2025,19746,49001,0,543187,529236,13944,7,0
2021-01-18,1306823,82628,66856,15772,1288775,18037,11,1269886,36937,0.015,0,482728,633883,53106,448900,467235,619730,51700,430238,15493,14153,1406,18662,1306823,0,0,1251883,36892,17992,45,11,0,78593,62822,15771,4034,4033,1,1,1,0,0,29279,42881,2222,20356,82628,0,558237,540252,17977,8,0
2021-01-19,1424497,117674,82793,34881,1402968,21504,25,1352679,71818,0.016,0.001,519765,695968,56714,479843,492669,666683,54375,447938,27096,29285,2339,31905,1424497,0,0,1331195,71773,21459,45,25,0,114193,79312,34881,3467,3467,0,14,14,0,0,37037,62085,3608,30943,117674,0,593251,571791,21439,21,0
2021-01-20,1556510,132013,80503,51510,1532226,24255,29,1433182,123328,0.017,0.001,568076,760039,60957,522078,522876,706310,57505,469463,45200,53729,3452,52615,1556510,0,0,1408943,123283,24210,45,29,0,129258,77748,51510,2751,2751,0,4,4,0,0,48311,64071,4243,42235,132013,0,613551,590133,23393,25,0
2021-01-21,1664230,107720,65867,41853,1637234,26967,29,1499049,165181,0.018,0.002,610150,808503,65406,556195,549621,735602,60889,487988,60529,72901,4517,68207,1664230,0,0,1472098,165136,26922,45,29,0,105008,63155,41853,2712,2712,0,0,0,0,0,42074,48464,4449,34117,107720,0,638121,616618,21478,25,0
2021-01-22,1768268,104038,68477,35561,1739219,29009,40,1567526,200742,0.019,0.002,654049,853889,69013,590642,579902,764987,63599,506975,74147,88902,5414,83667,1768268,0,0,1538524,200695,28962,47,40,0,101985,66426,35559,2042,2040,2,11,11,0,0,43899,45386,3607,34447,104038,0,650642,632528,18083,31,0
2021-01-23,1853278,85010,40050,44960,1823845,29392,41,1607576,245702,0.019,0.003,691767,890989,72414,617916,599855,780966,64783,516268,91912,110023,7631,101648,1853278,0,0,1578190,245655,29345,47,41,0,84626,39666,44960,383,383,0,1,1,0,0,37718,37100,3401,27274,85010,0,678084,661358,16694,32,0
2021-01-24,1902509,49231,26084,23147,1872828,29636,45,1633660,268849,0.02,0.003,715655,910067,73331,632982,614016,789814,65130,521524,101639,120253,8201,111458,1902509,0,0,1604026,268802,29589,47,45,0,48983,25836,23147,244,244,0,4,4,0,0,23888,19078,917,15066,49231,0,678314,662646,15633,35,0
2021-01-25,1994213,91704,53103,38601,1962807,31359,47,1686763,307450,0.02,0.004,756375,951632,76827,658117,642321,811974,66847,534304,114054,139658,9980,123813,1994213,0,0,1655404,307403,31312,47,47,0,89979,51378,38601,1723,1723,0,2,2,0,0,40720,41565,3496,25135,91704,0,687390,674032,13322,36,0
2021-01-26,2092875,98662,50233,48429,2059811,33011,53,1736996,355879,0.021,0.004,796572,997196,80614,684405,667753,831436,68195,545278,128819,165760,12419,139127,2092875,0,0,1703983,355828,32960,51,53,0,97004,48579,48425,1652,1648,4,6,6,0,0,40197,45564,3787,26288,98662,0,668378,656843,11507,28,0
2021-01-27,2204020,111145,51514,59631,2168992,34967,61,1788510,415510,0.022,0.005,839834,1049509,85786,715259,691463,852265,70042,556304,148371,197244,15744,158955,2204020,0,0,1753543,415449,34906,61,61,0,109181,49560,59621,1956,1946,10,8,8,0,0,43262,52313,5172,30854,111145,0,647510,636766,10712,32,0
2021-01-28,2295187,91167,45127,46040,2258520,36603,64,1833637,461550,0.022,0.006,877990,1090332,89974,739697,713483,869115,71590,567469,164507,221217,18384,172228,2295187,0,0,1797049,461471,36524,79,64,0,89528,43506,46022,1636,1618,18,3,3,0,0,38156,40823,4188,24438,91167,0,630957,621286,9636,35,0
2021-01-29,2404301,109114,51463,57651,2366223,38008,70,1885100,519201,0.023,0.006,920894,1138243,95507,769100,735839,888487,73819,578309,185055,249756,21688,190791,2404301,0,0,1847101,519122,37929,79,70,0,107703,50052,57651,1405,1405,0,6,6,0,0,42904,47911,5533,29403,109114,0,636033,627004,8999,30,0
2021-01-30,2492779,88478,36319,52159,2453826,38882,71,1921419,571360,0.023,0.007,957412,1174692,99468,796433,752473,901967,75224,586328,204939,272725,24244,210105,2492779,0,0,1882546,571280,38802,80,71,0,87603,35445,52158,874,873,1,1,1,0,0,36518,36449,3961,27333,88478,0,639501,629981,9490,30,0
2021-01-31,2549293,56514,25984,30530,2509962,39259,72,1947403,601890,0.023,0.007,982865,1196922,101575,812430,766590,910861,76411,592657,216275,286061,25164,219773,2549293,0,0,1908161,601801,39171,88,71,1,56136,25615,30521,377,369,8,1,0,1,0,25453,22230,2107,15997,56514,0,646784,637134,9623,27,0
2021-02-01,2669942,120649,59160,61489,2628345,41469,128,2006563,663379,0.024,0.008,1026174,1260299,105285,839830,787193,944041,78273,602425,238981,316258,27012,237405,2669942,0,0,1965055,663290,41381,88,127,1,118383,56894,61489,2210,2210,0,56,56,0,0,43309,63377,3710,27400,120649,0,675729,665538,10110,81,0
2021-02-02,2801636,131694,64215,67479,2757159,44336,141,2070778,730858,0.025,0.009,1069633,1330364,110479,870030,806216,982089,80866,611659,263417,348275,29613,258371,2801636,0,0,2026391,730768,44247,89,140,1,128814,61336,67478,2867,2866,1,13,13,0,0,43459,70065,5194,30200,131694,0,708761,697348,11325,88,0
2021-02-03,2961100,159464,64162,95302,2910216,50722,162,2134940,826160,0.026,0.01,1128983,1407775,116405,912544,829819,1014401,83062,623312,299164,393374,33343,289232,2961100,0,0,2084148,826068,50631,91,161,1,153057,57757,95300,6386,6384,2,21,21,0,0,59350,77411,5926,42514,159464,0,757080,741224,15755,101,0
2021-02-04,3092875,131775,61084,70691,3036111,56595,169,2196024,896851,0.026,0.011,1177986,1472437,120972,943857,851937,1046473,85311,632945,326049,425964,35661,310912,3092875,0,0,2139354,896757,56502,93,168,1,125895,55206,70689,5873,5871,2,7,7,0,0,49003,64662,4567,31313,131775,0,797688,777591,19992,105,0
2021-02-05,3237588,144713,67660,77053,3174420,62991,177,2263684,973904,0.027,0.012,1232524,1542580,126293,977786,877231,1080338,86905,644262,355293,462242,39388,333524,3237588,0,0,2200611,973809,62898,93,175,2,138309,61257,77052,6396,6396,0,8,7,1,0,54538,70143,5321,33929,144713,0,833287,808197,24983,107,0
2021-02-06,3337740,100152,47173,52979,3272044,65518,178,2310857,1026883,0.028,0.012,1272514,1588658,130853,1003590,896490,1101898,88782,653957,376024,486760,42071,349633,3337740,0,0,2245256,1026788,65425,93,176,2,97624,44645,52979,2527,2527,0,1,1,0,0,39990,46078,4560,25804,100152,0,844961,818218,26636,107,0
2021-02-07,3391999,54259,28179,26080,3323904,67915,180,2339036,1052963,0.028,0.013,1298155,1609930,133571,1016823,910800,1112720,90015,659435,387355,497210,43556,357388,3391999,0,0,2271037,1052867,67821,94,178,2,51860,25781,26079,2397,2396,1,2,2,0,0,25641,21272,2718,13233,54259,0,842706,813942,28656,108,0
2021-02-08,3501946,109947,53168,56779,3429856,71885,205,2392204,1109742,0.029,0.013,1350672,1655734,137545,1035599,942269,1129343,91902,666781,408403,526391,45643,368818,3501946,0,0,2320211,1109645,71790,95,203,2,105952,49174,56778,3970,3969,1,25,25,0,0,52517,45804,3974,18776,109947,0,832004,801511,30416,77,0
2021-02-09,3635871,133925,59690,74235,3559738,75819,314,2451894,1183977,0.029,0.014,1411842,1714380,141993,1058512,978151,1147503,94639,674792,433691,566877,47354,383720,3635871,0,0,2376349,1183389,75233,586,312,2,129882,56138,73744,3934,3443,491,109,109,0,0,61170,58646,4448,22913,133925,0,834235,802579,31483,173,0
2021-02-10,3787633,151762,75150,76612,3700447,79831,7355,2527044,1260589,0.03,0.015,1478760,1781046,146001,1087933,1017461,1175177,96286,685176,461299,605869,49715,402757,3787633,0,0,2441394,1259053,78297,1534,7353,2,140709,65045,75664,4012,3064,948,7041,7041,0,0,66918,66666,4008,29421,151762,0,826533,790231,29109,7193,0
2021-02-11,3928791,141158,73837,67321,3819007,86977,22805,2600883,1327910,0.031,0.016,1539776,1848576,151475,1113070,1052428,1208053,98713,694775,487348,640523,52762,418295,3928791,0,2,2495495,1323512,82589,4388,22797,8,118560,54101,64459,7146,4292,2854,15450,15444,6,2,61016,67530,5474,25137,141158,0,835916,782896,30382,22636,2
