location,date,population,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,new_vacs_7day_rollsum,new_vacs_7day_rollsum_per_100k,new_vacs_14day_rollsum,new_vacs_14ay_rollsum_per_100k
Belgium,2020-12-21,11589616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-22,11589616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-23,11589616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-24,11589616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-25,11589616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-26,11589616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-27,11589616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-28,11589616,300,300,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
Belgium,2020-12-29,11589616,311,311,10,11,11,0,0,0,1,NA,NA,NA,NA
Belgium,2020-12-30,11589616,796,796,18,485,248,0.01,0.01,0,21,NA,NA,NA,NA
Belgium,2020-12-31,11589616,806,806,18,10,169,0.01,0.01,0,15,NA,NA,NA,NA
Belgium,2021-01-01,11589616,814,814,18,8,128,0.01,0.01,0,11,NA,NA,NA,NA
Belgium,2021-01-02,11589616,827,827,31,13,105,0.01,0.01,0,9,NA,NA,NA,NA
Belgium,2021-01-03,11589616,NA,NA,NA,NA,88,NA,NA,NA,8,NA,NA,NA,NA
Belgium,2021-01-04,11589616,832,832,33,NA,76,0.01,0.01,0,7,NA,NA,NA,NA
Belgium,2021-01-05,11589616,2553,2553,50,1721,320,0.02,0.02,0,28,NA,NA,NA,NA
Belgium,2021-01-06,11589616,6459,6459,71,3906,809,0.06,0.06,0,70,NA,NA,NA,NA
Belgium,2021-01-07,11589616,14754,14754,80,8295,1993,0.13,0.13,0,172,NA,NA,NA,NA
Belgium,2021-01-08,11589616,24030,24030,106,9276,3317,0.21,0.21,0,286,NA,NA,NA,NA
Belgium,2021-01-09,11589616,27248,27248,116,3218,3774,0.24,0.24,0,326,NA,NA,NA,NA
Belgium,2021-01-10,11589616,27651,27650,117,403,3832,0.24,0.24,0,331,NA,NA,NA,NA
Belgium,2021-01-11,11589616,33240,33238,127,5589,4630,0.29,0.29,0,399,32408,279.62962707306264,NA,NA
Belgium,2021-01-12,11589616,49157,49155,147,15917,6658,0.42,0.42,0,574,46604,402.1185861550547,NA,NA
Belgium,2021-01-13,11589616,70806,70804,161,21649,9192,0.61,0.61,0,793,64347,555.2125281803987,NA,NA
Belgium,2021-01-14,11589616,94117,94115,172,23311,11338,0.81,0.81,0,978,79363,684.7767863922326,NA,NA
Belgium,2021-01-15,11589616,117622,117620,189,23505,13370,1.01,1.01,0,1154,93592,807.5504831221328,NA,NA
Belgium,2021-01-16,11589616,122819,122817,199,5197,13653,1.06,1.06,0,1178,95571,824.6261135830557,NA,NA
Belgium,2021-01-17,11589616,126125,126123,199,3306,14068,1.09,1.09,0,1214,98474,849.6743981854102,NA,NA
Belgium,2021-01-18,11589616,137179,137065,322,11054,14848,1.18,1.18,0,1281,103939,896.8286783617335,136347,1176.458305434796
Belgium,2021-01-19,11589616,156477,156179,531,19298,15331,1.35,1.35,0,1323,107320,926.0013446519713,153924,1328.1199308070259
