date,cum_vacs,new_vacs_all,new_vacs_first_dose_all,new_vacs_second_dose_all,cum_vacs_pfizer,cum_vacs_moderna,cum_vacs_astrazeneca,cum_persons_vaccinated_first_dose,cum_persons_vaccinated_second_dose,pct_pop_vaccinated_first_dose,pct_pop_vaccinated_second_dose,cum_vacs_age_indication,cum_vacs_profession_indication,cum_vacs_medical_indication,cum_vacs_care_homes,cum_vacs_age_indication_first_dose,cum_vacs_profession_indication_first_dose,cum_vacs_medical_indication_first_dose,cum_vacs_care_homes_first_dose,cum_vacs_age_indication_second_dose,cum_vacs_profession_indication_second_dose,cum_vacs_medical_indication_second_dose,cum_vacs_care_homes_second_dose,cum_vacs_vaccination_centres,cum_vacs_doctors_offices,cum_vacs_jj,cum_vacs_pfizer_first_dose,cum_vacs_pfizer_second_dose,cum_vacs_moderna_first_dose,cum_vacs_moderna_second_dose,cum_vacs_astrazeneca_first_dose,cum_vacs_astrazeneca_second_dose,dosen_erst_kumulativ,dosen_zweit_kumulativ,new_vacs_pfizer,new_vacs_pfizer_first_dose,new_vacs_pfizer_second_dose,new_vacs_moderna,new_vacs_moderna_first_dose,new_vacs_moderna_second_dose,new_vacs_astrazeneca,new_vacs_astrazeneca_first_dose,new_vacs_astrazeneca_second_dose,new_vacs_jj,new_vacs_age_indication,new_vacs_profession_indication,new_vacs_medical_indication,new_vacs_care_homes,new_vacs_vaccination_centres,new_vacs_doctors_offices,new_vacs_all_7day_rollsum,new_vacs_pfizer_7day_rollsum,new_vacs_moderna_7day_rollsum,new_vacs_astrazeneca_7day_rollsum,new_vacs_jj_7day_rollsum
2020-12-27,23322,23322,23305,17,23321,1,0,23305,17,0,0,10705,8657,1305,12604,10664,8590,1305,12536,41,67,0,68,23322,0,0,23304,17,1,0,0,0,23305,17,23321,23304,17,1,1,0,0,0,0,0,10705,8657,1305,12604,23322,0,NA,NA,NA,NA,NA
2020-12-28,41098,17776,17737,39,41097,1,0,41042,56,0,0,18621,15788,1991,21344,18580,15721,1991,21276,41,67,0,68,41098,0,0,41041,56,1,0,0,0,41042,56,17776,17737,39,0,0,0,0,0,0,0,7916,7131,686,8740,17776,0,NA,NA,NA,NA,NA
2020-12-29,90870,49772,49049,723,90869,1,0,90091,779,0.001,0,34989,40734,3107,40508,34724,40420,3107,40099,265,314,0,409,90870,0,0,90090,779,1,0,0,0,90091,779,49772,49049,723,0,0,0,0,0,0,0,16368,24946,1116,19164,49772,0,NA,NA,NA,NA,NA
2020-12-30,152629,61759,61632,127,152628,1,0,151723,906,0.002,0,55510,73365,4901,63206,55243,73050,4901,62794,267,315,0,412,152629,0,0,151722,906,1,0,0,0,151723,906,61759,61632,127,0,0,0,0,0,0,0,20521,32631,1794,22698,61759,0,NA,NA,NA,NA,NA
2020-12-31,202787,50158,50007,151,202786,1,0,201730,1057,0.002,0,72831,96719,6752,83965,72517,96367,6752,83476,314,352,0,489,202787,0,0,201729,1057,1,0,0,0,201730,1057,50158,50007,151,0,0,0,0,0,0,0,17321,23354,1851,20759,50158,0,NA,NA,NA,NA,NA
2021-01-01,228525,25738,25727,11,228516,6,3,227457,1068,0.003,0,81208,105449,7830,92301,80894,105097,7830,91812,314,352,0,489,228525,0,0,227449,1067,6,0,2,1,227457,1068,25730,25720,10,5,5,0,3,2,1,0,8377,8730,1078,8336,25738,0,NA,NA,NA,NA,NA
2021-01-02,276166,47641,47356,285,276157,6,3,274813,1353,0.003,0,102774,129731,10350,113258,102365,129304,10350,112629,409,427,0,629,276166,0,0,274805,1352,6,0,2,1,274813,1353,47641,47356,285,0,0,0,0,0,0,0,21566,24282,2520,20957,47641,0,276166,276157,6,3,0
2021-01-03,298346,22180,22174,6,298337,6,3,296987,1359,0.004,0,113044,140227,11284,123279,112635,139800,11284,122650,409,427,0,629,298346,0,0,296979,1358,6,0,2,1,296987,1359,22180,22174,6,0,0,0,0,0,0,0,10270,10496,934,10021,22180,0,275024,275016,5,3,0
2021-01-04,344925,46579,46525,54,344915,7,3,343512,1413,0.004,0,129646,164913,13951,139091,129237,164486,13951,138462,409,427,0,629,344925,0,0,343503,1412,7,0,2,1,343512,1413,46578,46524,54,1,1,0,0,0,0,0,16602,24686,2667,15812,46579,0,303827,303818,6,3,0
2021-01-05,396783,51858,51828,30,396772,8,3,395340,1443,0.005,0,147987,192565,16489,157656,147576,192117,16489,157025,411,448,0,631,396783,0,0,395330,1442,8,0,2,1,395340,1443,51857,51827,30,1,1,0,0,0,0,0,18341,27652,2538,18565,51858,0,305913,305903,7,3,0
2021-01-06,458939,62156,62147,9,458920,14,5,457487,1452,0.006,0,169498,225530,19910,180812,169086,225082,19910,180181,412,448,0,631,458939,0,0,457469,1451,14,0,4,1,457487,1452,62148,62139,9,6,6,0,2,2,0,0,21511,32965,3421,23156,62156,0,306310,306292,13,5,0
2021-01-07,513053,54114,54105,9,513030,17,6,511592,1461,0.006,0,189172,254868,22957,197233,188758,254418,22957,196600,414,450,0,633,513053,0,0,511570,1460,17,0,5,1,511592,1461,54110,54101,9,3,3,0,1,1,0,0,19674,29338,3047,16421,54114,0,310266,310244,16,6,0
2021-01-08,574832,61779,61448,331,574759,66,7,573040,1792,0.007,0,211521,287315,26324,218219,211009,286711,26320,217449,512,604,4,770,574832,0,0,572968,1791,66,0,6,1,573040,1792,61729,61398,331,49,49,0,1,1,0,0,22349,32447,3367,20986,61779,0,346307,346243,60,4,0
2021-01-09,634294,59462,59414,48,634221,66,7,632454,1840,0.008,0,237322,313238,29007,243325,236798,312599,29003,242545,524,639,4,780,634294,0,0,632382,1839,66,0,6,1,632454,1840,59462,59414,48,0,0,0,0,0,0,0,25801,25923,2683,25106,59462,0,358128,358064,60,4,0
2021-01-10,668953,34659,34650,9,668878,68,7,667104,1849,0.008,0,252455,327794,30379,256315,251929,327151,30375,255535,526,643,4,780,668953,0,0,667030,1848,68,0,6,1,667104,1849,34657,34648,9,2,2,0,0,0,0,0,15133,14556,1372,12990,34659,0,370607,370541,62,4,0
2021-01-11,736047,67094,67040,54,735969,71,7,734144,1903,0.009,0,277513,359176,33587,276774,276967,358513,33583,275968,546,663,4,806,736047,0,0,734067,1902,71,0,6,1,734144,1903,67091,67037,54,3,3,0,0,0,0,0,25058,31382,3208,20459,67094,0,391122,391054,64,4,0
2021-01-12,816757,80710,80649,61,816663,86,8,814793,1964,0.01,0,305695,401338,36582,301731,305147,400670,36578,300888,548,668,4,843,816757,0,0,814700,1963,86,0,7,1,814793,1964,80694,80633,61,15,15,0,1,1,0,0,28182,42162,2995,24957,80710,0,419974,419891,78,5,0
2021-01-13,928346,111589,111392,197,927081,1257,8,926185,2161,0.011,0,345167,458844,40485,337339,344574,458093,40466,336399,593,751,19,940,928346,0,0,924921,2160,1257,0,7,1,926185,2161,110418,110221,197,1171,1171,0,0,0,0,0,39472,57506,3903,35608,111589,0,469407,468161,1243,3,0
2021-01-14,1010333,81987,81803,184,1003927,6398,8,1007988,2345,0.012,0,374803,501101,42769,361463,374094,500254,42750,360452,709,847,19,1011,1010333,0,0,1001627,2300,6354,44,7,1,1007988,2345,76846,76706,140,5141,5097,44,0,0,0,0,29636,42257,2284,24124,81987,0,497280,490897,6381,2,0
2021-01-15,1100354,90021,89219,802,1088680,11661,13,1097207,3147,0.013,0,408725,545673,46728,389202,407810,544625,46700,387982,915,1048,28,1220,1100354,0,0,1085578,3102,11617,44,12,1,1097207,3147,84753,83951,802,5263,5263,0,5,5,0,0,33922,44572,3959,27739,90021,0,525522,513921,11595,6,0
2021-01-16,1157384,57030,56012,1018,1144029,13341,14,1153219,4165,0.014,0,432983,570627,48859,408798,431664,569232,48767,407047,1319,1395,92,1751,1157384,0,0,1139909,4120,13297,44,13,1,1153219,4165,55349,54331,1018,1680,1680,0,1,1,0,0,24258,24954,2131,19596,57030,0,523090,509808,13275,7,0
2021-01-17,1205712,48328,30540,17788,1191095,14602,15,1183759,21953,0.014,0,453449,591002,50884,428544,444215,583354,50014,417145,9234,7648,870,11399,1205712,0,0,1169187,21908,14558,44,14,1,1183759,21953,47066,29278,17788,1261,1261,0,1,1,0,0,20466,20375,2025,19746,48328,0,536759,522217,14534,8,0
2021-01-18,1287789,82077,66218,15859,1269019,18754,16,1249977,37812,0.015,0,482728,633883,53106,448900,467235,619730,51700,430238,15493,14153,1406,18662,1287789,0,0,1231254,37765,18708,46,15,1,1249977,37812,77924,62067,15857,4152,4150,2,1,1,0,0,29279,42881,2222,20356,82077,0,551742,533050,18683,9,0
2021-01-19,1406241,118452,82446,36006,1383802,22415,24,1332423,73818,0.016,0.001,519765,695968,56714,479843,492669,666683,54375,447938,27096,29285,2339,31905,1406241,0,0,1310035,73767,22365,50,23,1,1332423,73818,114783,78781,36002,3661,3657,4,8,8,0,0,37037,62085,3608,30943,118452,0,589484,567139,22329,16,0
2021-01-20,1538358,132117,77881,54236,1513175,25156,27,1410304,128054,0.017,0.002,568076,760039,60957,522078,522876,706310,57505,469463,45200,53729,3452,52615,1538358,0,0,1385172,128003,25106,50,26,1,1410304,128054,129373,75137,54236,2741,2741,0,3,3,0,0,48311,64071,4243,42235,132117,0,610012,586094,23899,19,0
2021-01-21,1644476,106118,64193,41925,1616555,27894,27,1474497,169979,0.018,0.002,610150,808503,65406,556195,549621,735602,60889,487988,60529,72901,4517,68207,1644476,0,0,1446628,169927,27843,51,26,1,1474497,169979,103380,61456,41924,2738,2737,1,0,0,0,0,42074,48464,4449,34117,106118,0,634143,612628,21496,19,0
2021-01-22,1747314,102838,68187,34651,1717201,30079,34,1542684,204630,0.019,0.002,654049,853889,69013,590642,579902,764987,63599,506975,74147,88902,5414,83667,1747314,0,0,1512625,204576,30026,53,33,1,1542684,204630,100646,65997,34649,2185,2183,2,7,7,0,0,43899,45386,3607,34447,102838,0,646960,628521,18418,21,0
2021-01-23,1833936,86622,40712,45910,1803462,30437,37,1583396,250540,0.019,0.003,691767,890989,72414,617916,599855,780966,64783,516268,91912,110023,7631,101648,1833936,0,0,1552977,250485,30383,54,36,1,1583396,250540,86261,40352,45909,358,357,1,3,3,0,0,37718,37100,3401,27274,86622,0,676552,659433,17096,23,0
2021-01-24,1881671,47735,25738,21997,1850998,30632,41,1609134,272537,0.019,0.003,715655,910067,73331,632982,614016,789814,65130,521524,101639,120253,8201,111458,1881671,0,0,1578516,272482,30578,54,40,1,1609134,272537,47536,25539,21997,195,195,0,4,4,0,0,23888,19078,917,15066,47735,0,675959,659903,16030,26,0
2021-01-25,1972856,91185,51977,39208,1940768,32044,44,1661111,311745,0.02,0.004,756375,951632,76827,658117,642321,811974,66847,534304,114054,139658,9980,123813,1972856,0,0,1629079,311689,31989,55,43,1,1661111,311745,89770,50563,39207,1412,1411,1,3,3,0,0,40720,41565,3496,25135,91185,0,685067,671749,13290,28,0
2021-01-26,2070334,97478,50357,47121,2036803,33480,51,1711468,358866,0.021,0.004,796572,997196,80614,684405,667753,831436,68195,545278,128819,165760,12419,139127,2070334,0,0,1677997,358806,33421,59,50,1,1711468,358866,96035,48918,47117,1436,1432,4,7,7,0,0,40197,45564,3787,26288,97478,0,664093,653001,11065,27,0
2021-01-27,2178944,108610,50717,57893,2143619,35266,59,1762185,416759,0.021,0.005,839834,1049509,85786,715259,691463,852265,70042,556304,148371,197244,15744,158955,2178944,0,0,1726931,416688,35196,70,58,1,1762185,416759,106816,48934,57882,1786,1775,11,8,8,0,0,43262,52313,5172,30854,108610,0,640586,630444,10110,32,0
2021-01-28,2269386,90442,45088,45354,2232404,36920,62,1807273,462113,0.022,0.006,877990,1090332,89974,739697,713483,869115,71590,567469,164507,221217,18384,172228,2269386,0,0,1770380,462024,36832,88,61,1,1807273,462113,88785,43449,45336,1654,1636,18,3,3,0,0,38156,40823,4188,24438,90442,0,624910,615849,9026,35,0
