date,administered_doses_pfizer,administered_doses_moderna,administered_doses_astrazeneca,administered_doses_jj,einrichtung,delivered_doses_pfizer,delivered_doses_moderna,delivered_doses_astrazeneca,delivered_doses_jj,cum_administered_doses_pfizer,cum_administered_doses_moderna,cum_administered_doses_astrazeneca,cum_administered_doses_jj,cum_delivered_doses_pfizer,cum_delivered_doses_moderna,cum_delivered_doses_astrazeneca,cum_delivered_doses_jj
2020-12-26,0,0,0,0,impfzentren,151125,0,0,0,0,0,0,0,151125,0,0,0
2020-12-27,23451,2,0,0,NA,0,0,0,0,23451,2,0,0,151125,0,0,0
2020-12-28,17819,0,0,0,impfzentren,521625,0,0,0,41270,2,0,0,672750,0,0,0
2020-12-29,49448,0,1,0,NA,0,0,0,0,90718,2,1,0,672750,0,0,0
2020-12-30,62790,0,0,0,impfzentren,653250,0,0,0,153508,2,1,0,1326000,0,0,0
2020-12-31,49195,0,0,0,NA,0,0,0,0,202703,2,1,0,1326000,0,0,0
2021-01-01,25205,5,3,0,NA,0,0,0,0,227908,7,4,0,1326000,0,0,0
2021-01-02,47655,0,0,0,NA,0,0,0,0,275563,7,4,0,1326000,0,0,0
2021-01-03,22140,1,0,0,NA,0,0,0,0,297703,8,4,0,1326000,0,0,0
2021-01-04,45493,1,0,0,NA,0,0,0,0,343196,9,4,0,1326000,0,0,0
2021-01-05,51696,1,0,0,NA,0,0,0,0,394892,10,4,0,1326000,0,0,0
2021-01-06,62229,6,2,0,NA,0,0,0,0,457121,16,6,0,1326000,0,0,0
2021-01-07,53792,3,1,0,NA,0,0,0,0,510913,19,7,0,1326000,0,0,0
2021-01-08,61629,51,1,0,impfzentren,687375,0,0,0,572542,70,8,0,2013375,0,0,0
2021-01-09,59698,3,0,0,NA,0,0,0,0,632240,73,8,0,2013375,0,0,0
2021-01-10,35095,8,0,0,NA,0,0,0,0,667335,81,8,0,2013375,0,0,0
2021-01-11,67312,12,2,0,NA,0,0,0,0,734647,93,10,0,2013375,0,0,0
2021-01-12,78028,15,0,0,impfzentren,0,63600,0,0,812675,108,10,0,2013375,63600,0,0
2021-01-13,109266,1170,0,0,NA,0,0,0,0,921941,1278,10,0,2013375,63600,0,0
2021-01-14,77687,5142,0,0,NA,0,0,0,0,999628,6420,10,0,2013375,63600,0,0
2021-01-15,84905,5262,5,0,NA,0,0,0,0,1084533,11682,15,0,2013375,63600,0,0
2021-01-16,55478,1680,1,0,NA,0,0,0,0,1140011,13362,16,0,2013375,63600,0,0
2021-01-17,46814,1259,1,0,NA,0,0,0,0,1186825,14621,17,0,2013375,63600,0,0
2021-01-18,77689,4142,1,0,NA,0,0,0,0,1264514,18763,18,0,2013375,63600,0,0
2021-01-19,115301,3662,8,0,impfzentren,842400,0,0,0,1379815,22425,26,0,2855775,63600,0,0
2021-01-20,129766,2741,3,0,NA,0,0,0,0,1509581,25166,29,0,2855775,63600,0,0
2021-01-21,102606,2735,0,0,NA,0,0,0,0,1612187,27901,29,0,2855775,63600,0,0
2021-01-22,99544,2186,8,0,NA,0,0,0,0,1711731,30087,37,0,2855775,63600,0,0
2021-01-23,86361,355,3,0,NA,0,0,0,0,1798092,30442,40,0,2855775,63600,0,0
2021-01-24,47282,199,4,0,NA,0,0,0,0,1845374,30641,44,0,2855775,63600,0,0
2021-01-25,89537,1415,3,0,NA,0,0,0,0,1934911,32056,47,0,2855775,63600,0,0
2021-01-26,95978,1436,7,0,impfzentren,489060,0,0,0,2030889,33492,54,0,3344835,63600,0,0
2021-01-27,107337,1787,8,0,NA,0,0,0,0,2138226,35279,62,0,3344835,63600,0,0
2021-01-28,90566,1628,3,0,NA,0,0,0,0,2228792,36907,65,0,3344835,63600,0,0
2021-01-29,105906,1479,6,0,NA,0,0,0,0,2334698,38386,71,0,3344835,63600,0,0
2021-01-30,87227,879,2,0,NA,0,0,0,0,2421925,39265,73,0,3344835,63600,0,0
2021-01-31,56592,376,5,0,impfzentren,0,90000,0,0,2478517,39641,78,0,3344835,153600,0,0
2021-02-01,117430,2209,51,0,NA,0,0,0,0,2595947,41850,129,0,3344835,153600,0,0
2021-02-02,128992,3056,13,0,impfzentren,747630,0,0,0,2724939,44906,142,0,4092465,153600,0,0
2021-02-03,154816,6327,26,1,NA,0,0,0,0,2879755,51233,168,1,4092465,153600,0,0
2021-02-04,127296,5829,5,0,NA,0,0,0,0,3007051,57062,173,1,4092465,153600,0,0
2021-02-05,140000,6453,7,0,NA,0,0,0,0,3147051,63515,180,1,4092465,153600,0,0
2021-02-06,90989,2626,1,0,impfzentren,0,0,345600,0,3238040,66141,181,1,4092465,153600,345600,0
2021-02-07,50947,2327,2,0,NA,0,0,0,0,3288987,68468,183,1,4092465,153600,345600,0
2021-02-08,105035,3821,27,0,NA,0,0,0,0,3394022,72289,210,1,4092465,153600,345600,0
2021-02-09,130486,3433,113,0,impfzentren,747630,0,0,0,3524508,75722,323,1,4840095,153600,345600,0
2021-02-10,141687,4231,8278,0,NA,0,0,0,0,3666195,79953,8601,1,4840095,153600,345600,0
2021-02-11,120056,7265,16276,2,NA,0,0,0,0,3786251,87218,24877,3,4840095,153600,345600,0
2021-02-12,131672,9297,14157,3,impfzentren,0,0,391200,0,3917923,96515,39034,6,4840095,153600,736800,0
2021-02-13,90763,3257,13196,1,NA,0,0,0,0,4008686,99772,52230,7,4840095,153600,736800,0
2021-02-14,55534,2475,7222,1,NA,0,0,0,0,4064220,102247,59452,8,4840095,153600,736800,0
2021-02-15,104625,5227,15406,1,impfzentren,0,182400,0,0,4168845,107474,74858,9,4840095,336000,736800,0
2021-02-16,108403,6068,19541,1,impfzentren,904410,0,0,0,4277248,113542,94399,10,5744505,336000,736800,0
2021-02-17,121922,7996,20670,1,NA,0,0,0,0,4399170,121538,115069,11,5744505,336000,736800,0
2021-02-18,112185,8221,23729,1,NA,0,0,0,0,4511355,129759,138798,12,5744505,336000,736800,0
2021-02-19,120810,9957,27316,1,impfzentren,0,0,715200,0,4632165,139716,166114,13,5744505,336000,1452000,0
2021-02-20,86335,4458,21143,1,NA,0,0,0,0,4718500,144174,187257,14,5744505,336000,1452000,0
2021-02-21,66473,3629,15611,1,NA,0,0,0,0,4784973,147803,202868,15,5744505,336000,1452000,0
2021-02-22,122542,8983,23506,1,NA,0,0,0,0,4907515,156786,226374,16,5744505,336000,1452000,0
2021-02-23,133524,7103,28726,1,impfzentren,926640,0,0,0,5041039,163889,255100,17,6671145,336000,1452000,0
2021-02-24,131287,7603,36529,1,NA,0,0,0,0,5172326,171492,291629,18,6671145,336000,1452000,0
2021-02-25,131236,6756,50691,0,NA,0,0,0,0,5303562,178248,342320,18,6671145,336000,1452000,0
2021-02-26,140570,8840,62628,0,NA,0,0,0,0,5444132,187088,404948,18,6671145,336000,1452000,0
2021-02-27,92647,4071,50911,0,impfzentren,0,343200,0,0,5536779,191159,455859,18,6671145,679200,1452000,0
2021-02-28,61233,3946,37551,1,NA,0,0,0,0,5598012,195105,493410,19,6671145,679200,1452000,0
2021-03-01,130091,9590,58231,0,NA,0,0,0,0,5728103,204695,551641,19,6671145,679200,1452000,0
2021-03-02,139790,9991,68754,0,impfzentren,1014390,0,650400,0,5867893,214686,620395,19,7685535,679200,2102400,0
2021-03-03,156799,14938,74240,0,NA,0,0,0,0,6024692,229624,694635,19,7685535,679200,2102400,0
2021-03-04,141032,14464,88783,0,NA,0,0,0,0,6165724,244088,783418,19,7685535,679200,2102400,0
2021-03-05,149475,13362,112610,1,NA,0,0,0,0,6315199,257450,896028,20,7685535,679200,2102400,0
2021-03-06,109254,8426,83908,0,NA,0,0,0,0,6424453,265876,979936,20,7685535,679200,2102400,0
2021-03-07,79762,6643,61076,0,NA,0,0,0,0,6504215,272519,1041012,20,7685535,679200,2102400,0
2021-03-08,133937,10923,92484,0,NA,0,0,0,0,6638152,283442,1133496,20,7685535,679200,2102400,0
2021-03-09,140053,12773,99224,0,impfzentren,1083420,0,960000,0,6778205,296215,1232720,20,8768955,679200,3062400,0
2021-03-10,158990,11995,116973,1,NA,0,0,0,0,6937195,308210,1349693,21,8768955,679200,3062400,0
2021-03-11,147640,13715,122669,0,NA,0,0,0,0,7084835,321925,1472362,21,8768955,679200,3062400,0
2021-03-12,151563,17289,157388,0,NA,0,0,0,0,7236398,339214,1629750,21,8768955,679200,3062400,0
2021-03-13,116030,9549,114912,0,NA,0,0,0,0,7352428,348763,1744662,21,8768955,679200,3062400,0
2021-03-14,87984,5509,76411,0,NA,0,0,0,0,7440412,354272,1821073,21,8768955,679200,3062400,0
2021-03-15,152780,12712,82126,0,impfzentren,0,0,364800,0,7593192,366984,1903199,21,8768955,679200,3427200,0
2021-03-16,166629,11225,1013,0,impfzentren,1083420,0,0,0,7759821,378209,1904212,21,9852375,679200,3427200,0
2021-03-17,186238,17975,744,0,NA,0,0,0,0,7946059,396184,1904956,21,9852375,679200,3427200,0
2021-03-18,174079,18126,1159,0,NA,0,0,0,0,8120138,414310,1906115,21,9852375,679200,3427200,0
2021-03-19,185509,20752,38525,0,NA,0,0,0,0,8305647,435062,1944640,21,9852375,679200,3427200,0
2021-03-20,135423,15273,69534,0,NA,0,0,0,0,8441070,450335,2014174,21,9852375,679200,3427200,0
2021-03-21,102271,9198,53065,0,impfzentren,0,432000,0,0,8543341,459533,2067239,21,9852375,1111200,3427200,0
2021-03-22,166495,23770,78905,0,NA,0,0,0,0,8709836,483303,2146144,21,9852375,1111200,3427200,0
2021-03-23,181420,19635,99462,0,impfzentren,1076400,0,204000,0,8891256,502938,2245606,21,10928775,1111200,3631200,0
2021-03-24,200042,32990,105780,0,NA,0,0,0,0,9091298,535928,2351386,21,10928775,1111200,3631200,0
2021-03-25,185433,27645,119414,0,NA,0,0,0,0,9276731,563573,2470800,21,10928775,1111200,3631200,0
2021-03-26,199420,37107,136958,0,impfzentren,0,0,201600,0,9476151,600680,2607758,21,10928775,1111200,3832800,0
2021-03-27,149538,27613,103981,1,NA,0,0,0,0,9625689,628293,2711739,22,10928775,1111200,3832800,0
2021-03-28,115331,18485,62503,2,NA,0,0,0,0,9741020,646778,2774242,24,10928775,1111200,3832800,0
2021-03-29,188671,24864,91843,0,NA,0,0,0,0,9929691,671642,2866085,24,10928775,1111200,3832800,0
2021-03-30,218703,24406,85882,0,impfzentren,1427400,0,0,0,10148394,696048,2951967,24,12356175,1111200,3832800,0
2021-03-31,247545,36037,52652,0,NA,0,0,0,0,10395939,732085,3004619,24,12356175,1111200,3832800,0
2021-04-01,238671,32431,55262,0,NA,0,0,0,0,10634610,764516,3059881,24,12356175,1111200,3832800,0
2021-04-02,179543,14382,31755,0,impfzentren,0,650400,0,0,10814153,778898,3091636,24,12356175,1761600,3832800,0
2021-04-03,174046,15814,41850,0,impfzentren,0,0,1744800,0,10988199,794712,3133486,24,12356175,1761600,5577600,0
2021-04-04,132240,10077,50654,0,NA,0,0,0,0,11120439,804789,3184140,24,12356175,1761600,5577600,0
2021-04-05,164981,17883,64928,0,NA,0,0,0,0,11285420,822672,3249068,24,12356175,1761600,5577600,0
2021-04-06,254890,32211,86538,0,NA,0,0,0,0,11540310,854883,3335606,24,12356175,1761600,5577600,0
2021-04-07,542024,36946,88800,0,impfzentren,2737734,0,0,0,12082334,891829,3424406,24,15093909,1761600,5577600,0
2021-04-07,542024,36946,88800,0,arztpraxen,2737734,0,0,0,12624358,928775,3513206,24,17831643,1761600,5577600,0
2021-04-08,571117,35549,91637,0,NA,0,0,0,0,13195475,964324,3604843,24,17831643,1761600,5577600,0
2021-04-09,489882,36518,104971,0,NA,0,0,0,0,13685357,1000842,3709814,24,17831643,1761600,5577600,0
2021-04-10,248304,23251,100828,0,NA,0,0,0,0,13933661,1024093,3810642,24,17831643,1761600,5577600,0
2021-04-11,170296,18664,74827,0,NA,0,0,0,0,14103957,1042757,3885469,24,17831643,1761600,5577600,0
2021-04-12,278661,29194,110397,1,impfzentren,0,0,360000,0,14382618,1071951,3995866,25,17831643,1761600,5937600,0
2021-04-13,432096,27200,117211,0,impfzentren,2519669,0,0,0,14814714,1099151,4113077,25,20351312,1761600,5937600,0
2021-04-13,432096,27200,117211,0,arztpraxen,2519669,0,0,0,15246810,1126351,4230288,25,22870981,1761600,5937600,0
2021-04-14,616320,33537,124826,0,NA,0,0,0,0,15863130,1159888,4355114,25,22870981,1761600,5937600,0
2021-04-15,533645,36204,109885,1,NA,0,0,0,0,16396775,1196092,4464999,26,22870981,1761600,5937600,0
2021-04-16,437938,32476,125655,0,NA,0,0,0,0,16834713,1228568,4590654,26,22870981,1761600,5937600,0
2021-04-17,224806,22617,117135,0,impfzentren,0,42000,0,0,17059519,1251185,4707789,26,22870981,1803600,5937600,0
2021-04-18,171963,15380,80940,0,bund,0,72000,57600,0,17231482,1266565,4788729,26,22870981,1875600,5995200,0
2021-04-19,293361,32884,75296,1,NA,0,0,0,0,17524843,1299449,4864025,27,22870981,1875600,5995200,0
