date,administered_doses_pfizer,administered_doses_moderna,administered_doses_astrazeneca,administered_doses_jj,einrichtung,delivered_doses_pfizer,delivered_doses_moderna,delivered_doses_astrazeneca,delivered_doses_jj,cum_administered_doses_pfizer,cum_administered_doses_moderna,cum_administered_doses_astrazeneca,cum_administered_doses_jj,cum_delivered_doses_pfizer,cum_delivered_doses_moderna,cum_delivered_doses_astrazeneca,cum_delivered_doses_jj
2020-12-26,0,0,0,0,impfzentren,151125,0,0,0,0,0,0,0,151125,0,0,0
2020-12-27,24160,3,0,0,NA,0,0,0,0,24160,3,0,0,151125,0,0,0
2020-12-28,18032,0,0,0,impfzentren,521625,0,0,0,42192,3,0,0,672750,0,0,0
2020-12-29,50205,0,1,0,NA,0,0,0,0,92397,3,1,0,672750,0,0,0
2020-12-30,63773,0,0,0,impfzentren,653250,0,0,0,156170,3,1,0,1326000,0,0,0
2020-12-31,49822,0,0,0,NA,0,0,0,0,205992,3,1,0,1326000,0,0,0
2021-01-01,25422,6,3,0,NA,0,0,0,0,231414,9,4,0,1326000,0,0,0
2021-01-02,48055,0,0,0,NA,0,0,0,0,279469,9,4,0,1326000,0,0,0
2021-01-03,22442,2,0,0,NA,0,0,0,0,301911,11,4,0,1326000,0,0,0
2021-01-04,45929,1,0,0,NA,0,0,0,0,347840,12,4,0,1326000,0,0,0
2021-01-05,52339,1,0,0,NA,0,0,0,0,400179,13,4,0,1326000,0,0,0
2021-01-06,62672,6,3,0,NA,0,0,0,0,462851,19,7,0,1326000,0,0,0
2021-01-07,54678,4,2,1,NA,0,0,0,0,517529,23,9,1,1326000,0,0,0
2021-01-08,62310,51,1,0,impfzentren,687375,0,0,0,579839,74,10,1,2013375,0,0,0
2021-01-09,60159,3,1,0,NA,0,0,0,0,639998,77,11,1,2013375,0,0,0
2021-01-10,35766,9,0,0,NA,0,0,0,0,675764,86,11,1,2013375,0,0,0
2021-01-11,67942,14,2,0,NA,0,0,0,0,743706,100,13,1,2013375,0,0,0
2021-01-12,78725,15,1,0,impfzentren,0,63600,0,0,822431,115,14,1,2013375,63600,0,0
2021-01-13,110341,1173,0,0,NA,0,0,0,0,932772,1288,14,1,2013375,63600,0,0
2021-01-14,78620,5156,0,0,NA,0,0,0,0,1011392,6444,14,1,2013375,63600,0,0
2021-01-15,85985,5276,5,0,NA,0,0,0,0,1097377,11720,19,1,2013375,63600,0,0
2021-01-16,56006,1682,1,0,NA,0,0,0,0,1153383,13402,20,1,2013375,63600,0,0
2021-01-17,46100,1262,1,1,NA,0,0,0,0,1199483,14664,21,2,2013375,63600,0,0
2021-01-18,78270,4154,1,0,NA,0,0,0,0,1277753,18818,22,2,2013375,63600,0,0
2021-01-19,115594,3678,9,0,impfzentren,842400,0,0,0,1393347,22496,31,2,2855775,63600,0,0
2021-01-20,129336,2754,3,0,NA,0,0,0,0,1522683,25250,34,2,2855775,63600,0,0
2021-01-21,102299,2747,1,0,NA,0,0,0,0,1624982,27997,35,2,2855775,63600,0,0
2021-01-22,99458,2190,9,0,NA,0,0,0,0,1724440,30187,44,2,2855775,63600,0,0
2021-01-23,86260,354,3,0,NA,0,0,0,0,1810700,30541,47,2,2855775,63600,0,0
2021-01-24,47039,199,4,0,NA,0,0,0,0,1857739,30740,51,2,2855775,63600,0,0
2021-01-25,89541,1419,3,0,NA,0,0,0,0,1947280,32159,54,2,2855775,63600,0,0
2021-01-26,96182,1438,7,0,impfzentren,489060,0,0,0,2043462,33597,61,2,3344835,63600,0,0
2021-01-27,107613,1790,8,1,NA,0,0,0,0,2151075,35387,69,3,3344835,63600,0,0
2021-01-28,91224,1629,3,0,NA,0,0,0,0,2242299,37016,72,3,3344835,63600,0,0
