date,cum_vacs,new_vacs_all,new_vacs_first_dose_all,new_vacs_second_dose_all,cum_vacs_pfizer,cum_vacs_moderna,cum_vacs_astrazeneca,cum_persons_vaccinated_first_dose,cum_persons_vaccinated_second_dose,pct_pop_vaccinated_first_dose,pct_pop_vaccinated_second_dose,cum_vacs_age_indication,cum_vacs_profession_indication,cum_vacs_medical_indication,cum_vacs_care_homes,cum_vacs_age_indication_first_dose,cum_vacs_profession_indication_first_dose,cum_vacs_medical_indication_first_dose,cum_vacs_care_homes_first_dose,cum_vacs_age_indication_second_dose,cum_vacs_profession_indication_second_dose,cum_vacs_medical_indication_second_dose,cum_vacs_care_homes_second_dose,cum_vacs_vaccination_centres,cum_vacs_doctors_offices,cum_vacs_jj,cum_vacs_pfizer_first_dose,cum_vacs_pfizer_second_dose,cum_vacs_moderna_first_dose,cum_vacs_moderna_second_dose,cum_vacs_astrazeneca_first_dose,cum_vacs_astrazeneca_second_dose,cum_vacs_first_dose_all,cum_vacs_second_dose_all,new_vacs_pfizer,new_vacs_pfizer_first_dose,new_vacs_pfizer_second_dose,new_vacs_moderna,new_vacs_moderna_first_dose,new_vacs_moderna_second_dose,new_vacs_astrazeneca,new_vacs_astrazeneca_first_dose,new_vacs_astrazeneca_second_dose,new_vacs_jj,new_vacs_age_indication,new_vacs_profession_indication,new_vacs_medical_indication,new_vacs_care_homes,new_vacs_vaccination_centres,new_vacs_doctors_offices,new_vacs_all_7day_rollsum,new_vacs_pfizer_7day_rollsum,new_vacs_moderna_7day_rollsum,new_vacs_astrazeneca_7day_rollsum,new_vacs_jj_7day_rollsum
2020-12-27,24096,24096,24083,13,24094,2,0,24083,13,0,0,10705,8657,1305,12604,10664,8590,1305,12536,41,67,0,68,24096,0,0,24081,13,2,0,0,0,24083,13,24094,24081,13,2,2,0,0,0,0,0,10705,8657,1305,12604,24096,0,NA,NA,NA,NA,NA
2020-12-28,41977,17881,17742,139,41975,2,0,41825,152,0.001,0,18621,15788,1991,21344,18580,15721,1991,21276,41,67,0,68,41977,0,0,41823,152,2,0,0,0,41825,152,17881,17742,139,0,0,0,0,0,0,0,7916,7131,686,8740,17881,0,NA,NA,NA,NA,NA
2020-12-29,91933,49956,49250,706,91930,2,1,91075,858,0.001,0,34989,40734,3107,40508,34724,40420,3107,40099,265,314,0,409,91933,0,0,91072,858,2,0,1,0,91075,858,49955,49249,706,0,0,0,1,1,0,0,16368,24946,1116,19164,49956,0,NA,NA,NA,NA,NA
2020-12-30,155355,63422,63301,121,155352,2,1,154376,979,0.002,0,55510,73365,4901,63206,55243,73050,4901,62794,267,315,0,412,155355,0,0,154373,979,2,0,1,0,154376,979,63422,63301,121,0,0,0,0,0,0,0,20521,32631,1794,22698,63422,0,NA,NA,NA,NA,NA
2020-12-31,205054,49699,49610,89,205051,2,1,203986,1068,0.002,0,72831,96719,6752,83965,72517,96367,6752,83476,314,352,0,489,205054,0,0,203983,1068,2,0,1,0,203986,1068,49699,49610,89,0,0,0,0,0,0,0,17321,23354,1851,20759,49699,0,NA,NA,NA,NA,NA
2021-01-01,230395,25341,25332,9,230384,7,4,229318,1077,0.003,0,81208,105449,7830,92301,80894,105097,7830,91812,314,352,0,489,230395,0,0,229308,1076,7,0,3,1,229318,1077,25333,25325,8,5,5,0,3,2,1,0,8377,8730,1078,8336,25341,0,NA,NA,NA,NA,NA
2021-01-02,278345,47950,47664,286,278334,7,4,276982,1363,0.003,0,102774,129731,10350,113258,102365,129304,10350,112629,409,427,0,629,278345,0,0,276972,1362,7,0,3,1,276982,1363,47950,47664,286,0,0,0,0,0,0,0,21566,24282,2520,20957,47950,0,278345,278334,7,4,0
2021-01-03,300753,22408,22403,5,300741,8,4,299385,1368,0.004,0,113044,140227,11284,123279,112635,139800,11284,122650,409,427,0,629,300753,0,0,299374,1367,8,0,3,1,299385,1368,22407,22402,5,1,1,0,0,0,0,0,10270,10496,934,10021,22408,0,276657,276647,6,4,0
2021-01-04,346473,45720,45670,50,346460,9,4,345055,1418,0.004,0,129646,164913,13951,139091,129237,164486,13951,138462,409,427,0,629,346473,0,0,345043,1417,9,0,3,1,345055,1418,45719,45669,50,1,1,0,0,0,0,0,16602,24686,2667,15812,45720,0,304496,304485,7,4,0
2021-01-05,398238,51765,51487,278,398224,10,4,396542,1696,0.005,0,147987,192565,16489,157656,147576,192117,16489,157025,411,448,0,631,398238,0,0,396529,1695,10,0,3,1,396542,1696,51764,51486,278,1,1,0,0,0,0,0,18341,27652,2538,18565,51765,0,306305,306294,8,3,0
