location,date,population,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,new_vacs_7day_rollsum,new_vacs_7day_rollsum_per_100k,new_vacs_14day_rollsum,new_vacs_14ay_rollsum_per_100k
Belgium,2020-12-21,11589616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-22,11589616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-23,11589616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-24,11589616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-25,11589616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-26,11589616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-27,11589616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-28,11589616,304,304,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
Belgium,2020-12-29,11589616,318,318,10,14,14,0,0,0,1,NA,NA,NA,NA
Belgium,2020-12-30,11589616,806,806,19,488,251,0.01,0.01,0,22,NA,NA,NA,NA
Belgium,2020-12-31,11589616,819,819,19,13,172,0.01,0.01,0,15,NA,NA,NA,NA
Belgium,2021-01-01,11589616,821,821,19,2,129,0.01,0.01,0,11,NA,NA,NA,NA
Belgium,2021-01-02,11589616,835,835,32,14,106,0.01,0.01,0,9,NA,NA,NA,NA
Belgium,2021-01-03,11589616,841,841,32,6,90,0.01,0.01,0,8,NA,NA,NA,NA
Belgium,2021-01-04,11589616,852,852,35,11,78,0.01,0.01,0,7,548,4.7283706379918025,NA,NA
Belgium,2021-01-05,11589616,2581,2581,52,1729,323,0.02,0.02,0,28,2263,19.52609991564863,NA,NA
Belgium,2021-01-06,11589616,6525,6525,75,3944,817,0.06,0.06,0,70,5719,49.34589722385971,NA,NA
Belgium,2021-01-07,11589616,14907,14907,88,8382,2013,0.13,0.13,0,174,14088,121.55709041611043,NA,NA
Belgium,2021-01-08,11589616,24235,24235,122,9328,3345,0.21,0.21,0,289,23414,202.02567539770084,NA,NA
Belgium,2021-01-09,11589616,27475,27475,132,3240,3806,0.24,0.24,0,328,26640,229.86093758412704,NA,NA
Belgium,2021-01-10,11589616,27886,27885,133,411,3864,0.24,0.24,0,333,27045,233.35544508118303,NA,NA
Belgium,2021-01-11,11589616,33505,33503,143,5619,4665,0.29,0.29,0,403,32653,281.7435883984422,33201,286.471959036434
Belgium,2021-01-12,11589616,49455,49453,164,15950,6696,0.43,0.43,0,578,46874,404.4482578197587,49137,423.9743577354073
Belgium,2021-01-13,11589616,71219,71106,292,21764,9242,0.61,0.61,0,797,64694,558.206587690222,70413,607.5524849140818
Belgium,2021-01-14,11589616,94587,94469,308,23368,11383,0.82,0.82,0,982,79680,687.5119934948665,93768,809.0690839109769
Belgium,2021-01-15,11589616,118197,118072,333,23610,13423,1.02,1.02,0,1158,93962,810.7429961441346,117376,1012.7686715418354
Belgium,2021-01-16,11589616,123403,123278,343,5206,13704,1.06,1.06,0,1182,95928,827.7064572286088,122568,1057.5673948127358
Belgium,2021-01-17,11589616,126627,126500,345,3224,14106,1.09,1.09,0,1217,98741,851.9781846093952,125786,1085.3336296905782
Belgium,2021-01-18,11589616,137741,137493,479,11114,14891,1.19,1.19,0,1285,104236,899.3913171929079,136889,1181.1349055913502
