location,date,population,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,new_vacs_7day_rollsum,new_vacs_7day_rollsum_per_100k,new_vacs_14day_rollsum,new_vacs_14ay_rollsum_per_100k
Belgium,2020-12-21,11589616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-22,11589616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-23,11589616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-24,11589616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-25,11589616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-26,11589616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-27,11589616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-28,11589616,298,298,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
Belgium,2020-12-29,11589616,302,302,3,4,4,0,0,0,0,NA,NA,NA,NA
Belgium,2020-12-30,11589616,780,780,4,478,241,0.01,0.01,0,21,NA,NA,NA,NA
Belgium,2020-12-31,11589616,790,790,4,10,164,0.01,0.01,0,14,NA,NA,NA,NA
Belgium,2021-01-01,11589616,798,798,4,8,125,0.01,0.01,0,11,NA,NA,NA,NA
Belgium,2021-01-02,11589616,800,800,6,2,100,0.01,0.01,0,9,NA,NA,NA,NA
Belgium,2021-01-03,11589616,NA,NA,NA,NA,84,NA,NA,NA,7,NA,NA,NA,NA
Belgium,2021-01-04,11589616,802,802,6,NA,72,0.01,0.01,0,6,NA,NA,NA,NA
Belgium,2021-01-05,11589616,2506,2506,7,1704,315,0.02,0.02,0,27,NA,NA,NA,NA
Belgium,2021-01-06,11589616,6392,6392,10,3886,802,0.06,0.06,0,69,NA,NA,NA,NA
Belgium,2021-01-07,11589616,14579,14579,11,8187,1970,0.13,0.13,0,170,NA,NA,NA,NA
Belgium,2021-01-08,11589616,23828,23828,15,9249,3290,0.21,0.21,0,284,NA,NA,NA,NA
Belgium,2021-01-09,11589616,27035,27035,15,3207,3748,0.23,0.23,0,323,NA,NA,NA,NA
Belgium,2021-01-10,11589616,27436,27436,15,401,3805,0.24,0.24,0,328,NA,NA,NA,NA
Belgium,2021-01-11,11589616,33017,33017,15,5581,4602,0.28,0.28,0,397,32215,277.964343253478,NA,NA
Belgium,2021-01-12,11589616,48728,48728,17,15711,6603,0.42,0.42,0,570,46222,398.82253217017717,NA,NA
Belgium,2021-01-13,11589616,70157,70157,20,21429,9109,0.61,0.61,0,786,63765,550.1907914809257,NA,NA
Belgium,2021-01-14,11589616,93380,93380,20,23223,11257,0.81,0.81,0,971,78801,679.927617964219,NA,NA
Belgium,2021-01-15,11589616,116698,116698,22,23318,13267,1.01,1.01,0,1145,92870,801.3207685224429,NA,NA
Belgium,2021-01-16,11589616,121860,121860,25,5162,13546,1.05,1.05,0,1169,94825,818.1893170576144,NA,NA
Belgium,2021-01-17,11589616,125161,125161,25,3301,13961,1.08,1.08,0,1205,97725,843.2117164192498,NA,NA
Belgium,2021-01-18,11589616,136193,136084,134,11032,14739,1.18,1.17,0,1272,103176,890.2451988055515,135391,1168.2095420590294
Belgium,2021-01-19,11589616,155450,155160,321,19257,15246,1.34,1.34,0,1315,106722,920.8415533353306,152944,1319.6640855055077
