date,administered_doses_pfizer,administered_doses_moderna,administered_doses_astrazeneca,administered_doses_jj,einrichtung,delivered_doses_pfizer,delivered_doses_moderna,delivered_doses_astrazeneca,delivered_doses_jj,cum_administered_doses_pfizer,cum_administered_doses_moderna,cum_administered_doses_astrazeneca,cum_administered_doses_jj,cum_delivered_doses_pfizer,cum_delivered_doses_moderna,cum_delivered_doses_astrazeneca,cum_delivered_doses_jj
2020-12-26,0,0,0,0,impfzentren,151125,0,0,0,0,0,0,0,151125,0,0,0
2020-12-27,23321,1,0,0,NA,0,0,0,0,23321,1,0,0,151125,0,0,0
2020-12-28,17776,0,0,0,impfzentren,521625,0,0,0,41097,1,0,0,672750,0,0,0
2020-12-29,49772,0,0,0,NA,0,0,0,0,90869,1,0,0,672750,0,0,0
2020-12-30,61759,0,0,0,impfzentren,653250,0,0,0,152628,1,0,0,1326000,0,0,0
2020-12-31,50158,0,0,0,NA,0,0,0,0,202786,1,0,0,1326000,0,0,0
2021-01-01,25730,5,3,0,NA,0,0,0,0,228516,6,3,0,1326000,0,0,0
2021-01-02,47641,0,0,0,NA,0,0,0,0,276157,6,3,0,1326000,0,0,0
2021-01-03,22180,0,0,0,NA,0,0,0,0,298337,6,3,0,1326000,0,0,0
2021-01-04,46578,1,0,0,NA,0,0,0,0,344915,7,3,0,1326000,0,0,0
2021-01-05,51857,1,0,0,NA,0,0,0,0,396772,8,3,0,1326000,0,0,0
2021-01-06,62148,6,2,0,NA,0,0,0,0,458920,14,5,0,1326000,0,0,0
2021-01-07,54110,3,1,0,NA,0,0,0,0,513030,17,6,0,1326000,0,0,0
2021-01-08,61729,49,1,0,impfzentren,687375,0,0,0,574759,66,7,0,2013375,0,0,0
2021-01-09,59462,0,0,0,NA,0,0,0,0,634221,66,7,0,2013375,0,0,0
2021-01-10,34657,2,0,0,NA,0,0,0,0,668878,68,7,0,2013375,0,0,0
2021-01-11,67091,3,0,0,NA,0,0,0,0,735969,71,7,0,2013375,0,0,0
2021-01-12,80694,15,1,0,impfzentren,0,63600,0,0,816663,86,8,0,2013375,63600,0,0
2021-01-13,110418,1171,0,0,NA,0,0,0,0,927081,1257,8,0,2013375,63600,0,0
2021-01-14,76846,5141,0,0,NA,0,0,0,0,1003927,6398,8,0,2013375,63600,0,0
2021-01-15,84753,5263,5,0,NA,0,0,0,0,1088680,11661,13,0,2013375,63600,0,0
2021-01-16,55349,1680,1,0,NA,0,0,0,0,1144029,13341,14,0,2013375,63600,0,0
2021-01-17,47066,1261,1,0,NA,0,0,0,0,1191095,14602,15,0,2013375,63600,0,0
2021-01-18,77924,4152,1,0,NA,0,0,0,0,1269019,18754,16,0,2013375,63600,0,0
2021-01-19,114783,3661,8,0,impfzentren,842400,0,0,0,1383802,22415,24,0,2855775,63600,0,0
2021-01-20,129373,2741,3,0,NA,0,0,0,0,1513175,25156,27,0,2855775,63600,0,0
2021-01-21,103380,2738,0,0,NA,0,0,0,0,1616555,27894,27,0,2855775,63600,0,0
2021-01-22,100646,2185,7,0,NA,0,0,0,0,1717201,30079,34,0,2855775,63600,0,0
2021-01-23,86261,358,3,0,NA,0,0,0,0,1803462,30437,37,0,2855775,63600,0,0
2021-01-24,47536,195,4,0,NA,0,0,0,0,1850998,30632,41,0,2855775,63600,0,0
2021-01-25,89770,1412,3,0,NA,0,0,0,0,1940768,32044,44,0,2855775,63600,0,0
2021-01-26,96035,1436,7,0,impfzentren,489060,0,0,0,2036803,33480,51,0,3344835,63600,0,0
2021-01-27,106816,1786,8,0,NA,0,0,0,0,2143619,35266,59,0,3344835,63600,0,0
2021-01-28,88785,1654,3,0,NA,0,0,0,0,2232404,36920,62,0,3344835,63600,0,0
2021-01-29,107036,1441,5,0,NA,0,0,0,0,2339440,38361,67,0,3344835,63600,0,0
2021-01-30,87475,874,3,0,NA,0,0,0,0,2426915,39235,70,0,3344835,63600,0,0
2021-01-31,56789,377,4,0,impfzentren,0,90000,0,0,2483704,39612,74,0,3344835,153600,0,0
2021-02-01,117208,2208,51,0,NA,0,0,0,0,2600912,41820,125,0,3344835,153600,0,0
2021-02-02,127594,3021,13,0,impfzentren,747630,0,0,0,2728506,44841,138,0,4092465,153600,0,0
2021-02-03,152759,6299,24,1,NA,0,0,0,0,2881265,51140,162,1,4092465,153600,0,0
2021-02-04,124671,5691,4,0,NA,0,0,0,0,3005936,56831,166,1,4092465,153600,0,0
2021-02-05,138007,6279,8,0,NA,0,0,0,0,3143943,63110,174,1,4092465,153600,0,0
2021-02-06,97895,2529,1,0,impfzentren,0,0,345600,0,3241838,65639,175,1,4092465,153600,345600,0
2021-02-07,50948,2394,2,0,NA,0,0,0,0,3292786,68033,177,1,4092465,153600,345600,0
2021-02-08,105018,4084,24,0,NA,0,0,0,0,3397804,72117,201,1,4092465,153600,345600,0
2021-02-09,129902,3634,113,0,impfzentren,747630,0,0,0,3527706,75751,314,1,4840095,153600,345600,0
2021-02-10,141573,4096,7933,0,NA,0,0,0,0,3669279,79847,8247,1,4840095,153600,345600,0
2021-02-11,118859,7314,15255,2,NA,0,0,0,0,3788138,87161,23502,3,4840095,153600,345600,0
2021-02-12,132556,9369,13281,3,impfzentren,0,0,391200,0,3920694,96530,36783,6,4840095,153600,736800,0
2021-02-13,90789,3191,13187,1,NA,0,0,0,0,4011483,99721,49970,7,4840095,153600,736800,0
2021-02-14,55661,2449,7278,1,NA,0,0,0,0,4067144,102170,57248,8,4840095,153600,736800,0
2021-02-15,104559,5154,14796,1,impfzentren,0,182400,0,0,4171703,107324,72044,9,4840095,336000,736800,0
2021-02-16,107996,6021,23797,1,impfzentren,904410,0,0,0,4279699,113345,95841,10,5744505,336000,736800,0
2021-02-17,122017,7971,20089,1,NA,0,0,0,0,4401716,121316,115930,11,5744505,336000,736800,0
2021-02-18,110423,8135,23143,1,NA,0,0,0,0,4512139,129451,139073,12,5744505,336000,736800,0
2021-02-19,119152,9809,25528,1,impfzentren,0,0,715200,0,4631291,139260,164601,13,5744505,336000,1452000,0
2021-02-20,85834,4506,21507,1,NA,0,0,0,0,4717125,143766,186108,14,5744505,336000,1452000,0
2021-02-21,66385,3647,15804,1,NA,0,0,0,0,4783510,147413,201912,15,5744505,336000,1452000,0
2021-02-22,124341,8862,25207,1,NA,0,0,0,0,4907851,156275,227119,16,5744505,336000,1452000,0
2021-02-23,131945,7024,27465,1,impfzentren,926640,0,0,0,5039796,163299,254584,17,6671145,336000,1452000,0
2021-02-24,130361,7587,35586,1,NA,0,0,0,0,5170157,170886,290170,18,6671145,336000,1452000,0
2021-02-25,129779,6707,51817,0,NA,0,0,0,0,5299936,177593,341987,18,6671145,336000,1452000,0
2021-02-26,139135,8742,60784,0,NA,0,0,0,0,5439071,186335,402771,18,6671145,336000,1452000,0
2021-02-27,92216,4076,51016,0,impfzentren,0,343200,0,0,5531287,190411,453787,18,6671145,679200,1452000,0
2021-02-28,61221,3946,41934,0,NA,0,0,0,0,5592508,194357,495721,18,6671145,679200,1452000,0
2021-03-01,128936,9560,57258,0,NA,0,0,0,0,5721444,203917,552979,18,6671145,679200,1452000,0
2021-03-02,135535,9948,67467,0,impfzentren,1014390,0,650400,0,5856979,213865,620446,18,7685535,679200,2102400,0
2021-03-03,156306,14390,72399,0,NA,0,0,0,0,6013285,228255,692845,18,7685535,679200,2102400,0
2021-03-04,140692,14353,87457,0,NA,0,0,0,0,6153977,242608,780302,18,7685535,679200,2102400,0
2021-03-05,147494,13163,109937,1,NA,0,0,0,0,6301471,255771,890239,19,7685535,679200,2102400,0
2021-03-06,109581,8472,83611,0,NA,0,0,0,0,6411052,264243,973850,19,7685535,679200,2102400,0
2021-03-07,81932,6770,61740,0,NA,0,0,0,0,6492984,271013,1035590,19,7685535,679200,2102400,0
2021-03-08,134045,10943,92103,0,NA,0,0,0,0,6627029,281956,1127693,19,7685535,679200,2102400,0
2021-03-09,139814,12643,97777,0,impfzentren,1083420,0,960000,0,6766843,294599,1225470,19,8768955,679200,3062400,0
2021-03-10,158412,11607,114841,0,NA,0,0,0,0,6925255,306206,1340311,19,8768955,679200,3062400,0
2021-03-11,147871,13604,120240,0,NA,0,0,0,0,7073126,319810,1460551,19,8768955,679200,3062400,0
2021-03-12,151198,17175,156338,0,NA,0,0,0,0,7224324,336985,1616889,19,8768955,679200,3062400,0
2021-03-13,114989,9658,123113,0,NA,0,0,0,0,7339313,346643,1740002,19,8768955,679200,3062400,0
2021-03-14,88978,5151,76910,0,NA,0,0,0,0,7428291,351794,1816912,19,8768955,679200,3062400,0
2021-03-15,152264,12473,82162,0,impfzentren,0,0,364800,0,7580555,364267,1899074,19,8768955,679200,3427200,0
2021-03-16,165360,11092,1170,0,impfzentren,1083420,0,0,0,7745915,375359,1900244,19,9852375,679200,3427200,0
2021-03-17,185406,17939,712,0,NA,0,0,0,0,7931321,393298,1900956,19,9852375,679200,3427200,0
2021-03-18,173394,18029,1145,0,NA,0,0,0,0,8104715,411327,1902101,19,9852375,679200,3427200,0
2021-03-19,184274,20516,38622,0,NA,0,0,0,0,8288989,431843,1940723,19,9852375,679200,3427200,0
2021-03-20,135264,15274,69704,0,NA,0,0,0,0,8424253,447117,2010427,19,9852375,679200,3427200,0
2021-03-21,103091,9451,53367,0,impfzentren,0,432000,0,0,8527344,456568,2063794,19,9852375,1111200,3427200,0
2021-03-22,166248,23707,77828,0,NA,0,0,0,0,8693592,480275,2141622,19,9852375,1111200,3427200,0
2021-03-23,180266,19747,98109,0,impfzentren,1076400,0,204000,0,8873858,500022,2239731,19,10928775,1111200,3631200,0
2021-03-24,197294,33287,103644,0,NA,0,0,0,0,9071152,533309,2343375,19,10928775,1111200,3631200,0
2021-03-25,186802,27641,122936,0,NA,0,0,0,0,9257954,560950,2466311,19,10928775,1111200,3631200,0
2021-03-26,203102,36883,136729,0,impfzentren,0,0,201600,0,9461056,597833,2603040,19,10928775,1111200,3832800,0
2021-03-27,152707,27538,106748,0,NA,0,0,0,0,9613763,625371,2709788,19,10928775,1111200,3832800,0
2021-03-28,118356,18543,60408,2,NA,0,0,0,0,9732119,643914,2770196,21,10928775,1111200,3832800,0
2021-03-29,189729,25856,94724,0,NA,0,0,0,0,9921848,669770,2864920,21,10928775,1111200,3832800,0
2021-03-30,218942,26158,85904,0,impfzentren,1427400,0,0,0,10140790,695928,2950824,21,12356175,1111200,3832800,0
2021-03-31,248206,38079,53252,0,NA,0,0,0,0,10388996,734007,3004076,21,12356175,1111200,3832800,0
2021-04-01,238393,33566,56292,0,NA,0,0,0,0,10627389,767573,3060368,21,12356175,1111200,3832800,0
2021-04-02,179338,16299,31031,0,impfzentren,0,650400,0,0,10806727,783872,3091399,21,12356175,1761600,3832800,0
2021-04-03,175171,16740,40823,0,impfzentren,0,0,1744800,0,10981898,800612,3132222,21,12356175,1761600,5577600,0
2021-04-04,136024,11069,49397,0,NA,0,0,0,0,11117922,811681,3181619,21,12356175,1761600,5577600,0
2021-04-05,166089,18865,63334,0,NA,0,0,0,0,11284011,830546,3244953,21,12356175,1761600,5577600,0
2021-04-06,254821,32161,86359,0,NA,0,0,0,0,11538832,862707,3331312,21,12356175,1761600,5577600,0
2021-04-07,542888,36738,99553,0,impfzentren,2737734,0,0,0,12081720,899445,3430865,21,15093909,1761600,5577600,0
2021-04-07,542888,36738,99553,0,arztpraxen,2737734,0,0,0,12624608,936183,3530418,21,17831643,1761600,5577600,0
2021-04-08,575088,34785,123059,0,NA,0,0,0,0,13199696,970968,3653477,21,17831643,1761600,5577600,0
2021-04-09,491088,36576,100254,0,NA,0,0,0,0,13690784,1007544,3753731,21,17831643,1761600,5577600,0
2021-04-10,248182,23213,99504,0,NA,0,0,0,0,13938966,1030757,3853235,21,17831643,1761600,5577600,0
2021-04-11,169087,18323,75020,0,NA,0,0,0,0,14108053,1049080,3928255,21,17831643,1761600,5577600,0
2021-04-12,280139,29205,107944,1,impfzentren,0,0,360000,0,14388192,1078285,4036199,22,17831643,1761600,5937600,0
2021-04-13,430577,26821,114770,0,impfzentren,2519669,0,0,0,14818769,1105106,4150969,22,20351312,1761600,5937600,0
2021-04-13,430577,26821,114770,0,arztpraxen,2519669,0,0,0,15249346,1131927,4265739,22,22870981,1761600,5937600,0
2021-04-14,617385,33547,123098,0,NA,0,0,0,0,15866731,1165474,4388837,22,22870981,1761600,5937600,0
2021-04-15,532413,36550,110199,1,NA,0,0,0,0,16399144,1202024,4499036,23,22870981,1761600,5937600,0
2021-04-16,438115,32936,124700,0,NA,0,0,0,0,16837259,1234960,4623736,23,22870981,1761600,5937600,0
2021-04-17,225142,22723,116261,0,impfzentren,0,42000,0,0,17062401,1257683,4739997,23,22870981,1803600,5937600,0
2021-04-18,172439,15033,80490,0,bund,0,72000,57600,0,17234840,1272716,4820487,23,22870981,1875600,5995200,0
2021-04-19,293907,32671,74897,1,NA,0,0,0,0,17528747,1305387,4895384,24,22870981,1875600,5995200,0
2021-04-20,380313,38831,138913,0,impfzentren,2517024,0,0,0,17909060,1344218,5034297,24,25388005,1875600,5995200,0
2021-04-20,380313,38831,138913,0,arztpraxen,2517024,0,556930,0,18289373,1383049,5173210,24,27905029,1875600,6552130,0
2021-04-21,453706,41458,224582,0,impfzentren,0,477600,0,0,18743079,1424507,5397792,24,27905029,2353200,6552130,0
2021-04-22,381097,43235,212639,0,NA,0,0,0,0,19124176,1467742,5610431,24,27905029,2353200,6552130,0
2021-04-23,349690,42333,158341,9,NA,0,0,0,0,19473866,1510075,5768772,33,27905029,2353200,6552130,0
2021-04-24,235657,50093,81094,2,impfzentren,0,0,196800,0,19709523,1560168,5849866,35,27905029,2353200,6748930,0
