date,cum_vacs,new_vacs_all,new_vacs_first_dose_all,new_vacs_second_dose_all,cum_vacs_pfizer,cum_vacs_moderna,cum_vacs_astrazeneca,cum_persons_vaccinated_first_dose,cum_persons_vaccinated_second_dose,pct_pop_vaccinated_first_dose,pct_pop_vaccinated_second_dose,cum_vacs_age_indication,cum_vacs_profession_indication,cum_vacs_medical_indication,cum_vacs_care_homes,cum_vacs_age_indication_first_dose,cum_vacs_profession_indication_first_dose,cum_vacs_medical_indication_first_dose,cum_vacs_care_homes_first_dose,cum_vacs_age_indication_second_dose,cum_vacs_profession_indication_second_dose,cum_vacs_medical_indication_second_dose,cum_vacs_care_homes_second_dose,cum_vacs_vaccination_centres,cum_vacs_doctors_offices,cum_vacs_jj,cum_vacs_pfizer_first_dose,cum_vacs_pfizer_second_dose,cum_vacs_moderna_first_dose,cum_vacs_moderna_second_dose,cum_vacs_astrazeneca_first_dose,cum_vacs_astrazeneca_second_dose,new_vacs_pfizer,new_vacs_pfizer_first_dose,new_vacs_pfizer_second_dose,new_vacs_moderna,new_vacs_moderna_first_dose,new_vacs_moderna_second_dose,new_vacs_astrazeneca,new_vacs_astrazeneca_first_dose,new_vacs_astrazeneca_second_dose,new_vacs_jj,new_vacs_age_indication,new_vacs_profession_indication,new_vacs_medical_indication,new_vacs_care_homes,new_vacs_vaccination_centres,new_vacs_doctors_offices,new_vacs_all_7day_rollsum,new_vacs_pfizer_7day_rollsum,new_vacs_moderna_7day_rollsum,new_vacs_astrazeneca_7day_rollsum,new_vacs_jj_7day_rollsum
2020-12-27,23999,23999,23986,13,23998,1,0,23986,13,0,0,10705,8657,1305,12604,10664,8590,1305,12536,41,67,0,68,23999,0,0,23985,13,1,0,0,0,23998,23985,13,1,1,0,0,0,0,0,10705,8657,1305,12604,23999,0,NA,NA,NA,NA,NA
2020-12-28,42485,18486,18449,37,42484,1,0,42435,50,0.001,0,18621,15788,1991,21344,18580,15721,1991,21276,41,67,0,68,42485,0,0,42434,50,1,0,0,0,18486,18449,37,0,0,0,0,0,0,0,7916,7131,686,8740,18486,0,NA,NA,NA,NA,NA
2020-12-29,93221,50736,50011,725,93220,1,0,92446,775,0.001,0,34989,40734,3107,40508,34724,40420,3107,40099,265,314,0,409,93221,0,0,92445,775,1,0,0,0,50736,50011,725,0,0,0,0,0,0,0,16368,24946,1116,19164,50736,0,NA,NA,NA,NA,NA
2020-12-30,155893,62672,62552,120,155892,1,0,154998,895,0.002,0,55510,73365,4901,63206,55243,73050,4901,62794,267,315,0,412,155893,0,0,154997,895,1,0,0,0,62672,62552,120,0,0,0,0,0,0,0,20521,32631,1794,22698,62672,0,NA,NA,NA,NA,NA
2020-12-31,205912,50019,49870,149,205911,1,0,204868,1044,0.002,0,72831,96719,6752,83965,72517,96367,6752,83476,314,352,0,489,205912,0,0,204867,1044,1,0,0,0,50019,49870,149,0,0,0,0,0,0,0,17321,23354,1851,20759,50019,0,NA,NA,NA,NA,NA
2021-01-01,224691,18779,18772,7,224689,1,1,223640,1051,0.003,0,81208,105449,7830,92301,80894,105097,7830,91812,314,352,0,489,224691,0,0,223638,1051,1,0,1,0,18778,18771,7,0,0,0,1,1,0,0,8377,8730,1078,8336,18779,0,NA,NA,NA,NA,NA
2021-01-02,277113,52422,52139,283,277111,1,1,275779,1334,0.003,0,102774,129731,10350,113258,102365,129304,10350,112629,409,427,0,629,277113,0,0,275777,1334,1,0,1,0,52422,52139,283,0,0,0,0,0,0,0,21566,24282,2520,20957,52422,0,277113,277111,1,1,0
2021-01-03,300890,23777,23772,5,300888,1,1,299551,1339,0.004,0,113044,140227,11284,123279,112635,139800,11284,122650,409,427,0,629,300890,0,0,299549,1339,1,0,1,0,23777,23772,5,0,0,0,0,0,0,0,10270,10496,934,10021,23777,0,276891,276890,0,1,0
2021-01-04,348968,48078,48027,51,348966,1,1,347578,1390,0.004,0,129646,164913,13951,139091,129237,164486,13951,138462,409,427,0,629,348968,0,0,347576,1390,1,0,1,0,48078,48027,51,0,0,0,0,0,0,0,16602,24686,2667,15812,48078,0,306483,306482,0,1,0
2021-01-05,402682,53714,53685,29,402679,2,1,401263,1419,0.005,0,147987,192565,16489,157656,147576,192117,16489,157025,411,448,0,631,402682,0,0,401260,1419,2,0,1,0,53713,53684,29,1,1,0,0,0,0,0,18341,27652,2538,18565,53714,0,309461,309459,1,1,0
2021-01-06,465356,62674,62669,5,465345,8,3,463932,1424,0.006,0,169498,225530,19910,180812,169086,225082,19910,180181,412,448,0,631,465356,0,0,463921,1424,8,0,3,0,62666,62661,5,6,6,0,2,2,0,0,21511,32965,3421,23156,62674,0,309463,309453,7,3,0
2021-01-07,521307,55951,55942,9,521292,12,3,519874,1433,0.006,0,189172,254868,22957,197233,188758,254418,22957,196600,414,450,0,633,521307,0,0,519859,1433,12,0,3,0,55947,55938,9,4,4,0,0,0,0,0,19674,29338,3047,16421,55951,0,315395,315381,11,3,0
2021-01-08,584368,63061,62738,323,584305,60,3,582612,1756,0.007,0,211521,287315,26324,218219,211009,286711,26320,217449,512,604,4,770,584368,0,0,582549,1756,60,0,3,0,63013,62690,323,48,48,0,0,0,0,0,22349,32447,3367,20986,63061,0,359677,359616,59,2,0
2021-01-09,645454,61086,61039,47,645391,60,3,643651,1803,0.008,0,237322,313238,29007,243325,236798,312599,29003,242545,524,639,4,780,645454,0,0,643588,1803,60,0,3,0,61086,61039,47,0,0,0,0,0,0,0,25801,25923,2683,25106,61086,0,368341,368280,59,2,0
