date,cum_vacs,new_vacs_all,new_vacs_first_dose_all,new_vacs_second_dose_all,cum_vacs_pfizer,cum_vacs_moderna,cum_vacs_astrazeneca,cum_persons_vaccinated_first_dose,cum_persons_vaccinated_second_dose,pct_pop_vaccinated_first_dose,pct_pop_vaccinated_second_dose,cum_vacs_age_indication,cum_vacs_profession_indication,cum_vacs_medical_indication,cum_vacs_care_homes,cum_vacs_age_indication_first_dose,cum_vacs_profession_indication_first_dose,cum_vacs_medical_indication_first_dose,cum_vacs_care_homes_first_dose,cum_vacs_age_indication_second_dose,cum_vacs_profession_indication_second_dose,cum_vacs_medical_indication_second_dose,cum_vacs_care_homes_second_dose,cum_vacs_vaccination_centres,cum_vacs_doctors_offices,cum_vacs_jj,cum_vacs_pfizer_first_dose,cum_vacs_pfizer_second_dose,cum_vacs_moderna_first_dose,cum_vacs_moderna_second_dose,cum_vacs_astrazeneca_first_dose,cum_vacs_astrazeneca_second_dose,dosen_erst_kumulativ,dosen_zweit_kumulativ,new_vacs_pfizer,new_vacs_pfizer_first_dose,new_vacs_pfizer_second_dose,new_vacs_moderna,new_vacs_moderna_first_dose,new_vacs_moderna_second_dose,new_vacs_astrazeneca,new_vacs_astrazeneca_first_dose,new_vacs_astrazeneca_second_dose,new_vacs_jj,new_vacs_age_indication,new_vacs_profession_indication,new_vacs_medical_indication,new_vacs_care_homes,new_vacs_vaccination_centres,new_vacs_doctors_offices,new_vacs_all_7day_rollsum,new_vacs_pfizer_7day_rollsum,new_vacs_moderna_7day_rollsum,new_vacs_astrazeneca_7day_rollsum,new_vacs_jj_7day_rollsum
2020-12-27,23245,23245,23228,17,23244,1,0,23228,17,0,0,10705,8657,1305,12604,10664,8590,1305,12536,41,67,0,68,23245,0,0,23227,17,1,0,0,0,23228,17,23244,23227,17,1,1,0,0,0,0,0,10705,8657,1305,12604,23245,0,NA,NA,NA,NA,NA
2020-12-28,40883,17638,17599,39,40882,1,0,40827,56,0,0,18621,15788,1991,21344,18580,15721,1991,21276,41,67,0,68,40883,0,0,40826,56,1,0,0,0,40827,56,17638,17599,39,0,0,0,0,0,0,0,7916,7131,686,8740,17638,0,NA,NA,NA,NA,NA
2020-12-29,90325,49442,48718,724,90324,1,0,89545,780,0.001,0,34989,40734,3107,40508,34724,40420,3107,40099,265,314,0,409,90325,0,0,89544,780,1,0,0,0,89545,780,49442,48718,724,0,0,0,0,0,0,0,16368,24946,1116,19164,49442,0,NA,NA,NA,NA,NA
2020-12-30,151988,61663,61537,126,151987,1,0,151082,906,0.002,0,55510,73365,4901,63206,55243,73050,4901,62794,267,315,0,412,151988,0,0,151081,906,1,0,0,0,151082,906,61663,61537,126,0,0,0,0,0,0,0,20521,32631,1794,22698,61663,0,NA,NA,NA,NA,NA
2020-12-31,202007,50019,49870,149,202006,1,0,200952,1055,0.002,0,72831,96719,6752,83965,72517,96367,6752,83476,314,352,0,489,202007,0,0,200951,1055,1,0,0,0,200952,1055,50019,49870,149,0,0,0,0,0,0,0,17321,23354,1851,20759,50019,0,NA,NA,NA,NA,NA
2021-01-01,220790,18783,18773,10,220785,3,2,219725,1065,0.003,0,81208,105449,7830,92301,80894,105097,7830,91812,314,352,0,489,220790,0,0,219720,1065,3,0,2,0,219725,1065,18779,18769,10,2,2,0,2,2,0,0,8377,8730,1078,8336,18783,0,NA,NA,NA,NA,NA
2021-01-02,273085,52295,52010,285,273080,3,2,271735,1350,0.003,0,102774,129731,10350,113258,102365,129304,10350,112629,409,427,0,629,273085,0,0,271730,1350,3,0,2,0,271735,1350,52295,52010,285,0,0,0,0,0,0,0,21566,24282,2520,20957,52295,0,273085,273080,3,2,0
2021-01-03,296715,23630,23624,6,296710,3,2,295359,1356,0.004,0,113044,140227,11284,123279,112635,139800,11284,122650,409,427,0,629,296715,0,0,295354,1356,3,0,2,0,295359,1356,23630,23624,6,0,0,0,0,0,0,0,10270,10496,934,10021,23630,0,273470,273466,2,2,0
2021-01-04,343934,47219,47167,52,343928,4,2,342526,1408,0.004,0,129646,164913,13951,139091,129237,164486,13951,138462,409,427,0,629,343934,0,0,342520,1408,4,0,2,0,342526,1408,47218,47166,52,1,1,0,0,0,0,0,16602,24686,2667,15812,47219,0,303051,303046,3,2,0
2021-01-05,397023,53089,53059,30,397016,5,2,395585,1438,0.005,0,147987,192565,16489,157656,147576,192117,16489,157025,411,448,0,631,397023,0,0,395578,1438,5,0,2,0,395585,1438,53088,53058,30,1,1,0,0,0,0,0,18341,27652,2538,18565,53089,0,306698,306692,4,2,0
