date,cum_vacs,new_vacs_all,new_vacs_first_dose_all,new_vacs_second_dose_all,cum_vacs_pfizer,cum_vacs_moderna,cum_vacs_astrazeneca,cum_persons_vaccinated_first_dose,cum_persons_vaccinated_second_dose,pct_pop_vaccinated_first_dose,pct_pop_vaccinated_second_dose,cum_vacs_age_indication,cum_vacs_profession_indication,cum_vacs_medical_indication,cum_vacs_care_homes,cum_vacs_age_indication_first_dose,cum_vacs_profession_indication_first_dose,cum_vacs_medical_indication_first_dose,cum_vacs_care_homes_first_dose,cum_vacs_age_indication_second_dose,cum_vacs_profession_indication_second_dose,cum_vacs_medical_indication_second_dose,cum_vacs_care_homes_second_dose,cum_vacs_vaccination_centres,cum_vacs_doctors_offices,cum_vacs_jj,cum_vacs_pfizer_first_dose,cum_vacs_pfizer_second_dose,cum_vacs_moderna_first_dose,cum_vacs_moderna_second_dose,cum_vacs_astrazeneca_first_dose,cum_vacs_astrazeneca_second_dose,cum_vacs_first_dose_all,cum_vacs_second_dose_all,new_vacs_pfizer,new_vacs_pfizer_first_dose,new_vacs_pfizer_second_dose,new_vacs_moderna,new_vacs_moderna_first_dose,new_vacs_moderna_second_dose,new_vacs_astrazeneca,new_vacs_astrazeneca_first_dose,new_vacs_astrazeneca_second_dose,new_vacs_jj,new_vacs_age_indication,new_vacs_profession_indication,new_vacs_medical_indication,new_vacs_care_homes,new_vacs_vaccination_centres,new_vacs_doctors_offices,new_vacs_all_7day_rollsum,new_vacs_pfizer_7day_rollsum,new_vacs_moderna_7day_rollsum,new_vacs_astrazeneca_7day_rollsum,new_vacs_jj_7day_rollsum
2020-12-27,24095,24095,24082,13,24093,2,0,24082,13,0,0,10705,8657,1305,12604,10664,8590,1305,12536,41,67,0,68,24095,0,0,24080,13,2,0,0,0,24082,13,24093,24080,13,2,2,0,0,0,0,0,10705,8657,1305,12604,24095,0,NA,NA,NA,NA,NA
2020-12-28,41977,17882,17743,139,41975,2,0,41825,152,0.001,0,18621,15788,1991,21344,18580,15721,1991,21276,41,67,0,68,41977,0,0,41823,152,2,0,0,0,41825,152,17882,17743,139,0,0,0,0,0,0,0,7916,7131,686,8740,17882,0,NA,NA,NA,NA,NA
2020-12-29,91923,49946,49240,706,91920,2,1,91065,858,0.001,0,34989,40734,3107,40508,34724,40420,3107,40099,265,314,0,409,91923,0,0,91062,858,2,0,1,0,91065,858,49945,49239,706,0,0,0,1,1,0,0,16368,24946,1116,19164,49946,0,NA,NA,NA,NA,NA
2020-12-30,155348,63425,63304,121,155345,2,1,154369,979,0.002,0,55510,73365,4901,63206,55243,73050,4901,62794,267,315,0,412,155348,0,0,154366,979,2,0,1,0,154369,979,63425,63304,121,0,0,0,0,0,0,0,20521,32631,1794,22698,63425,0,NA,NA,NA,NA,NA
2020-12-31,205039,49691,49602,89,205036,2,1,203971,1068,0.002,0,72831,96719,6752,83965,72517,96367,6752,83476,314,352,0,489,205039,0,0,203968,1068,2,0,1,0,203971,1068,49691,49602,89,0,0,0,0,0,0,0,17321,23354,1851,20759,49691,0,NA,NA,NA,NA,NA
2021-01-01,230367,25328,25318,10,230356,7,4,229289,1078,0.003,0,81208,105449,7830,92301,80894,105097,7830,91812,314,352,0,489,230367,0,0,229279,1077,7,0,3,1,229289,1078,25320,25311,9,5,5,0,3,2,1,0,8377,8730,1078,8336,25328,0,NA,NA,NA,NA,NA
2021-01-02,278317,47950,47664,286,278306,7,4,276953,1364,0.003,0,102774,129731,10350,113258,102365,129304,10350,112629,409,427,0,629,278317,0,0,276943,1363,7,0,3,1,276953,1364,47950,47664,286,0,0,0,0,0,0,0,21566,24282,2520,20957,47950,0,278317,278306,7,4,0
2021-01-03,300723,22406,22400,6,300711,8,4,299353,1370,0.004,0,113044,140227,11284,123279,112635,139800,11284,122650,409,427,0,629,300723,0,0,299342,1369,8,0,3,1,299353,1370,22405,22399,6,1,1,0,0,0,0,0,10270,10496,934,10021,22406,0,276628,276618,6,4,0
2021-01-04,346444,45721,45671,50,346431,9,4,345024,1420,0.004,0,129646,164913,13951,139091,129237,164486,13951,138462,409,427,0,629,346444,0,0,345012,1419,9,0,3,1,345024,1420,45720,45670,50,1,1,0,0,0,0,0,16602,24686,2667,15812,45721,0,304467,304456,7,4,0
2021-01-05,398208,51764,51486,278,398194,10,4,396510,1698,0.005,0,147987,192565,16489,157656,147576,192117,16489,157025,411,448,0,631,398208,0,0,396497,1697,10,0,3,1,396510,1698,51763,51485,278,1,1,0,0,0,0,0,18341,27652,2538,18565,51764,0,306285,306274,8,3,0
2021-01-06,460495,62287,62280,7,460472,16,7,458790,1705,0.006,0,169498,225530,19910,180812,169086,225082,19910,180181,412,448,0,631,460495,0,0,458769,1703,16,0,5,2,458790,1705,62278,62272,6,6,6,0,3,2,1,0,21511,32965,3421,23156,62287,0,305147,305127,14,6,0
