date,administered_doses_pfizer,administered_doses_moderna,administered_doses_astrazeneca,administered_doses_jj,delivered_doses_pfizer,delivered_doses_moderna,delivered_doses_astrazeneca,delivered_doses_jj,cum_administered_doses_pfizer,cum_administered_doses_moderna,cum_administered_doses_astrazeneca,cum_administered_doses_jj,cum_delivered_doses_pfizer,cum_delivered_doses_moderna,cum_delivered_doses_astrazeneca,cum_delivered_doses_jj
2020-12-26,0,0,0,0,151125,0,0,0,0,0,0,0,151125,0,0,0
2020-12-27,23270,1,0,0,0,0,0,0,23270,1,0,0,151125,0,0,0
2020-12-28,17637,0,0,0,521625,0,0,0,40907,1,0,0,672750,0,0,0
2020-12-29,49440,0,0,0,0,0,0,0,90347,1,0,0,672750,0,0,0
2020-12-30,61662,0,0,0,653250,0,0,0,152009,1,0,0,1326000,0,0,0
2020-12-31,50019,0,0,0,0,0,0,0,202028,1,0,0,1326000,0,0,0
2021-01-01,18777,2,3,0,0,0,0,0,220805,3,3,0,1326000,0,0,0
2021-01-02,52295,0,0,0,0,0,0,0,273100,3,3,0,1326000,0,0,0
2021-01-03,23632,0,0,0,0,0,0,0,296732,3,3,0,1326000,0,0,0
2021-01-04,47218,1,0,0,0,0,0,0,343950,4,3,0,1326000,0,0,0
2021-01-05,53086,1,0,0,0,0,0,0,397036,5,3,0,1326000,0,0,0
2021-01-06,62364,6,2,0,0,0,0,0,459400,11,5,0,1326000,0,0,0
2021-01-07,55231,3,0,0,0,0,0,0,514631,14,5,0,1326000,0,0,0
2021-01-08,62638,49,1,0,687375,0,0,0,577269,63,6,0,2013375,0,0,0
2021-01-09,60677,0,0,0,0,0,0,0,637946,63,6,0,2013375,0,0,0
2021-01-10,35510,2,0,0,0,0,0,0,673456,65,6,0,2013375,0,0,0
2021-01-11,66744,3,0,0,0,0,0,0,740200,68,6,0,2013375,0,0,0
2021-01-12,82309,17,1,0,0,63600,0,0,822509,85,7,0,2013375,63600,0,0
2021-01-13,113855,1210,0,0,0,0,0,0,936364,1295,7,0,2013375,63600,0,0
2021-01-14,80644,6508,0,0,0,0,0,0,1017008,7803,7,0,2013375,63600,0,0
2021-01-15,88793,7830,5,0,0,0,0,0,1105801,15633,12,0,2013375,63600,0,0
2021-01-16,56220,2546,1,0,0,0,0,0,1162021,18179,13,0,2013375,63600,0,0
2021-01-17,47836,1784,1,0,0,0,0,0,1209857,19963,14,0,2013375,63600,0,0
2021-01-18,79571,4955,1,0,0,0,0,0,1289428,24918,15,0,2013375,63600,0,0
2021-01-19,116206,4122,8,0,842400,0,0,0,1405634,29040,23,0,2855775,63600,0,0
2021-01-20,132303,3072,3,0,0,0,0,0,1537937,32112,26,0,2855775,63600,0,0
2021-01-21,108286,3284,0,0,0,0,0,0,1646223,35396,26,0,2855775,63600,0,0
2021-01-22,105406,2378,7,0,0,0,0,0,1751629,37774,33,0,2855775,63600,0,0
2021-01-23,87730,420,3,0,0,0,0,0,1839359,38194,36,0,2855775,63600,0,0
2021-01-24,49730,335,4,0,0,0,0,0,1889089,38529,40,0,2855775,63600,0,0
