date,administered_doses_pfizer,administered_doses_moderna,administered_doses_astrazeneca,administered_doses_jj,delivered_doses_pfizer,delivered_doses_moderna,delivered_doses_astrazeneca,delivered_doses_jj,cum_administered_doses_pfizer,cum_administered_doses_moderna,cum_administered_doses_astrazeneca,cum_administered_doses_jj,cum_delivered_doses_pfizer,cum_delivered_doses_moderna,cum_delivered_doses_astrazeneca,cum_delivered_doses_jj
2020-12-26,0,0,0,0,151125,0,0,0,0,0,0,0,151125,0,0,0
2020-12-27,23998,1,0,0,0,0,0,0,23998,1,0,0,151125,0,0,0
2020-12-28,18485,0,0,0,521625,0,0,0,42483,1,0,0,672750,0,0,0
2020-12-29,50735,0,0,0,0,0,0,0,93218,1,0,0,672750,0,0,0
2020-12-30,62672,0,0,0,653250,0,0,0,155890,1,0,0,1326000,0,0,0
2020-12-31,50019,0,0,0,0,0,0,0,205909,1,0,0,1326000,0,0,0
2021-01-01,18777,0,1,0,0,0,0,0,224686,1,1,0,1326000,0,0,0
2021-01-02,52421,0,0,0,0,0,0,0,277107,1,1,0,1326000,0,0,0
2021-01-03,23777,0,0,0,0,0,0,0,300884,1,1,0,1326000,0,0,0
2021-01-04,48077,0,0,0,0,0,0,0,348961,1,1,0,1326000,0,0,0
2021-01-05,53714,1,0,0,0,0,0,0,402675,2,1,0,1326000,0,0,0
2021-01-06,62665,6,2,0,0,0,0,0,465340,8,3,0,1326000,0,0,0
2021-01-07,55946,4,0,0,0,0,0,0,521286,12,3,0,1326000,0,0,0
2021-01-08,63012,48,0,0,687375,0,0,0,584298,60,3,0,2013375,0,0,0
2021-01-09,61085,0,0,0,0,0,0,0,645383,60,3,0,2013375,0,0,0
2021-01-10,35515,0,0,0,0,0,0,0,680898,60,3,0,2013375,0,0,0
2021-01-11,67580,1,0,0,0,0,0,0,748478,61,3,0,2013375,0,0,0
2021-01-12,82641,5,1,0,0,63600,0,0,831119,66,4,0,2013375,63600,0,0
2021-01-13,110914,797,0,0,0,0,0,0,942033,863,4,0,2013375,63600,0,0
2021-01-14,78447,4627,0,0,0,0,0,0,1020480,5490,4,0,2013375,63600,0,0
2021-01-15,86078,5437,19,0,0,0,0,0,1106558,10927,23,0,2013375,63600,0,0
2021-01-16,55799,1772,0,0,0,0,0,0,1162357,12699,23,0,2013375,63600,0,0
2021-01-17,47694,1305,1,0,0,0,0,0,1210051,14004,24,0,2013375,63600,0,0
2021-01-18,78593,4034,1,0,0,0,0,0,1288644,18038,25,0,2013375,63600,0,0
2021-01-19,114197,3467,48,0,842400,0,0,0,1402841,21505,73,0,2855775,63600,0,0
2021-01-20,129270,2751,4,0,0,0,0,0,1532111,24256,77,0,2855775,63600,0,0
2021-01-21,105016,2712,0,0,0,0,0,0,1637127,26968,77,0,2855775,63600,0,0
2021-01-22,101838,2042,12,0,0,0,0,0,1738965,29010,89,0,2855775,63600,0,0
2021-01-23,84629,383,1,0,0,0,0,0,1823594,29393,90,0,2855775,63600,0,0
2021-01-24,48976,244,4,0,0,0,0,0,1872570,29637,94,0,2855775,63600,0,0
2021-01-25,89978,1723,2,0,0,0,0,0,1962548,31360,96,0,2855775,63600,0,0
2021-01-26,97013,1652,6,0,489060,0,0,0,2059561,33012,102,0,3344835,63600,0,0
2021-01-27,109189,1957,8,0,0,0,0,0,2168750,34969,110,0,3344835,63600,0,0
2021-01-28,89532,1636,3,0,0,0,0,0,2258282,36605,113,0,3344835,63600,0,0
2021-01-29,107698,1405,18,0,0,0,0,0,2365980,38010,131,0,3344835,63600,0,0
2021-01-30,87597,874,1,0,0,0,0,0,2453577,38884,132,0,3344835,63600,0,0
2021-01-31,56139,377,1,0,0,90000,0,0,2509716,39261,133,0,3344835,153600,0,0
2021-02-01,118384,2210,57,0,0,0,0,0,2628100,41471,190,0,3344835,153600,0,0
2021-02-02,128796,2868,15,0,747630,0,0,0,2756896,44339,205,0,4092465,153600,0,0
2021-02-03,153060,6385,21,0,0,0,0,0,2909956,50724,226,0,4092465,153600,0,0
2021-02-04,125894,5873,7,0,0,0,0,0,3035850,56597,233,0,4092465,153600,0,0
2021-02-05,138305,6397,8,0,0,0,0,0,3174155,62994,241,0,4092465,153600,0,0
2021-02-06,97610,2527,1,0,0,0,345600,0,3271765,65521,242,0,4092465,153600,345600,0
2021-02-07,51861,2397,2,0,0,0,0,0,3323626,67918,244,0,4092465,153600,345600,0
2021-02-08,105962,3971,24,0,0,0,0,0,3429588,71889,268,0,4092465,153600,345600,0
2021-02-09,129900,3934,110,0,747630,0,0,0,3559488,75823,378,0,4840095,153600,345600,0
2021-02-10,140728,4013,7036,0,0,0,0,0,3700216,79836,7414,0,4840095,153600,345600,0
2021-02-11,118569,7146,15453,0,0,0,0,0,3818785,86982,22867,0,4840095,153600,345600,0
2021-02-12,133140,9788,14412,0,0,0,391200,0,3951925,96770,37279,0,4840095,153600,736800,0
2021-02-13,91704,3186,12881,0,0,0,0,0,4043629,99956,50160,0,4840095,153600,736800,0
2021-02-14,55587,2445,7280,0,0,0,0,0,4099216,102401,57440,0,4840095,153600,736800,0
2021-02-15,107090,4956,14723,0,0,182400,0,0,4206306,107357,72163,0,4840095,336000,736800,0
2021-02-16,107284,5742,23582,0,904410,0,0,0,4313590,113099,95745,0,5744505,336000,736800,0
2021-02-17,121790,7709,19539,0,0,0,0,0,4435380,120808,115284,0,5744505,336000,736800,0
2021-02-18,111072,7946,23668,0,0,0,0,0,4546452,128754,138952,0,5744505,336000,736800,0
2021-02-19,119227,9909,25379,0,0,0,715200,0,4665679,138663,164331,0,5744505,336000,1452000,0
2021-02-20,87244,4526,21651,0,0,0,0,0,4752923,143189,185982,0,5744505,336000,1452000,0
2021-02-21,67634,3228,15301,0,0,0,0,0,4820557,146417,201283,0,5744505,336000,1452000,0
2021-02-22,126134,9097,25067,0,0,0,0,0,4946691,155514,226350,0,5744505,336000,1452000,0
2021-02-23,132541,7160,27465,0,926640,0,0,0,5079232,162674,253815,0,6671145,336000,1452000,0
2021-02-24,132849,7780,35384,0,0,0,0,0,5212081,170454,289199,0,6671145,336000,1452000,0
2021-02-25,131233,6704,51371,0,0,0,0,0,5343314,177158,340570,0,6671145,336000,1452000,0
2021-02-26,140282,8841,60681,0,0,0,0,0,5483596,185999,401251,0,6671145,336000,1452000,0
2021-02-27,92839,4202,51517,0,0,343200,0,0,5576435,190201,452768,0,6671145,679200,1452000,0
