location,date,population,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,new_vacs_7day_rollsum,new_vacs_7day_rollsum_per_100k,new_vacs_14day_rollsum,new_vacs_14ay_rollsum_per_100k
Belgium,2020-12-21,11632334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-22,11632334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-23,11632334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-24,11632334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-25,11632334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-26,11632334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-27,11632334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-28,11632334,318,318,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
Belgium,2020-12-29,11632334,345,345,10,27,27,0,0,0,2,NA,NA,NA,NA
Belgium,2020-12-30,11632334,850,850,19,505,266,0.01,0.01,0,23,NA,NA,NA,NA
Belgium,2020-12-31,11632334,877,877,19,27,186,0.01,0.01,0,16,NA,NA,NA,NA
Belgium,2021-01-01,11632334,886,886,19,9,142,0.01,0.01,0,12,NA,NA,NA,NA
Belgium,2021-01-02,11632334,902,902,32,16,117,0.01,0.01,0,10,NA,NA,NA,NA
Belgium,2021-01-03,11632334,916,916,32,14,100,0.01,0.01,0,9,NA,NA,NA,NA
Belgium,2021-01-04,11632334,946,946,35,30,90,0.01,0.01,0,8,628,5.398744568372951,NA,NA
Belgium,2021-01-05,11632334,2696,2694,54,1750,336,0.02,0.02,0,29,2351,20.210905223319756,NA,NA
Belgium,2021-01-06,11632334,6679,6676,78,3983,833,0.06,0.06,0,72,5829,50.11032179784384,NA,NA
Belgium,2021-01-07,11632334,15133,15127,94,8454,2037,0.13,0.13,0,175,14256,122.55494039287386,NA,NA
Belgium,2021-01-08,11632334,24506,24500,128,9373,3374,0.21,0.21,0,290,23620,203.0546922053648,NA,NA
Belgium,2021-01-09,11632334,27765,27757,140,3259,3838,0.24,0.24,0,330,26863,230.9338779302589,NA,NA
Belgium,2021-01-10,11632334,28189,28179,142,424,3896,0.24,0.24,0,335,27273,234.45853600833675,NA,NA
Belgium,2021-01-11,11632334,33848,33835,154,5659,4700,0.29,0.29,0,404,32902,282.8495124022402,33530,288.2482569706131
Belgium,2021-01-12,11632334,49849,49831,180,16001,6736,0.43,0.43,0,579,47153,405.36146916001553,49504,425.5723743833353
Belgium,2021-01-13,11632334,71710,71573,316,21861,9290,0.62,0.62,0,799,65031,559.0537548182506,70860,609.1640766160943
Belgium,2021-01-14,11632334,95189,95039,340,23479,11437,0.82,0.82,0,983,80056,688.2195782892754,94312,810.7745186821493
Belgium,2021-01-15,11632334,118823,118667,367,23634,13474,1.02,1.02,0,1158,94317,810.8175023172478,117937,1013.8721945226125
Belgium,2021-01-16,11632334,124055,123895,381,5232,13756,1.07,1.07,0,1183,96290,827.7788447271201,123153,1058.712722657379
Belgium,2021-01-17,11632334,127314,127140,395,3259,14161,1.09,1.09,0,1217,99125,852.1505658279757,126398,1086.6091018363124
Belgium,2021-01-18,11632334,138501,138191,544,11187,14950,1.19,1.19,0,1285,104653,899.6732727928892,137555,1182.5227851951292
Belgium,2021-01-19,11632334,157903,157396,771,19402,15436,1.36,1.35,0.01,1327,108054,928.9107413868962,155207,1334.2722105469118
Belgium,2021-01-20,11632334,179556,178597,1249,21653,15407,1.54,1.54,0.01,1324,107846,927.1226221667981,172877,1486.1763769850488
Belgium,2021-01-21,11632334,209847,208863,1298,30291,16380,1.8,1.8,0.01,1408,114658,985.6835266250092,194714,1673.9031049142845
Belgium,2021-01-22,11632334,240009,238983,1375,30162,17312,2.06,2.05,0.01,1488,121186,1041.8029606096247,215503,1852.6204629268725
Belgium,2021-01-23,11632334,248497,247462,1396,8488,17777,2.14,2.13,0.01,1528,124442,1069.793903785775,220732,1897.5727485128953
Belgium,2021-01-24,11632334,250413,249359,1415,1916,17586,2.15,2.14,0.01,1512,123099,1058.248499398315,222224,1910.3990652262908
Belgium,2021-01-25,11632334,261833,260762,1455,11420,17619,2.25,2.24,0.01,1515,123332,1060.2515367939056,227985,1959.924809586795
Belgium,2021-01-26,11632334,274747,271913,3238,12914,16692,2.36,2.34,0.03,1435,116844,1004.4759718900781,224898,1933.3867132769742
Belgium,2021-01-27,11632334,291517,285245,6715,16770,15994,2.51,2.45,0.06,1375,111961,962.4981538528725,219807,1889.6207760196708
Belgium,2021-01-28,11632334,315459,301284,14649,23942,15087,2.71,2.59,0.13,1297,105612,907.9175340047835,220270,1893.6010606297928
