date,cum_vacs,new_vacs_all,new_vacs_first_dose_all,new_vacs_second_dose_all,cum_vacs_pfizer,cum_vacs_moderna,cum_vacs_astrazeneca,cum_persons_vaccinated_first_dose,cum_persons_vaccinated_second_dose,pct_pop_vaccinated_first_dose,pct_pop_vaccinated_second_dose,cum_vacs_elderly,cum_vacs_medical_profession,cum_vacs_medical_condition,cum_vacs_care_homes,cum_vacs_elderly_first_dose,cum_vacs_medical_profession_first_dose,cum_vacs_medical_condition_first_dose,cum_vacs_care_homes_first_dose,cum_vacs_elderly_second_dose,cum_vacs_medical_profession_second_dose,cum_vacs_medical_condition_second_dose,cum_vacs_care_homes_second_dose,new_vacs_pfizer,new_vacs_moderna,new_vacs_astrazeneca,new_vacs_elderly,new_vacs_medical_profession,new_vacs_medical_condition,new_vacs_care_homes,new_vacs_all_7day_rollsum,new_vacs_pfizer_7day_rollsum,new_vacs_moderna_7day_rollsum,new_vacs_astrazeneca_7day_rollsum
2020-12-27,23567,23567,23567,0,23567,0,0,23567,0,2.8e-4,0,8634,7774,1281,13036,8634,7774,1281,13036,0,0,0,0,23567,0,0,8634,7774,1281,13036,NA,NA,NA,NA
2020-12-28,42308,18741,18741,0,42308,0,0,42308,0,5.1e-4,0,16423,15166,1968,21869,16423,15166,1968,21869,0,0,0,0,18741,0,0,7789,7392,687,8833,NA,NA,NA,NA
2020-12-29,84963,42655,42655,0,84963,0,0,84963,0,0.00102,0,28858,36727,3044,38598,28858,36727,3044,38598,0,0,0,0,42655,0,0,12435,21561,1076,16729,NA,NA,NA,NA
2020-12-30,142967,58004,58004,0,142967,0,0,142967,0,0.00172,0,46272,68157,4645,59525,46272,68157,4645,59525,0,0,0,0,58004,0,0,17414,31430,1601,20927,NA,NA,NA,NA
2020-12-31,181586,38619,38619,0,181586,0,0,181586,0,0.00218,0,59368,86811,6463,74885,59368,86811,6463,74885,0,0,0,0,38619,0,0,13096,18654,1818,15360,NA,NA,NA,NA
2021-01-01,206339,24753,24753,0,206339,0,0,206339,0,0.00248,0,67117,96775,7538,87485,67117,96775,7538,87485,0,0,0,0,24753,0,0,7749,9964,1075,12600,NA,NA,NA,NA
2021-01-02,258396,52057,52057,0,258396,0,0,258396,0,0.00311,0,86428,120562,10019,108503,86428,120562,10019,108503,0,0,0,0,52057,0,0,19311,23787,2481,21018,258396,258396,0,0
2021-01-03,283388,24992,24992,0,283388,0,0,283388,0,0.00341,0,96348,131415,10949,119083,96348,131415,10949,119083,0,0,0,0,24992,0,0,9920,10853,930,10580,259821,259821,0,0
2021-01-04,332041,48653,48653,0,332041,0,0,332041,0,0.00399,0,111673,156481,13609,134898,111673,156481,13609,134898,0,0,0,0,48653,0,0,15325,25066,2660,15815,289733,289733,0,0
2021-01-05,384477,52436,52436,0,384477,0,0,384477,0,0.00462,0,127915,184000,16044,153057,127915,183999,16044,153057,0,1,0,0,52436,0,0,16242,27519,2435,18159,299514,299514,0,0
2021-01-06,443565,59088,59088,0,443565,0,0,443565,0,0.00533,0,145832,214942,19458,174205,145832,214941,19458,174205,0,1,0,0,59088,0,0,17917,30942,3414,21148,300598,300598,0,0
2021-01-07,501981,58416,58416,0,501981,0,0,501981,0,0.00604,0,163621,245346,22462,191992,163620,245345,22462,191992,1,1,0,0,58416,0,0,17789,30404,3004,17787,320395,320395,0,0
2021-01-08,562320,60339,60339,0,562320,0,0,562320,0,0.00676,0,183169,276900,25754,211720,183164,276899,25754,211720,5,1,0,0,60339,0,0,19548,31554,3292,19728,355981,355981,0,0
2021-01-09,619513,57193,57193,0,619513,0,0,619513,0,0.00745,0,205513,301604,28067,234589,205504,301603,28067,234589,9,1,0,0,57193,0,0,22344,24704,2313,22869,361117,361117,0,0
2021-01-10,652798,33285,33285,0,652798,0,0,652798,0,0.00785,0,218742,315718,29336,246397,218731,315717,29336,246397,11,1,0,0,33285,0,0,13229,14114,1269,11808,369410,369410,0,0
2021-01-11,718468,65670,65670,0,718468,0,0,718468,0,0.00864,0,241706,347034,32281,266666,241695,347033,32281,266666,11,1,0,0,65670,0,0,22964,31316,2945,20269,386427,386427,0,0
2021-01-12,800654,82186,82186,0,800654,0,0,800654,0,0.00963,0,267224,389471,35433,290904,267213,389470,35433,290904,11,1,0,0,82186,0,0,25518,42437,3152,24238,416177,416177,0,0
2021-01-13,899656,99002,99002,0,898861,795,0,899656,0,0.01082,0,299584,441701,38855,320394,299573,441700,38855,320394,11,1,0,0,98207,795,0,32360,52230,3422,29490,456091,455296,795,0
2021-01-14,999808,100152,100038,114,994365,5443,0,999694,114,0.01202,0,325722,493020,41150,353241,325656,493015,41150,353241,66,5,0,0,95504,4648,0,26138,51319,2295,32847,497827,492384,5443,0
2021-01-15,1092604,92796,92367,429,1081710,10894,0,1092061,543,0.01313,1e-5,355446,540313,44767,381371,355267,540229,44758,381282,179,84,9,89,87345,5451,0,29724,47293,3617,28130,530284,519390,10894,0
2021-01-16,1149716,57112,56715,397,1136964,12752,0,1148776,940,0.01381,1e-5,376421,565405,46806,401246,376051,565214,46736,400955,370,191,70,291,55254,1858,0,20975,25092,2039,19875,530203,517451,12752,0
2021-01-17,1194224,44508,30898,13610,1180057,14167,0,1179674,14550,0.01418,1.7e-4,393135,584991,48529,419089,386445,579908,47864,410856,6690,5083,665,8233,43093,1415,0,16714,19586,1723,17843,541426,527259,14167,0
2021-01-18,1268440,74216,57844,16372,1252339,16101,0,1237518,30922,0.014880000000000001,3.7e-4,420404,620818,50637,439666,407944,608657,49438,424005,12460,12161,1199,15661,72282,1934,0,27269,35827,2108,20577,549972,533871,16101,0
2021-01-19,1363680,95240,68009,27231,1346056,17624,0,1305527,58153,0.0157,7e-4,452882,669840,53893,466779,430966,644655,51901,440490,21916,25185,1992,26289,93717,1523,0,32478,49022,3256,27113,563026,545402,17624,0
2021-01-20,1492439,128759,78102,50657,1473523,18916,0,1383629,108810,0.01664,0.00131,494913,732360,57792,509403,458144,681804,54902,463105,36769,50556,2890,46298,127467,1292,0,42031,62520,3899,42624,592783,574662,18121,0
2021-01-21,1588414,95975,60541,35434,1568398,20016,0,1444170,144244,0.01736,0.00173,532404,776255,62020,540433,482675,708514,58128,480704,49729,67741,3892,59729,94875,1100,0,37491,43895,4228,31030,588606,574033,14573,0
2021-01-22,1703685,115271,83982,31289,1682331,21354,0,1528152,175533,0.01837,0.00211,573652,828218,65597,582957,511364,746025,60813,508290,62288,82193,4784,74667,113933,1338,0,41248,51963,3577,42524,611081,600621,10460,0
2021-01-23,1796328,92643,48794,43849,1774591,21737,0,1576946,219382,0.01896,0.00264,607909,868919,68859,614198,529808,765828,61996,522007,78101,103091,6863,92191,92260,383,0,34257,40701,3262,31241,646612,637627,8985,0
2021-01-24,1862543,66215,38066,28149,1840562,21981,0,1615012,247531,0.01942,0.00298,630527,896040,69749,638287,543179,780826,62317,533801,87348,115214,7432,104486,65971,244,0,22618,27121,890,24089,668319,660505,7814,0
2021-01-25,1959878,97335,57742,39593,1936423,23455,0,1672754,287124,0.02011,0.00345,669905,938978,73166,663880,570712,802934,63964,546483,99193,136044,9202,117397,95861,1474,0,39378,42938,3417,25593,691438,684084,7354,0
2021-01-26,2062562,102684,53106,49578,2037519,25043,0,1725860,336702,0.02075,0.00405,708041,987186,76837,691567,595469,823628,65264,558476,112572,163558,11573,133091,101096,1588,0,38136,48208,3671,27687,698882,691463,7419,0
2021-01-27,2175850,113288,54056,59232,2148896,26954,0,1779916,395934,0.0214,0.00476,748477,1041735,81906,723413,618725,845960,67055,570661,129752,195775,14851,152752,111377,1911,0,40436,54549,5069,31846,683411,675373,8038,0
2021-01-28,2276388,100538,51576,48962,2242951,33437,0,1831492,444896,0.02202,0.00535,785054,1090600,86028,749747,640396,868814,68578,582526,144658,221786,17450,167221,94055,6483,0,36577,48865,4122,26334,687974,674553,13421,0
2021-01-29,2385712,109324,55806,53518,2350871,34841,0,1887298,498414,0.02269,0.00599,825366,1141926,91295,777802,662313,892757,70784,593505,163053,249169,20511,184297,107920,1404,0,40312,51326,5267,28055,682027,668540,13487,0
2021-01-30,2473452,87740,39559,48181,2437737,35715,0,1926857,546595,0.02317,0.00657,858757,1182501,94952,803262,678427,911045,72184,601370,180330,271456,22768,201892,86866,874,0,33391,40575,3657,25460,677124,663146,13978,0
2021-01-31,2536160,62708,31328,31380,2500103,36057,0,1958185,577975,0.02355,0.00695,882301,1210926,96982,818987,691998,925334,73340,607150,190303,285592,23642,211837,62366,342,0,23544,28425,2030,15725,673617,659541,14076,0
2021-02-01,2652053,115893,50032,65861,2614419,37634,0,2008217,643836,0.02415,0.00774,923125,1268745,100531,847987,712031,950095,75156,617009,211094,318650,25375,230978,114316,1577,0,40824,57819,3549,29000,692175,677996,14179,0
