date,administered_doses_pfizer,administered_doses_moderna,administered_doses_astrazeneca,administered_doses_jj,delivered_doses_pfizer,delivered_doses_moderna,delivered_doses_astrazeneca,delivered_doses_jj,cum_administered_doses_pfizer,cum_administered_doses_moderna,cum_administered_doses_astrazeneca,cum_administered_doses_jj,cum_delivered_doses_pfizer,cum_delivered_doses_moderna,cum_delivered_doses_astrazeneca,cum_delivered_doses_jj
2020-12-26,0,0,0,0,151125,0,0,0,0,0,0,0,151125,0,0,0
2020-12-27,24473,1,0,0,0,0,0,0,24473,1,0,0,151125,0,0,0
2020-12-28,18342,0,0,0,521625,0,0,0,42815,1,0,0,672750,0,0,0
2020-12-29,49549,0,0,0,0,0,0,0,92364,1,0,0,672750,0,0,0
2020-12-30,62540,0,0,0,653250,0,0,0,154904,1,0,0,1326000,0,0,0
2020-12-31,50096,0,0,0,0,0,0,0,205000,1,0,0,1326000,0,0,0
2021-01-01,19273,0,1,0,0,0,0,0,224273,1,1,0,1326000,0,0,0
2021-01-02,53095,0,0,0,0,0,0,0,277368,1,1,0,1326000,0,0,0
2021-01-03,24206,0,0,0,0,0,0,0,301574,1,1,0,1326000,0,0,0
2021-01-04,48385,0,0,0,0,0,0,0,349959,1,1,0,1326000,0,0,0
2021-01-05,54056,1,0,0,0,0,0,0,404015,2,1,0,1326000,0,0,0
2021-01-06,62849,6,2,0,0,0,0,0,466864,8,3,0,1326000,0,0,0
2021-01-07,55856,4,0,0,0,0,0,0,522720,12,3,0,1326000,0,0,0
2021-01-08,63433,48,0,0,687375,0,0,0,586153,60,3,0,2013375,0,0,0
2021-01-09,61374,0,0,0,0,0,0,0,647527,60,3,0,2013375,0,0,0
2021-01-10,35361,0,0,0,0,0,0,0,682888,60,3,0,2013375,0,0,0
2021-01-11,67679,1,0,0,0,0,0,0,750567,61,3,0,2013375,0,0,0
2021-01-12,82780,5,1,0,0,63600,0,0,833347,66,4,0,2013375,63600,0,0
