date,cum_vacs,new_vacs_all,new_vacs_first_dose_all,new_vacs_second_dose_all,cum_vacs_pfizer,cum_vacs_moderna,cum_vacs_astrazeneca,cum_persons_vaccinated_first_dose,cum_persons_vaccinated_second_dose,pct_pop_vaccinated_first_dose,pct_pop_vaccinated_second_dose,cum_vacs_age_indication,cum_vacs_profession_indication,cum_vacs_medical_indication,cum_vacs_care_homes,cum_vacs_age_indication_first_dose,cum_vacs_profession_indication_first_dose,cum_vacs_medical_indication_first_dose,cum_vacs_care_homes_first_dose,cum_vacs_age_indication_second_dose,cum_vacs_profession_indication_second_dose,cum_vacs_medical_indication_second_dose,cum_vacs_care_homes_second_dose,cum_vacs_vaccination_centres,cum_vacs_doctors_offices,cum_vacs_jj,dosen_biontech_erst_kumulativ,dosen_biontech_zweit_kumulativ,dosen_moderna_erst_kumulativ,dosen_moderna_zweit_kumulativ,dosen_astrazeneca_erst_kumulativ,dosen_astrazeneca_zweit_kumulativ,new_vacs_pfizer,new_vacs_moderna,new_vacs_astrazeneca,new_vacs_jj,new_vacs_age_indication,new_vacs_profession_indication,new_vacs_medical_indication,new_vacs_care_homes,new_vacs_vaccination_centres,new_vacs_doctors_offices,new_vacs_all_7day_rollsum,new_vacs_pfizer_7day_rollsum,new_vacs_moderna_7day_rollsum,new_vacs_astrazeneca_7day_rollsum,new_vacs_jj_7day_rollsum
2021-02-01,2669053,121842,60050,61792,2627351,41470,232,2007351,661702,0.024,0.008,1026174,1260299,105285,839830,787193,944041,78273,602425,238981,316258,27012,237405,2669053,0,0,1965735,661616,41384,86,232,0,119575,2210,57,0,43309,63377,3710,27400,121842,0,677714,667472,10109,133,0
2021-02-02,2799993,130940,63919,67021,2755408,44338,247,2071270,728723,0.025,0.009,1069633,1330364,110479,870030,806216,982089,80866,611659,263417,348275,29613,258371,2799993,0,0,2026772,728636,44251,87,247,0,128057,2868,15,0,43459,70065,5194,30200,130940,0,709581,698114,11325,142,0
2021-02-03,2959710,159717,64581,95136,2908716,50727,267,2135851,823859,0.026,0.01,1128983,1407775,116405,912544,829819,1014401,83062,623312,299164,393374,33343,289232,2959710,0,0,2084946,823770,50638,89,267,0,153308,6389,20,0,59350,77411,5926,42514,159717,0,758235,742324,15757,154,0
2021-02-04,3091893,132183,61668,70515,3035019,56601,273,2197519,894374,0.026,0.011,1177986,1472437,120972,943857,851937,1046473,85311,632945,326049,425964,35661,310912,3091893,0,0,2140736,894283,56510,91,273,0,126303,5874,6,0,49003,64662,4567,31313,132183,0,798875,778720,19996,159,0
2021-02-05,3236991,145098,67610,77488,3173713,62998,280,2265129,971862,0.027,0.012,1232524,1542580,126293,977786,877231,1080338,86905,644262,355293,462242,39388,333524,3236991,0,0,2201942,971771,62907,91,280,0,138694,6397,7,0,54538,70143,5321,33929,145098,0,835633,810539,24988,106,0
2021-02-06,3337051,100060,47066,52994,3271306,65464,281,2312195,1024856,0.028,0.012,1272514,1588658,130853,1003590,896490,1101898,88782,653957,376024,486760,42071,349633,3337051,0,0,2246541,1024765,65373,91,281,0,97593,2466,1,0,39990,46078,4560,25804,100060,0,847963,821277,26580,106,0
2021-02-07,3391306,54255,28183,26072,3323210,67813,283,2340378,1050928,0.028,0.013,1298155,1609930,133571,1016823,910800,1112720,90015,659435,387355,497210,43556,357388,3391306,0,0,2272374,1050836,67721,92,283,0,51904,2349,2,0,25641,21272,2718,13233,54255,0,844095,815434,28553,108,0
2021-02-08,3501447,110141,53441,56700,3429468,71672,307,2393819,1107628,0.029,0.013,1350672,1655734,137545,1035599,942269,1129343,91902,666781,408403,526391,45643,368818,3501447,0,0,2321933,1107535,71579,93,307,0,106258,3859,24,0,52517,45804,3974,18776,110141,0,832394,802117,30202,75,0
2021-02-09,3634875,133428,59234,74194,3558903,75555,417,2453053,1181822,0.029,0.014,1411842,1714380,141993,1058512,978151,1147503,94639,674792,433691,566877,47354,383720,3634875,0,0,2377662,1181241,74974,581,417,0,129435,3883,110,0,61170,58646,4448,22913,133428,0,834882,803495,31217,170,0
2021-02-10,3784794,149919,74318,75601,3697919,79419,7456,2527371,1257423,0.03,0.015,1478760,1781046,146001,1087933,1017461,1175177,96286,685176,461299,605869,49715,402757,3784794,0,0,2442006,1255913,77909,1510,7456,0,139016,3864,7039,0,66918,66666,4008,29421,149919,0,825084,789203,28692,7189,0
2021-02-11,3927596,142802,74527,68275,3817976,86711,22909,2601898,1325698,0.031,0.016,1539776,1848576,151475,1113070,1052428,1208053,98713,694775,487348,640523,52762,418295,3927596,0,0,2496654,1321322,82353,4358,22891,18,120057,7292,15453,0,61016,67530,5474,25137,142802,0,835703,782957,30110,22636,0
2021-02-12,4083319,155723,80757,74966,3949575,96584,37160,2682655,1400664,0.032,0.017,1611268,1919253,157751,1138545,1094198,1240389,101429,704318,517070,678864,56322,434227,4083319,0,0,2558415,1391160,87102,9482,37138,22,131599,9873,14251,0,71492,70677,6276,25475,155723,0,846328,775862,33586,36880,0
2021-02-13,4191609,108290,62180,46110,4041978,99632,49999,2744835,1446774,0.033,0.017,1667599,1960972,162355,1156080,1129093,1262877,103231,711418,538506,698095,59124,444662,4191609,0,0,2606309,1435669,88611,11021,49915,84,92403,3048,12839,0,56331,41719,4604,17535,108290,0,854558,770672,34168,49718,0
2021-02-14,4256697,65088,40024,25064,4097314,102034,57349,2784859,1471838,0.033,0.018,1706122,1983696,163973,1164146,1153761,1276081,104081,714928,552361,707615,59892,449218,4256697,0,0,2637779,1459535,89815,12219,57265,84,55336,2402,7350,0,38523,22724,1618,8066,65088,0,865391,774104,34221,57066,0
2021-02-15,4383658,126961,71150,55811,4204729,106847,72082,2856009,1527649,0.034,0.018,1773591,2031897,168008,1183418,1194859,1300739,106358,721524,578732,731158,61650,461894,4383658,0,0,2692177,1512552,91864,14983,71968,114,107415,4813,14733,0,67469,48201,4035,19272,126961,0,882211,775261,35175,71775,0
2021-02-16,4519014,135356,81613,53743,4310890,112519,95605,2937622,1581392,0.035,0.019,1839625,2089928,170683,1200400,1236633,1336138,107879,728440,602992,753790,62804,471960,4519014,0,0,2747708,1563182,94431,18088,95483,122,106161,5672,23523,0,66034,58031,2675,16982,135356,0,884139,751987,36964,95188,0
2021-02-17,4669115,150101,94377,55724,4433308,120470,115337,3031999,1637116,0.036,0.02,1920033,2147919,175770,1221928,1292995,1368705,110873,736858,627038,779214,64897,485070,4669115,0,0,2817441,1615867,99348,21122,115210,127,122418,7951,19732,0,80408,57991,5087,21528,150101,0,884321,735389,41051,107881,0
2021-02-18,4812418,143303,92142,51161,4544205,128406,139807,3124141,1688277,0.038,0.02,1995907,2206102,179208,1240945,1345328,1403985,112659,744258,650579,802117,66549,496687,4812418,0,0,2880644,1663561,103823,24583,139674,133,110897,7936,24470,0,75874,58183,3438,19017,143303,0,884822,726229,41695,116898,0
2021-02-19,4965645,153227,99357,53870,4662372,138206,165067,3223498,1742147,0.039,0.021,2076668,2266444,184080,1258305,1402958,1440066,115287,750941,673710,826378,68793,507364,4965645,0,0,2947986,1714386,110623,27583,164889,178,118167,9800,25260,0,80761,60342,4872,17360,153227,0,882326,712797,41622,127907,0
2021-02-20,5079900,114255,76433,37822,4750538,142676,186686,3299931,1779969,0.04,0.021,2138268,2310157,187738,1272296,1445964,1469322,117533,755178,692304,840835,70205,517118,5079900,0,0,2998879,1751659,114565,28111,186487,199,88166,4470,21619,0,61600,43713,3658,13991,114255,0,888291,708560,43044,136687,0
2021-02-21,5165810,85910,56920,28990,4817914,145904,201992,3356851,1808959,0.04,0.022,2187054,2340674,190304,1282667,1479917,1489494,118664,757407,707137,851180,71640,525260,5165810,0,0,3037429,1780485,117634,28270,201788,204,67376,3228,15306,0,48786,30517,2566,10371,85910,0,909113,720600,43870,144643,0
2021-02-22,5326220,160410,100012,60398,4944196,155002,227022,3456863,1869357,0.042,0.022,2266701,2410287,195201,1300517,1538362,1525084,121627,763642,728339,885203,73574,536875,5326220,0,0,3105139,1839057,124922,30080,226802,220,126282,9098,25030,0,79647,69613,4897,17850,160410,0,942562,739467,48155,154940,0
2021-02-23,5493093,166873,107177,59696,5076508,162160,254425,3564040,1929053,0.043,0.023,2346910,2483166,200501,1318387,1598211,1563793,124757,771284,748699,919373,75744,547103,5493093,0,0,3179429,1897079,130419,31741,254192,233,132312,7158,27403,0,80209,72879,5300,17870,166873,0,974079,765618,49641,158820,0
2021-02-24,5668493,175400,116118,59282,5208808,169896,289789,3680158,1988335,0.044,0.024,2431789,2557990,207079,1337422,1660503,1608669,128907,778912,771286,949321,78172,558510,5668493,0,0,3254157,1954651,136467,33429,289534,255,132300,7736,35364,0,84879,74824,6578,19035,175400,0,999378,775500,49426,174452,0
2021-02-25,5857158,188665,130238,58427,5339636,176543,340979,3810396,2046762,0.046,0.025,2514175,2648479,213515,1355541,1722988,1667176,133470,787131,791187,981303,80045,568410,5857158,0,0,3328161,2011475,141662,34881,340573,406,130828,6647,51190,0,82386,90489,6436,18119,188665,0,1044740,795431,48137,201172,0
2021-02-26,6066280,209122,144039,65083,5479553,185259,401468,3954435,2111845,0.048,0.025,2602819,2749814,220591,1375230,1787946,1735795,138593,794627,814873,1014019,81998,580603,6066280,0,0,3404682,2074871,148739,36520,401014,454,139917,8716,60489,0,88644,101335,7076,19689,209122,0,1100635,817181,47053,236401,0
2021-02-27,6214958,148678,108517,40161,5572528,189449,452981,4062952,2152006,0.049,0.026,2666475,2822116,227301,1388101,1833818,1790224,143432,799030,832657,1031892,83869,589071,6214958,0,0,3458274,2114254,152165,37284,452513,468,92975,4190,51513,0,63656,72302,6710,12871,148678,0,1135058,821990,46773,266295,0
2021-02-28,6323078,108120,83832,24288,5634931,193405,494742,4146784,2176294,0.05,0.026,2714700,2875405,231582,1394762,1868893,1834535,146785,801170,845807,1040870,84797,593592,6323078,0,0,3496749,2138182,155768,37637,494267,475,62403,3956,41761,0,48225,53289,4281,6661,108120,0,1157268,817017,47501,292750,0
2021-03-01,6518441,195363,146064,49299,5763440,202857,552144,4292848,2225593,0.052,0.027,2817221,2953369,239381,1408021,1943445,1896228,153263,806209,873776,1057141,86118,601812,6518441,0,0,3578002,2185438,163197,39660,551649,495,128509,9452,57402,0,102521,77964,7799,13259,195363,0,1192221,819244,47855,325122,0
2021-03-02,6737965,219524,165903,53621,5903956,212972,621037,4458751,2279214,0.054,0.027,2927307,3047588,248982,1422628,2022735,1971725,160632,812692,904572,1075863,88350,609936,6737965,0,0,3667728,2236228,170499,42473,620524,513,140516,10115,68893,0,110086,94219,9601,14607,219524,0,1244872,827448,50812,366612,0
2021-03-03,6981358,243393,174443,68950,6060714,226774,693870,4633194,2348164,0.056,0.028,3047976,3148969,260606,1439862,2105531,2048823,170041,819606,942445,1100146,90565,620256,6981358,0,0,3761038,2299676,178874,47900,693282,588,156758,13802,72833,0,120669,101381,11624,17234,243393,0,1312865,851906,56878,404081,0
2021-03-04,7224060,242702,180066,62636,6203047,240752,780261,4813260,2410800,0.058,0.029,3159240,3258741,272992,1455625,2181653,2136963,180034,825002,977587,1121778,92958,630623,7224060,0,0,3845991,2357056,187650,53102,779619,642,142333,13978,86391,0,111264,109772,12386,15763,242702,0,1366902,863411,64209,439282,0
2021-03-05,7492691,268631,201255,67376,6350144,254073,888474,5014515,2478176,0.06,0.03,3277185,3383782,287941,1471072,2258903,2242620,191990,830697,1018282,1141162,95951,640375,7492691,0,0,3931601,2418543,195133,58940,887781,693,147097,13321,108213,0,117945,125041,14949,15447,268631,0,1426411,870591,68814,487006,0
2021-03-06,7695059,202368,153073,49295,6460872,262669,971518,5167588,2527471,0.062,0.03,3366696,3478463,298371,1480590,2314602,2325555,200824,833966,1052094,1152908,97547,646624,7695059,0,0,3995256,2465616,201533,61136,970799,719,110728,8596,83044,0,89511,94681,10430,9518,202368,0,1480101,888344,73220,518537,0
2021-03-07,7845405,150346,115881,34465,6543323,269406,1032676,5283469,2561936,0.064,0.031,3437978,3544531,306478,1486155,2360956,2383880,208082,835928,1077022,1160651,98396,650227,7845405,0,0,4045603,2497720,205928,63478,1031938,738,82451,6737,61158,0,71282,66068,8107,5565,150346,0,1522327,908392,76001,537934,0
2021-03-08,8084244,238839,186358,52481,6678939,280404,1124901,5469827,2614417,0.066,0.031,3556806,3640371,322827,1498475,2442587,2468035,222757,841890,1114219,1172336,100070,656585,8084244,0,0,4132116,2546823,213582,66822,1124129,772,135616,10998,92225,0,118828,95840,16349,12320,238839,0,1565803,915499,77547,572757,0
2021-03-09,8334349,250105,195336,54769,6819066,293140,1222143,5665163,2669186,0.068,0.032,3677710,3742787,340236,1512022,2524321,2558568,238262,848791,1153389,1184219,101974,663231,8334349,0,0,4220910,2598156,222956,70184,1221297,846,140127,12736,97242,0,120904,102416,17409,13547,250105,0,1596384,915110,80168,601106,0
2021-03-10,8617646,283297,217639,65658,6976663,304542,1336441,5882802,2734844,0.071,0.033,3808598,3856306,360962,1530389,2606688,2661880,256906,860000,1201910,1194426,104056,670389,8616675,971,0,4316011,2660652,231254,73288,1335537,904,157597,11402,114298,0,130888,113519,20726,18367,282326,971,1636288,915949,77768,642571,0
2021-03-11,8899091,281445,220531,60914,7125731,317764,1455596,6103333,2795758,0.073,0.034,3937470,3976178,382106,1544008,2689957,2769533,276555,867677,1247513,1206645,105551,676331,8897465,1626,0,4408468,2717263,240232,77532,1454633,963,149068,13222,119155,0,128872,119872,21144,13619,280790,655,1675031,922684,77012,675335,0
2021-03-12,9222350,323259,251666,71593,7278395,335299,1608656,6354999,2867351,0.076,0.034,4071484,4127850,404783,1559463,2770420,2906954,297406,877132,1301064,1220896,107377,682331,9220514,1836,0,4494555,2783840,253039,82260,1607405,1251,152664,17535,153060,0,134014,151672,22677,15455,323049,210,1729659,928251,81226,720182,0
2021-03-13,9468619,246269,196813,49456,7393046,345052,1730521,6551812,2916807,0.079,0.035,4181046,4240796,425293,1567511,2840453,3011727,316755,881879,1340593,1229069,108538,685632,9466627,1992,0,4561178,2831868,261413,83639,1729221,1300,114651,9753,121865,0,109562,112946,20510,8048,246113,156,1773560,932174,82383,759003,0
2021-03-14,9639586,170967,134967,36000,7482500,350198,1806888,6686779,2952807,0.08,0.036,4266043,4307307,441408,1570975,2896461,3072888,331859,883676,1369582,1234419,109549,687299,9637584,2002,0,4615621,2866879,265589,84609,1805569,1319,89454,5146,76367,0,84997,66511,16115,3464,170957,10,1794181,939177,80792,774212,0
2021-03-15,9887715,248129,189270,58859,7634844,362577,1890294,6876049,3011666,0.083,0.036,4400463,4391447,461474,1582289,2984151,3147219,350790,890548,1416312,1244228,110684,691741,9885430,2285,0,4710807,2924037,276347,86230,1888895,1399,152344,12379,83406,0,134420,84140,20066,11314,247846,283,1803471,955905,82173,765393,0
2021-03-16,10066811,179096,112065,67031,7800923,373682,1892206,6988114,3078697,0.084,0.037,4527474,4426082,473886,1593025,3059300,3169255,361553,895647,1468174,1256827,112333,697378,10063979,2832,0,4812207,2988716,285102,88580,1890805,1401,166079,11105,1912,0,127011,34635,12412,10736,178549,547,1732462,981857,80542,670063,0
2021-03-17,10271829,205018,125620,79398,7986568,391647,1893614,7113734,3158095,0.086,0.038,4672447,4463838,487350,1605072,3141952,3193652,373040,902175,1530495,1270186,114310,702897,10268380,3449,0,4923186,3063382,298339,93308,1892209,1405,185645,17965,1408,0,144973,37756,13464,12047,204401,617,1654183,1009905,87105,557173,0
2021-03-18,10466563,194734,119283,75451,8161549,409824,1895190,7233017,3233546,0.087,0.039,4812398,4498757,499905,1615322,3222615,3215628,383588,907340,1589783,1283129,116317,707982,10462691,3872,0,5027787,3133762,311447,98377,1893783,1407,174981,18177,1576,0,139951,34919,12555,10250,194311,423,1567472,1035818,92060,439594,0
2021-03-19,10710036,243473,160708,82765,8345841,430341,1933854,7393725,3316311,0.089,0.04,4961948,4563922,518114,1627194,3306761,3267408,399605,914537,1655187,1296514,118509,712657,10705633,4403,0,5136055,3209786,325303,105038,1932367,1487,184292,20517,38664,0,149550,65165,18209,11872,242942,531,1487686,1067446,95042,325198,0
2021-03-20,10930214,220178,166290,53888,8482273,445637,2002304,7560015,3370199,0.091,0.041,5078536,4641917,537715,1633319,3379545,3337212,417708,917920,1698991,1304705,120007,715399,10925487,4727,0,5222333,3259940,336914,108723,2000768,1536,136432,15296,68450,0,116588,77995,19601,6125,219854,324,1461595,1089227,100585,271783,0
2021-03-21,11096285,166071,127287,38784,8586884,454845,2054556,7687302,3408983,0.092,0.041,5171749,4694283,554274,1635819,3440184,3384099,433219,919244,1731565,1310184,121055,716575,11091558,4727,0,5291184,3295700,343125,111720,2052993,1563,104611,9208,52252,0,93213,52366,16559,2500,166071,0,1456699,1104384,104647,247668,0
