date,cum_vacs,new_vacs_all,new_vacs_first_dose_all,new_vacs_second_dose_all,cum_vacs_pfizer,cum_vacs_moderna,cum_vacs_astrazeneca,cum_persons_vaccinated_first_dose,cum_persons_vaccinated_second_dose,pct_pop_vaccinated_first_dose,pct_pop_vaccinated_second_dose,cum_vacs_age_indication,cum_vacs_profession_indication,cum_vacs_medical_indication,cum_vacs_care_homes,cum_vacs_age_indication_first_dose,cum_vacs_profession_indication_first_dose,cum_vacs_medical_indication_first_dose,cum_vacs_care_homes_first_dose,cum_vacs_age_indication_second_dose,cum_vacs_profession_indication_second_dose,cum_vacs_medical_indication_second_dose,cum_vacs_care_homes_second_dose,cum_vacs_vaccination_centres,cum_vacs_doctors_offices,cum_vacs_jj,dosen_biontech_erst_kumulativ,dosen_biontech_zweit_kumulativ,dosen_moderna_erst_kumulativ,dosen_moderna_zweit_kumulativ,dosen_astrazeneca_erst_kumulativ,dosen_astrazeneca_zweit_kumulativ,new_vacs_pfizer,new_vacs_moderna,new_vacs_astrazeneca,new_vacs_jj,new_vacs_age_indication,new_vacs_profession_indication,new_vacs_medical_indication,new_vacs_care_homes,new_vacs_vaccination_centres,new_vacs_doctors_offices,new_vacs_all_7day_rollsum,new_vacs_pfizer_7day_rollsum,new_vacs_moderna_7day_rollsum,new_vacs_astrazeneca_7day_rollsum,new_vacs_jj_7day_rollsum
2020-12-27,24472,24472,24461,11,24472,0,0,24461,11,0,0,10705,8657,1305,12604,10664,8590,1305,12536,41,67,0,68,24472,0,0,24461,11,0,0,0,0,24472,0,0,0,10705,8657,1305,12604,24472,0,NA,NA,NA,NA,NA
2020-12-28,42812,18340,18340,0,42812,0,0,42801,11,0.001,0,18621,15788,1991,21344,18580,15721,1991,21276,41,67,0,68,42812,0,0,42801,11,0,0,0,0,18340,0,0,0,7916,7131,686,8740,18340,0,NA,NA,NA,NA,NA
2020-12-29,92316,49504,48915,589,92316,0,0,91716,600,0.001,0,34989,40734,3107,40508,34724,40420,3107,40099,265,314,0,409,92316,0,0,91716,600,0,0,0,0,49504,0,0,0,16368,24946,1116,19164,49504,0,NA,NA,NA,NA,NA
2020-12-30,154771,62455,62451,4,154771,0,0,154167,604,0.002,0,55510,73365,4901,63206,55243,73050,4901,62794,267,315,0,412,154771,0,0,154167,604,0,0,0,0,62455,0,0,0,20521,32631,1794,22698,62455,0,NA,NA,NA,NA,NA
2020-12-31,204815,50044,49904,140,204815,0,0,204071,744,0.002,0,72831,96719,6752,83965,72517,96367,6752,83476,314,352,0,489,204815,0,0,204071,744,0,0,0,0,50044,0,0,0,17321,23354,1851,20759,50044,0,NA,NA,NA,NA,NA
2021-01-01,224088,19273,19273,0,224087,0,1,223344,744,0.003,0,81208,105449,7830,92301,80894,105097,7830,91812,314,352,0,489,224088,0,0,223343,744,0,0,1,0,19272,0,1,0,8377,8730,1078,8336,19273,0,NA,NA,NA,NA,NA
2021-01-02,277184,53096,52820,276,277183,0,1,276164,1020,0.003,0,102774,129731,10350,113258,102365,129304,10350,112629,409,427,0,629,277184,0,0,276163,1020,0,0,1,0,53096,0,0,0,21566,24282,2520,20957,53096,0,277184,277183,0,1,0
2021-01-03,301393,24209,24208,1,301392,0,1,300372,1021,0.004,0,113044,140227,11284,123279,112635,139800,11284,122650,409,427,0,629,301393,0,0,300371,1021,0,0,1,0,24209,0,0,0,10270,10496,934,10021,24209,0,276921,276920,0,1,0
2021-01-04,349782,48389,48389,0,349781,0,1,348761,1021,0.004,0,129646,164913,13951,139091,129237,164486,13951,138462,409,427,0,629,349782,0,0,348760,1021,0,0,1,0,48389,0,0,0,16602,24686,2667,15812,48389,0,306970,306969,0,1,0
2021-01-05,403842,54060,54035,25,403840,1,1,402796,1046,0.005,0,147987,192565,16489,157656,147576,192117,16489,157025,411,448,0,631,403842,0,0,402794,1046,1,0,1,0,54059,1,0,0,18341,27652,2538,18565,54060,0,311526,311524,1,1,0
2021-01-06,466698,62856,62855,1,466688,7,3,465651,1047,0.006,0,169498,225530,19910,180812,169086,225082,19910,180181,412,448,0,631,466698,0,0,465641,1047,7,0,3,0,62848,6,2,0,21511,32965,3421,23156,62856,0,311927,311917,7,3,0
2021-01-07,522563,55865,55861,4,522549,11,3,521512,1051,0.006,0,189172,254868,22957,197233,188758,254418,22957,196600,414,450,0,633,522563,0,0,521498,1051,11,0,3,0,55861,4,0,0,19674,29338,3047,16421,55865,0,317748,317734,11,3,0
2021-01-08,586048,63485,63167,318,585986,59,3,584679,1369,0.007,0,211521,287315,26324,218219,211009,286711,26320,217449,512,604,4,770,586048,0,0,584617,1369,59,0,3,0,63437,48,0,0,22349,32447,3367,20986,63485,0,361960,361899,59,2,0
2021-01-09,647414,61366,61320,46,647352,59,3,645999,1415,0.008,0,237322,313238,29007,243325,236798,312599,29003,242545,524,639,4,780,647414,0,0,645937,1415,59,0,3,0,61366,0,0,0,25801,25923,2683,25106,61366,0,370230,370169,59,2,0
2021-01-10,682775,35361,35353,8,682713,59,3,681352,1423,0.008,0,252455,327794,30379,256315,251929,327151,30375,255535,526,643,4,780,682775,0,0,681290,1423,59,0,3,0,35361,0,0,0,15133,14556,1372,12990,35361,0,381382,381321,59,2,0
2021-01-11,750222,67447,67399,48,750159,60,3,748751,1471,0.009,0,277513,359176,33587,276774,276967,358513,33583,275968,546,663,4,806,750222,0,0,748688,1471,60,0,3,0,67446,1,0,0,25058,31382,3208,20459,67447,0,400440,400378,60,2,0
2021-01-12,833009,82787,82737,50,832939,65,5,831488,1521,0.01,0,305695,401338,36582,301731,305147,400670,36578,300888,548,668,4,843,833009,0,0,831418,1521,65,0,5,0,82780,5,2,0,28182,42162,2995,24957,82787,0,429167,429099,64,4,0
2021-01-13,944583,111574,111378,196,943716,862,5,942866,1717,0.011,0,345167,458844,40485,337339,344574,458093,40466,336399,593,751,19,940,944583,0,0,941999,1717,862,0,5,0,110777,797,0,0,39472,57506,3903,35608,111574,0,477885,477028,855,2,0
2021-01-14,1027294,82711,82525,186,1021799,5490,5,1025391,1903,0.012,0,374803,501101,42769,361463,374094,500254,42750,360452,709,847,19,1011,1027294,0,0,1019940,1859,5446,44,5,0,78083,4628,0,0,29636,42257,2284,24124,82711,0,504731,499250,5479,2,0
2021-01-15,1118735,91441,90838,603,1107783,10928,24,1116229,2506,0.013,0,408725,545673,46728,389202,407810,544625,46700,387982,915,1048,28,1220,1118735,0,0,1105321,2462,10884,44,24,0,85984,5438,19,0,33922,44572,3959,27739,91441,0,532687,521797,10869,21,0
2021-01-16,1176192,57457,56558,899,1163468,12700,24,1172787,3405,0.014,0,432983,570627,48859,408798,431664,569232,48767,407047,1319,1395,92,1751,1176192,0,0,1160107,3361,12656,44,24,0,55685,1772,0,0,24258,24954,2131,19596,57457,0,528778,516116,12641,21,0
2021-01-17,1224711,48519,31334,17185,1210681,14005,25,1204121,20590,0.014,0,453449,591002,50884,428544,444215,583354,50014,417145,9234,7648,870,11399,1224711,0,0,1190135,20546,13961,44,25,0,47213,1305,1,0,20466,20375,2025,19746,48519,0,541936,527968,13946,22,0
2021-01-18,1306977,82266,66537,15729,1288912,18039,26,1270658,36319,0.015,0,482728,633883,53106,448900,467235,619730,51700,430238,15493,14153,1406,18662,1306977,0,0,1252637,36275,17995,44,26,0,78231,4034,1,0,29279,42881,2222,20356,82266,0,556755,538753,17979,23,0
2021-01-19,1422200,115223,81780,33443,1400617,21507,76,1352438,69762,0.016,0.001,519765,695968,56714,479843,492669,666683,54375,447938,27096,29285,2339,31905,1422200,0,0,1330899,69718,21463,44,76,0,111705,3468,50,0,37037,62085,3608,30943,115223,0,589191,567678,21442,71,0
2021-01-20,1554395,132195,80661,51534,1530058,24257,80,1433099,121296,0.017,0.001,568076,760039,60957,522078,522876,706310,57505,469463,45200,53729,3452,52615,1554395,0,0,1408806,121252,24213,44,80,0,129441,2750,4,0,48311,64071,4243,42235,132195,0,609812,586342,23395,75,0
2021-01-21,1659343,104948,64216,40732,1632294,26969,80,1497315,162028,0.018,0.002,610150,808503,65406,556195,549621,735602,60889,487988,60529,72901,4517,68207,1659343,0,0,1470310,161984,26925,44,80,0,102236,2712,0,0,42074,48464,4449,34117,104948,0,632049,610495,21479,75,0
2021-01-22,1761632,102289,67588,34701,1732528,29012,92,1564903,196729,0.019,0.002,654049,853889,69013,590642,579902,764987,63599,506975,74147,88902,5414,83667,1761632,0,0,1535845,196683,28966,46,92,0,100234,2043,12,0,43899,45386,3607,34447,102289,0,642897,624745,18084,68,0
2021-01-23,1847180,85548,40612,44936,1817692,29395,93,1605515,241665,0.019,0.003,691767,890989,72414,617916,599855,780966,64783,516268,91912,110023,7631,101648,1847180,0,0,1576073,241619,29349,46,93,0,85164,383,1,0,37718,37100,3401,27274,85548,0,670988,654224,16695,69,0
2021-01-24,1897212,50032,25646,24386,1867476,29639,97,1631161,266051,0.02,0.003,715655,910067,73331,632982,614016,789814,65130,521524,101639,120253,8201,111458,1897212,0,0,1601471,266005,29593,46,97,0,49784,244,4,0,23888,19078,917,15066,50032,0,672501,656795,15634,72,0
2021-01-25,1991339,94127,56057,38070,1959879,31361,99,1687218,304121,0.02,0.004,756375,951632,76827,658117,642321,811974,66847,534304,114054,139658,9980,123813,1991339,0,0,1655804,304075,31315,46,99,0,92403,1722,2,0,40720,41565,3496,25135,94127,0,684362,670967,13322,73,0
2021-01-26,2090412,99073,50426,48647,2057294,33013,105,1737644,352768,0.021,0.004,796572,997196,80614,684405,667753,831436,68195,545278,128819,165760,12419,139127,2090412,0,0,1704576,352718,32963,50,105,0,97415,1652,6,0,40197,45564,3787,26288,99073,0,668212,656677,11506,29,0
2021-01-27,2201475,111063,51382,59681,2166392,34970,113,1789026,412449,0.022,0.005,839834,1049509,85786,715259,691463,852265,70042,556304,148371,197244,15744,158955,2201475,0,0,1754003,412389,34910,60,113,0,109098,1957,8,0,43262,52313,5172,30854,111063,0,647080,636334,10713,33,0
2021-01-28,2293018,91543,45130,46413,2256299,36605,114,1834156,458862,0.022,0.006,877990,1090332,89974,739697,713483,869115,71590,567469,164507,221217,18384,172228,2293018,0,0,1797514,458785,36528,77,114,0,89907,1635,1,0,38156,40823,4188,24438,91543,0,633675,624005,9636,34,0
2021-01-29,2401358,108340,51006,57334,2363174,38010,174,1885162,516196,0.023,0.006,920894,1138243,95507,769100,735839,888487,73819,578309,185055,249756,21688,190791,2401358,0,0,1847055,516119,37933,77,174,0,106875,1405,60,0,42904,47911,5533,29403,108340,0,639726,630646,8998,82,0
2021-01-30,2489088,87730,35445,52285,2450029,38884,175,1920607,568481,0.023,0.007,957412,1174692,99468,796433,752473,901967,75224,586328,204939,272725,24244,210105,2489088,0,0,1881626,568403,38806,78,175,0,86855,874,1,0,36518,36449,3961,27333,87730,0,641908,632337,9489,82,0
2021-01-31,2547211,58123,26694,31429,2507776,39260,175,1947301,599910,0.023,0.007,982865,1196922,101575,812430,766590,910861,76411,592657,216275,286061,25164,219773,2547211,0,0,1907952,599824,39174,86,175,0,57747,376,0,0,25453,22230,2107,15997,58123,0,649999,640300,9621,78,0
