date,cum_vacs,new_vacs_all,new_vacs_first_dose_all,new_vacs_second_dose_all,cum_vacs_pfizer,cum_vacs_moderna,cum_vacs_astrazeneca,cum_persons_vaccinated_first_dose,cum_persons_vaccinated_second_dose,pct_pop_vaccinated_first_dose,pct_pop_vaccinated_second_dose,cum_vacs_elderly,cum_vacs_medical_profession,cum_vacs_medical_condition,cum_vacs_care_homes,cum_vacs_elderly_first_dose,cum_vacs_medical_profession_first_dose,cum_vacs_medical_condition_first_dose,cum_vacs_care_homes_first_dose,cum_vacs_elderly_second_dose,cum_vacs_medical_profession_second_dose,cum_vacs_medical_condition_second_dose,cum_vacs_care_homes_second_dose,new_vacs_pfizer,new_vacs_moderna,new_vacs_astrazeneca,new_vacs_elderly,new_vacs_medical_profession,new_vacs_medical_condition,new_vacs_care_homes,new_vacs_all_7day_rollsum,new_vacs_pfizer_7day_rollsum,new_vacs_moderna_7day_rollsum,new_vacs_astrazeneca_7day_rollsum
2020-12-27,23555,23555,23555,0,23555,0,0,23555,0,2.8e-4,0,8645,7751,1280,13144,8645,7751,1280,13144,0,0,0,0,23555,0,0,8645,7751,1280,13144,NA,NA,NA,NA
2020-12-28,42301,18746,18746,0,42301,0,0,42301,0,5.1e-4,0,16437,15100,2012,21997,16437,15100,2012,21997,0,0,0,0,18746,0,0,7792,7349,732,8853,NA,NA,NA,NA
2020-12-29,84881,42580,42580,0,84881,0,0,84881,0,0.00102,0,28902,36629,3090,38675,28902,36629,3090,38675,0,0,0,0,42580,0,0,12465,21529,1078,16678,NA,NA,NA,NA
2020-12-30,142825,57944,57944,0,142825,0,0,142825,0,0.00172,0,46296,68028,4688,59576,46296,68028,4688,59576,0,0,0,0,57944,0,0,17394,31399,1598,20901,NA,NA,NA,NA
2020-12-31,181344,38519,38519,0,181344,0,0,181344,0,0.00218,0,59354,86645,6499,74895,59354,86645,6499,74895,0,0,0,0,38519,0,0,13058,18617,1811,15319,NA,NA,NA,NA
2021-01-01,206098,24754,24754,0,206098,0,0,206098,0,0.00248,0,67103,96610,7574,87495,67103,96610,7574,87495,0,0,0,0,24754,0,0,7749,9965,1075,12600,NA,NA,NA,NA
2021-01-02,257943,51845,51845,0,257943,0,0,257943,0,0.0031,0,86351,120258,10053,108481,86351,120258,10053,108481,0,0,0,0,51845,0,0,19248,23648,2479,20986,257943,257943,0,0
2021-01-03,282933,24990,24990,0,282933,0,0,282933,0,0.0034,0,96178,131114,10983,119124,96178,131114,10983,119124,0,0,0,0,24990,0,0,9827,10856,930,10643,259378,259378,0,0
2021-01-04,331541,48608,48608,0,331541,0,0,331541,0,0.00399,0,111412,156130,13643,135035,111412,156130,13643,135035,0,0,0,0,48608,0,0,15234,25016,2660,15911,289240,289240,0,0
2021-01-05,383926,52385,52385,0,383926,0,0,383926,0,0.00462,0,127628,183593,16078,153219,127628,183592,16078,153219,0,1,0,0,52385,0,0,16216,27463,2435,18184,299045,299045,0,0
2021-01-06,442607,58681,58681,0,442607,0,0,442607,0,0.00532,0,145366,214350,19492,174301,145366,214349,19492,174301,0,1,0,0,58681,0,0,17738,30757,3414,21082,299782,299782,0,0
2021-01-07,501009,58402,58402,0,501009,0,0,501009,0,0.00602,0,163118,244697,22498,192174,163117,244696,22498,192174,1,1,0,0,58402,0,0,17752,30347,3006,17873,319665,319665,0,0
2021-01-08,561406,60397,60397,0,561406,0,0,561406,0,0.00675,0,182658,276246,25810,211947,182653,276245,25810,211947,5,1,0,0,60397,0,0,19540,31549,3312,19773,355308,355308,0,0
2021-01-09,618604,57198,57198,0,618604,0,0,618604,0,0.0074400000000000004,0,204947,300944,28129,234874,204938,300943,28129,234874,9,1,0,0,57198,0,0,22289,24698,2319,22927,360661,360661,0,0
2021-01-10,651897,33293,33293,0,651897,0,0,651897,0,0.00784,0,218177,315013,29451,246679,218166,315012,29451,246679,11,1,0,0,33293,0,0,13230,14069,1322,11805,368964,368964,0,0
2021-01-11,717494,65597,65597,0,717494,0,0,717494,0,0.00863,0,241172,346316,32396,266950,241161,346315,32396,266950,11,1,0,0,65597,0,0,22995,31303,2945,20271,385953,385953,0,0
2021-01-12,799502,82008,82008,0,799502,0,0,799502,0,0.00961,0,266708,388627,35548,291144,266697,388626,35548,291144,11,1,0,0,82008,0,0,25536,42311,3152,24194,415576,415576,0,0
2021-01-13,898498,98996,98996,0,897703,795,0,898498,0,0.0108,0,299070,440848,38970,320636,299059,440847,38970,320636,11,1,0,0,98201,795,0,32362,52221,3422,29492,455891,455096,795,0
2021-01-14,998611,100113,99998,115,993167,5444,0,998496,115,0.01201,0,325320,492061,41321,353294,325254,492056,41321,353294,66,5,0,0,95464,4649,0,26250,51213,2351,32658,497602,492158,5444,0
2021-01-15,1091352,92741,92312,429,1080457,10895,0,1090808,544,0.01312,1e-5,355067,539290,44939,381431,354888,539206,44930,381342,179,84,9,89,87290,5451,0,29747,47229,3618,28137,529946,519051,10895,0
2021-01-16,1148471,57119,56722,397,1135718,12753,0,1147530,941,0.0138,1e-5,376045,564384,46978,401309,375675,564193,46908,401018,370,191,70,291,55261,1858,0,20978,25094,2039,19878,529867,517114,12753,0
2021-01-17,1193026,44555,30945,13610,1178858,14168,0,1178475,14551,0.01417,1.7e-4,392796,583973,48701,419196,386106,578890,48036,410963,6690,5083,665,8233,43140,1415,0,16751,19589,1723,17887,541129,526961,14168,0
