date,cum_vacs,new_vacs_all,new_vacs_first_dose_all,new_vacs_second_dose_all,cum_vacs_pfizer,cum_vacs_moderna,cum_vacs_astrazeneca,cum_persons_vaccinated_first_dose,cum_persons_vaccinated_second_dose,pct_pop_vaccinated_first_dose,pct_pop_vaccinated_second_dose,cum_vacs_elderly,cum_vacs_medical_profession,cum_vacs_medical_condition,cum_vacs_care_homes,cum_vacs_elderly_first_dose,cum_vacs_medical_profession_first_dose,cum_vacs_medical_condition_first_dose,cum_vacs_care_homes_first_dose,cum_vacs_elderly_second_dose,cum_vacs_medical_profession_second_dose,cum_vacs_medical_condition_second_dose,cum_vacs_care_homes_second_dose,new_vacs_pfizer,new_vacs_moderna,new_vacs_astrazeneca,new_vacs_elderly,new_vacs_medical_profession,new_vacs_medical_condition,new_vacs_care_homes,new_vacs_all_7day_rollsum,new_vacs_pfizer_7day_rollsum,new_vacs_moderna_7day_rollsum,new_vacs_astrazeneca_7day_rollsum
2020-12-27,23716,23716,23716,0,23716,0,0,23716,0,2.9e-4,0,8696,7838,1281,13120,8696,7838,1281,13120,0,0,0,0,23716,0,0,8696,7838,1281,13120,NA,NA,NA,NA
2020-12-28,42456,18740,18740,0,42456,0,0,42456,0,5.1e-4,0,16485,15230,1967,21952,16485,15230,1967,21952,0,0,0,0,18740,0,0,7789,7392,686,8832,NA,NA,NA,NA
2020-12-29,85106,42650,42650,0,85106,0,0,85106,0,0.00102,0,28915,36791,3043,38679,28915,36791,3043,38679,0,0,0,0,42650,0,0,12430,21561,1076,16727,NA,NA,NA,NA
2020-12-30,143146,58040,58040,0,143146,0,0,143146,0,0.00172,0,46330,68220,4643,59603,46330,68220,4643,59603,0,0,0,0,58040,0,0,17415,31429,1600,20924,NA,NA,NA,NA
2020-12-31,181885,38739,38739,0,181885,0,0,181885,0,0.00219,0,59448,86926,6461,74989,59448,86926,6461,74989,0,0,0,0,38739,0,0,13118,18706,1818,15386,NA,NA,NA,NA
2021-01-01,206634,24749,24749,0,206634,0,0,206634,0,0.00248,0,67193,96890,7536,87588,67193,96890,7536,87588,0,0,0,0,24749,0,0,7745,9964,1075,12599,NA,NA,NA,NA
2021-01-02,258814,52180,52180,0,258814,0,0,258814,0,0.00311,0,86571,120733,10017,108674,86571,120733,10017,108674,0,0,0,0,52180,0,0,19378,23843,2481,21086,258814,258814,0,0
2021-01-03,283800,24986,24986,0,283800,0,0,283800,0,0.00341,0,96488,131585,10947,119249,96488,131585,10947,119249,0,0,0,0,24986,0,0,9917,10852,930,10575,260084,260084,0,0
2021-01-04,332510,48710,48710,0,332510,0,0,332510,0,0.004,0,111836,156687,13606,135071,111836,156687,13606,135071,0,0,0,0,48710,0,0,15348,25102,2659,15822,290054,290054,0,0
2021-01-05,384983,52473,52473,0,384983,0,0,384983,0,0.00463,0,128092,184223,16041,153254,128092,184222,16041,153254,0,1,0,0,52473,0,0,16256,27536,2435,18183,299877,299877,0,0
2021-01-06,444148,59165,59165,0,444148,0,0,444148,0,0.00534,0,146037,215201,19453,174443,146037,215200,19453,174443,0,1,0,0,59165,0,0,17945,30978,3412,21189,301002,301002,0,0
2021-01-07,502606,58458,58458,0,502606,0,0,502606,0,0.00604,0,163844,245615,22457,192265,163844,245614,22457,192265,0,1,0,0,58458,0,0,17807,30414,3004,17822,320721,320721,0,0
2021-01-08,563052,60446,60446,0,563052,0,0,563052,0,0.00677,0,183431,277233,25748,212040,183427,277232,25748,212040,4,1,0,0,60446,0,0,19587,31618,3291,19775,356418,356418,0,0
2021-01-09,620371,57319,57319,0,620371,0,0,620371,0,0.00746,0,205824,301991,28060,234981,205816,301990,28060,234981,8,1,0,0,57319,0,0,22393,24758,2312,22941,361557,361557,0,0
2021-01-10,653650,33279,33279,0,653650,0,0,653650,0,0.00786,0,219049,316103,29329,246787,219039,316102,29329,246787,10,1,0,0,33279,0,0,13225,14112,1269,11806,369850,369850,0,0
2021-01-11,719368,65718,65718,0,719368,0,0,719368,0,0.00865,0,242009,347471,32274,267054,241999,347470,32274,267054,10,1,0,0,65718,0,0,22960,31368,2945,20267,386858,386858,0,0
2021-01-12,801445,82077,82077,0,801445,0,0,801445,0,0.00964,0,267517,389813,35426,291287,267507,389812,35426,291287,10,1,0,0,82077,0,0,25508,42342,3152,24233,416462,416462,0,0
2021-01-13,900525,99080,99080,0,899730,795,0,900525,0,0.01083,0,299933,442042,38901,320860,299923,442041,38901,320860,10,1,0,0,98285,795,0,32416,52229,3475,29573,456377,455582,795,0
2021-01-14,1000746,100221,100107,114,995303,5443,0,1000632,114,0.01203,0,326072,493423,41211,353717,326007,493418,41211,353717,65,5,0,0,95573,4648,0,26139,51381,2310,32857,498140,492697,5443,0
2021-01-15,1093571,92825,92397,428,1082678,10893,0,1093029,542,0.01314,1e-5,355809,540724,44828,381868,355631,540640,44819,381779,178,84,9,89,87375,5450,0,29737,47301,3617,28151,530519,519626,10893,0
2021-01-16,1150668,57097,56700,397,1137917,12751,0,1149729,939,0.01382,1e-5,376775,565810,46867,401737,376406,565619,46797,401446,369,191,70,291,55239,1858,0,20966,25086,2039,19869,530297,517546,12751,0
2021-01-17,1195318,44650,30896,13754,1181153,14165,0,1180625,14693,0.0142,1.8e-4,393549,585456,48590,419661,386800,580310,47925,411347,6749,5146,665,8314,43236,1414,0,16774,19646,1723,17924,541668,527503,14165,0
2021-01-18,1269775,74457,58085,16372,1253572,16203,0,1238710,31065,0.01489,3.7e-4,420809,621534,50697,440234,408290,609310,49498,424492,12519,12224,1199,15742,72419,2038,0,27260,36078,2107,20573,550407,534204,16203,0
2021-01-19,1365170,95395,68166,27229,1347446,17724,0,1306876,58294,0.01571,7e-4,453278,670723,53952,467348,431303,645475,51960,440978,21975,25248,1992,26370,93874,1521,0,32469,49189,3255,27114,563725,546001,17724,0
2021-01-20,1494108,128938,78284,50654,1475092,19016,0,1385160,108948,0.01666,0.00131,495305,733426,57849,509967,458479,682808,54959,463590,36826,50618,2890,46377,127646,1292,0,42027,62703,3897,42619,593583,575362,18221,0
2021-01-21,1590236,96128,60693,35435,1570121,20115,0,1445853,144383,0.01738,0.00174,532781,777489,62077,540993,482995,709686,58185,481185,49786,67803,3892,59808,95029,1099,0,37476,44063,4228,31026,589490,574818,14672,0
2021-01-22,1705835,115599,84243,31356,1684383,21452,0,1530096,175739,0.0184,0.00211,574079,829728,65654,583575,511729,747414,60870,508821,62350,82314,4784,74754,114262,1337,0,41298,52239,3577,42582,612264,601705,10559,0
2021-01-23,1798871,93036,49040,43996,1777036,21835,0,1579136,219735,0.01899,0.00264,608371,870782,68916,614861,530172,767466,62053,522538,78199,103316,6863,92323,92653,383,0,34292,41054,3262,31286,648203,639119,9084,0
2021-01-24,1865171,66300,38212,28088,1843092,22079,0,1617348,247823,0.01945,0.00298,630917,898082,69806,638930,543511,782644,62374,534333,87406,115438,7432,104597,66056,244,0,22546,27300,890,24069,669853,661939,7914,0
2021-01-25,1963124,97953,58190,39763,1939571,23553,0,1675538,287586,0.02015,0.00346,670521,941364,73224,664613,571178,805029,64021,547076,99343,136335,9203,117537,96479,1474,0,39604,43282,3418,25683,693349,685999,7350,0
2021-01-26,2065911,102787,53188,49599,2040770,25141,0,1728726,337185,0.02079,0.00405,708568,989716,76907,692330,595886,825840,65333,559054,112682,163876,11574,133276,101199,1588,0,38047,48352,3683,27717,700741,693324,7417,0
2021-01-27,2179439,113528,54057,59471,2152387,27052,0,1782783,396656,0.02144,0.00477,749060,1044390,81976,724249,619145,848171,67124,571244,129915,196219,14852,153005,111617,1911,0,40492,54674,5069,31919,685331,677295,8036,0
2021-01-28,2280128,100689,51748,48941,2246593,33535,0,1834531,445597,0.02206,0.00536,785658,1093355,86100,750632,640854,871139,68649,583125,144804,222216,17451,167507,94206,6483,0,36598,48965,4124,26383,689892,676472,13420,0
