date,administered_doses_pfizer,administered_doses_moderna,administered_doses_astrazeneca,delivered_doses_pfizer,delivered_doses_moderna,delivered_doses_astrazeneca,cum_administered_doses_pfizer,cum_administered_doses_moderna,cum_administered_doses_astrazeneca,cum_delivered_doses_pfizer,cum_delivered_doses_moderna,cum_delivered_doses_astrazeneca
2020-12-27,23567,0,0,151125,0,0,23567,0,0,151125,0,0
2020-12-28,18746,0,0,521625,0,0,42313,0,0,672750,0,0
2020-12-29,42657,0,0,0,0,0,84970,0,0,672750,0,0
2020-12-30,57997,0,0,653250,0,0,142967,0,0,1326000,0,0
2020-12-31,38620,0,0,0,0,0,181587,0,0,1326000,0,0
2021-01-01,24754,0,0,0,0,0,206341,0,0,1326000,0,0
2021-01-02,51975,0,0,0,0,0,258316,0,0,1326000,0,0
2021-01-03,24994,0,0,0,0,0,283310,0,0,1326000,0,0
2021-01-04,48606,0,0,0,0,0,331916,0,0,1326000,0,0
2021-01-05,52391,0,0,0,0,0,384307,0,0,1326000,0,0
2021-01-06,58674,0,0,0,0,0,442981,0,0,1326000,0,0
2021-01-07,58368,0,0,0,0,0,501349,0,0,1326000,0,0
2021-01-08,60383,0,0,687375,0,0,561732,0,0,2013375,0,0
2021-01-09,57199,0,0,0,0,0,618931,0,0,2013375,0,0
2021-01-10,33289,0,0,0,0,0,652220,0,0,2013375,0,0
2021-01-11,65591,0,0,0,0,0,717811,0,0,2013375,0,0
2021-01-12,82036,0,0,0,63600,0,799847,0,0,2013375,63600,0
2021-01-13,98217,795,0,0,0,0,898064,795,0,2013375,63600,0
2021-01-14,95470,4649,0,0,0,0,993534,5444,0,2013375,63600,0
2021-01-15,87231,5451,0,0,0,0,1080765,10895,0,2013375,63600,0
2021-01-16,55254,1858,0,0,0,0,1136019,12753,0,2013375,63600,0
2021-01-17,43137,1415,0,0,0,0,1179156,14168,0,2013375,63600,0
2021-01-18,72292,1934,0,0,0,0,1251448,16102,0,2013375,63600,0
2021-01-19,93601,1523,0,842400,0,0,1345049,17625,0,2855775,63600,0
2021-01-20,127463,1292,0,0,0,0,1472512,18917,0,2855775,63600,0
2021-01-21,94879,1100,0,0,0,0,1567391,20017,0,2855775,63600,0
2021-01-22,113939,1338,0,0,0,0,1681330,21355,0,2855775,63600,0
2021-01-23,92263,383,0,0,0,0,1773593,21738,0,2855775,63600,0
2021-01-24,65973,244,0,0,0,0,1839566,21982,0,2855775,63600,0
2021-01-25,95864,1474,0,0,0,0,1935430,23456,0,2855775,63600,0
2021-01-26,101098,1589,0,489060,0,0,2036528,25045,0,3344835,63600,0
2021-01-27,111207,1911,0,0,0,0,2147735,26956,0,3344835,63600,0
2021-01-28,93947,6483,0,0,0,0,2241682,33439,0,3344835,63600,0
2021-01-29,107799,1403,0,0,0,0,2349481,34842,0,3344835,63600,0
2021-01-30,86489,874,0,0,0,0,2435970,35716,0,3344835,63600,0
2021-01-31,62370,342,0,0,90000,0,2498340,36058,0,3344835,153600,0
2021-02-01,113981,1577,0,747630,0,0,2612321,37635,0,4092465,153600,0
2021-02-02,125527,2029,0,0,0,0,2737848,39664,0,4092465,153600,0
2021-02-03,136726,5454,0,0,0,0,2874574,45118,0,4092465,153600,0
2021-02-04,130332,5026,0,0,0,0,3004906,50144,0,4092465,153600,0
2021-02-05,128117,4067,0,0,0,0,3133023,54211,0,4092465,153600,0
2021-02-06,100347,3401,0,0,0,345600,3233370,57612,0,4092465,153600,345600
2021-02-07,55941,3459,0,0,0,0,3289311,61071,0,4092465,153600,345600
2021-02-08,102274,3957,16,0,0,0,3391585,65028,16,4092465,153600,345600
2021-02-09,121109,3269,104,747630,0,0,3512694,68297,120,4840095,153600,345600
2021-02-10,136622,4930,7505,0,0,0,3649316,73227,7625,4840095,153600,345600
2021-02-11,123916,5950,13820,0,0,0,3773232,79177,21445,4840095,153600,345600
2021-02-12,134403,9537,13768,0,0,391200,3907635,88714,35213,4840095,153600,736800
2021-02-13,94167,3371,12320,0,0,0,4001802,92085,47533,4840095,153600,736800
2021-02-14,56931,2852,6979,0,0,0,4058733,94937,54512,4840095,153600,736800
2021-02-15,108400,3321,15052,0,182400,0,4167133,98258,69564,4840095,336000,736800
2021-02-16,108140,4627,23383,904410,0,0,4275273,102885,92947,5744505,336000,736800
2021-02-17,122596,6993,19170,0,0,0,4397869,109878,112117,5744505,336000,736800
2021-02-18,114351,7067,23705,0,0,0,4512220,116945,135822,5744505,336000,736800
2021-02-19,119026,7910,23095,0,0,715200,4631246,124855,158917,5744505,336000,1452000
2021-02-20,86287,5460,20760,0,0,0,4717533,130315,179677,5744505,336000,1452000
2021-02-21,65847,4220,15525,0,0,0,4783380,134535,195202,5744505,336000,1452000
2021-02-22,118573,7441,25513,0,0,0,4901953,141976,220715,5744505,336000,1452000
2021-02-23,126645,6257,25991,926640,0,0,5028598,148233,246706,6671145,336000,1452000
2021-02-24,132098,7510,33929,0,0,0,5160696,155743,280635,6671145,336000,1452000
2021-02-25,123792,6174,48135,0,0,0,5284488,161917,328770,6671145,336000,1452000
2021-02-26,131780,7030,53060,0,0,0,5416268,168947,381830,6671145,336000,1452000
2021-02-27,93511,4150,48122,0,343200,0,5509779,173097,429952,6671145,679200,1452000
2021-02-28,67034,3527,42782,0,0,0,5576813,176624,472734,6671145,679200,1452000
2021-03-01,128153,7677,52916,0,0,0,5704966,184301,525650,6671145,679200,1452000
2021-03-02,142993,8114,58371,924300,0,650400,5847959,192415,584021,7595445,679200,2102400
2021-03-03,159398,10755,62291,0,0,0,6007357,203170,646312,7595445,679200,2102400
2021-03-04,139129,12063,74531,0,0,0,6146486,215233,720843,7595445,679200,2102400
