date,administered_doses_pfizer,administered_doses_moderna,administered_doses_astrazeneca,delivered_doses_pfizer,delivered_doses_moderna,delivered_doses_astrazeneca,cum_administered_doses_pfizer,cum_administered_doses_moderna,cum_administered_doses_astrazeneca,cum_delivered_doses_pfizer,cum_delivered_doses_moderna,cum_delivered_doses_astrazeneca
2020-12-27,24119,0,0,0,0,0,24119,0,0,0,0,0
2020-12-28,18385,0,0,521625,0,0,42504,0,0,521625,0,0
2020-12-29,48674,0,0,0,0,0,91178,0,0,521625,0,0
2020-12-30,61172,0,0,653250,0,0,152350,0,0,1174875,0,0
2020-12-31,49116,0,0,0,0,0,201466,0,0,1174875,0,0
2021-01-01,19273,0,1,0,0,0,220739,0,1,1174875,0,0
2021-01-02,52610,0,0,0,0,0,273349,0,1,1174875,0,0
2021-01-03,24087,0,0,0,0,0,297436,0,1,1174875,0,0
2021-01-04,48341,0,0,0,0,0,345777,0,1,1174875,0,0
2021-01-05,53352,1,0,0,0,0,399129,1,1,1174875,0,0
2021-01-06,62780,1,2,0,0,0,461909,2,3,1174875,0,0
2021-01-07,55983,0,0,0,0,0,517892,2,3,1174875,0,0
2021-01-08,62878,0,0,687375,0,0,580770,2,3,1862250,0,0
2021-01-09,61232,0,0,0,0,0,642002,2,3,1862250,0,0
2021-01-10,34982,0,0,0,0,0,676984,2,3,1862250,0,0
2021-01-11,66137,1,0,0,0,0,743121,3,3,1862250,0,0
2021-01-12,82753,0,2,0,63600,0,825874,3,5,1862250,63600,0
2021-01-13,110601,797,0,0,0,0,936475,800,5,1862250,63600,0
2021-01-14,78328,4584,0,0,0,0,1014803,5384,5,1862250,63600,0
2021-01-15,84640,5437,19,0,0,0,1099443,10821,24,1862250,63600,0
2021-01-16,55408,1772,0,0,0,0,1154851,12593,24,1862250,63600,0
2021-01-17,46200,1305,1,0,0,0,1201051,13898,25,1862250,63600,0
2021-01-18,77756,3568,1,0,0,0,1278807,17466,26,1862250,63600,0
2021-01-19,109163,2989,50,842400,0,0,1387970,20455,76,2704650,63600,0
2021-01-20,127962,2730,4,0,0,0,1515932,23185,80,2704650,63600,0
2021-01-21,101280,2589,0,0,0,0,1617212,25774,80,2704650,63600,0
2021-01-22,99519,2001,12,0,0,0,1716731,27775,92,2704650,63600,0
2021-01-23,84899,383,1,0,0,0,1801630,28158,93,2704650,63600,0
2021-01-24,48904,244,4,0,0,0,1850534,28402,97,2704650,63600,0
2021-01-25,94149,1722,2,0,0,0,1944683,30124,99,2704650,63600,0
2021-01-26,97365,1654,6,489060,0,0,2042048,31778,105,3193710,63600,0
2021-01-27,108757,1926,8,0,0,0,2150805,33704,113,3193710,63600,0
2021-01-28,89384,1635,1,0,0,0,2240189,35339,114,3193710,63600,0
2021-01-29,106494,1405,68,0,0,0,2346683,36744,182,3193710,63600,0
2021-01-30,85449,874,1,0,0,0,2432132,37618,183,3193710,63600,0
2021-01-31,56754,365,0,0,90000,0,2488886,37983,183,3193710,153600,0
2021-02-01,117964,2211,57,0,0,0,2606850,40194,240,3193710,153600,0
2021-02-02,126267,2870,14,747630,0,0,2733117,43064,254,3941340,153600,0
2021-02-03,151449,5949,20,0,0,0,2884566,49013,274,3941340,153600,0
2021-02-04,125088,5453,6,0,0,0,3009654,54466,280,3941340,153600,0
2021-02-05,135902,5880,7,0,0,0,3145556,60346,287,3941340,153600,0
2021-02-06,95968,2466,1,0,0,345600,3241524,62812,288,3941340,153600,345600
2021-02-07,51140,2349,2,0,0,0,3292664,65161,290,3941340,153600,345600
2021-02-08,105578,3861,18,0,0,0,3398242,69022,308,3941340,153600,345600
2021-02-09,128092,3882,108,747630,0,0,3526334,72904,416,4688970,153600,345600
2021-02-10,137511,3591,7022,0,0,0,3663845,76495,7438,4688970,153600,345600
2021-02-11,119005,6947,15418,0,0,0,3782850,83442,22856,4688970,153600,345600
2021-02-12,131966,9472,14047,0,0,391200,3914816,92914,36903,4688970,153600,736800
2021-02-13,91903,3035,12569,0,0,0,4006719,95949,49472,4688970,153600,736800
2021-02-14,55105,2401,7291,0,0,0,4061824,98350,56763,4688970,153600,736800
2021-02-15,106941,4397,14739,0,182400,0,4168765,102747,71502,4688970,336000,736800
2021-02-16,105662,5235,23416,904410,0,0,4274427,107982,94918,5593380,336000,736800
2021-02-17,122390,7521,19701,0,0,0,4396817,115503,114619,5593380,336000,736800
2021-02-18,111354,7763,24350,0,0,0,4508171,123266,138969,5593380,336000,736800
2021-02-19,117809,9382,25115,0,0,715200,4625980,132648,164084,5593380,336000,1452000
2021-02-20,87937,4472,21605,0,0,0,4713917,137120,185689,5593380,336000,1452000
2021-02-21,67269,3228,15275,0,0,0,4781186,140348,200964,5593380,336000,1452000
2021-02-22,126485,8807,24867,0,0,0,4907671,149155,225831,5593380,336000,1452000
2021-02-23,132035,6824,27159,926640,0,0,5039706,155979,252990,6520020,336000,1452000
2021-02-24,131556,7524,34843,0,0,0,5171262,163503,287833,6520020,336000,1452000
2021-02-25,130486,6519,50549,0,0,0,5301748,170022,338382,6520020,336000,1452000
2021-02-26,138263,8698,59664,0,0,0,5440011,178720,398046,6520020,336000,1452000
2021-02-27,92246,4182,51178,0,343200,0,5532257,182902,449224,6520020,679200,1452000
2021-02-28,62344,3956,41797,0,0,0,5594601,186858,491021,6520020,679200,1452000
2021-03-01,128463,9007,56539,0,0,0,5723064,195865,547560,6520020,679200,1452000
2021-03-02,140458,9650,68141,1014390,0,650400,5863522,205515,615701,7534410,679200,2102400
2021-03-03,155759,13336,71662,0,0,0,6019281,218851,687363,7534410,679200,2102400
2021-03-04,142331,13517,85036,0,0,0,6161612,232368,772399,7534410,679200,2102400
2021-03-05,146220,12854,104464,0,0,0,6307832,245222,876863,7534410,679200,2102400
2021-03-06,110268,8579,82892,0,0,0,6418100,253801,959755,7534410,679200,2102400
2021-03-07,82708,6721,59775,0,0,0,6500808,260522,1019530,7534410,679200,2102400
2021-03-08,135436,10990,90899,0,0,0,6636244,271512,1110429,7534410,679200,2102400
2021-03-09,140137,12605,96955,1083420,0,960000,6776381,284117,1207384,8617830,679200,3062400
2021-03-10,155822,11508,113276,0,0,0,6932203,295625,1320660,8617830,679200,3062400
2021-03-11,148191,13073,117795,0,0,0,7080394,308698,1438455,8617830,679200,3062400
2021-03-12,151720,17171,150160,0,0,0,7232114,325869,1588615,8617830,679200,3062400
2021-03-13,114322,9596,121517,0,0,0,7346436,335465,1710132,8617830,679200,3062400
2021-03-14,89498,5051,76269,0,0,0,7435934,340516,1786401,8617830,679200,3062400
2021-03-15,151287,12286,83389,0,0,364800,7587221,352802,1869790,8617830,679200,3427200
2021-03-16,166656,10731,1915,1083420,0,0,7753877,363533,1871705,9701250,679200,3427200
2021-03-17,184700,16929,1374,0,0,0,7938577,380462,1873079,9701250,679200,3427200
2021-03-18,174269,17478,1567,0,0,0,8112846,397940,1874646,9701250,679200,3427200
2021-03-19,182346,19600,38099,0,0,0,8295192,417540,1912745,9701250,679200,3427200
2021-03-20,135148,15030,67678,0,0,0,8430340,432570,1980423,9701250,679200,3427200
2021-03-21,103999,9169,52246,0,432000,0,8534339,441739,2032669,9701250,1111200,3427200
2021-03-22,164185,23087,75560,0,0,0,8698524,464826,2108229,9701250,1111200,3427200
2021-03-23,179006,19386,95337,1076400,0,204000,8877530,484212,2203566,10777650,1111200,3631200
2021-03-24,194082,30397,98392,0,0,0,9071612,514609,2301958,10777650,1111200,3631200
2021-03-25,185481,24636,115559,0,0,0,9257093,539245,2417517,10777650,1111200,3631200
2021-03-26,201944,32130,131066,0,0,201600,9459037,571375,2548583,10777650,1111200,3832800
2021-03-27,150341,26288,105587,0,0,0,9609378,597663,2654170,10777650,1111200,3832800
2021-03-28,116326,18270,59097,0,0,0,9725704,615933,2713267,10777650,1111200,3832800
2021-03-29,186342,23909,94028,0,0,0,9912046,639842,2807295,10777650,1111200,3832800
2021-03-30,215943,24712,84293,1427400,0,0,10127989,664554,2891588,12205050,1111200,3832800
2021-03-31,247341,34001,52396,0,0,0,10375330,698555,2943984,12205050,1111200,3832800
2021-04-01,231677,29981,54595,0,0,0,10607007,728536,2998579,12205050,1111200,3832800
2021-04-02,179747,15707,31518,0,650400,0,10786754,744243,3030097,12205050,1761600,3832800
2021-04-03,170150,16798,41054,0,0,1744800,10956904,761041,3071151,12205050,1761600,5577600
2021-04-04,132932,11076,49595,0,0,0,11089836,772117,3120746,12205050,1761600,5577600
2021-04-05,166910,17745,63264,0,0,0,11256746,789862,3184010,12205050,1761600,5577600
2021-04-06,250075,30394,86097,0,0,0,11506821,820256,3270107,12205050,1761600,5577600
2021-04-07,530698,28638,97021,0,0,0,12037519,848894,3367128,12205050,1761600,5577600
