date,administered_doses_pfizer,administered_doses_moderna,administered_doses_astrazeneca,administered_doses_jj,delivered_doses_pfizer,delivered_doses_moderna,delivered_doses_astrazeneca,delivered_doses_jj,cum_administered_doses_pfizer,cum_administered_doses_moderna,cum_administered_doses_astrazeneca,cum_administered_doses_jj,cum_delivered_doses_pfizer,cum_delivered_doses_moderna,cum_delivered_doses_astrazeneca,cum_delivered_doses_jj
2020-12-26,0,0,0,0,151125,0,0,0,0,0,0,0,151125,0,0,0
2020-12-27,24473,1,0,0,0,0,0,0,24473,1,0,0,151125,0,0,0
2020-12-28,18340,0,0,0,521625,0,0,0,42813,1,0,0,672750,0,0,0
2020-12-29,49550,0,0,0,0,0,0,0,92363,1,0,0,672750,0,0,0
2020-12-30,62540,0,0,0,653250,0,0,0,154903,1,0,0,1326000,0,0,0
2020-12-31,50048,0,0,0,0,0,0,0,204951,1,0,0,1326000,0,0,0
2021-01-01,19273,0,1,0,0,0,0,0,224224,1,1,0,1326000,0,0,0
2021-01-02,53095,0,0,0,0,0,0,0,277319,1,1,0,1326000,0,0,0
2021-01-03,24208,0,0,0,0,0,0,0,301527,1,1,0,1326000,0,0,0
2021-01-04,48386,0,0,0,0,0,0,0,349913,1,1,0,1326000,0,0,0
2021-01-05,54056,1,0,0,0,0,0,0,403969,2,1,0,1326000,0,0,0
2021-01-06,62852,6,2,0,0,0,0,0,466821,8,3,0,1326000,0,0,0
2021-01-07,55857,4,0,0,0,0,0,0,522678,12,3,0,1326000,0,0,0
2021-01-08,63440,48,0,0,687375,0,0,0,586118,60,3,0,2013375,0,0,0
2021-01-09,61374,0,0,0,0,0,0,0,647492,60,3,0,2013375,0,0,0
2021-01-10,35361,0,0,0,0,0,0,0,682853,60,3,0,2013375,0,0,0
2021-01-11,67679,1,0,0,0,0,0,0,750532,61,3,0,2013375,0,0,0
2021-01-12,82780,5,1,0,0,63600,0,0,833312,66,4,0,2013375,63600,0,0
