date,administered_doses_pfizer,administered_doses_moderna,administered_doses_astrazeneca,delivered_doses_pfizer,delivered_doses_moderna,delivered_doses_astrazeneca,cum_administered_doses_pfizer,cum_administered_doses_moderna,cum_administered_doses_astrazeneca,cum_delivered_doses_pfizer,cum_delivered_doses_moderna,cum_delivered_doses_astrazeneca
2020-12-27,23567,0,0,151125,0,0,23567,0,0,151125,0,0
2020-12-28,18741,0,0,521625,0,0,42308,0,0,672750,0,0
2020-12-29,42655,0,0,0,0,0,84963,0,0,672750,0,0
2020-12-30,58004,0,0,653250,0,0,142967,0,0,1326000,0,0
2020-12-31,38619,0,0,0,0,0,181586,0,0,1326000,0,0
2021-01-01,24753,0,0,0,0,0,206339,0,0,1326000,0,0
2021-01-02,52057,0,0,0,0,0,258396,0,0,1326000,0,0
2021-01-03,24992,0,0,0,0,0,283388,0,0,1326000,0,0
2021-01-04,48653,0,0,0,0,0,332041,0,0,1326000,0,0
2021-01-05,52436,0,0,0,0,0,384477,0,0,1326000,0,0
2021-01-06,59088,0,0,0,0,0,443565,0,0,1326000,0,0
2021-01-07,58416,0,0,0,0,0,501981,0,0,1326000,0,0
2021-01-08,60339,0,0,687375,0,0,562320,0,0,2013375,0,0
2021-01-09,57193,0,0,0,0,0,619513,0,0,2013375,0,0
2021-01-10,33285,0,0,0,0,0,652798,0,0,2013375,0,0
2021-01-11,65670,0,0,0,0,0,718468,0,0,2013375,0,0
2021-01-12,82186,0,0,0,63600,0,800654,0,0,2013375,63600,0
2021-01-13,98207,795,0,0,0,0,898861,795,0,2013375,63600,0
2021-01-14,95504,4648,0,0,0,0,994365,5443,0,2013375,63600,0
2021-01-15,87345,5451,0,0,0,0,1081710,10894,0,2013375,63600,0
2021-01-16,55254,1858,0,0,0,0,1136964,12752,0,2013375,63600,0
2021-01-17,43093,1415,0,0,0,0,1180057,14167,0,2013375,63600,0
2021-01-18,72282,1934,0,0,0,0,1252339,16101,0,2013375,63600,0
2021-01-19,93717,1523,0,842400,0,0,1346056,17624,0,2855775,63600,0
2021-01-20,127467,1292,0,0,0,0,1473523,18916,0,2855775,63600,0
2021-01-21,94875,1100,0,0,0,0,1568398,20016,0,2855775,63600,0
2021-01-22,113933,1338,0,0,0,0,1682331,21354,0,2855775,63600,0
2021-01-23,92260,383,0,0,0,0,1774591,21737,0,2855775,63600,0
2021-01-24,65971,244,0,0,0,0,1840562,21981,0,2855775,63600,0
2021-01-25,95861,1474,0,0,0,0,1936423,23455,0,2855775,63600,0
2021-01-26,101096,1588,0,489060,0,0,2037519,25043,0,3344835,63600,0
2021-01-27,111377,1911,0,0,0,0,2148896,26954,0,3344835,63600,0
2021-01-28,94055,6483,0,0,0,0,2242951,33437,0,3344835,63600,0
2021-01-29,107920,1404,0,0,0,0,2350871,34841,0,3344835,63600,0
2021-01-30,86866,874,0,0,0,0,2437737,35715,0,3344835,63600,0
2021-01-31,62366,342,0,0,90000,0,2500103,36057,0,3344835,153600,0
2021-02-01,114316,1577,0,747630,0,0,2614419,37634,0,4092465,153600,0
2021-02-02,125638,2029,0,0,0,0,2740057,39663,0,4092465,153600,0
2021-02-03,136873,5454,0,0,0,0,2876930,45117,0,4092465,153600,0
2021-02-04,130368,5026,0,0,0,0,3007298,50143,0,4092465,153600,0
2021-02-05,128514,4073,0,0,0,0,3135812,54216,0,4092465,153600,0
2021-02-06,100357,3401,0,0,0,345600,3236169,57617,0,4092465,153600,345600
2021-02-07,55937,3460,0,0,0,0,3292106,61077,0,4092465,153600,345600
2021-02-08,102289,3962,17,0,0,0,3394395,65039,17,4092465,153600,345600
2021-02-09,121320,3269,104,747630,0,0,3515715,68308,121,4840095,153600,345600
2021-02-10,136959,4930,7504,0,0,0,3652674,73238,7625,4840095,153600,345600
2021-02-11,124097,5949,13827,0,0,0,3776771,79187,21452,4840095,153600,345600
2021-02-12,134895,9537,13764,0,0,391200,3911666,88724,35216,4840095,153600,736800
2021-02-13,94184,3371,12326,0,0,0,4005850,92095,47542,4840095,153600,736800
2021-02-14,56923,2852,6978,0,0,0,4062773,94947,54520,4840095,153600,736800
2021-02-15,108453,3321,15052,0,182400,0,4171226,98268,69572,4840095,336000,736800
2021-02-16,108184,4627,23407,900900,0,0,4279410,102895,92979,5740995,336000,736800
2021-02-17,122870,6993,19167,0,0,0,4402280,109888,112146,5740995,336000,736800
2021-02-18,114520,7066,23711,0,0,0,4516800,116954,135857,5740995,336000,736800
2021-02-19,119029,7908,23092,0,0,715200,4635829,124862,158949,5740995,336000,1452000
2021-02-20,86316,5462,20773,0,0,0,4722145,130324,179722,5740995,336000,1452000
2021-02-21,65845,4220,15526,0,0,0,4787990,134544,195248,5740995,336000,1452000
2021-02-22,118876,7439,25560,0,0,0,4906866,141983,220808,5740995,336000,1452000
2021-02-23,126927,6255,26142,924300,0,0,5033793,148238,246950,6665295,336000,1452000
2021-02-24,132383,7507,34099,0,0,0,5166176,155745,281049,6665295,336000,1452000
2021-02-25,124271,6173,48502,0,0,0,5290447,161918,329551,6665295,336000,1452000
2021-02-26,132351,7051,53820,0,0,0,5422798,168969,383371,6665295,336000,1452000
2021-02-27,93527,4150,48133,0,343200,0,5516325,173119,431504,6665295,679200,1452000
2021-02-28,67032,3527,42785,0,0,0,5583357,176646,474289,6665295,679200,1452000
2021-03-01,128967,7678,53890,0,0,0,5712324,184324,528179,6665295,679200,1452000
2021-03-02,143807,8362,59834,1012050,0,650400,5856131,192686,588013,7677345,679200,2102400
2021-03-03,160985,11154,65142,0,0,0,6017116,203840,653155,7677345,679200,2102400
