date,administered_doses_pfizer,administered_doses_moderna,administered_doses_astrazeneca,administered_doses_jj,delivered_doses_pfizer,delivered_doses_moderna,delivered_doses_astrazeneca,delivered_doses_jj,cum_administered_doses_pfizer,cum_administered_doses_moderna,cum_administered_doses_astrazeneca,cum_administered_doses_jj,cum_delivered_doses_pfizer,cum_delivered_doses_moderna,cum_delivered_doses_astrazeneca,cum_delivered_doses_jj
2020-12-26,0,0,0,0,151125,0,0,0,0,0,0,0,151125,0,0,0
2020-12-27,24475,0,0,0,0,0,0,0,24475,0,0,0,151125,0,0,0
2020-12-28,18340,0,0,0,521625,0,0,0,42815,0,0,0,672750,0,0,0
2020-12-29,49552,0,0,0,0,0,0,0,92367,0,0,0,672750,0,0,0
2020-12-30,62541,0,0,0,653250,0,0,0,154908,0,0,0,1326000,0,0,0
2020-12-31,50045,0,0,0,0,0,0,0,204953,0,0,0,1326000,0,0,0
2021-01-01,19271,0,1,0,0,0,0,0,224224,0,1,0,1326000,0,0,0
2021-01-02,53096,0,0,0,0,0,0,0,277320,0,1,0,1326000,0,0,0
2021-01-03,24209,0,0,0,0,0,0,0,301529,0,1,0,1326000,0,0,0
2021-01-04,48389,0,0,0,0,0,0,0,349918,0,1,0,1326000,0,0,0
2021-01-05,54059,1,0,0,0,0,0,0,403977,1,1,0,1326000,0,0,0
2021-01-06,62847,6,2,0,0,0,0,0,466824,7,3,0,1326000,0,0,0
2021-01-07,55858,4,0,0,0,0,0,0,522682,11,3,0,1326000,0,0,0
2021-01-08,63435,48,0,0,687375,0,0,0,586117,59,3,0,2013375,0,0,0
2021-01-09,61365,0,0,0,0,0,0,0,647482,59,3,0,2013375,0,0,0
2021-01-10,35361,0,0,0,0,0,0,0,682843,59,3,0,2013375,0,0,0
2021-01-11,67447,1,0,0,0,0,0,0,750290,60,3,0,2013375,0,0,0
2021-01-12,82779,5,2,0,0,63600,0,0,833069,65,5,0,2013375,63600,0,0
2021-01-13,110784,797,0,0,0,0,0,0,943853,862,5,0,2013375,63600,0,0
