date,cum_vacs,new_vacs_all,new_vacs_first_dose_all,new_vacs_second_dose_all,cum_vacs_pfizer,cum_vacs_moderna,cum_vacs_astrazeneca,cum_persons_vaccinated_first_dose,cum_persons_vaccinated_second_dose,pct_pop_vaccinated_first_dose,pct_pop_vaccinated_second_dose,cum_vacs_elderly,cum_vacs_medical_profession,cum_vacs_medical_condition,cum_vacs_care_homes,cum_vacs_elderly_first_dose,cum_vacs_medical_profession_first_dose,cum_vacs_medical_condition_first_dose,cum_vacs_care_homes_first_dose,cum_vacs_elderly_second_dose,cum_vacs_medical_profession_second_dose,cum_vacs_medical_condition_second_dose,cum_vacs_care_homes_second_dose,new_vacs_pfizer,new_vacs_moderna,new_vacs_astrazeneca,new_vacs_elderly,new_vacs_medical_profession,new_vacs_medical_condition,new_vacs_care_homes,new_vacs_all_7day_rollsum,new_vacs_pfizer_7day_rollsum,new_vacs_moderna_7day_rollsum,new_vacs_astrazeneca_7day_rollsum
2020-12-27,23569,23569,23569,0,23569,0,0,23569,0,2.8e-4,0,8634,7775,1281,13036,8634,7775,1281,13036,0,0,0,0,23569,0,0,8634,7775,1281,13036,NA,NA,NA,NA
2020-12-28,42309,18740,18740,0,42309,0,0,42309,0,5.1e-4,0,16423,15167,1967,21868,16423,15167,1967,21868,0,0,0,0,18740,0,0,7789,7392,686,8832,NA,NA,NA,NA
2020-12-29,84964,42655,42655,0,84964,0,0,84964,0,0.00102,0,28858,36728,3043,38597,28858,36728,3043,38597,0,0,0,0,42655,0,0,12435,21561,1076,16729,NA,NA,NA,NA
2020-12-30,142967,58003,58003,0,142967,0,0,142967,0,0.00172,0,46272,68157,4644,59524,46272,68157,4644,59524,0,0,0,0,58003,0,0,17414,31429,1601,20927,NA,NA,NA,NA
2020-12-31,181584,38617,38617,0,181584,0,0,181584,0,0.00218,0,59367,86810,6462,74884,59367,86810,6462,74884,0,0,0,0,38617,0,0,13095,18653,1818,15360,NA,NA,NA,NA
2021-01-01,206334,24750,24750,0,206334,0,0,206334,0,0.00248,0,67113,96774,7537,87484,67113,96774,7537,87484,0,0,0,0,24750,0,0,7746,9964,1075,12600,NA,NA,NA,NA
2021-01-02,258390,52056,52056,0,258390,0,0,258390,0,0.00311,0,86423,120561,10018,108501,86423,120561,10018,108501,0,0,0,0,52056,0,0,19310,23787,2481,21017,258390,258390,0,0
2021-01-03,283379,24989,24989,0,283379,0,0,283379,0,0.00341,0,96342,131413,10948,119079,96342,131413,10948,119079,0,0,0,0,24989,0,0,9919,10852,930,10578,259810,259810,0,0
2021-01-04,332030,48651,48651,0,332030,0,0,332030,0,0.00399,0,111666,156479,13608,134893,111666,156479,13608,134893,0,0,0,0,48651,0,0,15324,25066,2660,15814,289721,289721,0,0
2021-01-05,384491,52461,52461,0,384491,0,0,384491,0,0.00462,0,127913,184011,16043,153065,127913,184010,16043,153065,0,1,0,0,52461,0,0,16247,27532,2435,18172,299527,299527,0,0
