date,cum_vacs,new_vacs_all,new_vacs_first_dose_all,new_vacs_second_dose_all,cum_vacs_pfizer,cum_vacs_moderna,cum_vacs_astrazeneca,cum_persons_vaccinated_first_dose,cum_persons_vaccinated_second_dose,pct_pop_vaccinated_first_dose,pct_pop_vaccinated_second_dose,cum_vacs_elderly,cum_vacs_medical_profession,cum_vacs_medical_condition,cum_vacs_care_homes,cum_vacs_elderly_first_dose,cum_vacs_medical_profession_first_dose,cum_vacs_medical_condition_first_dose,cum_vacs_care_homes_first_dose,cum_vacs_elderly_second_dose,cum_vacs_medical_profession_second_dose,cum_vacs_medical_condition_second_dose,cum_vacs_care_homes_second_dose,new_vacs_pfizer,new_vacs_moderna,new_vacs_astrazeneca,new_vacs_elderly,new_vacs_medical_profession,new_vacs_medical_condition,new_vacs_care_homes,new_vacs_all_7day_rollsum,new_vacs_pfizer_7day_rollsum,new_vacs_moderna_7day_rollsum,new_vacs_astrazeneca_7day_rollsum
2020-12-27,23555,23555,23555,0,23555,0,0,23555,0,2.8e-4,0,8645,7751,1280,13144,8645,7751,1280,13144,0,0,0,0,23555,0,0,8645,7751,1280,13144,NA,NA,NA,NA
2020-12-28,42301,18746,18746,0,42301,0,0,42301,0,5.1e-4,0,16437,15100,2012,21997,16437,15100,2012,21997,0,0,0,0,18746,0,0,7792,7349,732,8853,NA,NA,NA,NA
2020-12-29,84881,42580,42580,0,84881,0,0,84881,0,0.00102,0,28902,36629,3090,38675,28902,36629,3090,38675,0,0,0,0,42580,0,0,12465,21529,1078,16678,NA,NA,NA,NA
2020-12-30,142825,57944,57944,0,142825,0,0,142825,0,0.00172,0,46296,68028,4688,59576,46296,68028,4688,59576,0,0,0,0,57944,0,0,17394,31399,1598,20901,NA,NA,NA,NA
2020-12-31,181447,38622,38622,0,181447,0,0,181447,0,0.00218,0,59393,86683,6506,74937,59393,86683,6506,74937,0,0,0,0,38622,0,0,13097,18655,1818,15361,NA,NA,NA,NA
2021-01-01,206201,24754,24754,0,206201,0,0,206201,0,0.00248,0,67142,96648,7581,87537,67142,96648,7581,87537,0,0,0,0,24754,0,0,7749,9965,1075,12600,NA,NA,NA,NA
2021-01-02,258045,51844,51844,0,258045,0,0,258045,0,0.0031,0,86390,120295,10060,108523,86390,120295,10060,108523,0,0,0,0,51844,0,0,19248,23647,2479,20986,258045,258045,0,0
2021-01-03,283035,24990,24990,0,283035,0,0,283035,0,0.0034,0,96217,131151,10990,119166,96217,131151,10990,119166,0,0,0,0,24990,0,0,9827,10856,930,10643,259480,259480,0,0
2021-01-04,331642,48607,48607,0,331642,0,0,331642,0,0.00399,0,111451,156166,13650,135077,111451,156166,13650,135077,0,0,0,0,48607,0,0,15234,25015,2660,15911,289341,289341,0,0
2021-01-05,384028,52386,52386,0,384028,0,0,384028,0,0.00462,0,127668,183629,16085,153261,127668,183628,16085,153261,0,1,0,0,52386,0,0,16217,27463,2435,18184,299147,299147,0,0
2021-01-06,442707,58679,58679,0,442707,0,0,442707,0,0.00532,0,145405,214385,19499,174343,145405,214384,19499,174343,0,1,0,0,58679,0,0,17737,30756,3414,21082,299882,299882,0,0
2021-01-07,501082,58375,58375,0,501082,0,0,501082,0,0.00603,0,163130,244732,22505,192189,163129,244731,22505,192189,1,1,0,0,58375,0,0,17725,30347,3006,17846,319635,319635,0,0
2021-01-08,561475,60393,60393,0,561475,0,0,561475,0,0.00675,0,182668,276280,25817,211958,182663,276279,25817,211958,5,1,0,0,60393,0,0,19538,31548,3312,19769,355274,355274,0,0
2021-01-09,618671,57196,57196,0,618671,0,0,618671,0,0.0074400000000000004,0,204956,300978,28136,234883,204947,300977,28136,234883,9,1,0,0,57196,0,0,22288,24698,2319,22925,360626,360626,0,0
2021-01-10,651962,33291,33291,0,651962,0,0,651962,0,0.00784,0,218186,315046,29458,246687,218175,315045,29458,246687,11,1,0,0,33291,0,0,13230,14068,1322,11804,368927,368927,0,0
2021-01-11,717559,65597,65597,0,717559,0,0,717559,0,0.00863,0,241181,346349,32403,266958,241170,346348,32403,266958,11,1,0,0,65597,0,0,22995,31303,2945,20271,385917,385917,0,0
2021-01-12,799566,82007,82007,0,799566,0,0,799566,0,0.00961,0,266716,388660,35555,291151,266705,388659,35555,291151,11,1,0,0,82007,0,0,25535,42311,3152,24193,415538,415538,0,0
2021-01-13,898590,99024,99024,0,897795,795,0,898590,0,0.0108,0,299089,440896,38977,320657,299078,440895,38977,320657,11,1,0,0,98229,795,0,32373,52236,3422,29506,455883,455088,795,0
2021-01-14,998712,100122,100007,115,993268,5444,0,998597,115,0.01201,0,325339,492107,41328,353326,325273,492102,41328,353326,66,5,0,0,95473,4649,0,26250,51211,2351,32669,497630,492186,5444,0
2021-01-15,1091452,92740,92311,429,1080557,10895,0,1090908,544,0.01312,1e-5,355085,539336,44946,381463,354906,539252,44937,381374,179,84,9,89,87289,5451,0,29746,47229,3618,28137,529977,519082,10895,0
2021-01-16,1148568,57116,56719,397,1135815,12753,0,1147627,941,0.0138,1e-5,376061,564430,46985,401339,375691,564239,46915,401048,370,191,70,291,55258,1858,0,20976,25094,2039,19876,529897,517144,12753,0
2021-01-17,1193120,44552,30942,13610,1178952,14168,0,1178569,14551,0.01417,1.7e-4,392811,584017,48708,419225,386121,578934,48043,410992,6690,5083,665,8233,43137,1415,0,16750,19587,1723,17886,541158,526990,14168,0
