date,administered_doses_pfizer,administered_doses_moderna,administered_doses_astrazeneca,delivered_doses_pfizer,delivered_doses_moderna,delivered_doses_astrazeneca,cum_administered_doses_pfizer,cum_administered_doses_moderna,cum_administered_doses_astrazeneca,cum_delivered_doses_pfizer,cum_delivered_doses_moderna,cum_delivered_doses_astrazeneca
2020-12-27,23916,0,0,0,0,0,23916,0,0,0,0,0
2020-12-28,18386,0,0,521625,0,0,42302,0,0,521625,0,0
2020-12-29,48204,0,0,0,0,0,90506,0,0,521625,0,0
2020-12-30,60825,0,0,653250,0,0,151331,0,0,1174875,0,0
2020-12-31,48472,0,0,0,0,0,199803,0,0,1174875,0,0
2021-01-01,19274,0,1,0,0,0,219077,0,1,1174875,0,0
2021-01-02,52605,0,0,0,0,0,271682,0,1,1174875,0,0
2021-01-03,24091,0,0,0,0,0,295773,0,1,1174875,0,0
2021-01-04,48346,0,0,0,0,0,344119,0,1,1174875,0,0
2021-01-05,53356,1,0,0,0,0,397475,1,1,1174875,0,0
2021-01-06,62741,1,2,0,0,0,460216,2,3,1174875,0,0
2021-01-07,55750,0,0,0,0,0,515966,2,3,1174875,0,0
2021-01-08,62664,0,0,687375,0,0,578630,2,3,1862250,0,0
2021-01-09,60849,0,0,0,0,0,639479,2,3,1862250,0,0
2021-01-10,34980,0,0,0,0,0,674459,2,3,1862250,0,0
2021-01-11,65930,1,0,0,0,0,740389,3,3,1862250,0,0
2021-01-12,82385,0,2,0,63600,0,822774,3,5,1862250,63600,0
2021-01-13,109754,798,0,0,0,0,932528,801,5,1862250,63600,0
2021-01-14,77800,4585,0,0,0,0,1010328,5386,5,1862250,63600,0
2021-01-15,84362,5437,19,0,0,0,1094690,10823,24,1862250,63600,0
2021-01-16,55057,1772,0,0,0,0,1149747,12595,24,1862250,63600,0
2021-01-17,45676,1305,1,0,0,0,1195423,13900,25,1862250,63600,0
2021-01-18,76927,3289,1,0,0,0,1272350,17189,26,1862250,63600,0
2021-01-19,108402,2774,50,842400,0,0,1380752,19963,76,2704650,63600,0
2021-01-20,126666,2518,4,0,0,0,1507418,22481,80,2704650,63600,0
2021-01-21,100824,2323,0,0,0,0,1608242,24804,80,2704650,63600,0
2021-01-22,99585,1991,12,0,0,0,1707827,26795,92,2704650,63600,0
2021-01-23,84590,383,1,0,0,0,1792417,27178,93,2704650,63600,0
2021-01-24,48903,244,2,0,0,0,1841320,27422,95,2704650,63600,0
2021-01-25,94152,1579,2,0,0,0,1935472,29001,97,2704650,63600,0
2021-01-26,97252,1654,5,489060,0,0,2032724,30655,102,3193710,63600,0
2021-01-27,108524,1926,8,0,0,0,2141248,32581,110,3193710,63600,0
2021-01-28,88918,1635,1,0,0,0,2230166,34216,111,3193710,63600,0
2021-01-29,105953,1405,68,0,0,0,2336119,35621,179,3193710,63600,0
2021-01-30,84303,874,1,0,0,0,2420422,36495,180,3193710,63600,0
2021-01-31,56097,342,0,0,90000,0,2476519,36837,180,3193710,153600,0
2021-02-01,117203,2211,57,0,0,0,2593722,39048,237,3193710,153600,0
2021-02-02,125335,2648,14,747630,0,0,2719057,41696,251,3941340,153600,0
2021-02-03,148987,5737,19,0,0,0,2868044,47433,270,3941340,153600,0
2021-02-04,123777,5277,6,0,0,0,2991821,52710,276,3941340,153600,0
2021-02-05,133352,5836,7,0,0,0,3125173,58546,283,3941340,153600,0
2021-02-06,93853,2466,1,0,0,345600,3219026,61012,284,3941340,153600,345600
2021-02-07,50429,2349,2,0,0,0,3269455,63361,286,3941340,153600,345600
2021-02-08,104859,3861,18,0,0,0,3374314,67222,304,3941340,153600,345600
2021-02-09,127063,3882,108,747630,0,0,3501377,71104,412,4688970,153600,345600
2021-02-10,136111,3357,7102,0,0,0,3637488,74461,7514,4688970,153600,345600
2021-02-11,118813,6713,15470,0,0,0,3756301,81174,22984,4688970,153600,345600
2021-02-12,131371,9236,14119,0,0,391200,3887672,90410,37103,4688970,153600,736800
2021-02-13,91902,3035,12541,0,0,0,3979574,93445,49644,4688970,153600,736800
2021-02-14,55102,2401,7257,0,0,0,4034676,95846,56901,4688970,153600,736800
2021-02-15,106925,4217,14584,0,182400,0,4141601,100063,71485,4688970,336000,736800
2021-02-16,105670,4953,23420,904410,0,0,4247271,105016,94905,5593380,336000,736800
2021-02-17,122118,7262,19631,0,0,0,4369389,112278,114536,5593380,336000,736800
2021-02-18,111324,7452,24305,0,0,0,4480713,119730,138841,5593380,336000,736800
2021-02-19,117470,9069,24760,0,0,715200,4598183,128799,163601,5593380,336000,1452000
2021-02-20,87871,4472,21606,0,0,0,4686054,133271,185207,5593380,336000,1452000
2021-02-21,67107,3228,15275,0,0,0,4753161,136499,200482,5593380,336000,1452000
2021-02-22,125954,8386,24823,0,0,0,4879115,144885,225305,5593380,336000,1452000
2021-02-23,131432,6398,27125,926640,0,0,5010547,151283,252430,6520020,336000,1452000
2021-02-24,131284,7186,34462,0,0,0,5141831,158469,286892,6520020,336000,1452000
2021-02-25,129424,6256,50294,0,0,0,5271255,164725,337186,6520020,336000,1452000
2021-02-26,137075,8279,58877,0,0,0,5408330,173004,396063,6520020,336000,1452000
2021-02-27,91988,4182,50621,0,343200,0,5500318,177186,446684,6520020,679200,1452000
2021-02-28,62288,3894,41678,0,0,0,5562606,181080,488362,6520020,679200,1452000
2021-03-01,128249,8565,56112,0,0,0,5690855,189645,544474,6520020,679200,1452000
2021-03-02,140212,9218,67684,1014390,0,650400,5831067,198863,612158,7534410,679200,2102400
2021-03-03,155541,12848,71205,0,0,0,5986608,211711,683363,7534410,679200,2102400
2021-03-04,142013,13169,84308,0,0,0,6128621,224880,767671,7534410,679200,2102400
2021-03-05,145861,12511,102883,0,0,0,6274482,237391,870554,7534410,679200,2102400
2021-03-06,110246,8555,82737,0,0,0,6384728,245946,953291,7534410,679200,2102400
2021-03-07,82550,6719,59773,0,0,0,6467278,252665,1013064,7534410,679200,2102400
2021-03-08,135089,10704,89743,0,0,0,6602367,263369,1102807,7534410,679200,2102400
2021-03-09,139879,12389,95422,1083420,0,960000,6742246,275758,1198229,8617830,679200,3062400
2021-03-10,155354,11148,112163,0,0,0,6897600,286906,1310392,8617830,679200,3062400
2021-03-11,148009,12774,115667,0,0,0,7045609,299680,1426059,8617830,679200,3062400
2021-03-12,151553,16689,148052,0,0,0,7197162,316369,1574111,8617830,679200,3062400
2021-03-13,114250,9562,120779,0,0,0,7311412,325931,1694890,8617830,679200,3062400
2021-03-14,89412,5052,76234,0,0,0,7400824,330983,1771124,8617830,679200,3062400
2021-03-15,151171,11946,82374,0,0,364800,7551995,342929,1853498,8617830,679200,3427200
2021-03-16,166344,10512,1907,1083420,0,0,7718339,353441,1855405,9701250,679200,3427200
2021-03-17,183809,16725,1445,0,0,0,7902148,370166,1856850,9701250,679200,3427200
2021-03-18,173543,17028,1562,0,0,0,8075691,387194,1858412,9701250,679200,3427200
2021-03-19,181788,19459,37354,0,0,0,8257479,406653,1895766,9701250,679200,3427200
2021-03-20,135020,14921,67393,0,0,0,8392499,421574,1963159,9701250,679200,3427200
2021-03-21,103819,9168,52234,0,432000,0,8496318,430742,2015393,9701250,1111200,3427200
2021-03-22,163816,22569,73434,0,0,0,8660134,453311,2088827,9701250,1111200,3427200
2021-03-23,178742,18108,92109,1076400,0,204000,8838876,471419,2180936,10777650,1111200,3631200
2021-03-24,192517,27395,92017,0,0,0,9031393,498814,2272953,10777650,1111200,3631200
2021-03-25,183981,22206,108956,0,0,0,9215374,521020,2381909,10777650,1111200,3631200
2021-03-26,198544,28467,114631,0,0,201600,9413918,549487,2496540,10777650,1111200,3832800
2021-03-27,148029,25542,97401,0,0,0,9561947,575029,2593941,10777650,1111200,3832800
2021-03-28,115176,17236,57722,0,0,0,9677123,592265,2651663,10777650,1111200,3832800
2021-03-29,181580,20649,83070,0,0,0,9858703,612914,2734733,10777650,1111200,3832800
2021-03-30,202268,18539,70465,0,0,0,10060971,631453,2805198,10777650,1111200,3832800
2021-03-31,212263,24977,37794,0,0,0,10273234,656430,2842992,10777650,1111200,3832800
