date,administered_doses_pfizer,administered_doses_moderna,administered_doses_astrazeneca,delivered_doses_pfizer,delivered_doses_moderna,delivered_doses_astrazeneca,cum_administered_doses_pfizer,cum_administered_doses_moderna,cum_administered_doses_astrazeneca,cum_delivered_doses_pfizer,cum_delivered_doses_moderna,cum_delivered_doses_astrazeneca
2020-12-27,23713,0,0,0,0,0,23713,0,0,0,0,0
2020-12-28,18737,0,0,521625,0,0,42450,0,0,521625,0,0
2020-12-29,42820,0,0,0,0,0,85270,0,0,521625,0,0
2020-12-30,57835,0,0,653250,0,0,143105,0,0,1174875,0,0
2020-12-31,38868,0,0,0,0,0,181973,0,0,1174875,0,0
2021-01-01,24666,0,0,0,0,0,206639,0,0,1174875,0,0
2021-01-02,52185,0,0,0,0,0,258824,0,0,1174875,0,0
2021-01-03,24989,0,0,0,0,0,283813,0,0,1174875,0,0
2021-01-04,48707,0,0,0,0,0,332520,0,0,1174875,0,0
2021-01-05,52391,0,0,0,0,0,384911,0,0,1174875,0,0
2021-01-06,59361,0,0,0,0,0,444272,0,0,1174875,0,0
2021-01-07,58414,0,0,0,0,0,502686,0,0,1174875,0,0
2021-01-08,60856,0,0,687375,0,0,563542,0,0,1862250,0,0
2021-01-09,56985,0,0,0,0,0,620527,0,0,1862250,0,0
2021-01-10,33456,0,0,0,0,0,653983,0,0,1862250,0,0
2021-01-11,65973,0,0,0,0,0,719956,0,0,1862250,0,0
2021-01-12,81822,0,0,0,63600,0,801778,0,0,1862250,63600,0
2021-01-13,98485,799,0,0,0,0,900263,799,0,1862250,63600,0
2021-01-14,95432,4583,0,0,0,0,995695,5382,0,1862250,63600,0
2021-01-15,87309,5447,0,0,0,0,1083004,10829,0,1862250,63600,0
2021-01-16,55383,1772,0,0,0,0,1138387,12601,0,1862250,63600,0
2021-01-17,43082,1304,0,0,0,0,1181469,13905,0,1862250,63600,0
2021-01-18,72448,2026,0,0,0,0,1253917,15931,0,1862250,63600,0
2021-01-19,94364,1555,0,842400,0,0,1348281,17486,0,2704650,63600,0
2021-01-20,127951,1298,0,0,0,0,1476232,18784,0,2704650,63600,0
2021-01-21,95420,1102,0,0,0,0,1571652,19886,0,2704650,63600,0
2021-01-22,114527,1340,0,0,0,0,1686179,21226,0,2704650,63600,0
2021-01-23,92933,383,0,0,0,0,1779112,21609,0,2704650,63600,0
2021-01-24,65878,244,0,0,0,0,1844990,21853,0,2704650,63600,0
2021-01-25,96435,1470,0,0,0,0,1941425,23323,0,2704650,63600,0
2021-01-26,101216,1588,0,489060,0,0,2042641,24911,0,3193710,63600,0
2021-01-27,111282,1911,0,0,0,0,2153923,26822,0,3193710,63600,0
2021-01-28,93717,6483,0,0,0,0,2247640,33305,0,3193710,63600,0
2021-01-29,108535,1405,0,0,0,0,2356175,34710,0,3193710,63600,0
2021-01-30,87134,873,0,0,0,0,2443309,35583,0,3193710,63600,0
2021-01-31,62422,342,0,0,90000,0,2505731,35925,0,3193710,153600,0
2021-02-01,114710,1577,0,0,0,0,2620441,37502,0,3193710,153600,0
2021-02-02,126167,2028,0,747630,0,0,2746608,39530,0,3941340,153600,0
2021-02-03,138176,5494,0,0,0,0,2884784,45024,0,3941340,153600,0
2021-02-04,131684,5064,0,0,0,0,3016468,50088,0,3941340,153600,0
2021-02-05,130358,4242,0,0,0,0,3146826,54330,0,3941340,153600,0
2021-02-06,101478,3401,0,0,0,345600,3248304,57731,0,3941340,153600,345600
2021-02-07,56917,3459,0,0,0,0,3305221,61190,0,3941340,153600,345600
2021-02-08,103129,3893,16,0,0,0,3408350,65083,16,3941340,153600,345600
2021-02-09,121947,3506,107,747630,0,0,3530297,68589,123,4688970,153600,345600
2021-02-10,140846,5127,7505,0,0,0,3671143,73716,7628,4688970,153600,345600
2021-02-11,124326,5660,13828,0,0,0,3795469,79376,21456,4688970,153600,345600
2021-02-12,135929,9513,13814,0,0,391200,3931398,88889,35270,4688970,153600,736800
2021-02-13,94491,3644,12683,0,0,0,4025889,92533,47953,4688970,153600,736800
2021-02-14,57033,2402,6980,0,0,0,4082922,94935,54933,4688970,153600,736800
2021-02-15,108678,3230,15052,0,182400,0,4191600,98165,69985,4688970,336000,736800
2021-02-16,107537,4610,23435,904410,0,0,4299137,102775,93420,5593380,336000,736800
2021-02-17,123688,7197,19416,0,0,0,4422825,109972,112836,5593380,336000,736800
2021-02-18,115372,7334,24044,0,0,0,4538197,117306,136880,5593380,336000,736800
2021-02-19,119024,8489,23916,0,0,715200,4657221,125795,160796,5593380,336000,1452000
2021-02-20,86367,5681,20937,0,0,0,4743588,131476,181733,5593380,336000,1452000
2021-02-21,65926,4221,15461,0,0,0,4809514,135697,197194,5593380,336000,1452000
2021-02-22,119940,7125,25692,0,0,0,4929454,142822,222886,5593380,336000,1452000
2021-02-23,128383,6373,26727,926640,0,0,5057837,149195,249613,6520020,336000,1452000
2021-02-24,131469,7679,33969,0,0,0,5189306,156874,283582,6520020,336000,1452000
2021-02-25,125914,6218,48447,0,0,0,5315220,163092,332029,6520020,336000,1452000
2021-02-26,133845,7163,55877,0,0,0,5449065,170255,387906,6520020,336000,1452000
2021-02-27,94206,4159,49594,0,343200,0,5543271,174414,437500,6520020,679200,1452000
2021-02-28,67212,3621,41839,0,0,0,5610483,178035,479339,6520020,679200,1452000
2021-03-01,129128,7815,55047,0,0,0,5739611,185850,534386,6520020,679200,1452000
2021-03-02,144203,8428,65312,1012050,0,650400,5883814,194278,599698,7532070,679200,2102400
