date,cum_vacs,new_vacs_all,new_vacs_first_dose_all,new_vacs_second_dose_all,cum_vacs_pfizer,cum_vacs_moderna,cum_vacs_astrazeneca,cum_persons_vaccinated_first_dose,cum_persons_vaccinated_second_dose,pct_pop_vaccinated_first_dose,pct_pop_vaccinated_second_dose,cum_vacs_elderly,cum_vacs_medical_profession,cum_vacs_medical_condition,cum_vacs_care_homes,cum_vacs_elderly_first_dose,cum_vacs_medical_profession_first_dose,cum_vacs_medical_condition_first_dose,cum_vacs_care_homes_first_dose,cum_vacs_elderly_second_dose,cum_vacs_medical_profession_second_dose,cum_vacs_medical_condition_second_dose,cum_vacs_care_homes_second_dose,new_vacs_pfizer,new_vacs_moderna,new_vacs_astrazeneca,new_vacs_elderly,new_vacs_medical_profession,new_vacs_medical_condition,new_vacs_care_homes,new_vacs_all_7day_rollsum,new_vacs_pfizer_7day_rollsum,new_vacs_moderna_7day_rollsum,new_vacs_astrazeneca_7day_rollsum
2020-12-27,23555,23555,23555,0,23555,0,0,23555,0,2.8e-4,0,8645,7751,1280,13144,8645,7751,1280,13144,0,0,0,0,23555,0,0,8645,7751,1280,13144,NA,NA,NA,NA
2020-12-28,42301,18746,18746,0,42301,0,0,42301,0,5.1e-4,0,16437,15100,2012,21997,16437,15100,2012,21997,0,0,0,0,18746,0,0,7792,7349,732,8853,NA,NA,NA,NA
2020-12-29,84881,42580,42580,0,84881,0,0,84881,0,0.00102,0,28902,36629,3090,38675,28902,36629,3090,38675,0,0,0,0,42580,0,0,12465,21529,1078,16678,NA,NA,NA,NA
2020-12-30,142825,57944,57944,0,142825,0,0,142825,0,0.00172,0,46296,68028,4688,59576,46296,68028,4688,59576,0,0,0,0,57944,0,0,17394,31399,1598,20901,NA,NA,NA,NA
2020-12-31,181446,38621,38621,0,181446,0,0,181446,0,0.00218,0,59393,86683,6506,74937,59393,86683,6506,74937,0,0,0,0,38621,0,0,13097,18655,1818,15361,NA,NA,NA,NA
2021-01-01,206200,24754,24754,0,206200,0,0,206200,0,0.00248,0,67142,96648,7581,87537,67142,96648,7581,87537,0,0,0,0,24754,0,0,7749,9965,1075,12600,NA,NA,NA,NA
2021-01-02,258093,51893,51893,0,258093,0,0,258093,0,0.0031,0,86405,120323,10059,108546,86405,120323,10059,108546,0,0,0,0,51893,0,0,19263,23675,2478,21009,258093,258093,0,0
2021-01-03,283083,24990,24990,0,283083,0,0,283083,0,0.0034,0,96232,131179,10989,119189,96232,131179,10989,119189,0,0,0,0,24990,0,0,9827,10856,930,10643,259528,259528,0,0
2021-01-04,331690,48607,48607,0,331690,0,0,331690,0,0.00399,0,111466,156194,13649,135100,111466,156194,13649,135100,0,0,0,0,48607,0,0,15234,25015,2660,15911,289389,289389,0,0
2021-01-05,384082,52392,52392,0,384082,0,0,384082,0,0.00462,0,127685,183661,16084,153286,127685,183660,16084,153286,0,1,0,0,52392,0,0,16219,27467,2435,18186,299201,299201,0,0
2021-01-06,442761,58679,58679,0,442761,0,0,442761,0,0.00532,0,145422,214417,19498,174368,145422,214416,19498,174368,0,1,0,0,58679,0,0,17737,30756,3414,21082,299936,299936,0,0
2021-01-07,501134,58373,58373,0,501134,0,0,501134,0,0.00603,0,163145,244764,22504,192213,163144,244763,22504,192213,1,1,0,0,58373,0,0,17723,30347,3006,17845,319688,319688,0,0
2021-01-08,561523,60389,60389,0,561523,0,0,561523,0,0.00675,0,182679,276312,25816,211980,182674,276311,25816,211980,5,1,0,0,60389,0,0,19534,31548,3312,19767,355323,355323,0,0
2021-01-09,618722,57199,57199,0,618722,0,0,618722,0,0.0074400000000000004,0,204967,301013,28135,234905,204958,301012,28135,234905,9,1,0,0,57199,0,0,22288,24701,2319,22925,360629,360629,0,0
2021-01-10,652012,33290,33290,0,652012,0,0,652012,0,0.00784,0,218197,315080,29457,246709,218186,315079,29457,246709,11,1,0,0,33290,0,0,13230,14067,1322,11804,368929,368929,0,0
2021-01-11,717607,65595,65595,0,717607,0,0,717607,0,0.00863,0,241191,346382,32402,266980,241180,346381,32402,266980,11,1,0,0,65595,0,0,22994,31302,2945,20271,385917,385917,0,0
2021-01-12,799614,82007,82007,0,799614,0,0,799614,0,0.00961,0,266726,388693,35554,291173,266715,388692,35554,291173,11,1,0,0,82007,0,0,25535,42311,3152,24193,415532,415532,0,0
2021-01-13,898636,99022,99022,0,897841,795,0,898636,0,0.01081,0,299099,440927,38976,320679,299088,440926,38976,320679,11,1,0,0,98227,795,0,32373,52234,3422,29506,455875,455080,795,0
2021-01-14,998760,100124,100009,115,993316,5444,0,998645,115,0.01201,0,325349,492140,41327,353348,325283,492135,41327,353348,66,5,0,0,95475,4649,0,26250,51213,2351,32669,497626,492182,5444,0
2021-01-15,1091444,92684,92255,429,1080549,10895,0,1090900,544,0.01312,1e-5,355094,539332,44945,381467,354915,539248,44936,381378,179,84,9,89,87233,5451,0,29745,47192,3618,28119,529921,519026,10895,0
2021-01-16,1148559,57115,56718,397,1135806,12753,0,1147618,941,0.0138,1e-5,376070,564426,46984,401342,375700,564235,46914,401051,370,191,70,291,55257,1858,0,20976,25094,2039,19875,529837,517084,12753,0
2021-01-17,1193111,44552,30942,13610,1178943,14168,0,1178560,14551,0.01417,1.7e-4,392820,584013,48707,419228,386130,578930,48042,410995,6690,5083,665,8233,43137,1415,0,16750,19587,1723,17886,541099,526931,14168,0
