date,cum_vacs,new_vacs_all,new_vacs_first_dose_all,new_vacs_second_dose_all,cum_vacs_pfizer,cum_vacs_moderna,cum_vacs_astrazeneca,cum_persons_vaccinated_first_dose,cum_persons_vaccinated_second_dose,pct_pop_vaccinated_first_dose,pct_pop_vaccinated_second_dose,cum_vacs_elderly,cum_vacs_medical_profession,cum_vacs_medical_condition,cum_vacs_care_homes,cum_vacs_elderly_first_dose,cum_vacs_medical_profession_first_dose,cum_vacs_medical_condition_first_dose,cum_vacs_care_homes_first_dose,cum_vacs_elderly_second_dose,cum_vacs_medical_profession_second_dose,cum_vacs_medical_condition_second_dose,cum_vacs_care_homes_second_dose,new_vacs_pfizer,new_vacs_moderna,new_vacs_astrazeneca,new_vacs_elderly,new_vacs_medical_profession,new_vacs_medical_condition,new_vacs_care_homes,new_vacs_all_7day_rollsum,new_vacs_pfizer_7day_rollsum,new_vacs_moderna_7day_rollsum,new_vacs_astrazeneca_7day_rollsum
2020-12-27,23569,23569,23569,0,23569,0,0,23569,0,2.8e-4,0,8634,7775,1281,13036,8634,7775,1281,13036,0,0,0,0,23569,0,0,8634,7775,1281,13036,NA,NA,NA,NA
2020-12-28,42309,18740,18740,0,42309,0,0,42309,0,5.1e-4,0,16423,15167,1967,21868,16423,15167,1967,21868,0,0,0,0,18740,0,0,7789,7392,686,8832,NA,NA,NA,NA
2020-12-29,84962,42653,42653,0,84962,0,0,84962,0,0.00102,0,28856,36728,3043,38596,28856,36728,3043,38596,0,0,0,0,42653,0,0,12433,21561,1076,16728,NA,NA,NA,NA
2020-12-30,142964,58002,58002,0,142964,0,0,142964,0,0.00172,0,46269,68157,4644,59522,46269,68157,4644,59522,0,0,0,0,58002,0,0,17413,31429,1601,20926,NA,NA,NA,NA
2020-12-31,181581,38617,38617,0,181581,0,0,181581,0,0.00218,0,59364,86810,6462,74882,59364,86810,6462,74882,0,0,0,0,38617,0,0,13095,18653,1818,15360,NA,NA,NA,NA
2021-01-01,206331,24750,24750,0,206331,0,0,206331,0,0.00248,0,67110,96774,7537,87482,67110,96774,7537,87482,0,0,0,0,24750,0,0,7746,9964,1075,12600,NA,NA,NA,NA
2021-01-02,258515,52184,52184,0,258515,0,0,258515,0,0.00311,0,86489,120620,10018,108568,86489,120620,10018,108568,0,0,0,0,52184,0,0,19379,23846,2481,21086,258515,258515,0,0
2021-01-03,283502,24987,24987,0,283502,0,0,283502,0,0.00341,0,96407,131472,10948,119144,96407,131472,10948,119144,0,0,0,0,24987,0,0,9918,10852,930,10576,259933,259933,0,0
2021-01-04,332148,48646,48646,0,332148,0,0,332148,0,0.00399,0,111728,156538,13607,134953,111728,156538,13607,134953,0,0,0,0,48646,0,0,15321,25066,2659,15809,289839,289839,0,0
2021-01-05,384606,52458,52458,0,384606,0,0,384606,0,0.00462,0,127974,184070,16042,153123,127974,184069,16042,153123,0,1,0,0,52458,0,0,16246,27532,2435,18170,299644,299644,0,0
