date,administered_doses_pfizer,administered_doses_moderna,administered_doses_astrazeneca,delivered_doses_pfizer,delivered_doses_moderna,delivered_doses_astrazeneca,cum_administered_doses_pfizer,cum_administered_doses_moderna,cum_administered_doses_astrazeneca,cum_delivered_doses_pfizer,cum_delivered_doses_moderna,cum_delivered_doses_astrazeneca
2020-12-27,23904,0,0,0,0,0,23904,0,0,0,0,0
2020-12-28,18750,0,0,521625,0,0,42654,0,0,521625,0,0
2020-12-29,48178,0,0,0,0,0,90832,0,0,521625,0,0
2020-12-30,62218,0,0,653250,0,0,153050,0,0,1174875,0,0
2020-12-31,47995,0,0,0,0,0,201045,0,0,1174875,0,0
2021-01-01,19400,0,0,0,0,0,220445,0,0,1174875,0,0
2021-01-02,52389,0,0,0,0,0,272834,0,0,1174875,0,0
2021-01-03,24075,0,0,0,0,0,296909,0,0,1174875,0,0
2021-01-04,48226,0,0,0,0,0,345135,0,0,1174875,0,0
2021-01-05,53691,0,0,0,0,0,398826,0,0,1174875,0,0
2021-01-06,62979,0,0,0,0,0,461805,0,0,1174875,0,0
2021-01-07,55840,0,0,0,0,0,517645,0,0,1174875,0,0
2021-01-08,63192,0,0,687375,0,0,580837,0,0,1862250,0,0
2021-01-09,60899,0,0,0,0,0,641736,0,0,1862250,0,0
2021-01-10,34597,0,0,0,0,0,676333,0,0,1862250,0,0
2021-01-11,65968,0,0,0,0,0,742301,0,0,1862250,0,0
2021-01-12,82172,0,0,0,63600,0,824473,0,0,1862250,63600,0
2021-01-13,109353,799,0,0,0,0,933826,799,0,1862250,63600,0
2021-01-14,77858,4583,0,0,0,0,1011684,5382,0,1862250,63600,0
2021-01-15,84743,5449,0,0,0,0,1096427,10831,0,1862250,63600,0
2021-01-16,55613,1772,0,0,0,0,1152040,12603,0,1862250,63600,0
2021-01-17,45553,1304,0,0,0,0,1197593,13907,0,1862250,63600,0
2021-01-18,77084,3295,0,0,0,0,1274677,17202,0,1862250,63600,0
2021-01-19,108246,2795,0,842400,0,0,1382923,19997,0,2704650,63600,0
2021-01-20,127045,2537,0,0,0,0,1509968,22534,0,2704650,63600,0
2021-01-21,100591,2327,0,0,0,0,1610559,24861,0,2704650,63600,0
2021-01-22,99622,1991,0,0,0,0,1710181,26852,0,2704650,63600,0
2021-01-23,84843,383,0,0,0,0,1795024,27235,0,2704650,63600,0
2021-01-24,48918,244,0,0,0,0,1843942,27479,0,2704650,63600,0
2021-01-25,94589,1577,0,0,0,0,1938531,29056,0,2704650,63600,0
2021-01-26,97764,1647,0,489060,0,0,2036295,30703,0,3193710,63600,0
2021-01-27,109102,1911,0,0,0,0,2145397,32614,0,3193710,63600,0
2021-01-28,89282,1618,0,0,0,0,2234679,34232,0,3193710,63600,0
2021-01-29,106247,1405,0,0,0,0,2340926,35637,0,3193710,63600,0
2021-01-30,84371,873,0,0,0,0,2425297,36510,0,3193710,63600,0
2021-01-31,55943,342,0,0,90000,0,2481240,36852,0,3193710,153600,0
2021-02-01,117266,2210,0,0,0,0,2598506,39062,0,3193710,153600,0
2021-02-02,125320,2660,0,747630,0,0,2723826,41722,0,3941340,153600,0
2021-02-03,150709,5900,0,0,0,0,2874535,47622,0,3941340,153600,0
2021-02-04,124246,5273,0,0,0,0,2998781,52895,0,3941340,153600,0
2021-02-05,133750,5843,0,0,0,0,3132531,58738,0,3941340,153600,0
2021-02-06,93704,2465,0,0,0,345600,3226235,61203,0,3941340,153600,345600
2021-02-07,50657,2348,0,0,0,0,3276892,63551,0,3941340,153600,345600
2021-02-08,104790,3859,17,0,0,0,3381682,67410,17,3941340,153600,345600
2021-02-09,126535,3882,108,747630,0,0,3508217,71292,125,4688970,153600,345600
2021-02-10,138310,3357,7117,0,0,0,3646527,74649,7242,4688970,153600,345600
2021-02-11,118579,6712,15515,0,0,0,3765106,81361,22757,4688970,153600,345600
2021-02-12,131449,9305,13959,0,0,391200,3896555,90666,36716,4688970,153600,736800
2021-02-13,91832,3035,12694,0,0,0,3988387,93701,49410,4688970,153600,736800
2021-02-14,55028,2402,7255,0,0,0,4043415,96103,56665,4688970,153600,736800
2021-02-15,106848,4215,14145,0,182400,0,4150263,100318,70810,4688970,336000,736800
2021-02-16,105572,4983,23404,904410,0,0,4255835,105301,94214,5593380,336000,736800
2021-02-17,122321,7252,19567,0,0,0,4378156,112553,113781,5593380,336000,736800
2021-02-18,111331,7457,24295,0,0,0,4489487,120010,138076,5593380,336000,736800
