date,cum_vacs,new_vacs_all,new_vacs_first_dose_all,new_vacs_second_dose_all,cum_vacs_pfizer,cum_vacs_moderna,cum_vacs_astrazeneca,cum_persons_vaccinated_first_dose,cum_persons_vaccinated_second_dose,pct_pop_vaccinated_first_dose,pct_pop_vaccinated_second_dose,cum_vacs_age_indication,cum_vacs_profession_indication,cum_vacs_medical_indication,cum_vacs_care_homes,cum_vacs_age_indication_first_dose,cum_vacs_profession_indication_first_dose,cum_vacs_medical_indication_first_dose,cum_vacs_care_homes_first_dose,cum_vacs_age_indication_second_dose,cum_vacs_profession_indication_second_dose,cum_vacs_medical_indication_second_dose,cum_vacs_care_homes_second_dose,new_vacs_pfizer,new_vacs_moderna,new_vacs_astrazeneca,new_vacs_age_indication,new_vacs_profession_indication,new_vacs_medical_indication,new_vacs_care_homes,new_vacs_all_7day_rollsum,new_vacs_pfizer_7day_rollsum,new_vacs_moderna_7day_rollsum,new_vacs_astrazeneca_7day_rollsum
2020-12-27,24296,24296,24159,137,24296,0,0,24159,137,0,0,10705,8657,1305,12604,10664,8590,1305,12536,41,67,0,68,24296,0,0,10705,8657,1305,12604,NA,NA,NA,NA
2020-12-28,42679,18383,18383,0,42679,0,0,42542,137,0.001,0,18621,15788,1991,21344,18580,15721,1991,21276,41,67,0,68,18383,0,0,7916,7131,686,8740,NA,NA,NA,NA
2020-12-29,91810,49131,48542,589,91810,0,0,91084,726,0.001,0,34989,40734,3107,40508,34724,40420,3107,40099,265,314,0,409,49131,0,0,16368,24946,1116,19164,NA,NA,NA,NA
2020-12-30,153641,61831,61827,4,153641,0,0,152911,730,0.002,0,55510,73365,4901,63206,55243,73050,4901,62794,267,315,0,412,61831,0,0,20521,32631,1794,22698,NA,NA,NA,NA
2020-12-31,203328,49687,49532,155,203328,0,0,202443,885,0.002,0,72831,96719,6752,83965,72517,96367,6752,83476,314,352,0,489,49687,0,0,17321,23354,1851,20759,NA,NA,NA,NA
2021-01-01,222599,19271,19271,0,222598,0,1,221714,885,0.003,0,81208,105449,7830,92301,80894,105097,7830,91812,314,352,0,489,19270,0,1,8377,8730,1078,8336,NA,NA,NA,NA
2021-01-02,275460,52861,52585,276,275459,0,1,274299,1161,0.003,0,102774,129731,10350,113258,102365,129304,10350,112629,409,427,0,629,52861,0,0,21566,24282,2520,20957,275460,275459,0,1
2021-01-03,299611,24151,24151,0,299610,0,1,298450,1161,0.004,0,113044,140227,11284,123279,112635,139800,11284,122650,409,427,0,629,24151,0,0,10270,10496,934,10021,275315,275314,0,1
2021-01-04,347961,48350,48350,0,347960,0,1,346800,1161,0.004,0,129646,164913,13951,139091,129237,164486,13951,138462,409,427,0,629,48350,0,0,16602,24686,2667,15812,305282,305281,0,1
2021-01-05,401458,53497,53473,24,401456,1,1,400273,1185,0.005,0,147987,192565,16489,157656,147576,192117,16489,157025,411,448,0,631,53496,1,0,18341,27652,2538,18565,309648,309646,1,1
2021-01-06,464456,62998,62997,1,464446,7,3,463270,1186,0.006,0,169498,225530,19910,180812,169086,225082,19910,180181,412,448,0,631,62990,6,2,21511,32965,3421,23156,310815,310805,7,3
2021-01-07,520592,56136,56132,4,520578,11,3,519402,1190,0.006,0,189172,254868,22957,197233,188758,254418,22957,196600,414,450,0,633,56132,4,0,19674,29338,3047,16421,317264,317250,11,3
2021-01-08,584183,63591,63273,318,584121,59,3,582675,1508,0.007,0,211521,287315,26324,218219,211009,286711,26320,217449,512,604,4,770,63543,48,0,22349,32447,3367,20986,361584,361523,59,2
2021-01-09,645413,61230,61183,47,645351,59,3,643858,1555,0.008,0,237322,313238,29007,243325,236798,312599,29003,242545,524,639,4,780,61230,0,0,25801,25923,2683,25106,369953,369892,59,2
2021-01-10,680551,35138,35131,7,680489,59,3,678989,1562,0.008,0,252455,327794,30379,256315,251929,327151,30375,255535,526,643,4,780,35138,0,0,15133,14556,1372,12990,380940,380879,59,2
2021-01-11,747255,66704,66656,48,747192,60,3,745645,1610,0.009,0,277513,359176,33587,276774,276967,358513,33583,275968,546,663,4,806,66703,1,0,25058,31382,3208,20459,399294,399232,60,2
2021-01-12,830206,82951,82901,50,830141,60,5,828546,1660,0.01,0,305695,401338,36582,301731,305147,400670,36578,300888,548,668,4,843,82949,0,2,28182,42162,2995,24957,428748,428685,59,4
2021-01-13,941897,111691,111513,178,941035,857,5,940059,1838,0.011,0,345167,458844,40485,337339,344574,458093,40466,336399,593,751,19,940,110894,797,0,39472,57506,3903,35608,477441,476589,850,2
2021-01-14,1025089,83192,82913,279,1019643,5441,5,1022972,2117,0.012,0,374803,501101,42769,361463,374094,500254,42750,360452,709,847,19,1011,78608,4584,0,29636,42257,2284,24124,504497,499065,5430,2
2021-01-15,1115851,90762,90050,712,1104949,10878,24,1113022,2829,0.013,0,408725,545673,46728,389202,407810,544625,46700,387982,915,1048,28,1220,85306,5437,19,33922,44572,3959,27739,531668,520828,10819,21
2021-01-16,1173243,57392,56356,1036,1160569,12650,24,1169378,3865,0.014,0,432983,570627,48859,408798,431664,569232,48767,407047,1319,1395,92,1751,55620,1772,0,24258,24954,2131,19596,527830,515218,12591,21
2021-01-17,1221083,47840,31177,16663,1207103,13955,25,1200555,20528,0.014,0,453449,591002,50884,428544,444215,583354,50014,417145,9234,7648,870,11399,46534,1305,1,20466,20375,2025,19746,540532,526614,13896,22
2021-01-18,1302897,81814,66069,15745,1285348,17523,26,1266624,36273,0.015,0,482728,633883,53106,448900,467235,619730,51700,430238,15493,14153,1406,18662,78245,3568,1,29279,42881,2222,20356,555642,538156,17463,23
2021-01-19,1416571,113674,81059,32615,1395990,20505,76,1347683,68888,0.016,0.001,519765,695968,56714,479843,492669,666683,54375,447938,27096,29285,2339,31905,110642,2982,50,37037,62085,3608,30943,586365,565849,20445,71
2021-01-20,1548487,131916,80678,51238,1525192,23215,80,1428361,120126,0.017,0.001,568076,760039,60957,522078,522876,706310,57505,469463,45200,53729,3452,52615,129202,2710,4,48311,64071,4243,42235,606590,584157,22358,75
2021-01-21,1652984,104497,64382,40115,1627100,25804,80,1492743,160241,0.018,0.002,610150,808503,65406,556195,549621,735602,60889,487988,60529,72901,4517,68207,101908,2589,0,42074,48464,4449,34117,627895,607457,20363,75
2021-01-22,1755058,102074,67582,34492,1727119,27847,92,1560325,194733,0.019,0.002,654049,853889,69013,590642,579902,764987,63599,506975,74147,88902,5414,83667,100019,2043,12,43899,45386,3607,34447,639207,622170,16969,68
2021-01-23,1840687,85629,40694,44935,1812364,28230,93,1601019,239668,0.019,0.003,691767,890989,72414,617916,599855,780966,64783,516268,91912,110023,7631,101648,85245,383,1,37718,37100,3401,27274,667444,651795,15580,69
2021-01-24,1890186,49499,25601,23898,1861615,28474,97,1626620,263566,0.02,0.003,715655,910067,73331,632982,614016,789814,65130,521524,101639,120253,8201,111458,49251,244,4,23888,19078,917,15066,669103,654512,14519,72
2021-01-25,1986210,96024,58183,37841,1955915,30196,99,1684803,301407,0.02,0.004,756375,951632,76827,658117,642321,811974,66847,534304,114054,139658,9980,123813,94300,1722,2,40720,41565,3496,25135,683313,670567,12673,73
2021-01-26,2085698,99488,50987,48501,2053743,31850,105,1735790,349908,0.021,0.004,796572,997196,80614,684405,667753,831436,68195,545278,128819,165760,12419,139127,97828,1654,6,40197,45564,3787,26288,669127,657753,11345,29
2021-01-27,2196717,111019,51593,59426,2162828,33776,113,1787383,409334,0.021,0.005,839834,1049509,85786,715259,691463,852265,70042,556304,148371,197244,15744,158955,109085,1926,8,43262,52313,5172,30854,648230,637636,10561,33
2021-01-28,2287935,91218,44999,46219,2252410,35411,114,1832382,455553,0.022,0.005,877990,1090332,89974,739697,713483,869115,71590,567469,164507,221217,18384,172228,89582,1635,1,38156,40823,4188,24438,634951,625310,9607,34
2021-01-29,2396488,108553,51152,57401,2359490,36816,182,1883534,512954,0.023,0.006,920894,1138243,95507,769100,735839,888487,73819,578309,185055,249756,21688,190791,107080,1405,68,42904,47911,5533,29403,641430,632371,8969,90
2021-01-30,2483930,87442,35403,52039,2446057,37690,183,1918937,564993,0.023,0.007,957412,1174692,99468,796433,752473,901967,75224,586328,204939,272725,24244,210105,86567,874,1,36518,36449,3961,27333,643243,633693,9460,90
2021-01-31,2541740,57810,26733,31077,2503491,38066,183,1945670,596070,0.023,0.007,982865,1196922,101575,812430,766590,910861,76411,592657,216275,286061,25164,219773,57434,376,0,25453,22230,2107,15997,651554,641876,9592,86
2021-02-01,2663270,121530,59456,62074,2622753,40277,240,2005126,658144,0.024,0.008,1026174,1260299,105285,839830,787193,944041,78273,602425,238981,316258,27012,237405,119262,2211,57,43309,63377,3710,27400,677060,666838,10081,141
2021-02-02,2793840,130570,63567,67003,2750439,43147,254,2068693,725147,0.025,0.009,1069633,1330364,110479,870030,806216,982089,80866,611659,263417,348275,29613,258371,127686,2870,14,43459,70065,5194,30200,708142,696696,11297,149
2021-02-03,2952319,158479,63815,94664,2902949,49096,274,2132508,819811,0.026,0.01,1128983,1407775,116405,912544,829819,1014401,83062,623312,299164,393374,33343,289232,152510,5949,20,59350,77411,5926,42514,755602,740121,15320,161
2021-02-04,3083535,131216,61074,70142,3028706,54549,280,2193582,889953,0.026,0.011,1177986,1472437,120972,943857,851937,1046473,85311,632945,326049,425964,35661,310912,125757,5453,6,49003,64662,4567,31313,795600,776296,19138,166
2021-02-05,3227328,143793,66530,77263,3166612,60429,287,2260112,967216,0.027,0.012,1232524,1542580,126293,977786,877231,1080338,86905,644262,355293,462242,39388,333524,137906,5880,7,54538,70143,5321,33929,830840,807122,23613,105
2021-02-06,3326788,99460,46606,52854,3263605,62895,288,2306718,1020070,0.028,0.012,1272514,1588658,130853,1003590,896490,1101898,88782,653957,376024,486760,42071,349633,96993,2466,1,39990,46078,4560,25804,842858,817548,25205,105
2021-02-07,3380641,53853,28155,25698,3315107,65244,290,2334873,1045768,0.028,0.013,1298155,1609930,133571,1016823,910800,1112720,90015,659435,387355,497210,43556,357388,51502,2349,2,25641,21272,2718,13233,838901,811616,27178,107
2021-02-08,3490686,110045,53396,56649,3421274,69103,309,2388269,1102417,0.029,0.013,1350672,1655734,137545,1035599,942269,1129343,91902,666781,408403,526391,45643,368818,106167,3859,19,52517,45804,3974,18776,827416,798521,28826,69
2021-02-09,3623236,132550,59309,73241,3549832,72985,419,2447578,1175658,0.029,0.014,1411842,1714380,141993,1058512,978151,1147503,94639,674792,433691,566877,47354,383720,128558,3882,110,61170,58646,4448,22913,829396,799393,29838,165
2021-02-10,3772753,149517,73831,75686,3688723,76576,7454,2521409,1251344,0.03,0.015,1478760,1781046,146001,1087933,1017461,1175177,96286,685176,461299,605869,49715,402757,138891,3591,7035,66918,66666,4008,29421,820434,785774,27480,7180
2021-02-11,3914874,142121,73733,68388,3808464,83525,22885,2595142,1319732,0.031,0.016,1539776,1848576,151475,1113070,1052428,1208053,98713,694775,487348,640523,52762,418295,119741,6949,15431,61016,67530,5474,25137,831339,779758,28976,22605
2021-02-12,4071226,156352,80446,75906,3941090,93018,37118,2675588,1395638,0.032,0.017,1611268,1919253,157751,1138545,1094198,1240389,101429,704318,517070,678864,56322,434227,132626,9493,14233,71492,70677,6276,25475,843898,774478,32589,36831
2021-02-13,4179206,107980,61905,46075,4033255,96053,49898,2737493,1441713,0.033,0.017,1667599,1960972,162355,1156080,1129093,1262877,103231,711418,538506,698095,59124,444662,92165,3035,12780,56331,41719,4604,17535,852418,769650,33158,49610
2021-02-14,4244050,64844,39807,25037,4088388,98454,57208,2777300,1466750,0.033,0.018,1706122,1983696,163973,1164146,1153761,1276081,104081,714928,552361,707615,59892,449218,55133,2401,7310,38523,22724,1618,8066,863409,773281,33210,56918
2021-02-15,4370635,126585,70659,55926,4195836,102851,71948,2847959,1522676,0.034,0.018,1773591,2031897,168008,1183418,1194859,1300739,106358,721524,578732,731158,61650,461894,107448,4397,14740,67469,48201,4035,19272,879949,774562,33748,71639
2021-02-16,4505121,134486,81479,53007,4301601,108086,95434,2929438,1575683,0.035,0.019,1839625,2089928,170683,1200400,1236633,1336138,107879,728440,602992,753790,62804,471960,105765,5235,23486,66034,58031,2675,16982,881885,751769,35101,95015
2021-02-17,4655021,149900,94393,55507,4424271,115607,115143,3023831,1631190,0.036,0.02,1920033,2147919,175770,1221928,1292995,1368705,110873,736858,627038,779214,64897,485070,122670,7521,19709,80408,57991,5087,21528,882268,735548,39031,107689
2021-02-18,4798652,143631,91938,51693,4535747,123368,139537,3115769,1682883,0.037,0.02,1995907,2206102,179208,1240945,1345328,1403985,112659,744258,650579,802117,66549,496687,111476,7761,24394,75874,58183,3438,19017,883778,727283,39843,116652
