date,administered_doses_pfizer,administered_doses_moderna,administered_doses_astrazeneca,delivered_doses_pfizer,delivered_doses_moderna,delivered_doses_astrazeneca,cum_administered_doses_pfizer,cum_administered_doses_moderna,cum_administered_doses_astrazeneca,cum_delivered_doses_pfizer,cum_delivered_doses_moderna,cum_delivered_doses_astrazeneca
2020-12-27,23716,0,0,151125,0,0,23716,0,0,151125,0,0
2020-12-28,18740,0,0,521625,0,0,42456,0,0,672750,0,0
2020-12-29,42650,0,0,0,0,0,85106,0,0,672750,0,0
2020-12-30,58040,0,0,653250,0,0,143146,0,0,1326000,0,0
2020-12-31,38739,0,0,0,0,0,181885,0,0,1326000,0,0
2021-01-01,24749,0,0,0,0,0,206634,0,0,1326000,0,0
2021-01-02,52180,0,0,0,0,0,258814,0,0,1326000,0,0
2021-01-03,24986,0,0,0,0,0,283800,0,0,1326000,0,0
2021-01-04,48710,0,0,0,0,0,332510,0,0,1326000,0,0
2021-01-05,52473,0,0,0,0,0,384983,0,0,1326000,0,0
2021-01-06,59165,0,0,0,0,0,444148,0,0,1326000,0,0
2021-01-07,58458,0,0,0,0,0,502606,0,0,1326000,0,0
2021-01-08,60446,0,0,687375,0,0,563052,0,0,2013375,0,0
2021-01-09,57319,0,0,0,0,0,620371,0,0,2013375,0,0
2021-01-10,33279,0,0,0,0,0,653650,0,0,2013375,0,0
2021-01-11,65718,0,0,0,0,0,719368,0,0,2013375,0,0
2021-01-12,82077,0,0,0,63600,0,801445,0,0,2013375,63600,0
2021-01-13,98285,795,0,0,0,0,899730,795,0,2013375,63600,0
2021-01-14,95573,4648,0,0,0,0,995303,5443,0,2013375,63600,0
2021-01-15,87375,5450,0,0,0,0,1082678,10893,0,2013375,63600,0
2021-01-16,55239,1858,0,0,0,0,1137917,12751,0,2013375,63600,0
2021-01-17,43236,1414,0,0,0,0,1181153,14165,0,2013375,63600,0
2021-01-18,72419,2038,0,0,0,0,1253572,16203,0,2013375,63600,0
2021-01-19,93874,1521,0,842400,0,0,1347446,17724,0,2855775,63600,0
2021-01-20,127646,1292,0,0,0,0,1475092,19016,0,2855775,63600,0
2021-01-21,95029,1099,0,0,0,0,1570121,20115,0,2855775,63600,0
2021-01-22,114262,1337,0,0,0,0,1684383,21452,0,2855775,63600,0
2021-01-23,92653,383,0,0,0,0,1777036,21835,0,2855775,63600,0
2021-01-24,66056,244,0,0,0,0,1843092,22079,0,2855775,63600,0
2021-01-25,96479,1474,0,0,0,0,1939571,23553,0,2855775,63600,0
2021-01-26,101199,1588,0,489060,0,0,2040770,25141,0,3344835,63600,0
2021-01-27,111617,1911,0,0,0,0,2152387,27052,0,3344835,63600,0
2021-01-28,94206,6483,0,0,0,0,2246593,33535,0,3344835,63600,0
2021-01-29,108411,1404,0,0,0,0,2355004,34939,0,3344835,63600,0
2021-01-30,87303,873,0,0,0,0,2442307,35812,0,3344835,63600,0
2021-01-31,62366,342,0,0,90000,0,2504673,36154,0,3344835,153600,0
2021-02-01,114377,1577,0,0,0,0,2619050,37731,0,3344835,153600,0
2021-02-02,125654,2028,0,747630,0,0,2744704,39759,0,4092465,153600,0
