date,administered_doses_pfizer,administered_doses_moderna,administered_doses_astrazeneca,delivered_doses_pfizer,delivered_doses_moderna,delivered_doses_astrazeneca,cum_administered_doses_pfizer,cum_administered_doses_moderna,cum_administered_doses_astrazeneca,cum_delivered_doses_pfizer,cum_delivered_doses_moderna,cum_delivered_doses_astrazeneca
2020-12-27,23711,0,0,0,0,0,23711,0,0,0,0,0
2020-12-28,18736,0,0,521625,0,0,42447,0,0,521625,0,0
2020-12-29,42819,0,0,0,0,0,85266,0,0,521625,0,0
2020-12-30,57993,0,0,653250,0,0,143259,0,0,1174875,0,0
2020-12-31,38866,0,0,0,0,0,182125,0,0,1174875,0,0
2021-01-01,24666,0,0,0,0,0,206791,0,0,1174875,0,0
2021-01-02,52188,0,0,0,0,0,258979,0,0,1174875,0,0
2021-01-03,24989,0,0,0,0,0,283968,0,0,1174875,0,0
2021-01-04,48714,0,0,0,0,0,332682,0,0,1174875,0,0
2021-01-05,52389,0,0,0,0,0,385071,0,0,1174875,0,0
2021-01-06,59357,0,0,0,0,0,444428,0,0,1174875,0,0
2021-01-07,58410,0,0,0,0,0,502838,0,0,1174875,0,0
2021-01-08,60855,0,0,687375,0,0,563693,0,0,1862250,0,0
2021-01-09,56984,0,0,0,0,0,620677,0,0,1862250,0,0
2021-01-10,33460,0,0,0,0,0,654137,0,0,1862250,0,0
2021-01-11,65972,0,0,0,0,0,720109,0,0,1862250,0,0
2021-01-12,81818,0,0,0,63600,0,801927,0,0,1862250,63600,0
2021-01-13,98485,799,0,0,0,0,900412,799,0,1862250,63600,0
2021-01-14,95434,4583,0,0,0,0,995846,5382,0,1862250,63600,0
2021-01-15,87302,5449,0,0,0,0,1083148,10831,0,1862250,63600,0
2021-01-16,55381,1772,0,0,0,0,1138529,12603,0,1862250,63600,0
2021-01-17,43082,1304,0,0,0,0,1181611,13907,0,1862250,63600,0
2021-01-18,72444,2026,0,0,0,0,1254055,15933,0,1862250,63600,0
2021-01-19,94473,1555,0,842400,0,0,1348528,17488,0,2704650,63600,0
2021-01-20,128113,1308,0,0,0,0,1476641,18796,0,2704650,63600,0
2021-01-21,95422,1102,0,0,0,0,1572063,19898,0,2704650,63600,0
2021-01-22,114521,1340,0,0,0,0,1686584,21238,0,2704650,63600,0
2021-01-23,92927,383,0,0,0,0,1779511,21621,0,2704650,63600,0
2021-01-24,65876,244,0,0,0,0,1845387,21865,0,2704650,63600,0
2021-01-25,96434,1470,0,0,0,0,1941821,23335,0,2704650,63600,0
2021-01-26,101214,1588,0,489060,0,0,2043035,24923,0,3193710,63600,0
2021-01-27,111279,1911,0,0,0,0,2154314,26834,0,3193710,63600,0
2021-01-28,93715,6483,0,0,0,0,2248029,33317,0,3193710,63600,0
2021-01-29,108530,1405,0,0,0,0,2356559,34722,0,3193710,63600,0
2021-01-30,87133,873,0,0,0,0,2443692,35595,0,3193710,63600,0
2021-01-31,62424,342,0,0,90000,0,2506116,35937,0,3193710,153600,0
2021-02-01,114713,1577,0,0,0,0,2620829,37514,0,3193710,153600,0
2021-02-02,126243,2028,0,747630,0,0,2747072,39542,0,3941340,153600,0
2021-02-03,138193,5494,0,0,0,0,2885265,45036,0,3941340,153600,0
2021-02-04,131715,5063,0,0,0,0,3016980,50099,0,3941340,153600,0
2021-02-05,130559,4242,0,0,0,0,3147539,54341,0,3941340,153600,0
2021-02-06,101623,3400,0,0,0,345600,3249162,57741,0,3941340,153600,345600
2021-02-07,56917,3459,0,0,0,0,3306079,61200,0,3941340,153600,345600
2021-02-08,103126,3893,16,0,0,0,3409205,65093,16,3941340,153600,345600
2021-02-09,122094,3506,107,747630,0,0,3531299,68599,123,4688970,153600,345600
2021-02-10,140895,5121,7511,0,0,0,3672194,73720,7634,4688970,153600,345600
2021-02-11,124332,5645,13864,0,0,0,3796526,79365,21498,4688970,153600,345600
2021-02-12,135928,9490,13839,0,0,391200,3932454,88855,35337,4688970,153600,736800
2021-02-13,94488,3644,12782,0,0,0,4026942,92499,48119,4688970,153600,736800
2021-02-14,57039,2402,6980,0,0,0,4083981,94901,55099,4688970,153600,736800
2021-02-15,108720,3230,15052,0,182400,0,4192701,98131,70151,4688970,336000,736800
2021-02-16,107530,4623,23457,904410,0,0,4300231,102754,93608,5593380,336000,736800
2021-02-17,123768,7211,19416,0,0,0,4423999,109965,113024,5593380,336000,736800
2021-02-18,115388,7334,24047,0,0,0,4539387,117299,137071,5593380,336000,736800
2021-02-19,119046,8565,23948,0,0,715200,4658433,125864,161019,5593380,336000,1452000
2021-02-20,86378,5770,20937,0,0,0,4744811,131634,181956,5593380,336000,1452000
2021-02-21,65928,4221,15462,0,0,0,4810739,135855,197418,5593380,336000,1452000
2021-02-22,120042,7127,25774,0,0,0,4930781,142982,223192,5593380,336000,1452000
2021-02-23,128403,6378,26834,926640,0,0,5059184,149360,250026,6520020,336000,1452000
2021-02-24,131548,7679,34057,0,0,0,5190732,157039,284083,6520020,336000,1452000
2021-02-25,125956,6221,48827,0,0,0,5316688,163260,332910,6520020,336000,1452000
2021-02-26,133823,7179,56058,0,0,0,5450511,170439,388968,6520020,336000,1452000
2021-02-27,94237,4170,49595,0,343200,0,5544748,174609,438563,6520020,679200,1452000
2021-02-28,67195,3643,41839,0,0,0,5611943,178252,480402,6520020,679200,1452000
2021-03-01,129159,7814,55158,0,0,0,5741102,186066,535560,6520020,679200,1452000
2021-03-02,144302,8449,65393,1012050,0,650400,5885404,194515,600953,7532070,679200,2102400
2021-03-03,163174,11706,67476,0,0,0,6048578,206221,668429,7532070,679200,2102400
2021-03-04,144054,12620,84138,0,0,0,6192632,218841,752567,7532070,679200,2102400
2021-03-05,142211,12544,97672,0,0,0,6334843,231385,850239,7532070,679200,2102400
2021-03-06,108264,7937,78001,0,0,0,6443107,239322,928240,7532070,679200,2102400
2021-03-07,84175,6634,57466,0,0,0,6527282,245956,985706,7532070,679200,2102400
2021-03-08,136752,11424,83825,0,0,0,6664034,257380,1069531,7532070,679200,2102400
2021-03-09,140858,11831,95651,1076400,0,960000,6804892,269211,1165182,8608470,679200,3062400
2021-03-10,158847,12008,109856,0,0,0,6963739,281219,1275038,8608470,679200,3062400
2021-03-11,154628,12874,122367,0,0,0,7118367,294093,1397405,8608470,679200,3062400
2021-03-12,150881,15227,139720,0,0,0,7269248,309320,1537125,8608470,679200,3062400
2021-03-13,113212,9499,114987,0,0,0,7382460,318819,1652112,8608470,679200,3062400
2021-03-14,88422,5012,72511,0,0,0,7470882,323831,1724623,8608470,679200,3062400
2021-03-15,148372,11521,74907,0,0,364800,7619254,335352,1799530,8608470,679200,3427200
2021-03-16,166577,9837,1655,1076400,0,0,7785831,345189,1801185,9684870,679200,3427200
2021-03-17,191647,16235,1453,0,0,0,7977478,361424,1802638,9684870,679200,3427200
2021-03-18,171448,16667,1544,0,0,0,8148926,378091,1804182,9684870,679200,3427200
2021-03-19,178909,18039,33638,0,0,0,8327835,396130,1837820,9684870,679200,3427200
2021-03-20,133474,14445,60781,0,0,0,8461309,410575,1898601,9684870,679200,3427200
2021-03-21,106892,8992,48947,0,432000,0,8568201,419567,1947548,9684870,1111200,3427200
2021-03-22,172942,21966,68659,0,0,0,8741143,441533,2016207,9684870,1111200,3427200
2021-03-23,176791,16306,85362,1076400,0,204000,8917934,457839,2101569,10761270,1111200,3631200
2021-03-24,189956,21589,83261,0,0,0,9107890,479428,2184830,10761270,1111200,3631200
2021-03-25,181908,18665,100087,0,0,0,9289798,498093,2284917,10761270,1111200,3631200
2021-03-26,181264,17116,92251,0,0,0,9471062,515209,2377168,10761270,1111200,3631200
