date,cum_vacs,new_vacs_all,new_vacs_first_dose_all,new_vacs_second_dose_all,cum_vacs_pfizer,cum_vacs_moderna,cum_vacs_astrazeneca,cum_persons_vaccinated_first_dose,cum_persons_vaccinated_second_dose,pct_pop_vaccinated_first_dose,pct_pop_vaccinated_second_dose,cum_vacs_age_indication,cum_vacs_profession_indication,cum_vacs_medical_indication,cum_vacs_care_homes,cum_vacs_age_indication_first_dose,cum_vacs_profession_indication_first_dose,cum_vacs_medical_indication_first_dose,cum_vacs_care_homes_first_dose,cum_vacs_age_indication_second_dose,cum_vacs_profession_indication_second_dose,cum_vacs_medical_indication_second_dose,cum_vacs_care_homes_second_dose,new_vacs_pfizer,new_vacs_moderna,new_vacs_astrazeneca,new_vacs_age_indication,new_vacs_profession_indication,new_vacs_medical_indication,new_vacs_care_homes,new_vacs_all_7day_rollsum,new_vacs_pfizer_7day_rollsum,new_vacs_moderna_7day_rollsum,new_vacs_astrazeneca_7day_rollsum
2020-12-27,24427,24427,24416,11,24427,0,0,24416,11,0,0,10705,8657,1305,12604,10664,8590,1305,12536,41,67,0,68,24427,0,0,10705,8657,1305,12604,NA,NA,NA,NA
2020-12-28,42810,18383,18383,0,42810,0,0,42799,11,0.001,0,18621,15788,1991,21344,18580,15721,1991,21276,41,67,0,68,18383,0,0,7916,7131,686,8740,NA,NA,NA,NA
2020-12-29,91799,48989,48400,589,91799,0,0,91199,600,0.001,0,34989,40734,3107,40508,34724,40420,3107,40099,265,314,0,409,48989,0,0,16368,24946,1116,19164,NA,NA,NA,NA
2020-12-30,153999,62200,62195,5,153999,0,0,153394,605,0.002,0,55510,73365,4901,63206,55243,73050,4901,62794,267,315,0,412,62200,0,0,20521,32631,1794,22698,NA,NA,NA,NA
2020-12-31,203970,49971,49831,140,203970,0,0,203225,745,0.002,0,72831,96719,6752,83965,72517,96367,6752,83476,314,352,0,489,49971,0,0,17321,23354,1851,20759,NA,NA,NA,NA
2021-01-01,223239,19269,19269,0,223238,0,1,222494,745,0.003,0,81208,105449,7830,92301,80894,105097,7830,91812,314,352,0,489,19268,0,1,8377,8730,1078,8336,NA,NA,NA,NA
2021-01-02,276097,52858,52582,276,276096,0,1,275076,1021,0.003,0,102774,129731,10350,113258,102365,129304,10350,112629,409,427,0,629,52858,0,0,21566,24282,2520,20957,276097,276096,0,1
2021-01-03,300261,24164,24163,1,300260,0,1,299239,1022,0.004,0,113044,140227,11284,123279,112635,139800,11284,122650,409,427,0,629,24164,0,0,10270,10496,934,10021,275834,275833,0,1
2021-01-04,348661,48400,48400,0,348660,0,1,347639,1022,0.004,0,129646,164913,13951,139091,129237,164486,13951,138462,409,427,0,629,48400,0,0,16602,24686,2667,15812,305851,305850,0,1
2021-01-05,402509,53848,53823,25,402507,1,1,401462,1047,0.005,0,147987,192565,16489,157656,147576,192117,16489,157025,411,448,0,631,53847,1,0,18341,27652,2538,18565,310710,310708,1,1
2021-01-06,465338,62829,62828,1,465328,7,3,464290,1048,0.006,0,169498,225530,19910,180812,169086,225082,19910,180181,412,448,0,631,62821,6,2,21511,32965,3421,23156,311339,311329,7,3
2021-01-07,521367,56029,56025,4,521353,11,3,520315,1052,0.006,0,189172,254868,22957,197233,188758,254418,22957,196600,414,450,0,633,56025,4,0,19674,29338,3047,16421,317397,317383,11,3
2021-01-08,584980,63613,63295,318,584918,59,3,583610,1370,0.007,0,211521,287315,26324,218219,211009,286711,26320,217449,512,604,4,770,63565,48,0,22349,32447,3367,20986,361741,361680,59,2
2021-01-09,646353,61373,61327,46,646291,59,3,644937,1416,0.008,0,237322,313238,29007,243325,236798,312599,29003,242545,524,639,4,780,61373,0,0,25801,25923,2683,25106,370256,370195,59,2
2021-01-10,681628,35275,35267,8,681566,59,3,680204,1424,0.008,0,252455,327794,30379,256315,251929,327151,30375,255535,526,643,4,780,35275,0,0,15133,14556,1372,12990,381367,381306,59,2
2021-01-11,748360,66732,66684,48,748297,60,3,746888,1472,0.009,0,277513,359176,33587,276774,276967,358513,33583,275968,546,663,4,806,66731,1,0,25058,31382,3208,20459,399699,399637,60,2
2021-01-12,831281,82921,82873,48,831216,60,5,829761,1520,0.01,0,305695,401338,36582,301731,305147,400670,36578,300888,548,668,4,843,82919,0,2,28182,42162,2995,24957,428772,428709,59,4
2021-01-13,943321,112040,111862,178,942459,857,5,941623,1698,0.011,0,345167,458844,40485,337339,344574,458093,40466,336399,593,751,19,940,111243,797,0,39472,57506,3903,35608,477983,477131,850,2
2021-01-14,1026574,83253,82931,322,1021085,5484,5,1024554,2020,0.012,0,374803,501101,42769,361463,374094,500254,42750,360452,709,847,19,1011,78626,4627,0,29636,42257,2284,24124,505207,499732,5473,2
