date,cum_vacs,new_vacs_all,new_vacs_first_dose_all,new_vacs_second_dose_all,cum_vacs_pfizer,cum_vacs_moderna,cum_vacs_astrazeneca,cum_persons_vaccinated_first_dose,cum_persons_vaccinated_second_dose,pct_pop_vaccinated_first_dose,pct_pop_vaccinated_second_dose,cum_vacs_elderly,cum_vacs_medical_profession,cum_vacs_medical_condition,cum_vacs_care_homes,cum_vacs_elderly_first_dose,cum_vacs_medical_profession_first_dose,cum_vacs_medical_condition_first_dose,cum_vacs_care_homes_first_dose,cum_vacs_elderly_second_dose,cum_vacs_medical_profession_second_dose,cum_vacs_medical_condition_second_dose,cum_vacs_care_homes_second_dose,new_vacs_pfizer,new_vacs_moderna,new_vacs_astrazeneca,new_vacs_elderly,new_vacs_medical_profession,new_vacs_medical_condition,new_vacs_care_homes,new_vacs_all_7day_rollsum,new_vacs_pfizer_7day_rollsum,new_vacs_moderna_7day_rollsum,new_vacs_astrazeneca_7day_rollsum
2020-12-27,23988,23988,23851,137,23988,0,0,23851,137,2.9e-4,0,10705,8650,1301,12604,10664,8583,1301,12536,41,67,0,68,23988,0,0,10705,8650,1301,12604,NA,NA,NA,NA
2020-12-28,42373,18385,18385,0,42373,0,0,42236,137,5.1e-4,0,18621,15781,1987,21344,18580,15714,1987,21276,41,67,0,68,18385,0,0,7916,7131,686,8740,NA,NA,NA,NA
2020-12-29,90940,48567,47978,589,90940,0,0,90214,726,0.00108,1e-5,34989,40719,3102,40508,34724,40405,3102,40099,265,314,0,409,48567,0,0,16368,24938,1115,19164,NA,NA,NA,NA
2020-12-30,152105,61165,61161,4,152105,0,0,151375,730,0.00182,1e-5,55510,73346,4894,63206,55243,73031,4894,62794,267,315,0,412,61165,0,0,20521,32627,1792,22698,NA,NA,NA,NA
2020-12-31,200832,48727,48610,117,200832,0,0,199985,847,0.0024,1e-5,72809,96712,6745,83833,72495,96360,6745,83344,314,352,0,489,48727,0,0,17299,23366,1851,20627,NA,NA,NA,NA
2021-01-01,220106,19274,19274,0,220105,0,1,219259,847,0.00264,1e-5,81186,105442,7823,92169,80872,105090,7823,91680,314,352,0,489,19273,0,1,8377,8730,1078,8336,NA,NA,NA,NA
2021-01-02,272715,52609,52393,216,272714,0,1,271652,1063,0.00327,1e-5,102752,129723,10343,113126,102343,129296,10343,112497,409,427,0,629,52609,0,0,21566,24281,2520,20957,272715,272714,0,1
2021-01-03,296802,24087,24087,0,296801,0,1,295739,1063,0.00356,1e-5,113022,140219,11277,123147,112613,139792,11277,122518,409,427,0,629,24087,0,0,10270,10496,934,10021,272814,272813,0,1
2021-01-04,345144,48342,48342,0,345143,0,1,344081,1063,0.00414,1e-5,129624,164905,13944,138960,129215,164478,13944,138331,409,427,0,629,48342,0,0,16602,24686,2667,15813,302771,302770,0,1
2021-01-05,398498,53354,53331,23,398496,1,1,397412,1086,0.00478,1e-5,147965,192557,16482,157525,147554,192109,16482,156894,411,448,0,631,53353,1,0,18341,27652,2538,18565,307558,307556,1,1
