date,cum_vacs,new_vacs_all,new_vacs_first_dose_all,new_vacs_second_dose_all,cum_vacs_pfizer,cum_vacs_moderna,cum_vacs_astrazeneca,cum_persons_vaccinated_first_dose,cum_persons_vaccinated_second_dose,pct_pop_vaccinated_first_dose,pct_pop_vaccinated_second_dose,cum_vacs_age_indication,cum_vacs_profession_indication,cum_vacs_medical_indication,cum_vacs_care_homes,cum_vacs_age_indication_first_dose,cum_vacs_profession_indication_first_dose,cum_vacs_medical_indication_first_dose,cum_vacs_care_homes_first_dose,cum_vacs_age_indication_second_dose,cum_vacs_profession_indication_second_dose,cum_vacs_medical_indication_second_dose,cum_vacs_care_homes_second_dose,cum_vacs_vaccination_centres,cum_vacs_doctors_offices,cum_vacs_jj,new_vacs_pfizer,new_vacs_moderna,new_vacs_astrazeneca,new_vacs_jj,new_vacs_age_indication,new_vacs_profession_indication,new_vacs_medical_indication,new_vacs_care_homes,new_vacs_vaccination_centres,new_vacs_doctors_offices,new_vacs_all_7day_rollsum,new_vacs_pfizer_7day_rollsum,new_vacs_moderna_7day_rollsum,new_vacs_astrazeneca_7day_rollsum,new_vacs_jj_7day_rollsum
2020-12-27,24502,24502,24491,11,24502,0,0,24491,11,0,0,10705,8657,1305,12604,10664,8590,1305,12536,41,67,0,68,24502,0,0,24502,0,0,0,10705,8657,1305,12604,24502,0,NA,NA,NA,NA,NA
2020-12-28,42884,18382,18382,0,42884,0,0,42873,11,0.001,0,18621,15788,1991,21344,18580,15721,1991,21276,41,67,0,68,42884,0,0,18382,0,0,0,7916,7131,686,8740,18382,0,NA,NA,NA,NA,NA
2020-12-29,92345,49461,48872,589,92345,0,0,91745,600,0.001,0,34989,40734,3107,40508,34724,40420,3107,40099,265,314,0,409,92345,0,0,49461,0,0,0,16368,24946,1116,19164,49461,0,NA,NA,NA,NA,NA
2020-12-30,154818,62473,62469,4,154818,0,0,154214,604,0.002,0,55510,73365,4901,63206,55243,73050,4901,62794,267,315,0,412,154818,0,0,62473,0,0,0,20521,32631,1794,22698,62473,0,NA,NA,NA,NA,NA
2020-12-31,204882,50064,49924,140,204882,0,0,204138,744,0.002,0,72831,96719,6752,83965,72517,96367,6752,83476,314,352,0,489,204882,0,0,50064,0,0,0,17321,23354,1851,20759,50064,0,NA,NA,NA,NA,NA
2021-01-01,224150,19268,19268,0,224149,0,1,223406,744,0.003,0,81208,105449,7830,92301,80894,105097,7830,91812,314,352,0,489,224150,0,0,19267,0,1,0,8377,8730,1078,8336,19268,0,NA,NA,NA,NA,NA
2021-01-02,277189,53039,52763,276,277188,0,1,276169,1020,0.003,0,102774,129731,10350,113258,102365,129304,10350,112629,409,427,0,629,277189,0,0,53039,0,0,0,21566,24282,2520,20957,53039,0,277189,277188,0,1,0
2021-01-03,301389,24200,24199,1,301388,0,1,300368,1021,0.004,0,113044,140227,11284,123279,112635,139800,11284,122650,409,427,0,629,301389,0,0,24200,0,0,0,10270,10496,934,10021,24200,0,276887,276886,0,1,0
2021-01-04,349782,48393,48393,0,349781,0,1,348761,1021,0.004,0,129646,164913,13951,139091,129237,164486,13951,138462,409,427,0,629,349782,0,0,48393,0,0,0,16602,24686,2667,15812,48393,0,306898,306897,0,1,0
2021-01-05,403628,53846,53821,25,403626,1,1,402582,1046,0.005,0,147987,192565,16489,157656,147576,192117,16489,157025,411,448,0,631,403628,0,0,53845,1,0,0,18341,27652,2538,18565,53846,0,311283,311281,1,1,0
2021-01-06,466451,62823,62822,1,466441,7,3,465404,1047,0.006,0,169498,225530,19910,180812,169086,225082,19910,180181,412,448,0,631,466451,0,0,62815,6,2,0,21511,32965,3421,23156,62823,0,311633,311623,7,3,0
2021-01-07,522474,56023,56019,4,522460,11,3,521423,1051,0.006,0,189172,254868,22957,197233,188758,254418,22957,196600,414,450,0,633,522474,0,0,56019,4,0,0,19674,29338,3047,16421,56023,0,317592,317578,11,3,0
2021-01-08,586118,63644,63326,318,586056,59,3,584749,1369,0.007,0,211521,287315,26324,218219,211009,286711,26320,217449,512,604,4,770,586118,0,0,63596,48,0,0,22349,32447,3367,20986,63644,0,361968,361907,59,2,0
2021-01-09,647485,61367,61321,46,647423,59,3,646070,1415,0.008,0,237322,313238,29007,243325,236798,312599,29003,242545,524,639,4,780,647485,0,0,61367,0,0,0,25801,25923,2683,25106,61367,0,370296,370235,59,2,0
2021-01-10,682756,35271,35263,8,682694,59,3,681333,1423,0.008,0,252455,327794,30379,256315,251929,327151,30375,255535,526,643,4,780,682756,0,0,35271,0,0,0,15133,14556,1372,12990,35271,0,381367,381306,59,2,0
2021-01-11,749630,66874,66826,48,749567,60,3,748159,1471,0.009,0,277513,359176,33587,276774,276967,358513,33583,275968,546,663,4,806,749630,0,0,66873,1,0,0,25058,31382,3208,20459,66874,0,399848,399786,60,2,0
2021-01-12,832560,82930,82882,48,832495,60,5,831041,1519,0.01,0,305695,401338,36582,301731,305147,400670,36578,300888,548,668,4,843,832560,0,0,82928,0,2,0,28182,42162,2995,24957,82930,0,428932,428869,59,4,0
2021-01-13,944828,112268,112090,178,943966,857,5,943131,1697,0.011,0,345167,458844,40485,337339,344574,458093,40466,336399,593,751,19,940,944828,0,0,111471,797,0,0,39472,57506,3903,35608,112268,0,478377,477525,850,2,0
2021-01-14,1028283,83455,83271,184,1022794,5484,5,1026402,1881,0.012,0,374803,501101,42769,361463,374094,500254,42750,360452,709,847,19,1011,1028283,0,0,78828,4627,0,0,29636,42257,2284,24124,83455,0,505809,500334,5473,2,0
2021-01-15,1119626,91343,90740,603,1108681,10921,24,1117142,2484,0.013,0,408725,545673,46728,389202,407810,544625,46700,387982,915,1048,28,1220,1119626,0,0,85887,5437,19,0,33922,44572,3959,27739,91343,0,533508,522625,10862,21,0
2021-01-16,1177037,57411,56441,970,1164320,12693,24,1173583,3454,0.014,0,432983,570627,48859,408798,431664,569232,48767,407047,1319,1395,92,1751,1177037,0,0,55639,1772,0,0,24258,24954,2131,19596,57411,0,529552,516897,12634,21,0
2021-01-17,1225408,48371,31244,17127,1211385,13998,25,1204827,20581,0.014,0,453449,591002,50884,428544,444215,583354,50014,417145,9234,7648,870,11399,1225408,0,0,47065,1305,1,0,20466,20375,2025,19746,48371,0,542652,528691,13939,22,0
2021-01-18,1307656,82248,66504,15744,1289597,18033,26,1271331,36325,0.015,0,482728,633883,53106,448900,467235,619730,51700,430238,15493,14153,1406,18662,1307656,0,0,78212,4035,1,0,29279,42881,2222,20356,82248,0,558026,540030,17973,23,0
2021-01-19,1423052,115396,81774,33622,1401473,21503,76,1353105,69947,0.016,0.001,519765,695968,56714,479843,492669,666683,54375,447938,27096,29285,2339,31905,1423052,0,0,111876,3470,50,0,37037,62085,3608,30943,115396,0,590492,568978,21443,71,0
2021-01-20,1555273,132221,80793,51428,1530939,24254,80,1433898,121375,0.017,0.001,568076,760039,60957,522078,522876,706310,57505,469463,45200,53729,3452,52615,1555273,0,0,129466,2751,4,0,48311,64071,4243,42235,132221,0,610445,586973,23397,75,0
2021-01-21,1660705,105432,64698,40734,1633659,26966,80,1498596,162109,0.018,0.002,610150,808503,65406,556195,549621,735602,60889,487988,60529,72901,4517,68207,1660705,0,0,102720,2712,0,0,42074,48464,4449,34117,105432,0,632422,610865,21482,75,0
2021-01-22,1762931,102226,67441,34785,1733830,29009,92,1566037,196894,0.019,0.002,654049,853889,69013,590642,579902,764987,63599,506975,74147,88902,5414,83667,1762931,0,0,100171,2043,12,0,43899,45386,3607,34447,102226,0,643305,625149,18088,68,0
2021-01-23,1848490,85559,40623,44936,1819005,29392,93,1606660,241830,0.019,0.003,691767,890989,72414,617916,599855,780966,64783,516268,91912,110023,7631,101648,1848490,0,0,85175,383,1,0,37718,37100,3401,27274,85559,0,671453,654685,16699,69,0
2021-01-24,1898429,49939,25628,24311,1868696,29636,97,1632288,266141,0.02,0.003,715655,910067,73331,632982,614016,789814,65130,521524,101639,120253,8201,111458,1898429,0,0,49691,244,4,0,23888,19078,917,15066,49939,0,673021,657311,15638,72,0
2021-01-25,1994701,96272,58200,38072,1963244,31358,99,1690488,304213,0.02,0.004,756375,951632,76827,658117,642321,811974,66847,534304,114054,139658,9980,123813,1994701,0,0,94548,1722,2,0,40720,41565,3496,25135,96272,0,687045,673647,13325,73,0
2021-01-26,2094299,99598,50976,48622,2061182,33012,105,1741464,352835,0.021,0.004,796572,997196,80614,684405,667753,831436,68195,545278,128819,165760,12419,139127,2094299,0,0,97938,1654,6,0,40197,45564,3787,26288,99598,0,671247,659709,11509,29,0
