date,administered_doses_pfizer,administered_doses_moderna,administered_doses_astrazeneca,administered_doses_jj,delivered_doses_pfizer,delivered_doses_moderna,delivered_doses_astrazeneca,delivered_doses_jj,cum_administered_doses_pfizer,cum_administered_doses_moderna,cum_administered_doses_astrazeneca,cum_administered_doses_jj,cum_delivered_doses_pfizer,cum_delivered_doses_moderna,cum_delivered_doses_astrazeneca,cum_delivered_doses_jj
2020-12-26,0,0,0,0,151125,0,0,0,0,0,0,0,151125,0,0,0
2020-12-27,24474,1,0,0,0,0,0,0,24474,1,0,0,151125,0,0,0
2020-12-28,18340,0,0,0,521625,0,0,0,42814,1,0,0,672750,0,0,0
2020-12-29,49550,0,0,0,0,0,0,0,92364,1,0,0,672750,0,0,0
2020-12-30,62540,0,0,0,653250,0,0,0,154904,1,0,0,1326000,0,0,0
2020-12-31,50041,0,0,0,0,0,0,0,204945,1,0,0,1326000,0,0,0
2021-01-01,19273,0,1,0,0,0,0,0,224218,1,1,0,1326000,0,0,0
2021-01-02,53095,0,0,0,0,0,0,0,277313,1,1,0,1326000,0,0,0
2021-01-03,24208,0,0,0,0,0,0,0,301521,1,1,0,1326000,0,0,0
2021-01-04,48387,0,0,0,0,0,0,0,349908,1,1,0,1326000,0,0,0
2021-01-05,54059,1,0,0,0,0,0,0,403967,2,1,0,1326000,0,0,0
2021-01-06,62855,6,2,0,0,0,0,0,466822,8,3,0,1326000,0,0,0
2021-01-07,55857,4,0,0,0,0,0,0,522679,12,3,0,1326000,0,0,0
2021-01-08,63439,48,0,0,687375,0,0,0,586118,60,3,0,2013375,0,0,0
2021-01-09,61363,0,0,0,0,0,0,0,647481,60,3,0,2013375,0,0,0
2021-01-10,35361,0,0,0,0,0,0,0,682842,60,3,0,2013375,0,0,0
2021-01-11,67680,1,0,0,0,0,0,0,750522,61,3,0,2013375,0,0,0
2021-01-12,82780,5,2,0,0,63600,0,0,833302,66,5,0,2013375,63600,0,0
2021-01-13,110782,797,0,0,0,0,0,0,944084,863,5,0,2013375,63600,0,0
2021-01-14,78083,4627,0,0,0,0,0,0,1022167,5490,5,0,2013375,63600,0,0
2021-01-15,86083,5438,19,0,0,0,0,0,1108250,10928,24,0,2013375,63600,0,0
2021-01-16,55681,1772,0,0,0,0,0,0,1163931,12700,24,0,2013375,63600,0,0
2021-01-17,47213,1305,1,0,0,0,0,0,1211144,14005,25,0,2013375,63600,0,0
2021-01-18,78229,4034,1,0,0,0,0,0,1289373,18039,26,0,2013375,63600,0,0
2021-01-19,111699,3468,50,0,842400,0,0,0,1401072,21507,76,0,2855775,63600,0,0
2021-01-20,129462,2750,4,0,0,0,0,0,1530534,24257,80,0,2855775,63600,0,0
2021-01-21,102235,2712,0,0,0,0,0,0,1632769,26969,80,0,2855775,63600,0,0
2021-01-22,100250,2043,12,0,0,0,0,0,1733019,29012,92,0,2855775,63600,0,0
2021-01-23,85165,383,1,0,0,0,0,0,1818184,29395,93,0,2855775,63600,0,0
2021-01-24,49782,244,4,0,0,0,0,0,1867966,29639,97,0,2855775,63600,0,0
2021-01-25,92403,1722,2,0,0,0,0,0,1960369,31361,99,0,2855775,63600,0,0
2021-01-26,97415,1652,6,0,489060,0,0,0,2057784,33013,105,0,3344835,63600,0,0
2021-01-27,109099,1957,8,0,0,0,0,0,2166883,34970,113,0,3344835,63600,0,0
2021-01-28,89906,1635,2,0,0,0,0,0,2256789,36605,115,0,3344835,63600,0,0
2021-01-29,106876,1405,60,0,0,0,0,0,2363665,38010,175,0,3344835,63600,0,0
2021-01-30,86856,874,1,0,0,0,0,0,2450521,38884,176,0,3344835,63600,0,0
2021-01-31,57747,376,0,0,0,90000,0,0,2508268,39260,176,0,3344835,153600,0,0
2021-02-01,119575,2210,57,0,0,0,0,0,2627843,41470,233,0,3344835,153600,0,0
2021-02-02,128059,2868,15,0,747630,0,0,0,2755902,44338,248,0,4092465,153600,0,0
2021-02-03,153313,6389,20,0,0,0,0,0,2909215,50727,268,0,4092465,153600,0,0
2021-02-04,126301,5874,7,0,0,0,0,0,3035516,56601,275,0,4092465,153600,0,0
2021-02-05,138730,6397,8,0,0,0,0,0,3174246,62998,283,0,4092465,153600,0,0
2021-02-06,97671,2466,1,0,0,0,345600,0,3271917,65464,284,0,4092465,153600,345600,0
2021-02-07,51903,2349,2,0,0,0,0,0,3323820,67813,286,0,4092465,153600,345600,0
2021-02-08,106256,3859,24,0,0,0,0,0,3430076,71672,310,0,4092465,153600,345600,0
2021-02-09,129434,3883,110,0,747630,0,0,0,3559510,75555,420,0,4840095,153600,345600,0
2021-02-10,139015,3864,7037,0,0,0,0,0,3698525,79419,7457,0,4840095,153600,345600,0
2021-02-11,120062,7292,15457,0,0,0,0,0,3818587,86711,22914,0,4840095,153600,345600,0
2021-02-12,131596,9873,14250,0,0,0,391200,0,3950183,96584,37164,0,4840095,153600,736800,0
2021-02-13,92402,3048,12837,0,0,0,0,0,4042585,99632,50001,0,4840095,153600,736800,0
2021-02-14,55335,2402,7349,0,0,0,0,0,4097920,102034,57350,0,4840095,153600,736800,0
2021-02-15,107413,4813,14728,0,0,182400,0,0,4205333,106847,72078,0,4840095,336000,736800,0
2021-02-16,106165,5672,23533,0,904410,0,0,0,4311498,112519,95611,0,5744505,336000,736800,0
2021-02-17,122441,7950,19725,0,0,0,0,0,4433939,120469,115336,0,5744505,336000,736800,0
2021-02-18,110901,7936,24477,0,0,0,0,0,4544840,128405,139813,0,5744505,336000,736800,0
2021-02-19,118166,9800,25264,0,0,0,715200,0,4663006,138205,165077,0,5744505,336000,1452000,0
2021-02-20,88163,4470,21611,0,0,0,0,0,4751169,142675,186688,0,5744505,336000,1452000,0
2021-02-21,67378,3228,15332,0,0,0,0,0,4818547,145903,202020,0,5744505,336000,1452000,0
2021-02-22,126280,9098,25023,0,0,0,0,0,4944827,155001,227043,0,5744505,336000,1452000,0
2021-02-23,132309,7157,27379,0,926640,0,0,0,5077136,162158,254422,0,6671145,336000,1452000,0
2021-02-24,132298,7736,35394,0,0,0,0,0,5209434,169894,289816,0,6671145,336000,1452000,0
2021-02-25,130830,6645,51194,0,0,0,0,0,5340264,176539,341010,0,6671145,336000,1452000,0
