date,cum_vacs,new_vacs_all,new_vacs_first_dose_all,new_vacs_second_dose_all,cum_vacs_pfizer,cum_vacs_moderna,cum_vacs_astrazeneca,cum_persons_vaccinated_first_dose,cum_persons_vaccinated_second_dose,pct_pop_vaccinated_first_dose,pct_pop_vaccinated_second_dose,cum_vacs_elderly,cum_vacs_medical_profession,cum_vacs_medical_condition,cum_vacs_care_homes,cum_vacs_elderly_first_dose,cum_vacs_medical_profession_first_dose,cum_vacs_medical_condition_first_dose,cum_vacs_care_homes_first_dose,cum_vacs_elderly_second_dose,cum_vacs_medical_profession_second_dose,cum_vacs_medical_condition_second_dose,cum_vacs_care_homes_second_dose,new_vacs_pfizer,new_vacs_moderna,new_vacs_astrazeneca,new_vacs_elderly,new_vacs_medical_profession,new_vacs_medical_condition,new_vacs_care_homes,new_vacs_all_7day_rollsum,new_vacs_pfizer_7day_rollsum,new_vacs_moderna_7day_rollsum,new_vacs_astrazeneca_7day_rollsum
2020-12-27,23990,23990,23853,137,23990,0,0,23853,137,2.9e-4,0,10705,8651,1301,12605,10664,8584,1301,12537,41,67,0,68,23990,0,0,10705,8651,1301,12605,NA,NA,NA,NA
2020-12-28,42375,18385,18385,0,42375,0,0,42238,137,5.1e-4,0,18621,15782,1987,21345,18580,15715,1987,21277,41,67,0,68,18385,0,0,7916,7131,686,8740,NA,NA,NA,NA
2020-12-29,90682,48307,47718,589,90682,0,0,89956,726,0.00108,1e-5,34948,40513,3103,40454,34683,40199,3103,40045,265,314,0,409,48307,0,0,16327,24731,1116,19109,NA,NA,NA,NA
2020-12-30,151794,61112,61108,4,151794,0,0,151064,730,0.00182,1e-5,55467,73141,4895,63098,55200,72826,4895,62686,267,315,0,412,61112,0,0,20519,32628,1792,22644,NA,NA,NA,NA
2020-12-31,200269,48475,48358,117,200269,0,0,199422,847,0.0024,1e-5,72658,96364,6748,83589,72344,96012,6748,83100,314,352,0,489,48475,0,0,17191,23223,1853,20491,NA,NA,NA,NA
2021-01-01,219543,19274,19274,0,219542,0,1,218696,847,0.00263,1e-5,81035,105094,7826,91925,80721,104742,7826,91436,314,352,0,489,19273,0,1,8377,8730,1078,8336,NA,NA,NA,NA
2021-01-02,272151,52608,52393,215,272150,0,1,271089,1062,0.00326,1e-5,102600,129375,10346,112882,102192,128948,10346,112253,408,427,0,629,52608,0,0,21565,24281,2520,20957,272151,272150,0,1
2021-01-03,296239,24088,24088,0,296238,0,1,295177,1062,0.00355,1e-5,112871,139871,11280,122904,112463,139444,11280,122275,408,427,0,629,24088,0,0,10271,10496,934,10022,272249,272248,0,1
2021-01-04,344583,48344,48344,0,344582,0,1,343521,1062,0.00413,1e-5,129473,164560,13947,138716,129065,164133,13947,138087,408,427,0,629,48344,0,0,16602,24689,2667,15812,302208,302207,0,1
2021-01-05,397939,53356,53333,23,397937,1,1,396854,1085,0.00477,1e-5,147814,192214,16485,157281,147404,191766,16485,156650,410,448,0,631,53355,1,0,18341,27654,2538,18565,307257,307255,1,1
