date,cum_vacs,new_vacs_all,new_vacs_first_dose_all,new_vacs_second_dose_all,cum_vacs_pfizer,cum_vacs_moderna,cum_vacs_astrazeneca,cum_persons_vaccinated_first_dose,cum_persons_vaccinated_second_dose,pct_pop_vaccinated_first_dose,pct_pop_vaccinated_second_dose,cum_vacs_age_indication,cum_vacs_profession_indication,cum_vacs_medical_indication,cum_vacs_care_homes,cum_vacs_age_indication_first_dose,cum_vacs_profession_indication_first_dose,cum_vacs_medical_indication_first_dose,cum_vacs_care_homes_first_dose,cum_vacs_age_indication_second_dose,cum_vacs_profession_indication_second_dose,cum_vacs_medical_indication_second_dose,cum_vacs_care_homes_second_dose,dosen_dim_kumulativ,dosen_kbv_kumulativ,new_vacs_pfizer,new_vacs_moderna,new_vacs_astrazeneca,new_vacs_age_indication,new_vacs_profession_indication,new_vacs_medical_indication,new_vacs_care_homes,new_vacs_all_7day_rollsum,new_vacs_pfizer_7day_rollsum,new_vacs_moderna_7day_rollsum,new_vacs_astrazeneca_7day_rollsum
2020-12-27,24504,24504,24493,11,24504,0,0,24493,11,0,0,10705,8657,1305,12604,10664,8590,1305,12536,41,67,0,68,24504,0,24504,0,0,10705,8657,1305,12604,NA,NA,NA,NA
2020-12-28,42886,18382,18382,0,42886,0,0,42875,11,0.001,0,18621,15788,1991,21344,18580,15721,1991,21276,41,67,0,68,42886,0,18382,0,0,7916,7131,686,8740,NA,NA,NA,NA
2020-12-29,92059,49173,48584,589,92059,0,0,91459,600,0.001,0,34989,40734,3107,40508,34724,40420,3107,40099,265,314,0,409,92059,0,49173,0,0,16368,24946,1116,19164,NA,NA,NA,NA
2020-12-30,154470,62411,62407,4,154470,0,0,153866,604,0.002,0,55510,73365,4901,63206,55243,73050,4901,62794,267,315,0,412,154470,0,62411,0,0,20521,32631,1794,22698,NA,NA,NA,NA
2020-12-31,204534,50064,49924,140,204534,0,0,203790,744,0.002,0,72831,96719,6752,83965,72517,96367,6752,83476,314,352,0,489,204534,0,50064,0,0,17321,23354,1851,20759,NA,NA,NA,NA
2021-01-01,223802,19268,19268,0,223801,0,1,223058,744,0.003,0,81208,105449,7830,92301,80894,105097,7830,91812,314,352,0,489,223802,0,19267,0,1,8377,8730,1078,8336,NA,NA,NA,NA
2021-01-02,276670,52868,52592,276,276669,0,1,275650,1020,0.003,0,102774,129731,10350,113258,102365,129304,10350,112629,409,427,0,629,276670,0,52868,0,0,21566,24282,2520,20957,276670,276669,0,1
2021-01-03,300834,24164,24163,1,300833,0,1,299813,1021,0.004,0,113044,140227,11284,123279,112635,139800,11284,122650,409,427,0,629,300834,0,24164,0,0,10270,10496,934,10021,276330,276329,0,1
2021-01-04,349228,48394,48394,0,349227,0,1,348207,1021,0.004,0,129646,164913,13951,139091,129237,164486,13951,138462,409,427,0,629,349228,0,48394,0,0,16602,24686,2667,15812,306342,306341,0,1
2021-01-05,403076,53848,53823,25,403074,1,1,402030,1046,0.005,0,147987,192565,16489,157656,147576,192117,16489,157025,411,448,0,631,403076,0,53847,1,0,18341,27652,2538,18565,311017,311015,1,1
2021-01-06,465899,62823,62822,1,465889,7,3,464852,1047,0.006,0,169498,225530,19910,180812,169086,225082,19910,180181,412,448,0,631,465899,0,62815,6,2,21511,32965,3421,23156,311429,311419,7,3
2021-01-07,521924,56025,56021,4,521910,11,3,520873,1051,0.006,0,189172,254868,22957,197233,188758,254418,22957,196600,414,450,0,633,521924,0,56021,4,0,19674,29338,3047,16421,317390,317376,11,3
