date,cum_vacs,new_vacs_all,new_vacs_first_dose_all,new_vacs_second_dose_all,cum_vacs_pfizer,cum_vacs_moderna,cum_vacs_astrazeneca,cum_persons_vaccinated_first_dose,cum_persons_vaccinated_second_dose,pct_pop_vaccinated_first_dose,pct_pop_vaccinated_second_dose,cum_vacs_age_indication,cum_vacs_profession_indication,cum_vacs_medical_indication,cum_vacs_care_homes,cum_vacs_age_indication_first_dose,cum_vacs_profession_indication_first_dose,cum_vacs_medical_indication_first_dose,cum_vacs_care_homes_first_dose,cum_vacs_age_indication_second_dose,cum_vacs_profession_indication_second_dose,cum_vacs_medical_indication_second_dose,cum_vacs_care_homes_second_dose,new_vacs_pfizer,new_vacs_moderna,new_vacs_astrazeneca,new_vacs_age_indication,new_vacs_profession_indication,new_vacs_medical_indication,new_vacs_care_homes,new_vacs_all_7day_rollsum,new_vacs_pfizer_7day_rollsum,new_vacs_moderna_7day_rollsum,new_vacs_astrazeneca_7day_rollsum
2020-12-27,23998,23998,23861,137,23998,0,0,23861,137,2.9e-4,0,10705,8657,1305,12604,10664,8590,1305,12536,41,67,0,68,23998,0,0,10705,8657,1305,12604,NA,NA,NA,NA
2020-12-28,42383,18385,18385,0,42383,0,0,42246,137,5.1e-4,0,18621,15788,1991,21344,18580,15721,1991,21276,41,67,0,68,18385,0,0,7916,7131,686,8740,NA,NA,NA,NA
2020-12-29,90959,48576,47987,589,90959,0,0,90233,726,0.00108,1e-5,34989,40734,3107,40508,34724,40420,3107,40099,265,314,0,409,48576,0,0,16368,24946,1116,19164,NA,NA,NA,NA
2020-12-30,152131,61172,61168,4,152131,0,0,151401,730,0.00182,1e-5,55510,73365,4901,63206,55243,73050,4901,62794,267,315,0,412,61172,0,0,20521,32631,1794,22698,NA,NA,NA,NA
2020-12-31,200979,48848,48731,117,200979,0,0,200132,847,0.00241,1e-5,72831,96719,6752,83965,72517,96367,6752,83476,314,352,0,489,48848,0,0,17321,23354,1851,20759,NA,NA,NA,NA
2021-01-01,220253,19274,19274,0,220252,0,1,219406,847,0.00264,1e-5,81208,105449,7830,92301,80894,105097,7830,91812,314,352,0,489,19273,0,1,8377,8730,1078,8336,NA,NA,NA,NA
2021-01-02,272863,52610,52394,216,272862,0,1,271800,1063,0.00327,1e-5,102774,129731,10350,113258,102365,129304,10350,112629,409,427,0,629,52610,0,0,21566,24282,2520,20957,272863,272862,0,1
2021-01-03,296950,24087,24087,0,296949,0,1,295887,1063,0.00356,1e-5,113044,140227,11284,123279,112635,139800,11284,122650,409,427,0,629,24087,0,0,10270,10496,934,10021,272952,272951,0,1
2021-01-04,345291,48341,48341,0,345290,0,1,344228,1063,0.00414,1e-5,129646,164913,13951,139091,129237,164486,13951,138462,409,427,0,629,48341,0,0,16602,24686,2667,15812,302908,302907,0,1
2021-01-05,398645,53354,53331,23,398643,1,1,397559,1086,0.00478,1e-5,147987,192565,16489,157656,147576,192117,16489,157025,411,448,0,631,53353,1,0,18341,27652,2538,18565,307686,307684,1,1
2021-01-06,461428,62783,62782,1,461423,2,3,460341,1087,0.00554,1e-5,169498,225530,19910,180812,169086,225082,19910,180181,412,448,0,631,62780,1,2,21511,32965,3421,23156,309297,309292,2,3
2021-01-07,517411,55983,55979,4,517406,2,3,516320,1091,0.00621,1e-5,189172,254868,22957,197233,188758,254418,22957,196600,414,450,0,633,55983,0,0,19674,29338,3047,16421,316432,316427,2,3
2021-01-08,580077,62666,62367,299,580072,2,3,578687,1390,0.00696,2e-5,211521,287315,26324,218219,211009,286711,26320,217449,512,604,4,770,62666,0,0,22349,32447,3367,20986,359824,359820,2,2
2021-01-09,640961,60884,60834,50,640956,2,3,639521,1440,0.00769,2e-5,237322,313238,29007,243325,236798,312599,29003,242545,524,639,4,780,60884,0,0,25801,25923,2683,25106,368098,368094,2,2
2021-01-10,675942,34981,34975,6,675937,2,3,674496,1446,0.00811,2e-5,252455,327794,30379,256315,251929,327151,30375,255535,526,643,4,780,34981,0,0,15133,14556,1372,12990,378992,378988,2,2
