date,administered_doses_pfizer,administered_doses_moderna,administered_doses_astrazeneca,delivered_doses_pfizer,delivered_doses_moderna,delivered_doses_astrazeneca,cum_administered_doses_pfizer,cum_administered_doses_moderna,cum_administered_doses_astrazeneca,cum_delivered_doses_pfizer,cum_delivered_doses_moderna,cum_delivered_doses_astrazeneca
2020-12-27,23569,0,0,151125,0,0,23569,0,0,151125,0,0
2020-12-28,18740,0,0,521625,0,0,42309,0,0,672750,0,0
2020-12-29,42649,0,0,0,0,0,84958,0,0,672750,0,0
2020-12-30,58002,0,0,653250,0,0,142960,0,0,1326000,0,0
2020-12-31,38617,0,0,0,0,0,181577,0,0,1326000,0,0
2021-01-01,24749,0,0,0,0,0,206326,0,0,1326000,0,0
2021-01-02,52180,0,0,0,0,0,258506,0,0,1326000,0,0
2021-01-03,24986,0,0,0,0,0,283492,0,0,1326000,0,0
2021-01-04,48684,0,0,0,0,0,332176,0,0,1326000,0,0
2021-01-05,52456,0,0,0,0,0,384632,0,0,1326000,0,0
2021-01-06,59167,0,0,0,0,0,443799,0,0,1326000,0,0
2021-01-07,58460,0,0,0,0,0,502259,0,0,1326000,0,0
2021-01-08,60444,0,0,687375,0,0,562703,0,0,2013375,0,0
2021-01-09,57323,0,0,0,0,0,620026,0,0,2013375,0,0
2021-01-10,33280,0,0,0,0,0,653306,0,0,2013375,0,0
2021-01-11,65666,0,0,0,0,0,718972,0,0,2013375,0,0
2021-01-12,82084,0,0,0,63600,0,801056,0,0,2013375,63600,0
2021-01-13,98289,795,0,0,0,0,899345,795,0,2013375,63600,0
2021-01-14,95581,4648,0,0,0,0,994926,5443,0,2013375,63600,0
2021-01-15,87374,5451,0,0,0,0,1082300,10894,0,2013375,63600,0
2021-01-16,55242,1858,0,0,0,0,1137542,12752,0,2013375,63600,0
2021-01-17,43093,1414,0,0,0,0,1180635,14166,0,2013375,63600,0
2021-01-18,72422,1934,0,0,0,0,1253057,16100,0,2013375,63600,0
2021-01-19,93878,1522,0,842400,0,0,1346935,17622,0,2855775,63600,0
2021-01-20,127652,1292,0,0,0,0,1474587,18914,0,2855775,63600,0
2021-01-21,95030,1099,0,0,0,0,1569617,20013,0,2855775,63600,0
2021-01-22,114271,1338,0,0,0,0,1683888,21351,0,2855775,63600,0
2021-01-23,92535,383,0,0,0,0,1776423,21734,0,2855775,63600,0
2021-01-24,66058,244,0,0,0,0,1842481,21978,0,2855775,63600,0
2021-01-25,96456,1474,0,0,0,0,1938937,23452,0,2855775,63600,0
2021-01-26,101130,1588,0,489060,0,0,2040067,25040,0,3344835,63600,0
2021-01-27,111428,1911,0,0,0,0,2151495,26951,0,3344835,63600,0
2021-01-28,94112,6483,0,0,0,0,2245607,33434,0,3344835,63600,0
2021-01-29,108334,1404,0,0,0,0,2353941,34838,0,3344835,63600,0
2021-01-30,87305,874,0,0,0,0,2441246,35712,0,3344835,63600,0
2021-01-31,62363,342,0,0,90000,0,2503609,36054,0,3344835,153600,0
2021-02-01,114377,1577,0,747630,0,0,2617986,37631,0,4092465,153600,0
2021-02-02,125647,2028,0,0,0,0,2743633,39659,0,4092465,153600,0
2021-02-03,137361,5453,0,0,0,0,2880994,45112,0,4092465,153600,0
2021-02-04,130845,5026,0,0,0,0,3011839,50138,0,4092465,153600,0
2021-02-05,129632,4071,0,0,0,0,3141471,54209,0,4092465,153600,0
2021-02-06,100468,3401,0,0,0,345600,3241939,57610,0,4092465,153600,345600
2021-02-07,55936,3459,0,0,0,0,3297875,61069,0,4092465,153600,345600
2021-02-08,102444,3961,16,0,0,0,3400319,65030,16,4092465,153600,345600
2021-02-09,121448,3270,106,747630,0,0,3521767,68300,122,4840095,153600,345600
2021-02-10,138133,4932,7502,0,0,0,3659900,73232,7624,4840095,153600,345600
2021-02-11,124229,5962,13826,0,0,0,3784129,79194,21450,4840095,153600,345600
2021-02-12,135160,9537,13801,0,0,391200,3919289,88731,35251,4840095,153600,736800
2021-02-13,94245,3379,12336,0,0,0,4013534,92110,47587,4840095,153600,736800
2021-02-14,56957,2852,6977,0,0,0,4070491,94962,54564,4840095,153600,736800
2021-02-15,108429,3320,15054,0,182400,0,4178920,98282,69618,4840095,336000,736800
2021-02-16,108242,4628,23420,900900,0,0,4287162,102910,93038,5740995,336000,736800
2021-02-17,123063,7071,19258,0,0,0,4410225,109981,112296,5740995,336000,736800
2021-02-18,114555,7157,23899,0,0,0,4524780,117138,136195,5740995,336000,736800
2021-02-19,119102,7920,23655,0,0,715200,4643882,125058,159850,5740995,336000,1452000
2021-02-20,86351,5462,20809,0,0,0,4730233,130520,180659,5740995,336000,1452000
2021-02-21,65822,4221,15523,0,0,0,4796055,134741,196182,5740995,336000,1452000
2021-02-22,118975,7442,25752,0,0,0,4915030,142183,221934,5740995,336000,1452000
2021-02-23,127170,6323,26633,924300,0,0,5042200,148506,248567,6665295,336000,1452000
2021-02-24,132750,7595,34450,0,0,0,5174950,156101,283017,6665295,336000,1452000
2021-02-25,125030,6172,48667,0,0,0,5299980,162273,331684,6665295,336000,1452000
2021-02-26,133029,7121,55310,0,0,0,5433009,169394,386994,6665295,336000,1452000
2021-02-27,93979,4149,48571,0,343200,0,5526988,173543,435565,6665295,679200,1452000
2021-02-28,67300,3571,42784,0,0,0,5594288,177114,478349,6665295,679200,1452000
2021-03-01,129109,7724,54697,0,0,0,5723397,184838,533046,6665295,679200,1452000
2021-03-02,143857,8386,63045,1012050,0,650400,5867254,193224,596091,7677345,679200,2102400
2021-03-03,162120,11485,66833,0,0,0,6029374,204709,662924,7677345,679200,2102400
2021-03-04,142727,12574,82730,0,0,0,6172101,217283,745654,7677345,679200,2102400
2021-03-05,141696,12334,96120,0,0,0,6313797,229617,841774,7677345,679200,2102400
2021-03-06,108120,7683,77524,0,0,0,6421917,237300,919298,7677345,679200,2102400
2021-03-07,83746,6635,57206,0,0,0,6505663,243935,976504,7677345,679200,2102400
2021-03-08,136183,11323,83477,0,0,0,6641846,255258,1059981,7677345,679200,2102400
2021-03-09,140469,11647,94576,1076400,0,960000,6782315,266905,1154557,8753745,679200,3062400
2021-03-10,157739,11540,106112,0,0,0,6940054,278445,1260669,8753745,679200,3062400
2021-03-11,153844,12334,118519,0,0,0,7093898,290779,1379188,8753745,679200,3062400
2021-03-12,149377,13630,128542,0,0,0,7243275,304409,1507730,8753745,679200,3062400
2021-03-13,112877,8083,111781,0,0,0,7356152,312492,1619511,8753745,679200,3062400
2021-03-14,88005,4812,71213,0,0,0,7444157,317304,1690724,8753745,679200,3062400
2021-03-15,146892,11279,70711,0,0,0,7591049,328583,1761435,8753745,679200,3062400
2021-03-16,161799,9581,1519,0,0,0,7752848,338164,1762954,8753745,679200,3062400
